,書名,作者,出版日期,內容介紹,網址
1,原教界：原住民族教育情報誌95(109/10),,2020-10-01,"
原住民族課程發展協作中心   因應原住民族實驗教育課程發展之需要，國教署委託大學成立了北、中、南、東、宜花區的原住民族課程發展協作中心，其設立緣起、目標、功能與任務為何?以及設立以後運作的情況如...more
",https://www.books.com.tw/products/0010874005?loc=P_0003_001
2,Ho Hai Yan台灣原YOUNG原住民青少年雜誌雙月刊2020.9 NO.87,,2020-09-01,"
屬於名字的記憶...more
",https://www.books.com.tw/products/0010871849?loc=P_0003_002
3,Ho Hai Yan台灣原YOUNG原住民青少年雜誌雙月刊2020.8 NO.86：言聽計從，一定是對的嗎?,,2020-08-01,"
...more
",https://www.books.com.tw/products/0010867200?loc=P_0003_003
4,原教界：原住民族教育情報誌94(109/08),,2020-08-01,"
原教界-原住民族教育情報誌94(109/08)原住民族無形文化資產的保存與維護...more
",https://www.books.com.tw/products/0010869046?loc=P_0003_004
5,臍帶之地：豐濱地方文化材料圖誌 vol.1,"復興部落,新社部落,港口部落,磯崎部落,行政院農業委員會林務局花蓮林區管理處,貓公部落",2020-08-01,"
「naicow ay ko puna iso?」阿美族老人家會這樣問。   當原住民族老人家問「你的臍帶在哪裡?」意為你出生的地方在哪裡?也有不忘本的提醒。   多數的原住民族將臍帶視為新生兒與母體以及大地的紐帶，連結帶...more
",https://www.books.com.tw/products/0010874314?loc=P_0003_005
6,這是你最愛的東西，記得帶走!,"Abas陳文麗,Halu林春碧,Qaidun江秋英,Umus江素珍,古金花,李鳳美,潘子瑤,潘春英,胡念恩,胡念祖,花蓮縣豐濱鄉新社村新社部落,行政院農業委員會林務局花蓮林區管理處",2020-07-01,"
語言別：中文、葛瑪蘭語   面對平日朝夕共處的親人死去，會有很多哀傷、不捨與情感依賴。葛瑪蘭人認為人死後剩下的「第二個人」tazusa，也就是靈魂，會離開家人，到另一個世界跟其他的祖先們一起繼續生活...more
",https://www.books.com.tw/products/0010874315?loc=P_0003_006
7,Ho Hai Yan台灣原YOUNG原住民青少年雜誌雙月刊2020.7 NO.85：排灣圖紋，訴說文化故事,,2020-06-01,"
...more
",https://www.books.com.tw/products/0010862912?loc=P_0003_007
8,108年原住民就業狀況調查,原住民族委員會,2020-06-01,"
透過調查統計，蒐集臺灣地區原住民族人口之質、量、勞動力特性，及就業、失業、非勞動力構成等資料，自民國98年9月起，將原住民族就業狀況調查改為每季調查一次(3月、6月、9月、12月)，定期公布失業數據及...more
",https://www.books.com.tw/products/0010863364?loc=P_0003_008
9,原教界：原住民族教育情報誌93(109/06),,2020-06-01,"
...more
",https://www.books.com.tw/products/0010864346?loc=P_0003_009
10,向光半年刊NO.02(2020.06)：原住民族人權,,2020-06-01,"
政府推動轉型正義工程以來，白色恐怖政治案件的記憶迷霧撥開了嗎? 發生在70年前Avali(伍保忠)原住民的悲劇，為什麼在21世紀的今日仍然成為台灣社會的新聞議題? 噤聲不語的禁忌及漸次遺忘的歷史真相，在解...more
",https://www.books.com.tw/products/0010871845?loc=P_0003_010
11,Ho Hai Yan台灣原YOUNG原住民青少年雜誌雙月刊2020.5 NO.84,,2020-05-01,"
...more
",https://www.books.com.tw/products/0010860439?loc=P_0003_011
12,O Pitiri’an to Heci^ no Nitayalan no Yin-cu-min-cu 原住民族施政成果專刊2016-2020,原住民族委員會,2020-05-01,"
盤點過去所推動的工作，以傳統分享的概念，向族人及全國民眾提出說明。原住民族的歷史正義與轉型正義已經啟動，相關政策推動也已經有了初步的成果，更重要的是在蔡英文總統的鼎力支持下，政府逐漸採取尊重...more
",https://www.books.com.tw/products/0010862872?loc=P_0003_012
13,原教界：原住民族教育情報誌92(109/04),,2020-04-01,"
...more
",https://www.books.com.tw/products/0010862402?loc=P_0003_013
14,原住民族法規彙編(109年3月版),原住民族委員會,2020-03-01,"
原住民族法規。...more
",https://www.books.com.tw/products/0010859050?loc=P_0003_014
15,原教界：原住民族教育情報誌91(109/02),,2020-02-01,"
...more
",https://www.books.com.tw/products/0010858157?loc=P_0003_015
16,誰來唱我們的歌：流行歌曲中台灣原住民族的現聲╱身,葉莞妤,2020-01-01,"
本文將討論，原住民族的主體性如何現聲在流行歌曲中?使原住民族可以自身立場表達對於族群的看法。本文從民歌運動時期至今分為三個階段，並討論三個具有不同代表性的歌手及其作品，進而觀察他們彼此之間的...more
",https://www.books.com.tw/products/0010856807?loc=P_0003_016
17,Ho Hai Yan台灣原YOUNG原住民青少年雜誌雙月刊2019.12 NO.83,,2019-12-15,"
...more
",https://www.books.com.tw/products/0010844461?loc=P_0003_017
18,原教界：原住民族教育情報誌90(108/12),,2019-12-01,"
...more
",https://www.books.com.tw/products/0010844444?loc=P_0003_018
19,miLeKaLay 108年第10屆臺灣原住民族文學獎得獎作品集,,2019-12-01,"
108年第10屆臺灣原住民族文學獎得獎作品的合集，內容包括小說、散文、新詩、報導文學得獎作品，及各類組的評審會議記錄、評審意見，可說是關照原住民族文學年度重要文本。...more
",https://www.books.com.tw/products/0010846095?loc=P_0003_019
20,關係的心：資本主義過程中的魯凱人觀、情感與家的社群性,鄭瑋寧,2019-12-01,"
本書立基於作者二十多年的田野工作，關注台東縣卑南鄉Taromak魯凱人的親屬關係與經濟生活如何在資本主義中彼此交錯、滲透、抗頡、分裂、解構、重新勾連與接合的歷史社會民族誌。是作者理解與研究資本主義...more
",https://www.books.com.tw/products/0010848089?loc=P_0003_020
21,魯凱人名釋義(附光碟)[軟精裝],杜傳,2019-12-01,"
魯凱族為階級社會，分為王室、泛貴族、平民等三個階級，其男、女人名亦按階級採用。本書針對近600則男女人名進行釋義，從族人的觀點梳理傳統名字的源流與意義，為臺灣原住民族首部關於人名系統之專書。...more
",https://www.books.com.tw/products/0010848092?loc=P_0003_021
22,107學年度原住民族教育調查統計(附光碟),"梁世武,海樹兒．犮剌拉菲",2019-12-01,"
原住民族委員會自87年起開始進行「原住民族教育統計調查工作」，就該學年度各類各級學校原住民學生就學狀況、升學表現，以及各級學校原住民族籍教師比率分佈、原住民地區學校的現況與需求等狀況進行調查。...more
",https://www.books.com.tw/products/0010848444?loc=P_0003_022
23,臺灣原住民族教育發展,周惠民,2019-12-01,"
本書主要在針對近年國內外的重大原住民族教育議題的發展與趨勢進行探究，以我國為例，原住民族教育政策的改革不論在教育部或原民會，都有不同以往的思考與規劃，實質的內容與效益，值得進一步分析。幾個比...more
",https://www.books.com.tw/products/0010848562?loc=P_0003_023
24,原住民族文獻第八輯(第38期~第41期)[軟精裝],,2019-12-01,"
本刊規劃「專題」、「文獻評介」、「文物掌故」、「新書視窗」、「時事快遞」及「老照片講古」等六大專欄，以電子期刊發行的形式，每年12月彙整各期內容，集結出版紙本。...more
",https://www.books.com.tw/products/0010849997?loc=P_0003_024
25,原住民族文化資產實務執行參考手冊,,2019-12-01,"
本書內容主要係針對原住民族文化資產實務運作程序提供相關說明。...more
",https://www.books.com.tw/products/0010851053?loc=P_0003_025
26,Kahirahira no riyar (sakacecay) 海洋之門(一)[精裝],"吳慧琴,方銘總",2019-12-01,"
都歷部落傳說。...more
",https://www.books.com.tw/products/0010851689?loc=P_0003_026
27,大豹社事件1900-1907(軟精裝),傅琪貽,2019-12-01,"
大豹群頭目瓦旦燮促的後裔：林昭光Batu Tanga、林昭明Watan Tanga兩兄弟，口述相傳著祖父瓦旦燮促與大豹群的英勇抗日故事。本書得力於此兄弟二人以及更多的大豹社後裔中相傳的抗戰血淚與家園流亡史，因此...more
",https://www.books.com.tw/products/0010852435?loc=P_0003_027
28,台灣原住民族研究半年刊第12卷2期(2019.12),國立東華大學原住民民族學院,2019-12-01,"
...more
",https://www.books.com.tw/products/0010856816?loc=P_0003_028
29,原住民族語東魯凱語第七階學習手冊(附光碟)2版,,2019-11-01,"
一、本套教材依循教育部國民中小學九年一貫課程綱要•語文學習領域•原住民族語之基本理念及課程目標，並以課程大綱與教材細目編輯小組擬定之「族語教材課程大綱與第七階教材細目」，做為各語教材編寫組之編...more
",https://www.books.com.tw/products/0010842257?loc=P_0003_029
30,原住民族語東魯凱語第七階教師手冊2版,,2019-11-01,"
一、本套教材依循教育部國民中小學九年一貫課程綱要•語文學習領域•原住民族語之基本理念及課程目標，並以課程大綱與教材細目編輯小組擬定之「族語教材課程大綱與第七階教材細目」，做為各語教材編寫組之編...more
",https://www.books.com.tw/products/0010842258?loc=P_0003_030
31,原住民族語東魯凱語第八階學習手冊(附光碟)2版,,2019-11-01,"
一、本套教材依循教育部國民中小學九年一貫課程綱要•語文學習領域•原住民族語之基本理念及課程目標，並以課程大綱與教材細目編輯小組擬定之「族語教材課程大綱與第八階教材細目」，做為各語教材編寫組之編...more
",https://www.books.com.tw/products/0010842261?loc=P_0003_031
32,原住民族語東魯凱語第九階學習手冊(附光碟)2版,,2019-11-01,"
一、本套教材依循教育部國民中小學九年一貫課程綱要•語文學習領域•原住民族語之基本理念及課程目標，並以課程大綱與教材細目編輯小組擬定之「族語教材課程大綱與第九階教材細目」，做為各語教材編寫組之編...more
",https://www.books.com.tw/products/0010842265?loc=P_0003_032
33,原住民族語東魯凱語第八階教師手冊2版,,2019-11-01,"
一、本套教材依循教育部國民中小學九年一貫課程綱要˙語文學習領域˙原住民族語之基本理念及課程目標，並以課程大綱與教材細目編輯小組擬定之「族語教材課程大綱與第八階教材細目」，做為各語教材編寫組之編...more
",https://www.books.com.tw/products/0010842268?loc=P_0003_033
34,原住民族語東魯凱語第九階教師手冊2版,,2019-11-01,"
一、本套教材依循教育部國民中小學九年一貫課程綱要˙語文學習領域˙原住民族語之基本理念及課程目標，並以課程大綱與教材細目編輯小組擬定之「族語教材課程大綱與第九階教材細目」，做為各語教材編寫組之編...more
",https://www.books.com.tw/products/0010842271?loc=P_0003_034
35,東魯凱語教師手冊第1階3版2刷,,2019-11-01,"
本套教材共計九階，本階為第一階教材，包含學習手冊及教師手冊。第一階教材分為三大單元，分別是：(一)上學去(第1~3課)；(二)我的朋友(第4~6課)；(三)在教室裡(第7~10課)。各課教學內容為課文、生詞、看圖...more
",https://www.books.com.tw/products/0010842274?loc=P_0003_035
36,東魯凱語教師手冊第2階3版2刷,,2019-11-01,"
本套教材共計九階，本階為第二階教材，包含學習手冊及教師手冊。第二階教材分為三大單元，分別是：(一) 溫暖的家(第1~3課)；(二)我的部落(第4~6課)；(三)大自然(第7~10課)。各課教學內容為課文、生詞、看...more
",https://www.books.com.tw/products/0010842277?loc=P_0003_036
37,東魯凱語教師手冊第3階3版2刷,,2019-11-01,"
本套教材共計九階，本階為第三階教材，包含學習手冊及教師手冊。第三階教材分為三大單元，分別是：(一)學校生活(第1~3課)；(二)戶外生活(第4~6課)；(三)日常起居(第7~10課)。各課教學內容為課文、生詞、看...more
",https://www.books.com.tw/products/0010842278?loc=P_0003_037
38,東魯凱語教師手冊第4階3版2刷,,2019-11-01,"
本套教材共計九階，本階為第四階教材，包含學習手冊及教師手冊。第四階教材分為三大單元，分別是：(一)白天與黑夜(第1~3課)；(二)生日快樂(第4~6課)；(三)自然週期與氣候(第7~10課)。各課教學內容為課文、...more
",https://www.books.com.tw/products/0010842280?loc=P_0003_038
39,東魯凱語教師手冊第5階3版2刷,,2019-11-01,"
本套教材共計九階，本階為第五階教材，包含學習手冊及教師手冊。第五階教材分為三大單元，分別是：(一)流汗與收穫(第1~3課)；(二)交通工具(第4~6課)；(三)山與海(第7~10課)。各課教學內容為課文、生詞、看...more
",https://www.books.com.tw/products/0010842282?loc=P_0003_039
40,東魯凱語教師手冊第6階3版2刷,,2019-11-01,"
本套教材共計九階，本階為第六階教材，包含學習手冊及教師手冊。第六階教材分為三大單元，分別是：(一)我們的飲食(第1~3課)；(二)好吃的水果(第4~6課)；(三)健康的身體(第7~10課)。各課教學內容為課文、生...more
",https://www.books.com.tw/products/0010842283?loc=P_0003_040
41,東魯凱語學習手冊第2階(附光碟)3版2刷,,2019-11-01,"
本套教材共計九階，本階為第二階教材，包含學習手冊及教師手冊。第二階教材分為三大單元，分別是：(一) 溫暖的家(第1~3課)；(二)我的部落(第4~6課)；(三)大自然(第7~10課)。各課教學內容為課文、生詞、看...more
",https://www.books.com.tw/products/0010842284?loc=P_0003_041
42,東魯凱語學習手冊第1階(附光碟)3版2刷,,2019-11-01,"
本套教材共計九階，本階為第一階教材，包含學習手冊及教師手冊。第一階教材分為三大單元，分別是：(一)上學去(第1~3課)；(二)我的朋友(第4~6課)；(三)在教室裡(第7~10課)。各課教學內容為課文、生詞、看圖...more
",https://www.books.com.tw/products/0010842285?loc=P_0003_042
43,東魯凱語學習手冊第6階(附光碟)3版2刷,,2019-11-01,"
本套教材共計九階，本階為第六階教材，包含學習手冊及教師手冊。第六階教材分為三大單元，分別是：(一)我們的飲食(第1~3課)；(二)好吃的水果(第4~6課)；(三)健康的身體(第7~10課)。各課教學內容為課文、生...more
",https://www.books.com.tw/products/0010842286?loc=P_0003_043
44,東魯凱語學習手冊第5階(附光碟)3版2刷,,2019-11-01,"
本套教材共計九階，本階為第五階教材，包含學習手冊及教師手冊。第五階教材分為三大單元，分別是：(一)流汗與收穫(第1~3課)；(二)交通工具(第4~6課)；(三)山與海(第7~10課)。各課教學內容為課文、生詞、看...more
",https://www.books.com.tw/products/0010842287?loc=P_0003_044
45,東魯凱語學習手冊第4階(附光碟)3版2刷,,2019-11-01,"
本套教材共計九階，本階為第四階教材，包含學習手冊及教師手冊。第四階教材分為三大單元，分別是：(一)白天與黑夜(第1~3課)；(二)生日快樂(第4~6課)；(三)自然週期與氣候(第7~10課)。各課教學內容為課文、...more
",https://www.books.com.tw/products/0010842288?loc=P_0003_045
46,東魯凱語學習手冊第3階(附光碟)3版2刷,,2019-11-01,"
本套教材共計九階，本階為第三階教材，包含學習手冊及教師手冊。第三階教材分為三大單元，分別是：(一)學校生活(第1~3課)；(二)戶外生活(第4~6課)；(三)日常起居(第7~10課)。各課教學內容為課文、生詞、看...more
",https://www.books.com.tw/products/0010842289?loc=P_0003_046
47,原住民族語巒群布農語第七階學習手冊(附光碟)2版,,2019-11-01,"
一、本套教材依循教育部國民中小學九年一貫課程綱要•語文學習領域•原住民族語之基本理念及課程目標，並以課程大綱與教材細目編輯小組擬定之「族語教材課程大綱與第七階教材細目」，做為各語教材編寫組之編...more
",https://www.books.com.tw/products/0010842290?loc=P_0003_047
48,原住民族語巒群布農語第七階教師手冊2版,,2019-11-01,"
一、本套教材依循教育部國民中小學九年一貫課程綱要•語文學習領域•原住民族語之基本理念及課程目標，並以課程大綱與教材細目編輯小組擬定之「族語教材課程大綱與第七階教材細目」，做為各語教材編寫組之編...more
",https://www.books.com.tw/products/0010842291?loc=P_0003_048
49,原住民族語巒群布農語第八階學習手冊(附光碟)2版,,2019-11-01,"
一、本套教材依循教育部國民中小學九年一貫課程綱要?語文學習領域?原住民族語之基本理念及課程目標，並以課程大綱與教材細目編輯小組擬定之「族語教材課程大綱與第八階教材細目」，做為各語教材編寫組之編...more
",https://www.books.com.tw/products/0010842292?loc=P_0003_049
