,書名,作者,出版日期,內容介紹,網址
1,科技法律透析月刊第32卷第10期,,2020-10-15,"
新冠肺炎(COVID-19)於國際間未曾稍歇，如何透過技術及藥物之研發抑制疫情，為各國當務之急。本期從研發成果介入權之行使要件，分析美國與我國相應法制，嘗試分析政府得否基於COVID-19相關藥物之價格，要求...more
",https://www.books.com.tw/products/0010874704?loc=P_0003_001
2,臺灣小故事101(下),,2020-10-01,"
基於落實「深耕本土 迎向世界」的理念，2008年初國立編譯館曾編輯《臺灣小故事101》作為補充教材，然因當時受限時間與經費，只以網路電子版流傳。   2019年適逢新課綱全面開展，教育部本土教育會認為《臺...more
",https://www.books.com.tw/products/0010873980?loc=P_0003_002
3,臺灣小故事101(上),,2020-10-01,"
基於落實「深耕本土 迎向世界」的理念，2008年初國立編譯館曾編輯《臺灣小故事101》作為補充教材，然因當時受限時間與經費，只以網路電子版流傳。   2019年適逢新課綱全面開展，教育部本土教育會認為《臺...more
",https://www.books.com.tw/products/0010873981?loc=P_0003_003
4,譯辯：班雅明與布朗肖,潘怡帆,2020-10-01,"
譯文雖說是原文的再生，從原文到譯文，其間總已是語言的矛盾、落差、差異、陌異、雷同、指涉、互涉等關係與現象，遂有可譯不可譯的思辨。班雅明迻譯波特萊爾與普魯斯特，具翻譯實務經驗，譯《巴黎寫景》後...more
",https://www.books.com.tw/products/0010872874?loc=P_0003_004
5,記憶、海洋與尋常歷史,陳國棟,2020-09-18,"
有記憶方能回憶；能回憶才能在單向的時光旅程中，偶爾飄回逆向的過去。    記憶的內容屬於過去，歷史的內容也屬於過去。只不過記憶歸結在個人身上，往往只能埋頭品味，未必能與他人共同分享。歷史雖非來自...more
",https://www.books.com.tw/products/0010871223?loc=P_0003_005
6,繁星閃爍時,"吳秋霞,黃乃江",2020-09-18,"
這是一個凝聚力強、積極向上的班級，這裡是我們成長的班級也是我們快樂的家園，我們在這裡有時會嬉笑打鬧，遇到困難時彼此相互幫助，我們深知這裡是我們溫暖的大家庭，我們有著共同的夢想。    我們懷念彼...more
",https://www.books.com.tw/products/0010871227?loc=P_0003_006
7,大學文學錦囊,僑光科技大學國文編輯委員會,2020-09-14,"
《大學文學錦囊》蛻變自《大學文學漫步》與《大學文學遨遊》的長期探索與醞釀，搖身一變，成了邊玩邊學的機智闖關。   《大學文學錦囊》所藏的是可即學即用的文學絕技，包含腳本力、簡報力、採訪力、敘事...more
",https://www.books.com.tw/products/0010870440?loc=P_0003_007
8,現代文學精選集(二版),,2020-09-04,"
《現代文學》雜誌於一九六○年由臺大外文系南北社同學白先勇、王文興、陳若曦、歐陽子等人創辦，其後臺大中文系新潮社同學加入，合衷共濟、共同努力，成為影響臺灣文壇最重要的雜誌，也為當時尚為新銳的作...more
",https://www.books.com.tw/products/0010869873?loc=P_0003_008
9,開開心心上每一堂課：2020中央大學傑出與優良教師群像,,2020-09-01,"
教務長的話   秉持深耕高等教育的理念，中央大學持續致力於落實教學創新及學習成效的提升，以期培育出具備專業且能整合理論與實務能力的人才。為肯定及向大家推薦每位不斷創新教學成果的教師，我們辦理教...more
",https://www.books.com.tw/products/0010872294?loc=P_0003_009
10,宇宙視野：年輕天文學者講座紀實2012-2019,,2020-09-01,"
由國立中央大學與台達電子文教基金會合辦的「年輕天文學者講座」，旨在表彰國際優秀年輕天文學者，促進國內外學界交流，並推廣天文教育。   從2012年開始辦理，迄今已成功甄選並邀請12位學者來臺訪問，進...more
",https://www.books.com.tw/products/0010872298?loc=P_0003_010
11,神異感通‧化利有情：敦煌高僧傳讚文獻研究,楊明璋,2020-09-01,"
本書是以敦煌高僧傳記、讚頌文獻為主要的研究對象，尤其是其中的高僧神異傳說，一方面梳理高僧傳、讚之抄寫情形及其神異傳說之源流，另一方面藉以探究從唐至宋的中土人士對本土與域外高僧之崇拜信仰，兼及...more
",https://www.books.com.tw/products/0010872497?loc=P_0003_011
12,特殊教育統計年報109年度,,2020-09-01,"
統計資料來源為教育部特殊教育通報系統，該系統原始資料由本部國教署、直轄市和縣市政府所屬學校，以及大專校院鍵入。   我國特殊教育近年來有突破性成長，不僅是量的增加且在質的提升上也有長足的進步。...more
",https://www.books.com.tw/products/0010872767?loc=P_0003_012
13,人文社會學報第16卷3期109/09,,2020-09-01,"
球形虛擬實境影片體驗對學生學習產科教育的影響   桌球教學中擊球落點測驗方式的評估與應用   技術型高中的國語文教育政策與教師、升學考試的反饋   融入後設認知策略的科技增強英語聽力活動設計...more
",https://www.books.com.tw/products/0010872770?loc=P_0003_013
14,技術學刊35卷3期109/09,陳亮光,2020-09-01,"
...more
",https://www.books.com.tw/products/0010872771?loc=P_0003_014
15,學校法人及其所屬私立學校教職員退休撫卹離職資遣儲金監理法規輯要及釋例彙編 [四版][軟精裝],,2020-09-01,"
本彙編係蒐集與私校教職員退休、撫卹、離職、資遣有關之現行重要且常用之法規及釋例，加以彙整編印，除提供各級教育主管行政機關及私立學校人事人員作為辦理人事業務之工具書外，亦提供各私立學校教職員在...more
",https://www.books.com.tw/products/0010873344?loc=P_0003_015
16,危害確認與劑量效應評估-健康風險評估專責人員訓練教材,"何文照,黃泰霖",2020-09-01,"
為使公私場所執行有害空氣汙染物所致健康風險評估工作，建立健康風險評估專責人員制度。   本所為因應此制度之施行，依法開辦健康風險評估專責人員訓練。...more
",https://www.books.com.tw/products/0010873352?loc=P_0003_016
17,固定污染源有害空氣污染物健康風險評估實作：健康風險評估專責人員訓練教材,"姚永真,江鴻龍",2020-09-01,"
為使公私場所執行有害空氣汙染物所致健康風險評估工作，建立健康風險評估專責人員制度。   本所為因應此制度之施行，依法開辦健康風險評估專責人員訓練。...more
",https://www.books.com.tw/products/0010873354?loc=P_0003_017
18,固定污染源有害空氣污染物排放計算實務：健康風險評估專責人員訓練教材,"張鈺鋒,蔡志賢",2020-09-01,"
為使公私場所執行有害空氣汙染物所致健康風險評估工作，建立健康風險評估專責人員制度。   本所為因應此制度之施行，依法開辦健康風險評估專責人員訓練。...more
",https://www.books.com.tw/products/0010873355?loc=P_0003_018
19,健康風險評估與管理概論：健康風險評估專責人員訓練教材,"何文照,姚永真,黃泰霖",2020-09-01,"
為使公私場所執行有害空氣汙染物所致健康風險評估工作，建立健康風險評估專責人員制度。   本所為因應此制度之施行，依法開辦健康風險評估專責人員訓練。...more
",https://www.books.com.tw/products/0010873357?loc=P_0003_019
20,固定污染源有害空氣污染物暴露量評估：健康風險評估專責人員訓練教材,"張鈺鋒,蔡志賢",2020-09-01,"
為使公私場所執行有害空氣汙染物所致健康風險評估工作，建立健康風險評估專責人員制度。   本所為因應此制度之施行，依法開辦健康風險評估專責人員訓練。...more
",https://www.books.com.tw/products/0010873361?loc=P_0003_020
21,風險特徵描述、管理及溝通：健康風險評估專責人員訓練教材,"吳敏華,林希偉,蔡伊倫",2020-09-01,"
為使公私場所執行有害空氣汙染物所致健康風險評估工作，建立健康風險評估專責人員制度。   本所為因應此制度之施行，依法開辦健康風險評估專責人員訓練。...more
",https://www.books.com.tw/products/0010873363?loc=P_0003_021
22,固定污染源有害空氣污染物政策及管制法規：健康風險評估專責人員訓練教材,"姚永真,沈克鵬",2020-09-01,"
為使公私場所執行有害空氣汙染物所致健康風險評估工作，建立健康風險評估專責人員制度。   本所為因應此制度之施行，依法開辦健康風險評估專責人員訓練。...more
",https://www.books.com.tw/products/0010873365?loc=P_0003_022
23,數學傳播季刊175期第44卷3期(109/09),,2020-09-01,"
...more
",https://www.books.com.tw/products/0010873377?loc=P_0003_023
24,重寫與對話 臺灣新移民書寫之研究(2004-2015),張郅忻,2020-09-01,"
該書透過不同的文本及訪談，勾勒新移民書寫的發展脈絡。在時間斷代上，起於2004年，臺灣第一份東南亞語文刊物《移工報:專門為在臺工作的菲律賓人看的報紙》發刊；迄於2015年，新移民第二代陳又津出版《準...more
",https://www.books.com.tw/products/0010873601?loc=P_0003_024
25,中華民國108年圖書館年鑑(精裝),,2020-09-01,"
《中華民國一○八年圖書館年鑑》體例援例分「專文」及「專題」，完整呈現 107 年我國圖書館事業發展的最新樣貌。3 篇專文分別介紹展現臺灣人文及社會科學研究成果的重要工具，回顧圖書館推動嬰幼兒閱讀的成...more
",https://www.books.com.tw/products/0010873986?loc=P_0003_025
26,編譯論叢第13卷2期-2020.09,,2020-09-01,"
...more
",https://www.books.com.tw/products/0010874008?loc=P_0003_026
27,明而未融：抒情美典的詩思,楊雅惠,2020-09-01,"
文學的隱喻、想像與思維，劉勰在《文心雕龍》的比興章中喻之為曙光乍現，似明還暗的境況，故曰「明而未融」。本書作者楊雅惠治美學多年，以劉彥和此修辭意境探索詩意與抒情如何依違在「敞開與隱藏」之間，...more
",https://www.books.com.tw/products/0010872869?loc=P_0003_027
28,王汎森：近世中國的輿論社會,王汎森,2020-09-01,"
由國立中央大學和余紀忠文教基金會聯合主辦的「余紀忠講座」，2019年邀請中央研究院王汎森院士主講〈近世中國的輿論社會〉。擔任引言和對談的是中文系呂文翠教授。   王院士從晚明談到晚清，乃至現代，各...more
",https://www.books.com.tw/products/0010870785?loc=P_0003_028
29,訪談的技藝,,2020-09-01,"
訪談呈現受訪者的智慧與經驗，讀者從中獲益，但訪談過程既耗時又艱辛，苦處不足為外人道，本書作者單德興卻自承甘之若飴，顯然其中必有迷人之處。作者涉足訪談長達三十七年之久，視訪談為一門「技藝」，本...more
",https://www.books.com.tw/products/0010871501?loc=P_0003_029
