,書名,作者,出版日期,內容介紹,網址
1,語言發展導論(二版),Robert E. Owens Jr.,2020-09-23,"
有鑑於兒童發展架構作為工具與偵測發展變化的重要性，第10版將兒童語言發展的面向延伸至學齡前和學齡階段。「語用」越來越受到重視，大多數語言發展的線索就藏在對話的語境中。   如果你將來想成為一名語...more
",https://www.books.com.tw/products/0010874674?loc=P_0003_001
2,幼兒園教保行政管理與實務：幼兒教育體系與運作觀點,"廖藪芬,張翠娥,蔡春美,陳素珍,陳美君",2020-09-17,"
本書以幼托整合後最新公布的法規，說明幼兒園及其相關的行政管理與實務，內容包括幼兒園立案、教保服務人員任用、財務管理、環境營造、課程教學、健康安全、輔導、評鑑、社區資源與親職教育等，期望幼教系...more
",https://www.books.com.tw/products/0010871319?loc=P_0003_002
3,兒童戲劇(修訂一版),"David Wood,Janet Grant",2020-09-16,"
「兒童戲劇」不但是一種獨特的藝術形式，將其融入於課程之中亦可輕易達到寓教於樂的功效!    兒童純潔的心靈，最容易受到戲劇影響而感動，透過兒童戲劇的演出可以引導兒童模仿與學習，從而栽培其道德良知...more
",https://www.books.com.tw/products/0010871855?loc=P_0003_003
4,幼兒教保概論-近代幼兒教育思潮的剖析：近代幼兒教育思潮的剖析,魏美惠,2020-09-15,"
本書內容逐一介紹幼教重要議題，包括臺灣幼教生態環境的變遷、國內幼兒教育的發展與相關政策的實施、幼兒教保工作之內涵與教保服務人員之專業成長，並從歷史宏觀的角度探討西方幼兒教育演進的軌跡。同時，...more
",https://www.books.com.tw/products/0010870858?loc=P_0003_004
5,幼兒園、家庭與社區,葉郁菁,2020-09-14,"
幼兒園、家庭與社區，與幼兒的發展形成緊密的系統。幼兒園教保人員，不僅需要瞭解幼兒成長的環境，更需要和系統中的重要他人建立夥伴關係。    本書的特色為橫跨教育、社會領域，兼採理論與實務運用，納入...more
",https://www.books.com.tw/products/0010870818?loc=P_0003_005
6,感覺整合與兒童發展：理論及實用的活動與遊戲(第二版),羅鈞令,2020-06-17,"
感覺整合是大腦接收及組織各種感覺訊息，發展知覺、動作及認知的過程，與兒童發展息息相關，本書主要目的是要幫助讀者從感覺整合的觀點看待兒童發展。第一部分主要介紹感覺整合理論，包括各種學習能力發展...more
",https://www.books.com.tw/products/0010862127?loc=P_0003_006
7,幼兒STEM教育：課程與教學指引,周淑惠,2020-06-05,"
本書《幼兒STEM教育：課程與教學指引》彙整了幼兒STEM教育的相關文獻，並且綜合敝人的STEM教育工作坊、大學教學、幼兒園輔導及機構參訪等相關經驗，提出「幼兒STEM教育開展之軟硬體基礎」、「幼兒STEM教育...more
",https://www.books.com.tw/products/0010861050?loc=P_0003_007
8,幼兒情緒及行為問題手冊：學齡前有效介入方案,"梅麗莎．霍蘭德,潔西卡．曼伯格,葛蕾琴．金佩爾．皮考克",2020-06-03,"
本書深入討論三至六歲兒童最常見的情緒與行為問題，不僅提供教育和臨床情境中實用、有效且便於實施的介入方案，也教導臨床專業人員如何與家長攜手處理問題，以及如何按部就班地評估與治療行為規範問題、焦...more
",https://www.books.com.tw/products/0010860843?loc=P_0003_008
9,幼兒學習區(角)情境規劃的學理與實務,黃世鈺,2019-12-25,"
本書從對幼兒學習區(角)的認識談起，並以作者在臨床教學上，曾經參與協助修正的實例，依序舉例說明規劃幼兒學習區(角)的方法與要領，期盼透過文圖並茂的陳述，能有助於關懷幼兒成長的家長、幼教師、相關從...more
",https://www.books.com.tw/products/0010845481?loc=P_0003_009
10,幼兒教保概論(5版),盧美貴,2019-11-25,"
本書係以熱門的生態環境及社會文化脈絡的發展，來看臺灣教保的變遷為「經」；「幼兒教育及照顧法」的公布施行，以及「後幼照法」時代幼兒學習主體與圖像，和關鍵人物「教保服務人員」的專業素養與生涯的精...more
",https://www.books.com.tw/products/0010843482?loc=P_0003_010
