,書名,作者,出版日期,內容介紹,網址
1,素養教育：成就每一個孩子(12年國教108課綱的願景與挑戰),韓國棟,2020-10-27,"
這是一個翻轉臺灣教育的新契機!   讓家長卸下心頭重擔，讓孩子放下書包及課本負擔，以人為本，成就自己。   當教育新頁已重新開啟，您與孩子已經準備好自信的做最好的自己了嗎?   認識十二年國教，35則必...more
",https://www.books.com.tw/products/0010872758?loc=P_0003_001
2,華人生涯理論與實踐：本土化與多元性視野,,2020-10-26,"
華人生涯夢想的實現不僅是個人的願景，也必須調和家族或社會的期待。深層文化中積澱自儒家思想的集體主義，強調個人實踐的目標是由自身外部向內關照的取向，個人必須「同時」考慮在家族、社會制度與文化系...more
",https://www.books.com.tw/products/0010874947?loc=P_0003_002
3,邊緣教育學：寫給教育新鮮人的導讀書,李淑菁,2020-10-25,"
不同於主流教育學教科書的呈現方式，本書嘗試使用淺白的科普文字，讓初入教育領域的學子透過《邊緣教育學》概念的理解，解構自己一直以來的想當然耳，特別是絕大多數一直處於社會優勢位置的我們，如何學習...more
",https://www.books.com.tw/products/0010873811?loc=P_0003_003
4,教育政策與發展策略 (吳清基教授七十大壽論文集),吳清基,2020-10-10,"
本書是為恭賀吳清基教授七十大壽而特別出版之專書，為表彰吳清基教授對教育的卓越貢獻，以「教育政策與發展策略」為主題，其授業門生及教育夥伴等共同撰寫此書以資慶賀。    教育政策與發展策略必須與時俱...more
",https://www.books.com.tw/products/0010873802?loc=P_0003_004
5,高教深耕的課程教學之實踐與創新,"丁一顧,劉秀曦,吳俊憲,吳錦惠,張民杰,李宜麟,李隆盛,楊思偉,潘世尊,王孝維,鄭志文,陳樹人,黃志雄,黃政傑",2020-09-25,"
為協助大學建立自我定位及發展特色，教育部自2003年起陸續推動多項競爭型計畫，例如邁向頂尖大學計畫、獎勵大學教學卓越計畫、推動典範科技大學計畫等，希冀全面提升大學品質，協助大學發展特色。因應教育...more
",https://www.books.com.tw/products/0010871365?loc=P_0003_005
6,中小學課綱之國際經驗,"侯一欣,張華,李子建,林子斌,林永豐,梁忠銘,葉蔭榮,謝金枝,霍秉坤,高新建,黃政傑,黃素君",2020-09-25,"
「課程綱要」是指通過權責機構制定或修訂課程規範文件，要求所屬中小學校實施之課程。「課程綱要」在學校教育的推動及改革上扮演相當關鍵的角色，也代表課程發展與改革的方向。   本書除了由黃政傑終身榮...more
",https://www.books.com.tw/products/0010871376?loc=P_0003_006
7,教育心理學,Anita Woolfolk,2020-09-23,"
從《教育心理學》第一版問世以來，這一領域有了許多令人興奮的發展。第十四版繼續強調兒童發展、認知科學、學習、動機、教學和評量等方面的研究對教育的啟示與應用。在本書中，理論與實務並非分開討論，而...more
",https://www.books.com.tw/products/0010874672?loc=P_0003_007
8,生涯規劃與職涯發展,王淑俐,2020-09-18,"
「生涯規劃與職涯發展」對每個人都不陌生，國高中皆有相關課程，但是為什麼到了大學、研究所階段，甚至就業，還要繼續討論這個主題?因為在學時對未來的困惑以及就業後可能會遇到的挫折，都需要充分準備才...more
",https://www.books.com.tw/products/0010871422?loc=P_0003_008
9,無聲的抗議：青少年的心理困擾,"林少峯,黎子良",2020-09-18,"
青少年要應付成長期的各種挑戰，面對的困難和心理困擾不在少數。   家長、老師和青少年工作者如及早發現孩子的困擾或壓力來源，可協助他們改善過來，避免問題加劇。    本書針對十項青少年常見的心理困擾...more
",https://www.books.com.tw/products/0010871434?loc=P_0003_009
10,諮詢的理論與實務(第二版),"鄔佩麗,黃兆慧",2020-09-14,"
本書第二版內容，仍依循第一版之形式展現，除了就諮詢技術在助人工作的發展歷史做詳細說明外，並將諸家學者對諮詢所提出的理論加以介紹，以利於讀者能從中尋找出此技術的核心觀點與演進之脈絡，從而衡量該...more
",https://www.books.com.tw/products/0010870816?loc=P_0003_010
