,書名,作者,出版日期,內容介紹,網址
1,化學,,2021-01-01,"
本書編譯自 Timberlake 第六版，內容完整且生動豐富，除了包含簡明扼要、容易學習的基本化學知識外，更涵蓋了修習化學科目的許多重要觀念，在多樣及多元的內容呈現上，使學習更有效率。    本書除了有彩色...more
",https://www.books.com.tw/products/0010870840?loc=P_0003_001
2,圖解食品化學,顧祐瑞,2020-10-28,"
★本書在使讀者了解食品主要結構和營養功能組分、影響食品品質的重要物質、食品添加物、常食用的肌肉和植物組織。 ★本書巧妙地將每一個單元分為兩頁，一頁文一頁圖，左右兩頁互為參照化、互補化與趣味化，...more
",https://www.books.com.tw/products/0010874203?loc=P_0003_002
3,基礎有機化學 McMurry 9/e,,2020-09-09,"
「基礎有機化學」主要探討化學分子的立體結構、反應性以及不同有機化合物在反應進行過程中化學鍵如何生成與斷裂，其所包含之知識可以做為探索各種不同化學相關學門研究的基礎，也是化學、化學工程、材料科...more
",https://www.books.com.tw/products/0010873313?loc=P_0003_003
4,物理化學：(熱力學與動力學篇),"黃定加,黃玲媛,黃玲惠",2020-06-12,"
本書中之論述力求簡明扼要、循序漸進，且於書中多舉例題以提昇學習的效果，並於各章的後面均附習題，以備讀者自行研習解答，增進對於有關理論的瞭解。本書中之專有名詞的後面，均附其對照的英文名詞。本書...more
",https://www.books.com.tw/products/0010863338?loc=P_0003_004
5,化妝品概論與應用(二版),"孔皓瑩,李慶國,陳麗香",2020-06-10,"
本書提供讀者快速了解化妝品的成分原理及配方實例，包含「化妝品與化學」、「化妝品原料」、「化妝品生理與安全」、「化妝品分類與實例」及「化妝品的最新發展趨勢」等五個部分。主要針對化妝品的定義分類...more
",https://www.books.com.tw/products/0010861466?loc=P_0003_005
6,物理化學實驗,"劉宗宏,程桂祥,郭偉明",2020-05-01,"
化工是一門實驗的科學，它結合了化學、物理、數學與工程，同時含有許多實驗與實習的課程。本書實驗教材的編寫考慮了學生的程度，包含豐富的圖表說明，以及詳細的格式提供學生參照，並以循序漸進的方式，啟...more
",https://www.books.com.tw/products/0010870833?loc=P_0003_006
7,物理化學,高憲明,2020-01-25,"
本書將物理化學概分成熱力學(第1章至第8章)、量子化學(第9章至第14章)和動力學(第15章至第17章)三大部分。作者透過多年教授物理化學之豐富經驗，並結合日常生活之相關知識，完成了本書的撰寫。內容深入淺...more
",https://www.books.com.tw/products/0010847851?loc=P_0003_007
8,放射化學(第四版),"葉錫溶,蔡長書",2020-01-15,"
本書為兼顧理論與實用，並考量內容的廣度和深度，適用於大專院校原子科學系及放射技術、醫學影像、化學、生技、醫檢、核工等相關科系做為課程教科書，亦適用於醫事放射師國考。章節設計上力求內容簡明嚴謹...more
",https://www.books.com.tw/products/0010855023?loc=P_0003_008
9,新能源材料與器件,"王新東,王萌",2019-12-10,"
本書全面系統闡述了新能源材料與器件，包括能源物理化學、能源存儲與轉化原理、關鍵材料與器件、發展概況和應用前景。在風能、太陽能發電、二次電池、超級電容器、燃料電池和金屬-空氣電池等材料製備與器...more
",https://www.books.com.tw/products/0010845501?loc=P_0003_009
10,數學(第二版),"謝哲仁,陳進春",2019-06-20,"
本書內容屬於基礎性的數學觀念，在用詞上力求淺顯易懂，並以「教學式」的方式呈現教材內容，期盼經由教師講解及例題與習題的演練，能啟發學生認知、理解、分析與計算的能力。   全書共十一章，分別講述多...more
",https://www.books.com.tw/products/0010826835?loc=P_0003_010
