,書名,作者,出版日期,內容介紹,網址
1,當代亞洲民族問題,"劉堉珊,包修平,唐玉禮,孫采薇,崔琳,崔進揆,張景安,張碧君,徐雨村,方天賜,施欣妤,林開忠,藍美華,趙中麒",2020-09-10,"
♦解析「亞洲」各國歷史文化與政經利害，洞悉亞洲各國當今局勢。   ♦關心亞洲的紛擾：族群衝突的興起，從中東或西亞的庫德族和ISIS問題，到南亞、東南亞各國各族群有那些問題，當有了解，才能知其安危。   ...more
",https://www.books.com.tw/products/0010871390?loc=P_0003_001
2,俄羅斯東向政策下之東亞區域局勢：機遇與挑戰,連弘宜,2020-09-10,"
本書主要在談論俄羅斯的東向政策，以及與東亞國家之間的關係。俄羅斯民族起源於歐洲東部，17世紀中葉開始便有數次較具規模的人民向東探險及定居的行動。19世紀中葉開始俄羅斯帝國官方有計畫性向東經略及開...more
",https://www.books.com.tw/products/0010872872?loc=P_0003_002
3,國際關係理論入門(二版),"周嘉辰,唐欣偉,張廖年仲,張登及,曾怡仁,林炫向,楊昊,王俊評,盧業中,莫大華,蔡育岱",2020-09-10,"
國際關係既是一個古老的現象，又是一門與時俱進的學科。它的內容牽涉廣泛，它的發展瞬息萬變。它看似與常人的生活距離遙遠，卻又與地球上每一個人的切身利益息息相關。如何對領域這麼廣闊卻又關係重大的議...more
",https://www.books.com.tw/products/0010871363?loc=P_0003_003
4,兩韓競合與強權政治,李明,2020-08-10,"
名人推薦   朝鮮半島事務不僅是李明教授在學術生涯上的「初戀」，從他數十年來持續不斷關注、評析朝鮮半島事務及相關地緣政治來看，韓國事務仍然是他學術上的「摯愛」。《兩韓競合與強權政治》又是一個愛...more
",https://www.books.com.tw/products/0010867434?loc=P_0003_004
5,外交與國際談判的藝術與智慧,"劉大年,張銘忠,徐慧怡,李俊毅,河凡植,洪德欽,王冠雄,王樂生,王震宇,申佩璜,羅至美,陳在方,陳彥豪,麥瑞禮,黃兆揚",2020-07-25,"
國立臺北大學智庫中心於2018年成立後，藉由跨域合作之契機，順利籌組「外交與國際事務研究群」，邀請國內外共計十五位外交實務、國際法、及國際關係領域之講座擔任主筆，藉此將我國的外交談判實務案例推廣...more
",https://www.books.com.tw/products/0010869476?loc=P_0003_005
6,中華民國對美學術外交(1966-1975)：從國際關係研究所到政大國關中心,朱佑恩,2020-06-15,"
國內談論台美關係或兩岸關係的著作汗牛充棟，然而本書具有的三大特色使其值得一讀：第一、作者尋遍台北各檔案館藏機構，系統性整理我國冷戰時期約十餘年份的檔案，使讀者能夠一窺中華民國總統府與國民黨中...more
",https://www.books.com.tw/products/0010860531?loc=P_0003_006
7,南京國民政府參與國際聯盟的歷程(1928-1937),許峰源,2020-06-15,"
以往，南京國民政府與國際聯盟的討論，多偏重九一八事變後中國與日本在國際聯盟的論戰，缺乏中國主動參與該國際組織的視角。本書著重南京國民政府與國際聯盟的互動關係，採時間發展為經、事件更迭為緯方式...more
",https://www.books.com.tw/products/0010860533?loc=P_0003_007
8,政權交替與外交轉型,"呂慎華,尤淑君,應俊豪,洪紹洋,王文隆,蔡振豐,袁興言,陳立樵,黃文德",2020-04-01,"
本書題為「政權交替與外交轉型」，旨在突顯近現代中國的內政與外交相互影響的關係，而且也牽連對外諸國的談判，甚至戰爭。近現代中國在幾次的政權轉移之下，也牽連到自身國際地位的改變，進而衍生出區域性...more
",https://www.books.com.tw/products/0010863637?loc=P_0003_008
9,寰宇局勢與世界文化,朱介國,2020-03-01,"
本書以「寰宇局勢」與「世界文化」為兩大主軸，引導讀者培養基本國際觀，並理解世界文化的多元本質，能夠以國際思維去面對人生及世界，並能欣賞各種文化。    「寰宇局勢」從國際關係理論進入，加入了現實...more
",https://www.books.com.tw/products/0010852264?loc=P_0003_009
10,指向永久和平的世界體系：兼論東亞秩序與台灣前途,包淳亮,2020-01-10,"
本書希望有利於人們客觀的、有歷史縱深的看待世界的演變。全書可分成三個部分，前四章是以世界體系為重心，五至八章以東亞秩序為重心，九至十二章以台灣與兩岸關係為重心。當前世界變化的主要動力就在中國...more
",https://www.books.com.tw/products/0010845456?loc=P_0003_010
