,書名,作者,出版日期,內容介紹,網址
1,民意調查(5版),"俞振華,洪永泰,游清鑫,盛杏湲,蔡佳泓,鄭夙芬,陳義彥,陳陸輝,黃紀",2020-10-10,"
民意在民主政治的過程中，是不可或缺的重要成分。一個民主國家必然會注意民意的動向，了解民眾的需求，探索民眾對政策的看法，以及追蹤民眾對施政的評價，以作為擬定公共政策、調整施政方向、改善國家治理...more
",https://www.books.com.tw/products/0010872865?loc=P_0003_001
2,地方政府與政治Ⅱ：施政滿意度、公部門決策、績效管理與策略規劃之研究,黃國敏,2020-09-30,"
本書單元一有關縣市長施政滿意度的論文包括地方政府施政滿意度之探討：苗栗縣政府一百年個案研究、The Study of Customer-oriented Governmental Performance: Administrative Sa......more
",https://www.books.com.tw/products/0010871047?loc=P_0003_002
3,中國歷代智庫體制之研究：隋唐前的治理知識市場,林忠山,2020-09-25,"
中國文化的博大精深，在於其歷史悠久，由眾多賢智者不斷精心累積而成。中華文明就是這些中國文化影響下的創作產品，尤其是賢智菁英領導出來的產品，更具代表性。   中國文明之瑰寶表現在治理方面，即是中...more
",https://www.books.com.tw/products/0010872889?loc=P_0003_003
4,全球秩序的重組：空間、認知與時間之分歧,林子立,2020-09-25,"
在許多人為自由主義國際秩序是否已經名存實亡而爭執不休的時候，本書提出一個有趣的論點，為什麼秩序的締造者──美國，與秩序的既得利益者──中國，都想要改變此一秩序?協同美國共同創建此秩序的歐盟，在歷...more
",https://www.books.com.tw/products/0010873813?loc=P_0003_004
5,當代比較政治：一種世界觀(上)(二版),"史壯姆,墨寧,戴爾頓,鮑威爾",2020-09-25,"
我們很榮幸能夠介紹最新版的《當代比較政治：一種世界觀》。在過去四十幾年來，這本書一直是比較政治領域最有影響力的教科書之一。世界持續增加彼此依存。學生們接觸到更多的文化與社群，而全球發生的事件...more
",https://www.books.com.tw/products/0010873810?loc=P_0003_005
6,法國政府與政治(5版),張台麟,2020-09-10,"
法國是推動歐洲整合的火車頭之一，在其「雙首長制」、「政治運作」與「政黨政治」等方面都具特色。本書分「政府」、「選舉」及「政黨」三篇，依序就第五共和的政治制度來分析，書後附有最新選舉投票結果及...more
",https://www.books.com.tw/products/0010871392?loc=P_0003_006
7,政治學(8版),"冷則剛,劉嘉薇,吳重禮,楊日青,游清鑫,盛杏湲,耿曙,葉浩,蔡中民,郭承天,關弘昌,陳義彥,陳陸輝,隋杜卿,高永光",2020-09-10,"
本書集結十四位老、中、青三代政治學者各就專精研究之主題，細心撰寫而成，內容廣博且具深度。全書有四大部分，第一部分介紹政治學新的研究發展趨勢，包括公共政策與政治經濟學；第二部分介紹政治制度，包...more
",https://www.books.com.tw/products/0010872849?loc=P_0003_007
8,考銓制度專題研究,蔡良文,2020-08-25,"
本書探究考銓法制之變革，以及策略人力資源管理思潮之流變，研析與見證國家考試暨文官制度的變與不變之理哲，並依次討論其體制、政策的變革發展等議題。另附易理年運與人事治理等觀察，分析了解各該年運本...more
",https://www.books.com.tw/products/0010869477?loc=P_0003_008
9,資訊時代下的世界新秩序、新典範與新治理,"吳玉山,唐豪駿,林建甫,林文程,楊鈞池,沈玄池,王順文,蔡季廷,蔡政文,蕭全政,趙永茂,陳奕璇,陳文生,高大宇,黃富源",2020-08-10,"
在國際關係的演進過程中，新情勢或網絡的改變即可能產生新的制度與典範，如西方的主權國家體系、中國與伊斯蘭文明，因應國際關係的演進，在歷史上皆有其自己詮釋世界秩序的方式，並呈現在理論層次上，如霸...more
",https://www.books.com.tw/products/0010866188?loc=P_0003_009
10,比較監察制度,"周陽山,李文郎,王增華,馬秀如",2020-07-24,"
過去30年間，作者針對各國監察制度，進行了廣泛的研究與探索，也撰寫了一系列的論文與報告。現在經過整理丶分析丶重寫和校對，呈現的是一本以台灣的監察院為核心，進一步探討中國大陸國家監察委員會丶瑞典...more
",https://www.books.com.tw/products/0010865047?loc=P_0003_010
11,地方政府與自治(修訂二版),丘昌泰,2020-07-10,"
《地方政府與政治》描述臺灣實施地方自治的法制規範與運作原理，本書不僅涵蓋傳統的「法制途徑地方自治」，這是過去多年來的考試重點；而且也包括最新的「治理途徑地方自治」，這是新的命題方向。    章節...more
",https://www.books.com.tw/products/0010863570?loc=P_0003_011
12,通向現代財政國家的路徑：英國、日本和中國,和文凱,2020-07-01,"
何為現代財政國家?要具備怎樣的要素，或是要避免哪些陷阱，才能向現代財政國家邁進? 為什麼現代財政國家在英國和日本出現，而中國卻沒有呢?   現代公共財政制度的興起使政治經濟領域發生了革命性的變化。...more
",https://www.books.com.tw/products/0010867871?loc=P_0003_012
13,歐美民主憲政之多樣風格(上下)：比較政府與政治之國別研究,王晧昱,2020-06-15,"
本書對歐美民主憲政的先進國家政治體制，進行「國別研究」(country studies)，包括英國、加拿大、美國、法國、德國、義 大利、瑞士、比利時、瑞典等國，另加歐洲聯盟的憲政發展(雖然歐盟還不是一個國家，...more
",https://www.books.com.tw/products/0010860595?loc=P_0003_013
14,比較憲政工程：半總統制的次類型：總統國會制和總理總統制的憲政運作,蔡榮祥,2020-06-10,"
本書的特色是比較半總統制國家兩種次類型：總統國會制和總理總統制的憲政運作，並透過台灣的個案和其他半總統制國家進行橫向比較來釐清比較憲政工程的重要梗概和提供良善憲政運作的處方。...more
",https://www.books.com.tw/products/0010861460?loc=P_0003_014
15,國會議事策略101 (二版),周萬來,2020-05-25,"
本書作者從事議事工作將近40年，就其實務體驗所得，採用制度研究途徑及案例分析方法，從議會會期、議案提出、議案討論、議案表決、議案協商、議案延緩及議會監督等面向，連結國會制度與議事規範，並擷取具...more
",https://www.books.com.tw/products/0010861461?loc=P_0003_015
16,憲政與國家發展：總統制?內閣制?雙首長制?,黃炎東,2020-05-01,"
憲法為國家的根本大法，其制定的主要目的在於維護國家主權的完整與保障人民的基本權利，我國現行的憲政體制歷經七次的修憲後，已從原屬「修正式的內閣制」，改為所謂的「雙首長制或半總統制」，但我們目前...more
",https://www.books.com.tw/products/0010860149?loc=P_0003_016
17,考銓政論：國家考試暨文官制度興革,趙麗雲,2020-03-05,"
...more
",https://www.books.com.tw/products/0010853964?loc=P_0003_017
18,解讀政策評估：領導者的決策心法,"曾冠球,江明修",2020-02-25,"
本書有三大特色：第一，這是坊間少見的政策評估專書；第二，系統性介紹政策評估的知識架構；第三，搭配當前我國政策評估實務―個案計畫審議―的評析，有助於讓讀者了解概念與實務的關連性。整體而言，本書協...more
",https://www.books.com.tw/products/0010851290?loc=P_0003_018
19,邁向進步效能的政府：組織改造紀實,呂學樟,2020-02-20,"
國家要邁向進步的政府，就必須有效率及效能地為民眾服務，在進入AI工業4.0的現代社會，政府如果不能即時地反應民眾需求，將失去民眾的信任!尤其，龐大的國家機器要運作，強化行政效能的首要前提及基礎，一...more
",https://www.books.com.tw/products/0010849986?loc=P_0003_019
20,十字路口的知識份子：中國知識工作者的政治變遷,郝志東,2020-01-10,"
這是一部知識分子政治社會學的書，研究了當代中國知識分子的三個群體或者說三種角色：有機、批判與專業，討論了他們的成功、失敗、矛盾的認同、倫理困境，以及知識分子作為一個階級的可能性。這些都是理想...more
",https://www.books.com.tw/products/0010845454?loc=P_0003_020
21,政治學(五版),薩孟武,2019-12-27,"
凡是一種著作，既加上「學」之一字，必有其中心觀念。沒有中心觀念以聯繫各章節，不過雜燴而已。本書是以統治權為中心觀念，採國法學的寫作方式，共分為五章：一是行使統治權的團體——國家論；二是行使統治...more
",https://www.books.com.tw/products/0010844574?loc=P_0003_021
