,書名,作者,出版日期,內容介紹,網址
1,行政法之理論與實用(增訂十六版),"吳庚,盛子龍",2020-10-23,"
《行政法之理論與實用》一書，其中「理論」是指中外最新之學說(以通說為主)、立法例之解說；「實用」則是以司法院大法官解釋及各級行政法院有關裁判見解為敘述重點；又因我國主要行政法典類多襲自德國，故...more
",https://www.books.com.tw/products/0010874734?loc=P_0003_001
2,土地法(第四版),謝哲勝,2020-10-19,"
近幾年與土地法相關的新修法律和實務見解，都對社會產生極重大的影響，包括所得稅法有關房地合一稅、國土計畫法、都市更新條例、租賃住宅市場發展及管理條例、實價登錄2.0等等，亦均造成很大爭議，著者為...more
",https://www.books.com.tw/products/0010873989?loc=P_0003_002
3,商事法,吳博文,2020-10-16,"
本書內容涵蓋最新修法資料、實務見解及學者意見，以及商事法中重要法律概念之名詞釋義，如公司法之「黃金表決權」、「複數表決權」、「累積投票制」、「深石原則」或報載所稱之「肥貓條款」、「大同條款」...more
",https://www.books.com.tw/products/0010873467?loc=P_0003_003
4,死刑的重量：重大刑事案件的量刑辯護與挑戰,"李宣毅,林俊宏,林慈偉,林欣萍,翁國彥,薛煒育,陳奕廷,陳威延",2020-10-15,"
本書特色    在台灣，廢除死刑至今仍是未竟之業，自兩公約施行法公布施行以來，將國家更積極的人權保障義務帶進個案，對我國死刑案件之量刑有其影響力；然而，死刑量刑之準則及程序的保障，舉凡量刑因素、...more
",https://www.books.com.tw/products/0010874157?loc=P_0003_004
5,沒收新制(五)：沒收實例解析,"吳耀宗,惲純良,朱庭儀,李聖傑,林鈺雄,楊雲驊,潘怡宏,王士帆,王玉全,許澤天,許絲捷,謝人傑,連孟琦,陳信安,陳書郁,高世軒,黃士元,黃彥翔",2020-10-01,"
經濟犯罪，經濟解決!「刑法百年變革」的我國沒收新制，從傳統刑罰論轉向經濟刑法的制裁手段，同時也開啟了「經濟刑法的新紀元」，深深影響我國整部刑事制裁體系及訴訟程序。但欲澈底剝奪不法利得、真正實...more
",https://www.books.com.tw/products/0010870123?loc=P_0003_005
6,法學概論(三版),陳銘祥,2020-10-01,"
本書是根據傳統法學緒論教科書之架構，除了傳統法學緒論教科書之內容外，還增加了現行主要法律的簡介說明，初習法律者在學習法律的基本原理、原則後，可以參閱現行主要法律的內容，互為印證。對參加國家考...more
",https://www.books.com.tw/products/0010871080?loc=P_0003_006
7,社會法(三版),"吳明孝,孫迺翊,張桐銳,張道義,李玉君,林倖如,林宏陽,林炫秋,林谷燕,簡玉聰,蔡維音,蔡茂寅,謝榮堂,邵惠玲,郝鳳鳴,郭明政,鍾秉正,陳竹上",2020-10-01,"
本書為國內第一本針對社會安全制度相關之憲法、法律制度與法政策背景作體系性介紹的教科書，由社會法領域學者群策群力共同完成。本書共十八章，體系安排上分為總論、各論與救濟三篇：總論涵蓋社會安全制度...more
",https://www.books.com.tw/products/0010871309?loc=P_0003_007
8,國際私法(六版),"吳光平,柯澤東",2020-10-01,"
國際私法為涉外民商事件法院或仲裁管轄解決紛爭之法律適用方法與紛爭解決機制，為頻繁涉外私生活法律秩序於國際、亞太、兩岸關係發展上，不可或缺之學問。    本書五版分為五篇，除對國際私法目的、原理、...more
",https://www.books.com.tw/products/0010872493?loc=P_0003_008
9,民事訴訟法基礎論(十二版),姜世明,2020-10-01,"
本書共分為二十章，對民事訴訟法之課題擇其重點，予以說明。其乃著重在對基本論之探討，於憲法原則及民事程序法之發展關係、處分權主義及辯論主義之流變，有較為詳細之介紹。本書對於現今民事訴訟法學處於...more
",https://www.books.com.tw/products/0010872494?loc=P_0003_009
10,地方制度法論(三版),黃錦堂,2020-10-01,"
地方自治為憲法所保障的制度。我國直轄市、縣市人口面積達相當程度，採四年一次民主選舉及雙元分立之府會體制，相關法制與配備健全，地方事務有待積極推展，所以政策上應朝向地方分權，但另一方面，也有地...more
",https://www.books.com.tw/products/0010873408?loc=P_0003_010
11,證券法規(十一版),賴源河,2020-10-01,"
適合初學者理解的入門書   證券法規內容極為繁複，初學者不易理解，故本書刪除部分無涉於實務探討之內容，以平易簡單的筆觸，提網挈領，帶領讀者進入證券法學殿堂。    兼顧理論與實務的一本好教材   以證...more
",https://www.books.com.tw/products/0010873412?loc=P_0003_011
12,法律倫理學(六版),姜世明,2020-10-01,"
本書區分專業倫理學概說、法官倫理、檢察官倫理及律師倫理四區塊加以論述，究其倫理根源，並對專業倫理公信不彰成因加以檢討，發掘巨塔下之陰影，並提出改善之道。本書對於法官審判獨立、中立；檢察官之檢...more
",https://www.books.com.tw/products/0010873419?loc=P_0003_012
13,行政法基本十講(十版),李建良,2020-10-01,"
行政法內容龐雜、概念繁多、理論抽象，行政法規又多如牛毛、變動頻仍，初學者常感瞭解不易，難以入門。本書嘗試用較為淺顯的方式，逐講解說行政法的基本概念與原則，並輔以實例及圖示，期有助於初學者建立...more
",https://www.books.com.tw/products/0010871303?loc=P_0003_013
14,企業併購理論與實務,"周振鋒,方嘉麟,朱德芳,林進富,樓永堅",2020-10-01,"
內容架構分為兩大部分，第一部分著重理論介紹，非單純法條釋義，不僅涵蓋市場面因素，且縱觀過去十五年併購類型的變化，變化所由產生的因子，以及對社會的衝擊，並試圖自過去演變分析未來的修法趨勢及類型...more
",https://www.books.com.tw/products/0010871305?loc=P_0003_014
15,台灣法律史概論(六版),王泰升,2020-10-01,"
本書從原住民族自治時代的原住民法談起，經荷西統治及鄭治時期的複數法律文明並存，講到清治時期的傳統中國法獨大，並於掌握傳統中國法的特質後，論述清治台灣行政組織和司法運作以及當時的「民事」法內涵...more
",https://www.books.com.tw/products/0010873402?loc=P_0003_015
16,憲法訴訟(二),楊子慧,2020-10-01,"
本書研究主題為司法院大法官釋憲制度及釋憲實務，前者含括憲法訴訟法引進的德國裁判憲法審查制度之闡釋、憲法及憲法訴訟法架構下司法權應基於制度上分工以克盡護憲之責、我國大法官釋憲制度之現況及司法化...more
",https://www.books.com.tw/products/0010873416?loc=P_0003_016
17,個別的勞動關係法：民法僱傭契約與勞動基準法基礎篇(五版),丁嘉惠,2020-10-01,"
本書淺顯易懂從民法之債的關係敘述規律私人間法律關係的個別勞動關係法(或稱個別勞動法)主軸，民法的僱傭契約與特別法勞動基準法的勞動契約。基於私法自治，契約自由及國家立法最低勞動條件保護立場，藉德...more
",https://www.books.com.tw/products/0010873925?loc=P_0003_017
18,土地法規(12版),許文昌,2020-10-01,"
凡 例   本書收錄至109年9月最新之法規，如下：   ‧109.08.14修正公布之《住宅租賃定型化契約應記載及不得記載事項》   ‧109.08.14修正公布之《住宅租賃契約應約定及不得約定事項》   ‧109.05.13修正公布...more
",https://www.books.com.tw/products/0010871073?loc=P_0003_018
19,土地稅體系,許文昌,2020-10-01,"
不動產交易必定涉及稅賦。然，與不動產有關之稅賦錯綜複雜，致從業者難以一窺全貌。本書特地將我國不動產稅作有系統的介紹，並舉實例演算，務使政策、法規、實務三者融為一體。    本書是許文昌老師教學多...more
",https://www.books.com.tw/products/0010871312?loc=P_0003_019
20,新法學英文攻略 美國最高法院經典案例：著作權法篇,林利芝,2020-09-30,"
本書特色    本書選定「美國著作權法」作為收錄案例的軸心，挑選美國最高法院歷年來所做影響著作權法制度改革的重要判決，以幫助讀者在學習法學英文之同時，也能知悉美國著作權法的重要法理、原則和標準。...more
",https://www.books.com.tw/products/0010874146?loc=P_0003_020
