,書名,作者,出版日期,內容介紹,網址
1,微生物學實驗(第六版),"劉昭君,吳禮字,方世華,李哲欣,李珍珍,洪千惠,賴志河,鍾景光,陳筱晴,項千芸",2020-04-17,"
本書由具有多年授課經驗的微生物學教師，依據醫護相關科系的教學需求，精心挑選具有代表性且精簡的重要實驗，內容涵蓋：微生物基本技術、免疫學、細菌學、黴菌學、病毒學、細菌遺傳學等六個領域的實驗。各...more
",https://www.books.com.tw/products/0010857609?loc=P_0003_001
2,臨床微生物學：細菌與黴菌學(7版),"吳俊忠,吳雪霞,周以正,周如文,孫培倫,廖淑貞,張凱誌,張益銍,張長泉,彭健芳,洪貴香,禇佩瑜,胡文熙,蘇玲慧,謝素娥,鄧麗珍,黃小萍",2019-10-25,"
本書為淺顯易懂的中文臨床微生物學入門必備書。   新版的臨床微生物學與時俱進，加入不少新資訊，不僅適合醫技系初學者，也適合醫學系學生、醫院醫檢師、感染科醫師、感控人員及相關醫護人員學習使用，相...more
",https://www.books.com.tw/products/0010839611?loc=P_0003_002
3,圖解土壤微生物,橫山和成,2019-08-10,"
★從土壤中的結構、培養製備到照顧自家菜園皆有詳細圖文介紹。   本書介紹土壤微生物的種類及生長、在自然界的物質循環中扮演的角色、引起的土壤傳播病害，以及不同的土壤環境對土壤微生物的影響、維持生態...more
",https://www.books.com.tw/products/0010830194?loc=P_0003_003
4,基礎微生物免疫學 9/e,,2018-12-20,"
最迅速了解整體微生物觀念的一本教科書!   基礎微生物免疫學原文是由二位具有多年教學經驗之美國微生物學者 Kathleen Park Talaro 及 Barry Chess 撰寫，內容由淺入深，涵蓋範圍甚廣，由生命現象的分子基...more
",https://www.books.com.tw/products/0010812818?loc=P_0003_004
5,環境微生物及生物處理(2版),陳宏銘,2018-10-10,"
基於污水處理廠(水資源回收中心)廠區操作維護及理念推廣之重要，必須對環境微生物之性質、生物處理之實務有基本認識，本書從水體污染、微生物之代謝及相關動力學之分析，佐以相當實務之污水處理廠之設計理...more
",https://www.books.com.tw/products/0010802894?loc=P_0003_005
6,微生物學(二版),"戴國峯,李忠信,林明鋒,林绣茹,林育興,楊續研,池宇佳,洪紹文,詹哲豪,顏瑞鴻",2018-03-02,"
本書依據「考選部命題大綱」為架構，從微生物的形態及結構，細菌生長及培養，細菌的遺傳，滅菌、消毒及抗菌治療，感染與疾病及免疫概論等基本理論做探討，承接各種重要病原菌、醫用真菌學、介於細菌和病毒...more
",https://www.books.com.tw/products/0010791830?loc=P_0003_006
7,微生物免疫學 9/e,Talaro,2018-01-01,"
全書每一章皆穿插與微生物有關之歷史事件，如重大疾病之爆發、傳染源之追蹤、遺傳疾病之基因鑑定、生物戰劑之風險、貴腐酒之意外發現等。讀者能在短期間內，了解微生物與我們的免疫系統、生活是息息相關。...more
",https://www.books.com.tw/products/0010778754?loc=P_0003_007
8,應用微生物學(六版),王三郎,2017-07-01,"
『菌材』濟濟的微生物不僅量多，而且默默的棲息於各角落。科學家們正繼續運用各種方法去發掘或改造這些優良菌材，盼能經由它們的幫助而使諸如農業、食品、特化、醫藥、環保以及能源之類的問題得以獲得解決...more
",https://www.books.com.tw/products/0010763146?loc=P_0003_008
9,微生物實驗入門和普通微生物學實驗(二版),"吳全耀,吳黃素月",2017-06-01,"
本書包含九大部分，幾乎提及所有普通微生物實驗的資料，其內容從基本的微生物實驗室及顯微鏡的瞭解、微生物實驗入門、染色法、微生物的分離、純系化及計數，進而討論微生物的生長、控制及代謝作用，並做水...more
",https://www.books.com.tw/products/0010755880?loc=P_0003_009
10,圖解實用食品微生物學,"吳伯穗,吳澄武,徐維敦,徐能振,李明清,蔡育仁,邵隆志,黃種華",2017-03-25,"
輕鬆理解理解食品微生物的發展與相關理論 以簡潔扼要的方式，清楚說明、重點整理 配合圖表輔助，加深學習記憶   近年來隨著科學不斷進步，食品微生物學得到迅速的發展，也對食品加工產生實質的影響，當大...more
",https://www.books.com.tw/products/0010747676?loc=P_0003_010
11,圖解病毒學,"劉明德,黃國石",2016-05-25,"
●以深入淺出、循序漸進的方式的與通俗易懂的語言，整體性而系統化地介紹了病毒學的基本理論、方法與技術。   ●特別凸顯出關鍵性的重點，將理論與實務做有效地整合，內容精簡扼要。   ●適用於醫護相關科系...more
",https://www.books.com.tw/products/0010716503?loc=P_0003_011
12,臭味及揮發性有機物控制,周明顯,2007-12-01,"
內容包含臭味特徵及控制概論、揮發性有機物及臭味來源、物理控制技術〈吸附、冷凝〉、焚化控制技術、生物控制技術、光電及半導體業揮發性有機物排放減量技術評估、廢水廠VOC逸散最佳可行控制技術評估、廢...more
",https://www.books.com.tw/products/0010661868?loc=P_0003_012
13,食品微生物檢驗法(大005),林阿萬,2000-05-01,"
...more
",https://www.books.com.tw/products/0010445746?loc=P_0003_013
