,書名,作者,出版日期,內容介紹,網址
1,色彩新論：從心理設計到科學應用(2版),中華色彩學會,2019-07-25,"
自古以來，色彩在各種不同的領域裡一直都是被探索、研究的對象，使得今日的我們得以充分認識色彩的種種特性，並且廣泛應用在各實務領域上，增進生活福祉、增加企業收益。   色彩是一項綜合的科學，舉凡空...more
",https://www.books.com.tw/products/0010830160?loc=P_0003_001
2,此岸彼岸：李君毅當代水墨藝術的後殖民文化思索,李君毅,2019-05-29,"
台灣擁有繁富的地質結構與沿海景觀，自然水岸與奇特地貌之美，令人驚豔，在藝術創作的探索過程中，李君毅與台灣海岸形成心靈上的契合，發展出一系列具有本土在地性意義的作品，試圖在既有的創作風格與理念...more
",https://www.books.com.tw/products/0010822575?loc=P_0003_002
3,文人山水畫與中國傳統文化研究,藤志朋,2019-05-17,"
眾所周知，山水畫是中國傳統繪畫的大宗。然而為何傳統時代的畫家們大都醉心於山水?古人通過摹山畫水，又是在追求什麼?對於這些饒有興致的問題，歷來言人人殊，各得其妙；卻又總讓人覺得未進其堂，難盡其奥...more
",https://www.books.com.tw/products/0010822712?loc=P_0003_003
4,藝術哲學,丹納,2019-04-28,"
了解歐洲藝術發展歷程必讀經典。   《藝術哲學》一書是丹納在巴黎美術學校講課時講稿的輯錄，包括文藝復興時期的義大利繪畫、尼德蘭繪畫和希臘雕塑三部分，闡述「藝術品的本質及其產生」和「藝術中的理想...more
",https://www.books.com.tw/products/0010820496?loc=P_0003_004
5,技湛中國結,陳夏生,2019-04-23,"
放眼海峽兩岸，當今結藝第一人該數浸淫結藝天地大半輩子的陳夏生。   1971年，陳夏生編出人生第一個結，近半世紀以來持續不斷精進，其創新層面不僅在於技法，更在於表現方式與線材的探索。最近10年堪稱陳...more
",https://www.books.com.tw/products/0010818887?loc=P_0003_005
6,山水傳道：中國繪畫史中的「四王傳統」,吳武林,2019-02-01,"
所謂「四王傳統」，即由「四王」——王時敏、王鑒、王翬、王原祁以及「後四王時代」——與他們有關的族系 (「小四王」「後四王」等)、弟子、再傳弟子及遠接餘緒者，共同形成的一個繪畫傳統。「四王傳統」在世...more
",https://www.books.com.tw/products/0010813699?loc=P_0003_006
7,二十世紀上半葉中國美術史學理論與方法,曹貴,2019-02-01,"
20世紀上半葉是中國社會大變革的時代，與之相伴，中國美術史學實由傳統形態向現代形態的轉型。近代美術史家或者畫家，受到日本學者、德國模式及蘇聯模式的影響，撰寫的一大批拓荒性且具有分量的中國美術史...more
",https://www.books.com.tw/products/0010813701?loc=P_0003_007
8,西方技術藝術史,仇國梁,2019-02-01,"
這是一部新藝術史，一部基於技術的西方藝術史，一部技術與藝術的關係史，一部從技術的視角重新認識西方藝術的藝術史。技術作為主要的社會生產力，成為藝術及藝術史形成、發展的根本動力。藝術是技術與精神...more
",https://www.books.com.tw/products/0010813703?loc=P_0003_008
9,當代策展藝術及實踐：身體、性別、科技(2版),陳明惠,2018-12-10,"
當代策展藝術及實踐：身體、性別、科技   這本專書集結陳明惠從2010年到2017年所策畫的8個國際藝術展覽，包含超過60位藝術家精湛的當代藝術創作。本書所收錄的展覽探討藉著科技之急速發展，科技藝術在視覺...more
",https://www.books.com.tw/products/0010808631?loc=P_0003_009
10,藝術與美學導論(第二版),郭廣賢,2018-12-04,"
誰是美學之父?法國的伏爾泰和南宋繪畫有何關聯?從中世紀到現象學，從經典的柏拉圖到當代的班雅明，藝術美學大師的思想精華，在作者筆下化為易讀扼要的篇章，讓您迅速理解!   本書突破傳統藝術欣賞的模式，...more
",https://www.books.com.tw/products/0010818388?loc=P_0003_010
11,德勒茲與藝術理論,陳瑞文,2018-10-10,"
德勒茲哲學脫離不了多元的現代藝術。回顧他的著作，可以立即看到，不僅持續注解十七(斯賓諾莎與萊布尼茲)到二十世紀的哲學(康德、柏格森與尼采)，而且投注大部分時間分析文學、音樂和戲劇、繪畫和電影。顯...more
",https://www.books.com.tw/products/0010804251?loc=P_0003_011
12,圖解現代色彩學,"蕭琇霙,陳鴻興",2018-09-28,"
「iPAS色彩規劃管理師初級能力鑑定」應考適用，中華色彩學會推薦   ●一單元一概念，迅速理解現代色彩學相關理論   ●內容完整，架構清晰，為了解現代色彩學的全方位工具書   ●圖文並茂.容易理解.快速吸收  ...more
",https://www.books.com.tw/products/0010800598?loc=P_0003_012
13,創造力與發明,蔡寬呈,2018-08-14,"
本書主要是從心理學的角度來探討創意發展與潛能相關議題。藉由回顧國內外相關文獻與實證研究，並探討認知與情意兩大研究方向，以期對創造力這複雜的現象有更進一步的認識。本書也強調創造力對成人教育的重...more
",https://www.books.com.tw/products/0010795754?loc=P_0003_013
