,書名,作者,出版日期,內容介紹,網址
1,統計學(四版),"蘇珣,陳皇宇,高菲菲",2021-01-01,"
在大數據應用及分析的時代，統計學儼然成為一門顯學，但其繁雜的公式及計算，卻讓許多初學者感受到學習的門檻而心生卻步。因而希望能提供一本具有完整架構並深入淺出的統計學專業書籍，透過各章節的引導說...more
",https://www.books.com.tw/products/0010870839?loc=P_0003_001
2,統計分析入門與應用：SPSS中文版+SmartPLS 3(PLS-SEM)(第三版),蕭文龍,2020-10-23,"
榮獲SmartPLS官方臉書推薦www.facebook.com/SmartPLS/   *新增!在論文中正確地呈現各種統計檢定的結果。   *提供SEM的演進、Formative(形成性的評估)、中介因子的5種型態、調節效果的9種型態、測......more
",https://www.books.com.tw/products/0010873632?loc=P_0003_002
3,醫護統計與SPSS：分析方法與應用(三版),"楊秋月,陳耀茂",2020-10-10,"
統計方法經常要面對數值計算，然而今日科技如此進步，已開發有各種統計軟體，學生在學習統計方法時當不至於感到霧煞煞了。    但是在學習統計方法處理問題時，最常令人感到困擾的是:   「收集到的數據要選...more
",https://www.books.com.tw/products/0010873799?loc=P_0003_003
4,統計學(概要),程大器,2020-09-21,"
有感於坊間對於高、普、特考之統計書籍寥寥無幾，且內容皆不夠充實，作者依多年來之教學經驗編寫這本針對各種不同國家考試皆可適用之重點整理，以方便讀者能快速融入統計領域、紮好根基，並能在考試中獲取...more
",https://www.books.com.tw/products/0010483056?loc=P_0003_004
5,統計學：使用Python語言,林進益,2020-09-10,"
讓統計學與Python帶你進入大數據的世界! •深入淺出講解統計學理論，循序漸進培養數據分析的能力。 •使用Python程式語言畫出各式統計圖表，習得資料視覺化的專業技能。 •透過電腦模擬統計模型，理解推導過...more
",https://www.books.com.tw/products/0010872846?loc=P_0003_005
6,基礎統計學(六版),"張文賢,方世榮",2020-09-03,"
本書內容力求精簡，納入統計學的主要基本觀念，盡可能地用簡單的圖形與文字解說，並輔以例子做說明，期能滿足初學統計學者的需求。其次，本書包含許多新觀念，都是作者於實務、教學與研究所累積之心得，在...more
",https://www.books.com.tw/products/0010870459?loc=P_0003_006
7,貝氏統計：原理與應用,邱皓政,2020-08-27,"
貝氏統計是一套以貝氏估計為核心的統計方法學，透過馬可夫鏈蒙地卡羅模擬完整呈現參數的分布狀態，藉以進行貝氏推論與決策，不僅可以應用於經典的迴歸或變異數分析，更適合社會科學研究的高階複雜統計模式...more
",https://www.books.com.tw/products/0010869539?loc=P_0003_007
8,行為科學統計學 (四版),Robert R.Pagano,2020-08-27,"
本書適合所有初學統計的讀者，即使沒有數學基礎也能輕鬆閱讀。從最基礎的敘述統計、機率原理到推論統計的基本概念，皆以最平實的敘述讓讀者能夠有深刻理解。本書將統計學和實驗方法緊密結合，展現出統計學...more
",https://www.books.com.tw/products/0010872612?loc=P_0003_008
9,R統計軟體與多變量分析,"林曉芳,陳正昌",2020-08-25,"
●當前最夯機器學習、資料探勘及巨量資料的常用技術。   ●詳細操作說明+深入淺出內容，輕鬆進行多變量分析。   ●提供授課教師、修課學生及自學讀者，最完整的基礎認識。   本書資料檔，請至本公司網站www.w...more
",https://www.books.com.tw/products/0010867427?loc=P_0003_009
10,Business Analytics: Communicating with Numbers,"Alison Kelly,Kevin Lertwachara,Leida Chen,Sanjiv Jaggia",2020-08-21,"
Provides 1-2 semesters of business analytics content that takes a holistic approach to data analytics. Includes a real l......more
",https://www.books.com.tw/products/0010869989?loc=P_0003_010
11,SPSS與量化研究(3版),凃金堂,2020-08-10,"
本書特色   ●從零基礎到扎實操作：從研究架構的導讀與資料整理，帶領讀者從基礎學習SPSS操作。   ●從論文寫作角度出發，以一個個研究實例貫穿SPSS的操作，鎖定研究生最常使用的統計方法。   ●每種統計方法...more
",https://www.books.com.tw/products/0010869468?loc=P_0003_011
12,現代統計學(二版),"林惠玲,陳正倉",2020-07-17,"
本書著重於介紹現代的統計觀念與方法，以及如何利用Excel來整理分析資料。   以個案研究引發學習動機：   由章前個案引導出本章內容與學習目的，增加學習動機。   練習題目廣泛而多元：   蒐集臺灣各個領...more
",https://www.books.com.tw/products/0010865747?loc=P_0003_012
13,多層次分析理論與HLM操作實務：含縱貫性研究與創造力應用,蕭佳純,2020-07-10,"
廣泛運用於教育、社會學、商管，及醫藥公衛領域。   全方位解析重要原理及方法，搭配具體實徵資料。   條理分明、邏輯有序，適合欲透徹理解該領域的研究者。    真實世界的複雜性，人與人互動牽扯的變數因...more
",https://www.books.com.tw/products/0010864355?loc=P_0003_013
14,圖解結構方程模式分析,陳耀茂,2020-06-28,"
本書是理解結構方程模式分析(Analysis of Covariance Structures) 並將它視為工具加以應用的圖解入門書。結構方程模式分析是在心理統計學得領域中誕生。將心理學所探討的模糊不清的事實加以定量化，作為解...more
",https://www.books.com.tw/products/0010862290?loc=P_0003_014
15,初級統計學：解開生活中的數字密碼(修訂二版),"呂岡玶,楊佑傑",2020-06-05,"
生活化   以生活案例切入，避開艱澀難懂的公式和符號，利用簡單的運算推導統計概念，最適合對數學不甚拿手的讀者。   直覺化   以直覺且淺顯的文字介紹統計的觀念，再佐以實際例子說明，初學者也能輕鬆理...more
",https://www.books.com.tw/products/0010868656?loc=P_0003_015
16,Statistical Techniques in Business & Economics (18版),"Douglas A. Lind,Samuel A. Wathen,William G. Marchal",2020-05-27,"
Statistical Techniques in Business and Economics, 18e is a best seller, originally published in 1967 to provide students......more
",https://www.books.com.tw/products/0010860523?loc=P_0003_016
17,經濟計量分析實驗,孫榮,2020-05-21,"
經濟計量分析是在經濟理論的指導下，以客觀事實為依據，運用數學和統計學方法，借助計算機技術從事經濟關係與經濟活動數量規律的研究，並以建立和應用經濟計量模型為核心的一門經濟學科。經濟計量分析是一...more
",https://www.books.com.tw/products/0010859481?loc=P_0003_017
18,Introduction to Mathematical Statistics (GE) (8版),"Allen T. Craig,Joeseph W. Mckean,Robert V. Hogg",2020-05-05,"
Comprehensive coverage of mathematical statistics – with a proven approach   Introduction to Mathematical Statistics by ......more
",https://www.books.com.tw/products/0010860503?loc=P_0003_018
19,Stata基礎操作與統計模型應用(二版),"劉彩卿,陳欽賢",2020-05-05,"
Stata為廣泛運用的統計套裝軟體，擁有完整的官方教學資源與簡易的操作指令，不僅適合數據分析的新手，對於資深研究員亦極為助益。新近因大數據的應用大幅成長，坊間對資料處理與分析技術的需求若渴，本書...more
",https://www.books.com.tw/products/0010857933?loc=P_0003_019
20,基礎生物統計學,"張仲凱,沈明來",2020-05-01,"
統計學的應用範圍極為廣泛，可以說各行各業都使用它來解決問題。然而，統計學之應用內容對初學者而言，卻不知從何學起。因此，筆者有個念頭，編輯一本簡單易學的統計學給初學者學習，有關統計學的概念及應...more
",https://www.books.com.tw/products/0010856198?loc=P_0003_020
21,SPSS 26統計分析嚴選教材(適用SPSS 26~22),楊世瑩,2020-04-17,"
你想知道如何將市調資料做有效的分析嗎?   你正在撰寫專題或畢業論文，但不知該採用何種分析方法?   本書不僅教你如何操作SPSS，更讓你學會將分析結果轉換到Word撰寫報告，編輯成美觀的Word表格!    ‧從設...more
",https://www.books.com.tw/products/0010854752?loc=P_0003_021
22,醫護統計與RevMan分析方法與應用,"楊秋月,陳耀茂",2020-04-10,"
整合分析，簡言之即為：   1.將多個且具有同樣主題研究予以綜合分析。   2.利用統計方法將量化後的數據予以客觀的分析。    整合分析需要高額的統計軟體與艱深的理論，不易著手，而有此感覺的人似乎很多。...more
",https://www.books.com.tw/products/0010857433?loc=P_0003_022
23,財金時間序列分析：使用R語言(附光碟),林進益,2020-03-25,"
✎為實作派的你而寫——翻開本書，即刻上手! ✔提供完整程式語言，對照參考不出錯 ✔多種程式碼撰寫範例，臨陣套用、現學現賣   未來的國際通用語言只有一種——程式語言。FinTech強勢佔領金融市場，想在瞬息萬變...more
",https://www.books.com.tw/products/0010853951?loc=P_0003_023
24,統計學：大數據分析-EXCEL實務應用與操作,"古永嘉,楊志清",2020-03-20,"
現今的生活環境，從政府、社會、經濟、產業、企業、投資與消費，時時刻刻都充滿著大量複雜、多元且具相關性的數據資料，如何運用各種分析工具，將資料從簡單的描述整理到深入地推論分析，以得到有效的管理...more
",https://www.books.com.tw/products/0010780081?loc=P_0003_024
25,抽樣理論之應用：四位教授的精華Know-how,"謝俊雄,謝嫣娉,謝嫣文,謝忱希",2020-03-10,"
過濾艱深理論，實戰抽樣快、狠、準 ✔超過百種問答和例子，觸類旁通拓展應用範圍 ✔What→How循序漸進，搞定名詞解釋抽樣方法  ✔揭露教授的重點筆記，考試考哪裡全都在這裡   偷偷告訴你——   只有能讀懂本書...more
",https://www.books.com.tw/products/0010852528?loc=P_0003_025
26,統計學：SPSS操作與應用,林曉芳,2020-01-25,"
踏入資料分析的領域，3大利器攻略統計語法   ◔友善介面，值得信賴 人性化操作 + 圖表豐富範本 = 最適合初學者的SPSS    ◑統計知能，從零開始 詳細解說 + 範例資料檔，數據運用，得心應手。   ◕佛心指引，...more
",https://www.books.com.tw/products/0010849750?loc=P_0003_026
27,當代機率：理論與應用 4/e,Ghahramani,2020-01-20,"
本書適合作為理學院、工程學院、資電學院、商管學院、農學院、醫學院、公衛學院、政法學院、和社會學院，相關「機率論」或「随機過程」之教科書。    • 本書對於機率論的發展與內容作了詳盡且系統地介紹；...more
",https://www.books.com.tw/products/0010849975?loc=P_0003_027
28,機率與統計,繆紹綱,2020-01-01,"
機率是用來衡量或測度某一不確定事件發生的可能性，並給予0 到 1 之間的量化值，以代表發生機會的大小。在統計學中，資料是以樣本或一組觀察的形式來收集，目的是透過資料樣本的分析，產生對於所觀察對象...more
",https://www.books.com.tw/products/0010855671?loc=P_0003_028
29,市場調查實務：問卷設計與研究分析(3版),"吳柏林,謝名娟",2019-12-23,"
問卷調查，是許多做研究、做市場調查的人員所需要的重要研究方法，然而，相關的書籍，相當有限，且多數過於艱深，因此，我們想要寫一本淺顯易懂的書，讓大多數人能了解問卷調查的原理與分析方法。當有這樣...more
",https://www.books.com.tw/products/0010844848?loc=P_0003_029
30,統計分析與R(2版),"賈俊平,陳正昌",2019-10-25,"
※ R正逐步成為統計分析的主流。   ※ 每章開頭簡短扼要提醒該種統計方法適用的情境。   ※ 強調各種統計方法的基本假定，避免誤用工具。   ※ 內容涵蓋多數的單變量統計方法，以及常用的多變量分析技術。   ※...more
",https://www.books.com.tw/products/0010845468?loc=P_0003_030
31,玩轉社群：文字大數據實作(2版),"硬是愛數據應用股份有限公司,謝邦彥,謝邦昌,鄭宇庭",2019-10-25,"
「文字探勘」與「社群媒體大數據」一拍即合   網路爬蟲、機器演算、議題追蹤、品牌分析   快速上手玩轉社群   從茫茫網路文章中 點字成金   解讀風向、順勢而為!   洞察關鍵、贏得先機!   ◎全圖解：從工具...more
",https://www.books.com.tw/products/0010839578?loc=P_0003_031
32,統計學實驗(第四版),,2019-10-09,"
統計學是搜集、處理、分析數據的科學。20世紀以來，隨着電腦技術的不斷提高，統計學的理論和應用也獲得迅速而長足的發展。統計學作爲經濟及管理類專業的基礎課程，已經形成了理論教學與實驗教學相結合的完...more
",https://www.books.com.tw/products/0010837452?loc=P_0003_032
