,書名,作者,出版日期,內容介紹,網址
1,國際經濟學(概要),蔡經緯,2020-09-21,"
本科包括國際貿易理論與政策、國際金融理論兩大部分，前者是個體經濟學國際化議題，後者則是總體經濟學國際化之議題。雖然只有大學經濟系、國貿系、國企系才列入必修課程，卻是高普特考經建行政、外交特考...more
",https://www.books.com.tw/products/0010697981?loc=P_0003_001
2,EZ經濟學(3版),"吳芝文,周鳳瑛,王志旭,陳更生,黃子晉,黃聖茹",2020-09-16,"
經濟好好玩，因為您、我每天都在從事經濟的行為與活動，製造經濟的現象。可是，為什麼對於經濟現象問題的解讀以及解決，即使坊間有關經濟的書籍多如牛毛，但是卻是眾說紛紜，讓人丈二金剛摸不著頭緒。這是...more
",https://www.books.com.tw/products/0010871184?loc=P_0003_002
3,經濟學(互動式教學),李東杰,2020-09-15,"
本人在開始教學生涯時，一直想要有一本採引導式撰寫的經濟學教科書，最後只好開始自寫講義，採在內容說明的過程中，設計適當的填空或 合適的選擇題選項，並製作配合口頭說明的動畫 PPT，使學生在上課(或 ...more
",https://www.books.com.tw/products/0010872479?loc=P_0003_003
4,Games of Strategy (5版),"Avinash K. Dixit,David McAdams,Susan Skeath",2020-08-31,"
Games of Strategy is beloved by students and instructors alike for its flexible organisation, focus on problem-solving a......more
",https://www.books.com.tw/products/0010870002?loc=P_0003_004
5,Economics (3版),"Dean S. Karlan,Jonathan J. Morduch",2020-08-28,"
Improve YOUR world. Dean Karlan and Jonathan Morduch’s Economics 3e is built around the central concept that economics i......more
",https://www.books.com.tw/products/0010870001?loc=P_0003_005
6,西洋經濟思想史(七版),林鐘雄,2020-08-21,"
這是以現代用語和觀點探討、介紹西洋經濟思想演進的書。作者依時間順序與學說性質，詳細描述兩百年來西洋經濟學家在經濟思想上的貢獻，另外對現代主要經濟學家的理論及其思想淵源亦有深入的剖析。有志研讀...more
",https://www.books.com.tw/products/0010867827?loc=P_0003_006
7,Economics(ISE) (22版),"Campbell R. Mcconnell,Sean M. Flynn,Stanley L. Brue",2020-06-12,"
Optimize your outcomes. With McConnell/Brue/Flynn, improving outcomes has never been simpler. If given the chance to wor......more
",https://www.books.com.tw/products/0010863740?loc=P_0003_007
8,Environmental Economics: An Introduction (8版),"Barry C. Field,Martha K. Field",2020-05-27,"
Environmental Economics, 8th edition provides an introduction to the basic principles of economics as they relate to the......more
",https://www.books.com.tw/products/0010860535?loc=P_0003_008
9,經濟學概論,"李政德,郭國興,陳勇諺",2020-05-22,"
本書以口語述事形式，生動活潑地闡釋經濟學的基礎概念，並擷取在地化和全球化案例與經濟理論相接軌，將經濟學理融合於日常生活之中。各章內容通俗易懂，同學可輕鬆學習與融會貫通，是各大學及技職院校同學...more
",https://www.books.com.tw/products/0010859888?loc=P_0003_009
10,邊際效用學派的興起,RICHARD.HOWEY,2020-05-21,"
1890年以後，經濟學學術研究的課題與1870年以前相比是大不相同了。在這20年間，經濟學經歷了像以前各時期一樣劇烈的變動。造成這種差別的原因，是邊際效用學說進入了經濟分析。1871年前，沒有哪位經濟學家...more
",https://www.books.com.tw/products/0010859419?loc=P_0003_010
11,計量經濟學,"袁強,陳昊",2020-05-21,"
高級計量經濟學是經濟學和管理學等專業研究生的重要必修課之一，它與高級微觀經濟學和高級宏觀經濟學構成經濟理論高級層面上的三門基礎課，對經濟學研究生掌握現代經濟學研究方法，並將其運用於分析現實經...more
",https://www.books.com.tw/products/0010859456?loc=P_0003_011
12,經濟學,,2020-05-01,"
經濟學是一門與生活息息相關的課程，本質並不艱深，只需要有一本能夠引領進門的好書。本書運用深入淺出的說明及豐富的舉例，呈現出經濟學最精華的理論與主題，讓學生得以在最短時間內，建立起完整的經濟學...more
",https://www.books.com.tw/products/0010870832?loc=P_0003_012
13,中國發展‧發展中國(第三版),"吳連賞,嚴勝雄",2020-04-30,"
本書第三版增補重點與特色：   一、21世紀的中國將面臨巨大機遇與嚴峻挑戰，包含：環境資源、人口與經濟、區域發展與族群關係等，本書提出面臨新世紀必須再思考的重要問題及其解決方案。   二、全面更新所...more
",https://www.books.com.tw/products/0010857443?loc=P_0003_013
14,International Economics (17版),Thomas A. Pugel,2020-04-17,"
International Economics 17e combines rigorous economic analysis with attention to the issues of economic policy that are......more
",https://www.books.com.tw/products/0010857560?loc=P_0003_014
