,書名,作者,出版日期,內容介紹,網址
1,現代不動產估價：理論與實務(三版),賴碧瑩,2020-10-06,"
台灣經濟環境需迎合國際市場規範，連帶地不動產估價必須進行國際接軌，不論是對國際評價準則的瞭解、或是因為不動產實價資訊公開、土地徵收以市價補償等議題均在此次修改版本予以納入。此外，配合最新不動...more
",https://www.books.com.tw/products/0010873967?loc=P_0003_001
2,國貿條規解說與運用策略(修訂二版),"劉鶴田,張錦源",2020-09-18,"
國際商會制定的國貿條規(Incoterms)已在國際貿易社會中取得主導地位，並對國際買賣具有深遠的影響。本書作者研究IncotermsR 2020後，撰成本書。   本書除詳細解說與分析IncotermsR 2020的內容外，更用心歸...more
",https://www.books.com.tw/products/0010870692?loc=P_0003_002
3,國際金融與匯兌(八版),"徐俊明,黃原桂",2020-09-16,"
本書是一本同時重視理論與實務的教科書，全書共分為六篇，第一篇「國際金融與匯兌基礎篇」，探討國際資金之運作、外匯市場及境外金融中心；第二篇「總體環境篇」，探討匯率及國際收支；第三篇「外匯交易實...more
",https://www.books.com.tw/products/0010871181?loc=P_0003_003
4,期貨與選擇權：衍生性金融商品(二版),"金鐵珊,金鐵英",2020-09-11,"
本書的寫作目地，是定位在為私立大學及科技大學，提供良好的上課教材。  本書特色    一、台灣的市場，台灣的商品   目前市面上的原文教科書以美國市場為主。而美國的市場與商品，跟台灣的市場與商品差別...more
",https://www.books.com.tw/products/0010870088?loc=P_0003_004
5,金融法析論,吳嘉生,2020-09-10,"
本書特色   一、文字淺顯易懂，有助於考試與實務參考。   二、囊括各法重點概要，內容完整，深入淺出。   三、以專業態度著述，自學進修兩相宜。...more
",https://www.books.com.tw/products/0010872870?loc=P_0003_005
6,財政學(五版),"徐偉初,歐俊男,謝文盛",2020-09-03,"
財政是政府部門的財務活動，就是公共支出與收入。本書是一本研究、分析和評估政府收支計畫的著作，希望能建立讀者對政府政策的認知與分析能力，並藉此引發對公共事務的觀察與關心。    本書共計四篇二十四...more
",https://www.books.com.tw/products/0010870455?loc=P_0003_006
7,國際金融：理論與實證,陳旭昇,2020-08-31,"
本書著重在「國際總體金融」(international macro-finance)。主要的重點是「匯率經濟學」與「開放總體經濟學」。本書可用於一般的大學部國際金融課程，只要修過個體經濟學，總體經濟學與統計學的大學部高...more
",https://www.books.com.tw/products/0010869950?loc=P_0003_007
8,財務報表分析(五版),謝劍平,2020-08-28,"
近年來台灣股市雖欣欣向榮，但仍有少數企業陷入經營危機或是在期限內交不出財務報表，以致被暫停交易或下市(櫃)，如大同、大西洋飲料、誠美材等，這些案例均凸顯財務報表分析的重要性。本次改版也會加入IF...more
",https://www.books.com.tw/products/0010869990?loc=P_0003_008
9,財務報表分析(修訂二版),盧文隆,2020-08-21,"
一、深入淺出，循序漸進   行文簡單明瞭，逐步引導讀者檢視分析財務報表；重點公式統整於章節末，並附專有名詞中英索引，複習對照加倍便利。   二、理論活化，學用合一   有別於同類書籍偏重原理講解，本...more
",https://www.books.com.tw/products/0010867835?loc=P_0003_009
10,金融科技的理論與應用,郝晉輝,2020-08-10,"
本書分成四大部分作探討：   第一部分：先梳理金融科技的歷史，從「何謂金融?」、「何謂科技?」二方面進行分析，接著談到金融業走向科技化的過程，也探討科技公司是如何進入金融領域的。   第二部分：主要...more
",https://www.books.com.tw/products/0010866186?loc=P_0003_010
