,書名,作者,出版日期,內容介紹,網址
1,通訊系統：類比與數位,,2020-06-01,"
通訊系統課程是各國多數大學電機、電子工程相關學系必修或選修的基礎課程。此課程通常會安排在大學三年級，建議讀者最好先具備微積分、電子學、訊號與系統以及機率論等課程的基礎。    由於此課程的重要性...more
",https://www.books.com.tw/products/0010870835?loc=P_0003_001
2,電子商務概論(二版),王悅,2018-11-30,"
編者於1999年開始接觸互聯網，並被其強大的信息服務功能所震撼，此後， 親歷了互聯網經濟泡沫破裂以及中國電子商務浪潮的到來與快速發展。尤其是2004年12月，支付寶的横空出世，使阻礙中國電子商務發展的...more
",https://www.books.com.tw/products/0010807340?loc=P_0003_002
3,智慧居家監控實習(最新版)(第二版),智創工作坊,2018-09-05,"
1.本書乃作者在完成多項智慧家電及居家安全監控裝置後，將技術心得輔以多年教學經驗，針對教學現場需求所編撰出來的書籍。      2.採用Arduino為核心架構，使用Arduino C語言程式，以模組化的方式介紹程式...more
",https://www.books.com.tw/products/0010798962?loc=P_0003_003
4,現代數位控制實踐,"王茂,申立群",2018-05-18,"
本書系統闡述有關數位閉環控制系統設計和實現的專門著作，內容涉及數位系統硬體設計中的特殊技術細節考慮、常用的微處理器的各種實用接口擴展設計、主從分佈式數位控制中多處理器的串並行數據通信、數位控...more
",https://www.books.com.tw/products/0010788212?loc=P_0003_004
5,106年度「網通資源及產業協助研究」研究報告,"蔡玉青,蕭博仁,顧振豪",2017-12-01,"
本計畫擬透過「下世代行動寬頻技術及未來產業發展方向研究」、「規劃我國ISP導入IPv6發展策略」、「研擬促進我國電信市場有效競爭之政策」、「研討會之辦理」等四個工作項目之進行，規劃未來各項資通訊技...more
",https://www.books.com.tw/products/0010784777?loc=P_0003_005
6,天線設計與應用：使用ANSYS HFSS模擬器(3版),"柏小松,蔡慶龍,邱政男,鄧聖明",2017-10-05,"
本書四位作者具有豐富之學界與業界經驗，在天線工程領域深耕多年，深知青年讀者的需要，合力撰寫一本理論與實務兼具的天線設計書籍，希望能帶領讀者快速掌握天線設計之要訣，領略無線通訊之奧妙。   本書...more
",https://www.books.com.tw/products/0010768867?loc=P_0003_006
7,GPS衛星定位測量概論(三版),高書屏,2017-09-30,"
本書以作者長年於中興大學土木系及研究所開設之「GPS全球定位系統概論」、「GPS衛星定位測量」課程為編撰基礎，並參考了GPS領域最新的書籍、論文與技術報告，以淺顯易懂的方式，使土木、測量、建築、水利...more
",https://www.books.com.tw/products/0010782502?loc=P_0003_007
8,訊號、系統與通訊原理,武維疆,2017-09-25,"
本書內容涵蓋了三大部分：   1. 訊號與系統：訊號的分析與處理、雜訊的特性以及系統對於訊號的響應。   2. 調變技術與通訊理論：包含類比、數位調變與解調變技術以及性能分析。   3. 現代通訊系統：介紹多...more
",https://www.books.com.tw/products/0010765486?loc=P_0003_008
9,物聯網實作：Node-RED萬物聯網視覺化(附光碟),"廖裕評,陸瑞強",2017-09-25,"
隨著科技發展，物聯網裝置日漸普及，被大量運用在我們的生活中。如果可以設計程式將其蒐集到的訊息用圖表呈現，並控制裝置判斷狀況進行對應，就能使監控整個物聯網系統變得更加容易。   本書介紹IoT開發工...more
",https://www.books.com.tw/products/0010767362?loc=P_0003_009
10,射頻技術在行動通訊的應用(第二版),高曜煌,2017-09-21,"
射頻電路的設計及性能表現與通訊理論及製程息息相關，然而傳統的射頻電路設計書籍較少考量數位通訊的需求，造成初學者門檻加大，因此本書的目的是彌補傳統的高頻電路設計與行動通訊需求的落差，使有志於從...more
",https://www.books.com.tw/products/0010767422?loc=P_0003_010
11,物聯網實作：工業4.0基礎篇(2版),"廖裕評,陸瑞強",2017-08-25,"
物聯網浪潮的來臨，使得產業及生活的型態開始全面進化。在工業應用上，物聯網結合機器人、自動化生產線，融合消費者需求，從設備自動化生產演進成工廠智慧化生產，構成工業4.0少量多樣、分散製造、快速回...more
",https://www.books.com.tw/products/0010764434?loc=P_0003_011
12,行動通訊與傳輸網路(第三版),陳聖詠,2017-02-14,"
本書由淺入深描述行動通訊與傳輸網路整體的架構之基本觀念，並詳述行動通信GSM系統與傳輸網路介面之相關聯性，內容包括通訊多工技術、GSM行動通信系統、Wi-Fi、WiMAX架構觀念、光纖相關知識、數據網路相關...more
",https://www.books.com.tw/products/0010746261?loc=P_0003_012
