,書名,作者,出版日期,內容介紹,網址
1,大腦如何精準學習,史坦尼斯勒斯．狄漢,2020-09-29,"
學習擁有生命力(vital principle)，   而人類的大腦有著巨大的可塑性—去改變它自己，以適應環境。   大腦具有超凡的反彈能力，即使在受到巨大的創傷，如眼盲、失去半個腦或社會孤立後，還是能發展出學習的...more
",https://www.books.com.tw/products/0010870543?loc=P_0003_001
2,行動改造大腦：行為如何形塑我們的思考,芭芭拉･特沃斯基,2020-09-02,"
美國心理科學會會長芭芭拉・特沃斯基最新力作 諾貝爾獎得主丹尼爾・康納曼推薦： 「流暢練達，讓您與博學而迷人的心靈相會，沉浸於一對一的交流。 本書引導你檢視自己的經驗，告訴你思索(人類)思考的新方...more
",https://www.books.com.tw/products/0010868187?loc=P_0003_002
3,你有多堅持，就會有多成功：能不能努力到底，大腦才是關鍵，世界菁英都是這樣改變自己的!!,高鶴俊,2020-08-27,"
所有導致你無法成功的習慣其實都是「生理現象」!   窮操心，讓你不能平靜的思考：   業績沒有達成，會不會挨罵；如果股票跌了，我又該怎麼辦?   →這是因為腦部杏仁核活動力太強的原因!   你容易衝動、性急...more
",https://www.books.com.tw/products/0010867817?loc=P_0003_003
4,【童年情感障礙】(三冊)：《童年情感忽視》、《大腦依戀障礙》、《童年情感忽視・實戰篇》,"史丹・塔特金,鍾妮斯．韋伯",2020-07-15,"
本套書組合：《童年情感忽視：為何我們總是渴望親密，卻又難以承受?》+《大腦依戀障礙：為何我們總是用錯的方法，愛著對的人?》+《童年情感忽視・實戰篇：長大後的我，如何和伴侶、孩子、父母，建立情感連...more
",https://www.books.com.tw/products/0010863565?loc=P_0003_004
5,大腦百科：神經科學最高水平之作，以前所未見的精密圖解漫遊大腦,瑞塔‧卡特,2020-06-10,"
~神經科學最高水平之作，以前所未見的精密圖解漫遊大腦~    ★英國醫學會最佳圖書獎得主!   ★21世紀，神經科學權威嚮導!   ★亞馬遜讀者高分評點，近乎全民五星推薦!   ★全新改訂第三版，提供激勵人心的科學...more
",https://www.books.com.tw/products/0010860476?loc=P_0003_005
6,腦力回復：四步驟R.E.S.T.，44種正念療法╳大腦科學消除腦疲勞，幫助你適應數位社會，擺脫大腦超載、慢性過勞的科技衝擊。,久賀谷亮,2020-04-01,"
你有「身心俱疲症候群」嗎? 常常分心、專注力不足、健忘、失眠、動不動就焦慮? 每天早上起來，懷疑自己職業倦怠，身體過勞， 心情無端鬱悶、提不起勁卻找不出原因? 如果你有這些現象，不是你「心累」，也...more
",https://www.books.com.tw/products/0010853159?loc=P_0003_006
7,學會和疼痛共處，你可以變得更強大,莎拉・安妮・夏可莉,2020-04-01,"
療癒是面對、覺知、關照並疼愛自己， 以慈悲心對待歷經了疼痛後重生的新身體! 真正經歷過疼痛的人，才能懂那一直揮之不去的心境， 她不只走出17年疼痛，更研發的一套讓內心更強大的疼痛解方。   【超值附...more
",https://www.books.com.tw/products/0010853191?loc=P_0003_007
8,情感究竟是什麼?從現代科學來解開情感機制與障礙的謎底,乾 敏郎,2020-03-27,"
我們常聽到形容一個人頭腦、心靈與身體四分五裂，缺乏連結的說法。 這究竟是怎麼一回事呢?由乾敏郎教授帶大家一探究竟!   若要理解情感是什麼，最重要的關鍵就是能夠了解自己身體狀態的腦部功能。也就是說...more
",https://www.books.com.tw/products/0010852607?loc=P_0003_008
9,不老的腦：首創以「腦科學」╳「老化研究」╳「正念」來實證──全世界的菁英們都是這樣讓大腦回春!,久賀谷亮,2020-01-15,"
★一出版即蟬聯Amazon.jp「商業」「健康」暢銷榜雙料Top 1   ★暢銷30萬冊《最高休息法》腦科學第一線作者之最新力作!   ★首創以「腦科學」×「老化研究」×「正念」來實證!   ★Google、Facebook、Faceboo......more
",https://www.books.com.tw/products/0010846642?loc=P_0003_009
10,大腦革命的12步： AI時代，你的對手不是人工智慧，而是你自己的腦,鄭在勝,2020-01-02,"
跟自己的腦對決，也是跟未來的自己對決 韓國國民教授最熱門的12堂腦科學公開演講   2004年7月9日，在湧進上下班車流的美國加州矽谷101號高速公路旁，樹立著一個有趣的廣告看板。廣告看板上沒有刊登廣告的...more
",https://www.books.com.tw/products/0010844213?loc=P_0003_010
