,書名,作者,出版日期,內容介紹,網址
1,我為什麼是我?(增訂版)：探討原生家庭對個性的影響,高偉雄,2020-10-16,"
原來我的個性與「出生排行」有關?   原來有「自卑感」是正常的，不是只有我才這樣?    你可能從沒想過，你的脾氣、個性、人際關係，以及如何選擇另一半、與上司或同事如何相處，甚至與神之間的關係，背後...more
",https://www.books.com.tw/products/0010873079?loc=P_0003_001
2,圖解女性心理學：女人不說、男人不懂的事，心理學家教你從行為、習慣與性格讀懂女性的真實想法!,齊藤勇,2020-09-09,"
女人心海底針?女人真有第六感? 男性怎麼都看不懂的事，女性卻能一眼看穿? 讓心理學家助你了解身邊的女性在想什麼吧!  【本書特別收錄】 5則心理測驗 了解女人心機 × 18則男女大不同 重點解析    日本圖解...more
",https://www.books.com.tw/products/0010869281?loc=P_0003_002
3,決斷2秒間：擷取關鍵資訊，發揮不假思索的力量(暢銷慶功版),麥爾坎．葛拉威爾,2020-08-11,"
我們何時要信賴直覺?何時又該提高警覺? 21世紀的彼得.杜拉克──麥爾坎.葛拉威爾──顛覆思維代表作   出版首週即登上《紐約時報》暢銷榜TOP 1   獲選《快速企業》年度最佳商業書   AMAZON年度總榜TOP 5   全...more
",https://www.books.com.tw/products/0010865768?loc=P_0003_003
4,失控的群體思維：從同儕壓力到同溫層效應，人的一舉一動都逃不出「群性」,麥可‧龐德,2020-08-05,"
─── 英國心理學會 年度選書 ─── 英國皇家科學院首席研究員，奔走全球多國找出「惡之平庸」成因 十八歲青少年，如何變身恐怖的自殺炸彈客? 溫馴普通人為何殺害百萬猶太人，甘心當納粹劊子手? 答案出乎你的...more
",https://www.books.com.tw/products/0010865660?loc=P_0003_004
5,為什麼這麼荒謬還有人信?揭開你我選擇相信與拒絕相信的心理學,雨果‧梅西耶,2020-07-09,"
#假新聞 #疫情假消息 #事實查核 #洗腦 #網軍帶風向 人，其實沒有那麼好騙! 宗教神棍真的能讓廣大信眾甘願奉獻一切? 網路謠言真的能輕易操縱鄉民風向? 選擇相信的人不是因為愚昧，而是符合個人最佳利益! 一...more
",https://www.books.com.tw/products/0010862828?loc=P_0003_005
6,看透性格的弱點：踢開人生的絆腳石，把缺點變為人生的轉捩點,刑群麟,2020-06-23,"
留意你的想法，因為想法會變成語言；留意你的語言，因語言會變成行動；留意你的行動，因行動會變成習慣。留意你的習慣，因習慣會變成你的性格。留意你的性格，因為性格會變成你的命運。──夏洛蒂.盧卡斯(Ch...more
",https://www.books.com.tw/products/0010861456?loc=P_0003_006
7,哈佛法學院的情緒談判課：5大核心情緒策略，創造共贏成果,"丹尼爾．夏畢洛,羅傑．費雪",2020-06-04,"
──哈佛法學院經典讀物、一本給所有人的談判書── 運用談判學╳心理學架構5大情緒策略， 把情緒納為談判手段，幫你扭轉情勢、明智決策   ★戴斯蒙.屠圖大主教、艾蓮娜.卡根大法官、《EQ》丹尼爾.高曼、《與成...more
",https://www.books.com.tw/products/0010859314?loc=P_0003_007
8,全球商學院必修決策思維術〔全圖解〕：50張秒懂圖表╳認清問題盲點=做出最佳決定,"羅曼‧塞普勒,麥可‧克洛傑拉斯",2020-05-07,"
想超越現狀，知道下一步何去何從，你最需要的是──   快、狠、準捕捉思維，為問題找到突破點。    掌握50個決策模型精髓 × 使用可視化圖像架構思維，   助你思考完全、快速應對並提出解方!    ★瑞士歷史最...more
",https://www.books.com.tw/products/0010856756?loc=P_0003_008
9,社運心理學,Lo’s Psychology,2020-03-26,"
政治即生活， 而構成生活的便是人類思維與行為。   社會撕裂是必然、藍黃永遠不能和解?   廢青和廢老的世代之爭，爭的是價值抑或尊嚴?   「不割蓆不分化」背後的，只是盲目的從眾行為?   蒙臉以後，警察和...more
",https://www.books.com.tw/products/0010851884?loc=P_0003_009
10,思維導圖：有意識地思考,"楊瑜君,萬玲",2020-03-05,"
聰明學思考!別再落入假資訊與詐騙陷阱   捕捉想法，換個角度看世界   歐美學校都在用的學習力訓練   新加坡、紐西蘭甚至列為小學必修科目   思維導圖用在哪裡?   用於閱讀    用於寫作   用於英語   用於...more
",https://www.books.com.tw/products/0010850954?loc=P_0003_010
