,書名,作者,出版日期,內容介紹,網址
1,與妳的寂寞花火,希澄,2020-10-17,"
妳在十七歲時，喜歡過某個人嗎? 那個人……也是女生嗎? ★博客來、金石堂排行榜冠軍作家，POPO原創百合天后‧希澄 ★一段傷痛淚水譜寫的青春樂章，一場義無反顧的青澀戀愛，一次後會無期的相識分離 ★實體書獨家...more
",https://www.books.com.tw/products/0010872980?loc=P_0002_001
2,情衷(限),温暖暖,2020-10-16,"
★ 每一次的分離，都會讓兩人更相愛!   ★ 相愛千年、甜蜜無悔的女女愛情故事!   ★ 北極之光妖豔作家温暖暖全新力作，這一次要徹底擄獲妳的心!    【前世今生之亞馬遜系列】    千年的相戀，深情凝望不厭倦...more
",https://www.books.com.tw/products/0010873065?loc=P_0002_002
3,How to Secretly：誘愛學長的處方箋(全),MAME,2020-10-16,"
★年度期待度破表，超夯BL泰國劇《不期而愛》系列作席捲而來──Kla×No繁中原著小說 隆重上市!   ★一場算計了三年的追妻大計，從酒後失○開始!   ★Step 1：收買死黨，賣兄求妻；Step 2：假失處，求負責；Step ...more
",https://www.books.com.tw/products/0010873197?loc=P_0002_003
4,Evil Desire之潘神的迷宫(深淵),九真,2020-10-14,"
在《共妻》任務裡陳默獲得超五星評級。   遊戲客服EE主動遊說之下，他終於鬆口答應─   越級挑戰最難關卡，也就是地獄般的深淵級任務。   果然地獄任務不是開玩笑的，   為了報酬，是「實現他的一個願望」...more
",https://www.books.com.tw/products/0010873297?loc=P_0002_004
5,Evil Desire之潘神的迷宫(迷宮),九真,2020-10-14,"
「陳默，恭喜你出色地完成任務，不僅沒有迷失在創造出來的虛擬與現實之間，並順利地走出了這個迷宮，獲得了最終的成功。 」   「現在，陳默，告訴我，你想要什麼?」   過了許久，許久，才聽見陳默的聲音響...more
",https://www.books.com.tw/products/0010873298?loc=P_0002_005
6,ABO合集 無法抵擋的味道,"一個精神病,洛玥淺,牧者",2020-10-14,"
「你的味道太好聞了。我會盡量不那麼急躁……」   狄恩吮著他脖子上的一塊肌膚，在他敏感的腺體上舔了舔。   「但如果我太粗魯了，也請原諒我……」   埃文被Alpha的信息素給吸引了，情不自禁地擁抱住他。   ...more
",https://www.books.com.tw/products/0010873300?loc=P_0002_006
7,Evil Desire之潘神的迷宫(蜉蝣),九真,2020-10-14,"
「我知道，我的身體很髒、很髒，   可我一顆心乾乾淨淨，我想把它給你呀……」   面對肖群的步步進逼，朱亦的惡意陷害與接近虐殺的殘忍對待，   陳默快要撐不下去了，無邊無際的痛苦生活，何時才能到頭!   ...more
",https://www.books.com.tw/products/0010873302?loc=P_0002_007
8,Evil Desire之潘神的迷宫(相見),九真,2020-10-14,"
以為肖群已經夠惡劣了，沒想到鄭淮南這個貴公子還能更變態!   為了繼續任務，要透過鄭「壞男」才能認識蘇決，肖群的利用，鄭淮南的羞辱，陳默把牙都咬碎了忍著。   第一次見到蘇決，沒想到他竟和上一個任...more
",https://www.books.com.tw/products/0010873303?loc=P_0002_008
9,風吹樹梢(限),秋陽,2020-09-16,"
夢醒時分/屬於妳的那個人   【雲海草原系列】   ★ 喪失記憶之後，意外得到超優質律師女友!   ★ 歡樂甜蜜、扣人心弦的女女愛情故事!   ★ 北極之光暢銷作家秋陽，曾多次攻佔博客來、金石堂暢銷排行榜!   「...more
",https://www.books.com.tw/products/0010869672?loc=P_0002_009
10,一百萬的玩物,怒放月光,2020-08-26,"
米國度ABO徵文第一名  揪心虐戀超越追妻火葬場    因為一個無法與外人說的秘密，韓明修恨上了夏野，那年夏野21歲   「這就是你一百萬的服務?老子還沒洩出來……我花錢，就要玩夠本，以後隨傳隨到。」   生不...more
",https://www.books.com.tw/products/0010868127?loc=P_0002_010
