,書名,作者,出版日期,內容介紹,網址
1,福爾摩斯小姐3：堅決谷謀殺案,雪麗‧湯瑪斯,2020-11-04,"
《今日美國》USA Today暢銷作家雪麗.湯瑪斯作品——    莊園冰窖裡的爵爺夫人⋯⋯   淑女偵探變裝辦案!   凶手是莫里亞提?英古蘭爵爺?或另有陰謀?   無論有多麼匪夷所思，   最後剩下的可能性必定是真相。    ...more
",https://www.books.com.tw/products/0010874468?loc=P_0003_001
2,東方快車上的女人,琳西‧珍恩‧艾胥佛,2020-10-31,"
「謀殺天后」的生涯轉捩點， 啟發推理名作的靈感之旅x尋回獨立自信的壯遊歷險 ★亞馬遜網路書店「名人傳記小說」類銷售排行冠軍 ★Goodreads網友超過6000則五星滿分評價 阿嘉莎‧克莉絲蒂在真實人生中搭上的...more
",https://www.books.com.tw/products/0010873849?loc=P_0003_002
3,第13位陪審員,史蒂夫．卡瓦納,2020-10-31,"
連環凶手一直都在法庭內， 他卻是……第十三位陪審員!  史蒂夫.卡瓦納最新力作 柴克斯頓年度老牌詭奇犯罪小說獎得獎作品  李.查德、麥可.康納利、馬克.畢林漢等 13位國際大師告訴你不可不讀的理由  「流暢...more
",https://www.books.com.tw/products/0010874042?loc=P_0003_003
4,天才少女福爾摩斯 2：左撇子女孩,南西·史賓格,2020-10-30,"
名偵探家族再出擊!   潛入維多利亞時代陰謀密布的倫敦，少女偵探開啟冒險事業!   經典「福爾摩斯」英倫推理x創意進化的青春成長    如果像樣的女人要符合社會準則，安於自己分內的位置，   那麼本小姐偏要...more
",https://www.books.com.tw/products/0010873521?loc=P_0003_004
5,死了兩次的M,黛博拉．喬．伊莫嘉,2020-10-08,"
小心!越獄不成功就是死!  當《勁爆女子監獄》遇上《控制》， 一場精心設計的越獄行動即將撕裂這裡!  ★2019美國推理作家協會愛倫坡獎年度最佳首作入圍 ★《紐約時報書評》、《浮華世界》、《紐約郵報》重磅...more
",https://www.books.com.tw/products/0010871887?loc=P_0003_005
6,德文女老師,尤蒂特．W．塔須勒,2020-09-30,"
為什麼相愛?相愛的人為何分離? 為了回答這個問題，作者這樣布局： 一對昔為戀人的男女多年後偶然再會， 男人向女人傾訴自己將動筆的小說， 女人告訴男人「我」誘拐了男孩的故事…… ★臺灣罕見奧地利文學，20...more
",https://www.books.com.tw/products/0010870420?loc=P_0003_006
7,尼羅河謀殺案(電影珍藏版),阿嘉莎‧克莉絲蒂,2020-09-29,"
改編電影，即將神秘上映!   《東方快車謀殺案》導演肯尼斯.布萊納(Kenneth Branagh)，攜手艾米漢默(Armie Hammer)、蓋兒加朵(Gal Gadot)等超強卡司，譜出華麗、詭譎的經典推理。   ★電影視覺書封+精彩劇.....more
",https://www.books.com.tw/products/0010870554?loc=P_0003_007
8,人體標本師,麥克‧歐默,2020-09-26,"
她們的神態栩栩如生、肌膚柔嫩無瑕，卻早已失去了體溫。 他是保存死者完美形貌的標本師，也是終結她們生命的殺手── ★亞馬遜網路書店小說類暢銷排行榜亞軍、電子書暢銷榜冠軍! ★出版首月全美銷售量突破50萬...more
",https://www.books.com.tw/products/0010870645?loc=P_0003_008
9,霧中的男孩(獨家限量贈送.博客來特別裝幀設計書衣),約翰．提歐林,2020-09-11,"
二十年前那天，厄蘭島的大霧很不尋常，六歲的彥斯偷偷溜出外公的莊園，在灌木林中失蹤，從此音訊全無……   瑞典犯罪懸疑小說大師尤翰.提歐林成名作   首發突破270,000冊!暢銷英美法日等25國   ●英國犯罪作...more
",https://www.books.com.tw/products/0010869177?loc=P_0003_009
10,騙子律師【艾迪.弗林系列3】,史蒂夫．卡瓦納,2020-09-03,"
榮獲2018英國犯罪作家協會金匕首獎 法律驚悚小說家史蒂夫.卡瓦納 打破格局燒腦神作  ──史上最囂張的騙子律師 艾迪.弗林系列第三彈── 一名失蹤的少女，一位絕望的父親 一起會撕裂他們的血腥案件!   英、美...more
",https://www.books.com.tw/products/0010868098?loc=P_0003_010
