,書名,作者,出版日期,內容介紹,網址
1,被偷走的骨灰甕：楊煉文學訪談錄,"朱又可,楊煉",2020-11-09,"
這本書，談楊煉的血統——第一代可與漢族通婚的滿蒙祖母。   這本書，談楊煉的家世——吉祥戲院少東家的父親與上海電影世家的母親。   這本書，談楊煉在文革時的戀愛、階級鬥爭。   這本書，談楊煉在北京、在...more
",https://www.books.com.tw/products/0010871956?loc=P_0003_001
2,永遠的情人莒哈絲(修訂版),王筱瑩,2020-09-18,"
有些愛，一輩子都在乞討；有些債，一輩子都未還清。    「我認識你，永遠記得你。那時候，你還很年輕，人人都說你美。現在，我是特地來告訴你，對我來說，我覺得現在的你，比年輕時候的你更美。與你那時的...more
",https://www.books.com.tw/products/0010871247?loc=P_0003_002
3,張愛玲給我的信件 (百歲誕辰紀念書腰版),夏志清,2020-09-09,"
紀念張愛玲百歲誕辰，新裝書腰版 玫瑰 金鎖 沉香屑 美麗蒼涼的告別 空前絕後的文學典藏   張愛玲的「信件」╳夏志清的「按語」   文學史上最難得的一場相知相惜   坦坦白白， 魚雁往返，   一筆一劃，一字...more
",https://www.books.com.tw/products/0010578246?loc=P_0003_003
4,俄羅斯文壇巨星：崇尚愛與和平的托爾斯泰,林真如,2020-09-04,"
★深度思考生命，在文學中探索哲學議題 ★為和平和真愛發聲的文壇巨人   「不認識托爾斯泰者，就不可能認識俄羅斯。」   ☆他是十九世紀俄國最著名、最偉大的作家，享譽全球的文豪   ☆他寫出了現實的坎坷、時...more
",https://www.books.com.tw/products/0010869905?loc=P_0003_004
5,眠一場草堂春夢：於大唐江山中遇見杜甫,山陽,2020-08-28,"
「安得廣廈千萬間，大庇天下寒士俱歡顏，風雨不動安如山!」   這，正是憂國憂民的杜甫   是在窮困潦倒、顛沛流離之際   依然心繫天下蒼生的杜甫   杜甫，字子美，唐代現實主義詩人，與李白合稱為「李杜」...more
",https://www.books.com.tw/products/0010869176?loc=P_0003_005
6,【現代中國學人傳記】《青年胡適，1891-1917》x《被壓抑的天才：錢鍾書與現代中國》二冊套書,湯晏,2020-08-18,"
《青年胡適，1891-1917》    關於胡適，我們知道些什麼?我們好像知道很多。他是中國文學革命旗手、五四運動的軸心人物；他當過駐美大使、北京大學校長；一九四八年五十八歲當選中央研究院第一屆院士，一九...more
",https://www.books.com.tw/products/0010866743?loc=P_0003_006
7,醜小鴨也會變天鵝：譜寫瑰麗幻想的安徒生,"才永發,潘于真",2020-07-31,"
童年是玩具、糖果、遊樂場， 童年還是《小美人魚》、《國王的新衣》、《賣火柴的小女孩》…… 而安徒生《醜小鴨》的故事，其實就是這位童話大師一生的寫照──    《國王的新衣》裡愛慕虛榮的國王與臣民、   ...more
",https://www.books.com.tw/products/0010866422?loc=P_0003_007
8,屈原,浦江清,2020-07-28,"
1、特立獨行、不能變心而從俗的詩人屈原的歷史小傳   2、「清華雙清」之一浦江清的作品   3、簡易扼要地考證出屈原的時代與其人事跡   4、從詩歌中去還原屈原的人生和心理   5、附有張渥、陳洪綬、蕭雲從...more
",https://www.books.com.tw/products/0010863942?loc=P_0003_008
9,揭幕：To be or not to be；that’s 莎士比亞,"才永發,潘于真",2020-07-17,"
屹立文壇四百年的大師 世代傳頌的經典戲劇 你不可不知的莎士比亞!    你一定聽過莎士比亞，但莎士比亞的每部作品、莎士比亞的生平經歷，你都了解嗎?    羅密歐與茱麗葉，愛情劇中不朽的經典，原來竟是改編...more
",https://www.books.com.tw/products/0010864984?loc=P_0003_009
10,我的錯誤史,劉再復,2020-07-03,"
本書是劉再復自傳的第四部。有別於《我的寫作史》、《我的心靈史》、《我的思想史》頭三部，這次作者把自傳寫成「懺悔錄」，直面人生中種種錯誤與迷失。作者從少小時代開始自述，為個人幼稚但不傷害社會的...more
",https://www.books.com.tw/products/0010863561?loc=P_0003_010
11,Lotus Leaves：Selected Poems of Leung Ping-kwan,Leung Ping-kwan,2020-07-01,"
HONG KONG LITERATURE SERIES   Series Editor: John Minford    Leung Ping-kwan is one of Hong Kong’s most acclaimed poets.......more
",https://www.books.com.tw/products/0010874310?loc=P_0003_011
12,諾貝爾文學獎百年風華：不朽的作品與他們的故事,汪兆騫,2020-07-01,"
並非每個傳唱的經典文學都能獲得諾貝爾文學獎， 但獲得諾貝爾文學獎的作品，必能成為永垂不朽的文學作品。    每年十月的第一個星期四，瑞典時間下午一點，全世界翹首以盼，新的諾貝爾文學獎得主，即將誕...more
",https://www.books.com.tw/products/0010862369?loc=P_0003_012
13,八十憶雙親、師友雜憶(合刊)(三版),錢穆,2020-06-19,"
本書為《八十憶雙親》、《師友雜憶》二書之合編，皆為錢賓四先生對自己生平所作的記敘。《八十憶雙親》為先生八旬所誌，概述其成長的家族環境、父親的影響和母親的護恃。後著《師友雜憶》，繼述其生平經歷...more
",https://www.books.com.tw/products/0010861026?loc=P_0003_013
14,青年胡適，1891-1917,湯晏,2020-06-02,"
周策縱先生知道我在寫胡適傳， 一再對我說：「胡先生是一個很可愛的人，不要罵他。」 我同意周先生的話，胡先生確是一個很可愛的人。    從錢鍾書、葉公超到蔣廷黻，擅寫民國風流人物的湯晏先生，這次作傳...more
",https://www.books.com.tw/products/0010858483?loc=P_0003_014
15,巨流河,齊邦媛,2020-05-28,"
讀了這本書，你終於明白，我們為什麼需要知識份子   一部反映中國近代苦難的家族記憶史   一部過渡新舊時代衝突的女性奮鬥史   一部台灣文學走入西方世界的大事紀   一部用生命書寫壯闊幽微的天籟詩篇   ...more
",https://www.books.com.tw/products/0010861767?loc=P_0003_015
16,三○年代的中國現代派詩人,吳曉東,2020-05-05,"
在我心目中，二十世紀三○年代以戴望舒、卞之琳、何其芳為代表的「現代派」詩人群在中國現代詩歌史是具有相對成熟的詩藝追求的派別，成熟的原因之一體現在詩歌意象世界與作家心理內容的高度吻合，以及幻想...more
",https://www.books.com.tw/products/0010856245?loc=P_0003_016
17,葉靈鳳日記(全三冊),葉靈鳳,2020-05-01,"
葉靈鳳，原名葉蘊璞，江蘇南京人。生於一九○五年，一九二五年加入創造社，一九三○年加入左翼作家聯盟。一九三七年抗日戰爭爆發，在上海參加《救亡日報》工作，一九三八年廣州失守時適在香港，未能北返，遂...more
",https://www.books.com.tw/products/0010866565?loc=P_0003_017
