,書名,作者,出版日期,內容介紹,網址
1,鬼啊!師父,郭箏,2020-09-29,"
★最讓人念念不忘的、傳說中的歷史武俠經典，嶄新面貌出版問世。   ★知名繪師葉長青封面繪圖，跨世代細膩筆觸詮釋。   ★明末黃土高原上的怪誕喜劇，教人拍案叫絕的後現代寓言。    ▍盜墓都是情非得己，   ▍...more
",https://www.books.com.tw/products/0010870576?loc=P_0003_001
2,劍鬼姜小牙,郭箏,2020-09-29,"
★經典歷史武俠小說《鬼啊!師父》精彩續作。 ★知名繪師葉長青封面繪圖，跨世代細膩筆觸詮釋。   ▌在經歷坎坷的姜小牙心中，   ▌「鬼兒們」就跟狗兒們一樣可親可愛。   江湖高手好漢備出，但從來沒有人像「...more
",https://www.books.com.tw/products/0010870577?loc=P_0003_002
3,七侯筆錄之筆靈(上)(下)套書,馬伯庸,2020-09-03,"
★狂賀!本書榮獲第78梯次「好書大家讀」入選書★ 《七侯筆錄之筆靈》 文字鬼才馬伯庸傳奇匠心之作 大結局首度面世  一個關於文化的離奇故事，一段關於文人的壯麗傳說。幾千年來，每一位風華絕代的文人墨客辭...more
",https://www.books.com.tw/products/0010838183?loc=P_0003_003
4,明將軍傳奇之絕頂(上卷),時未寒,2020-07-20,"
新武俠四傑之一，時未寒新異俠扛鼎之作，十年佈局，千萬讀者呼喚； 作品別具一格，可讀性強，堪稱現代最值得期待的武俠長篇!   泰山絕頂巔峰對決，江湖格局瞬息驟變   元宵之夜，明將軍離京前往泰山赴約，...more
",https://www.books.com.tw/products/0010861422?loc=P_0003_004
5,明將軍傳奇之絕頂(中卷),時未寒,2020-07-20,"
新武俠四傑之一，時未寒新異俠扛鼎之作，十年佈局，千萬讀者呼喚； 作品別具一格，可讀性強，堪稱現代最值得期待的武俠長篇!   小弦大驚，普天之下敢這般硬闖將軍府的也沒幾人，莫非宮大哥當真不要性命了?...more
",https://www.books.com.tw/products/0010861427?loc=P_0003_005
6,明將軍傳奇之絕頂(下卷),時未寒,2020-07-20,"
新武俠四傑之一，時未寒新異俠扛鼎之作，十年佈局，千萬讀者呼喚； 作品別具一格，可讀性強，堪稱現代最值得期待的武俠長篇!   高手間的對決，第一招往往是決勝關鍵，以強凌弱大多先發制人，以弱擊強則多...more
",https://www.books.com.tw/products/0010861430?loc=P_0003_006
7,奇峰異石傳.卷二(亂世英雄書衣版),鄭丰,2020-05-30,"
【作品全系列熱銷五十萬冊!暢銷慶功封面改版!】 亞洲最暢銷武俠女作家 鄭丰 《明報》讚譽：女版金庸! 倪匡盛讚：「數千年來首位女性武俠作家，開創武俠新紀元!」 隋朝亂世，江湖兒女英雄輩出 演繹歷史動盪...more
",https://www.books.com.tw/products/0010858864?loc=P_0003_007
8,奇峰異石傳.卷三(亂世英雄書衣版),鄭丰,2020-05-30,"
【作品全系列熱銷五十萬冊!暢銷慶功封面改版!】 亞洲最暢銷武俠女作家 鄭丰 《明報》讚譽：女版金庸! 倪匡盛讚：「數千年來首位女性武俠作家，開創武俠新紀元!」 隋朝亂世，江湖兒女英雄輩出 演繹歷史動盪...more
",https://www.books.com.tw/products/0010858865?loc=P_0003_008
9,奇峰異石傳卷一至卷三套書(亂世英雄書衣版),鄭丰,2020-05-30,"
【作品全系列熱銷五十萬冊!暢銷慶功封面改版!】 亞洲最暢銷武俠女作家 鄭丰 《明報》讚譽：女版金庸! 倪匡盛讚：「數千年來首位女性武俠作家，開創武俠新紀元!」 首度內附武俠插畫! 知名插畫家HIROSHI飄逸...more
",https://www.books.com.tw/products/0010858877?loc=P_0003_009
10,奇峰異石傳.卷一(亂世英雄書衣版),鄭丰,2020-05-30,"
【作品全系列熱銷五十萬冊!暢銷慶功封面改版!】 亞洲最暢銷武俠女作家 鄭丰 《明報》讚譽：女版金庸! 倪匡盛讚：「數千年來首位女性武俠作家，開創武俠新紀元!」  隋朝亂世，江湖兒女英雄輩出 演繹歷史動...more
",https://www.books.com.tw/products/0010858863?loc=P_0003_010
11,神偷天下.卷一(風起雲湧書衣版),鄭丰,2020-05-07,"
【作品全系列熱銷五十萬冊!暢銷慶功封面改版!】 「小賊竊錙銖，大賊竊天下」 且看神偷楚瀚如何隻手遮天，傾軋皇朝天下的精采傳奇! 亞洲最暢銷武俠女作家──鄭丰 突破自我，顛覆傳統，開創與眾不同武俠人物...more
",https://www.books.com.tw/products/0010856413?loc=P_0003_011
12,神偷天下.卷二(風起雲湧書衣版),鄭丰,2020-05-07,"
【作品全系列熱銷五十萬冊!暢銷慶功封面改版!】 「小賊竊錙銖，大賊竊天下」 且看神偷楚瀚如何隻手遮天，傾軋皇朝天下的精采傳奇! 亞洲最暢銷武俠女作家──鄭丰 突破自我，顛覆傳統，開創與眾不同武俠人物...more
",https://www.books.com.tw/products/0010856414?loc=P_0003_012
13,神偷天下.卷三(風起雲湧書衣版),鄭丰,2020-05-07,"
【作品全系列熱銷五十萬冊!暢銷慶功封面改版!】 「小賊竊錙銖，大賊竊天下」 且看神偷楚瀚如何隻手遮天，傾軋皇朝天下的精采傳奇! 亞洲最暢銷武俠女作家──鄭丰 突破自我，顛覆傳統，開創與眾不同武俠人物...more
",https://www.books.com.tw/products/0010856415?loc=P_0003_013
14,神偷天下卷一至卷三套書(風起雲湧書衣版),鄭丰,2020-05-07,"
【作品全系列熱銷五十萬冊!暢銷慶功封面改版!】  「小賊竊錙銖，大賊竊天下」 且看神偷楚瀚如何隻手遮天，傾軋皇朝天下的精采傳奇! 亞洲最暢銷武俠女作家──鄭丰 突破自我，顛覆傳統，開創與眾不同武俠人物...more
",https://www.books.com.tw/products/0010856419?loc=P_0003_014
