,書名,作者,出版日期,內容介紹,網址
1,燃燒吧!劍(上),司馬遼太郎,2020-05-06,"
‧新選組主題讀物首選 ‧打鬥殺陣刻劃生動 ‧堪比組織架構的商業參考書的縝密布局   幕末動亂期新選組副長土方歲三，出身武州石田村農家，眾人眼中的棘手分子，發揮好勇鬥狠的性格與天生的組織能力，加上堅強...more
",https://www.books.com.tw/products/0010855527?loc=P_0003_001
2,燃燒吧!劍(下),司馬遼太郎,2020-05-06,"
‧新選組主題讀物首選 ‧打鬥殺陣刻劃生動 ‧堪比組織架構的商業參考書的縝密布局   自元治元年六月池田屋事件以來，新選組聲名大噪，凡是京都腥風血雨之處必有土方歲三與他的和泉守兼定。成為幕府正規軍的新...more
",https://www.books.com.tw/products/0010855530?loc=P_0003_002
3,江河不流：中日甲午戰爭(全套二冊),陳舜臣,2019-10-28,"
陳舜臣獲獎無數，「江戶川亂步賞」、「直木賞」、「大佛次郎賞」、「吉川英治文學賞」、「日本藝術院賞」等，幾乎囊括了各種文學相關獎項。這一部堪稱是歷史小說中的傑作，爬梳許多史料，挖掘祕密的關鍵史...more
",https://www.books.com.tw/products/0010838637?loc=P_0003_003
4,敗走千里,陳登元,2019-07-03,"
駐日盟軍全面封殺 華文世界首見天日   一名戰敗士兵的親歷實錄   瞬間沸騰侵略國人民的敏感神經   打破華文世界教科書上抗日戰爭如何輝煌崇高且充滿理想主義的海市蜃樓!   昭和十三年(1938年)一刊行即賣破...more
",https://www.books.com.tw/products/0010825765?loc=P_0003_004
5,宛如飛翔(全十冊)(限量經典重現套裝版),司馬遼太郎,2019-01-04,"
司馬遼太郎三大長篇代表作之一 更貼近歷史真實，透過文學窮究國家走向的史傳文學鉅作   繼幕末的《龍馬行》，司馬以《宛如飛翔》描繪出明治日本破壞與重生的動盪年代，以及當時歐美列強覬覦下的日本、清國...more
",https://www.books.com.tw/products/0010810097?loc=P_0003_005
6,劍豪生死鬥(再版),南條範夫,2018-11-23,"
當信奉之理、追尋之夢徹底崩壞之際， 我將昂然而起，發出最深沉的怒吼與咆哮───   賭上性命的荒謬試合，揮灑出以血為墨的狂野繪卷   顛覆傳統武俠視野的最高經典   直木賞得主 南條範夫 X 劇畫王者 山口貴...more
",https://www.books.com.tw/products/0010805374?loc=P_0003_006
7,盜國物語：天下布武織田信長(上),司馬遼太郎,2017-05-25,"
★榮獲菊池寬賞   ★曾數度登上螢幕，改編成NHK大河劇、東京電視台開台40週年紀念時代劇等   前日本首相小泉純一郎推崇司馬遼太郎《盜國物語》《太閤記》《關原之戰》：讀了後明白了權力鬥爭原來是這麼一回...more
",https://www.books.com.tw/products/0010751281?loc=P_0003_007
8,盜國物語：天下布武織田信長(下),司馬遼太郎,2017-05-25,"
★榮獲菊池寬賞   ★曾數度登上螢幕，改編成NHK大河劇、東京電視台開台40週年紀念時代劇等   前日本首相小泉純一郎推崇司馬遼太郎《盜國物語》《太閤記》《關原之戰》：讀了後明白了權力鬥爭原來是這麼一回...more
",https://www.books.com.tw/products/0010751285?loc=P_0003_008
9,太閤記：天下人豐臣秀吉(全二冊),司馬遼太郎,2017-05-25,"
◆創造歷史的小說家司馬遼太郎，戰國系列最令人擊節讚賞的作品   豐臣秀吉的性格開朗、身段柔軟，擁有無人能及的商人智慧，在戰國日本武將爭霸史上，堪稱最懂得操弄人心的天才。他將天生的猴臉轉化成個人魅...more
",https://www.books.com.tw/products/0010753259?loc=P_0003_009
10,關原之戰(共三冊),司馬遼太郎,2017-05-25,"
關原之戰不僅是日本本土有史以來的最大規模戰爭，也是日本中世和近世的分水嶺。司馬遼太郎以恢宏的視角，詳盡鋪陳這場大戰從起因到終結的各個環節，以及兩大陣營的政軍情勢與攻防交錯、複雜糾葛的派系鬥爭...more
",https://www.books.com.tw/products/0010753254?loc=P_0003_010
11,盜國物語：天下布武織田信長(上、下),司馬遼太郎,2017-05-25,"
★榮獲菊池寬賞 ★曾數度登上螢幕，改編成NHK大河劇、東京電視台開台40週年紀念時代劇等   前日本首相小泉純一郎推崇司馬遼太郎《盜國物語》《太閤記》《關原之戰》：讀了後明白了權力鬥爭原來是這麼一回事...more
",https://www.books.com.tw/products/0010751274?loc=P_0003_011
12,盜國物語：戰國梟雄齋藤道三(上、下),司馬遼太郎,2017-04-27,"
★榮獲菊池寬賞 ★曾數度登上螢幕，改編成NHK大河劇、東京電視台開台40週年紀念時代劇等   前日本首相小泉純一郎推崇司馬遼太郎《盜國物語》《太閤記》《關原之戰》：讀了後明白了權力鬥爭原來是這麼一回事...more
",https://www.books.com.tw/products/0010750087?loc=P_0003_012
13,盜國物語：戰國梟雄齋藤道三(上),司馬遼太郎,2017-04-27,"
★榮獲菊池寬賞 ★曾數度登上螢幕，改編成NHK大河劇、東京電視台開台40週年紀念時代劇等   前日本首相小泉純一郎推崇司馬遼太郎《盜國物語》《太閤記》《關原之戰》：讀了後明白了權力鬥爭原來是這麼一回事...more
",https://www.books.com.tw/products/0010750088?loc=P_0003_013
14,盜國物語：戰國梟雄齋藤道三(下),司馬遼太郎,2017-04-27,"
★榮獲菊池寬賞 ★曾數度登上螢幕，改編成NHK大河劇、東京電視台開台40週年紀念時代劇等   前日本首相小泉純一郎推崇司馬遼太郎《盜國物語》《太閤記》《關原之戰》：讀了後明白了權力鬥爭原來是這麼一回事...more
",https://www.books.com.tw/products/0010750093?loc=P_0003_014
