,書名,作者,出版日期,內容介紹,網址
1,小島西岸的來信,羅莉．奈爾森．史皮曼,2020-05-11,"
感動全球數百萬讀者， 《生命清單》《原諒石》作者最新力作!   當你想到那個人、那件事時，臉上掛著的是笑容而非淚水，   你就知道自己正在痊癒中。   ✦ 德國年度暢銷第一名，作品累積熱銷300萬冊   ✦ 作...more
",https://www.books.com.tw/products/0010857429?loc=P_0002_001
2,飼養溫柔死神的方法(經典回歸版),知念實希人,2020-05-02,"
「我完全沒想到自己會哭出來，愛狗的人絕對無法抗拒的一本書!」 台日讀者淚流滿面推薦，千萬別在通勤時閱讀! 調皮搗蛋、貪吃耍賴，最喜歡的東西是香甜的泡芙! 當被貶至人間的高貴死神，被迫化身蓬鬆柔軟的...more
",https://www.books.com.tw/products/0010855734?loc=P_0002_002
3,維修專門店 貓庵：為需要的人出借肉球,尼野ゆたか,2020-04-15,"
讓猫店長修理壞掉的東西，助你一肉球之力吧?   要是重要的東西壞了，交給貓庵就沒問題。   《叫我對大哥》的山貓兄妹插刀繪製封面!   有貓就推!   會借肉球的貓更推!!   會修東西又會借肉球的貓推爆!!!   ...more
",https://www.books.com.tw/products/0010854693?loc=P_0002_003
4,生命清單[二版],羅莉．奈爾森．史皮曼,2020-04-06,"
每個人都該擁有屬於自己的生命清單。   ★ 長踞德國暢排行榜，熱銷130萬本!   ★ 售出全球35國版權   ★ 亞馬遜書店千名讀者4.6星級推薦   ★ USA TODAY暢銷書TOP 1   ★ 福斯2000即將開拍電影   ★ 誠品......more
",https://www.books.com.tw/products/0010854202?loc=P_0002_004
5,暖和和手套國【首刷贈祝福圖騰手帳貼】,小川糸,2020-04-01,"
★小川糸再次施展療癒文字魔法，延續《山茶花文具店》《閃亮亮共和國》的歡笑與感動   ★暖系小說與遊記版畫交織的愛之物語。   ★書前驚艷一頁暖和和軋型手套扉頁。   雖然不能握住你的手，手套就是我溫暖的...more
",https://www.books.com.tw/products/0010852914?loc=P_0002_005
6,這是花子獻給花子的花物語,木爾チレン,2020-03-25,"
我真正的戀愛，就從4.7吋的世界裡展開了。  孕育自命中註定的相遇，夢境與現實交織成不可思議的每一天。 跨越手機的愛與「溫柔的謊言」，改變了兩個人封閉的世界。    竭盡全力地在人生中掙扎到遍體鱗傷，...more
",https://www.books.com.tw/products/0010853165?loc=P_0002_006
7,小金蛇,A．L．肯尼迪,2020-03-07,"
★ 作者AL Kennedy入圍格蘭塔最佳年輕英國小說家之一、年度最佳柯斯達文學獎。 ★ 媲美《小王子》的現代寓言 ★ 英、法、義、西、加泰隆尼亞、德，爭相搶譯 ★ 李偉文/牙醫師、親子作家 溫暖推薦 ★ 硬殼精裝燙...more
",https://www.books.com.tw/products/0010850744?loc=P_0002_007
8,奇蹟寄物商(暖心回歸)：歡迎光臨桐島寄物店!一天只要一百圓，提早取回不退費，逾期則歸店主所有。,大山淳子,2020-01-19,"
歡迎光臨桐島寄物店! 一天只要一百圓，提早取回不退費， 逾期則歸店主所有。 破萬讀者熱烈討論，感傷又窩心的溫暖物語!  高級腳踏車、遺書、一只信封、重要的書…… 只要客人來寄物，一律來者不拒。 不管是...more
",https://www.books.com.tw/products/0010846464?loc=P_0002_008
9,櫻風堂書店奇蹟物語：串起星星的手,村山早紀,2020-01-04,"
憂愁的時候、悲傷的時候、寂寞的時候， 請推開櫻風堂書店的門扉吧， 奇蹟將從你踏進「書店」的一刻翩然降臨!   這是間遠到業務不想來、老到讀者不愛買的鄉下小書店。   愛書青年扛起重責，與貓咪、鸚鵡及...more
",https://www.books.com.tw/products/0010843526?loc=P_0002_009
10,最好的妳(暢銷珍愛版),克莉絲汀‧漢娜,2020-01-04,"
全美超過100萬人同時被感動! 美國網站選為歷年來最賺人熱淚的14本書之1(含《偷書賊》、《One Day》等) Goodreads書評網站、Amazon書店近10萬個讀者好評 作品被書評譽為「能觸動我們內心最深、最溫柔的那個...more
",https://www.books.com.tw/products/0010844616?loc=P_0002_010
