,書名,作者,出版日期,內容介紹,網址
1,暮光之城套書(1~4集),史蒂芬妮．梅爾,2020-11-30,"
貝拉從繁華的鳳凰城搬到偏僻且陰雨不斷的福克斯，她原本認為往後的日子會很無聊，但當她遇上神祕又迷人的愛德華之後，生活開始變得刺激有趣，心也深深地被吸引。    到目前為止，愛德華一家人身為吸血鬼的...more
",https://www.books.com.tw/products/0010498867?loc=P_0003_001
2,白楊林裡的房子,凱瑟琳‧K‧E‧歐姆斯畢,2020-11-03,"
獻給 渴望重獲自由的、急於改變現狀的，以及想要擁有機會、改變命運的人們    她拯救了他的生命，交換條件卻是他的人生。   小鎮由三個陰影主宰：   死亡索取生命、回憶主宰記憶，熱情則讓人陷入愛情裡。 ...more
",https://www.books.com.tw/products/0010873903?loc=P_0003_002
3,雲圖(三版),大衛．米契爾,2020-10-29,"
一個穿越古今未來一千年的靈魂，六趟奇異的生命旅程，以及一種不變的宿命 最能挑戰閱讀想像的小說，小說上癮者必讀! 榮獲比爾.蓋茲2020年夏日閱讀書單選書、英國國家圖書獎最佳小說獎、理查與茱蒂讀書俱樂...more
",https://www.books.com.tw/products/0010873674?loc=P_0003_003
4,善惡魔法學院：終極秘密手冊,蘇曼‧查納尼,2020-10-28,"
創立500年，善惡魔法學院「極機密」X檔案 故事內幕，完全解密!  不管你是自願或被綁架，歡迎來到善惡魔法學院! 這本手冊能幫你挖掘出，更多秘密與內幕 但最重要的是，幫你活命!  系列狂銷250萬冊!雄踞全球...more
",https://www.books.com.tw/products/0010873769?loc=P_0003_004
5,盜心任務(邊境3),伊洛娜．安德魯斯,2020-10-28,"
紐約時報排行榜常客伊洛娜‧安德魯斯作品——    歡迎來到邊境，兩個世界的無法地帶!   這裡是詐欺者和盜賊的棲身之地。    想轉行的小偷 ✕ 一心復仇的特務   雙盜聯手，誰先失守?    馬爾一家和祕密組織「手...more
",https://www.books.com.tw/products/0010873864?loc=P_0003_005
6,厭世機器人II：太空探索逃生手冊,瑪莎‧威爾斯,2020-10-14,"
機器人的叛逃之路，終點是──浪子回頭? 幽默、感動、絕無冷場，科幻史上最眼神死的苦命機器人! 讀者厭世共鳴度100%，看完齊呼：根本就是我! !!    浪機回頭金不換，   偷渡──是你最好的選擇!    脫離控制、...more
",https://www.books.com.tw/products/0010872772?loc=P_0003_006
7,五神傳說系列套書(全三冊),洛伊絲．莫瑪絲特．布約德,2020-10-08,"
——雨果獎最佳奇幻長篇系列—— 力壓《颶光典籍》、《階梯之城》等史詩暢銷作 《冰與火之歌》的權謀交織 ╳《刺客正傳》的人性掙扎 ╳《地海傳說》的哲學探究 凡人與眾神的意志，共同推動命運的輪軸…… ★《時光...more
",https://www.books.com.tw/products/0010871901?loc=P_0003_007
8,新月球帝國三部曲(最棒的月球小說.《血染新月》、《狼嚎時分》、《王者之戰》),伊恩‧麥克唐諾,2020-09-30,"
科幻小說權威雜誌《軌跡》讚嘆：「地表最強月球小說!」 Boing Boing站長說：「麥克唐諾從沒寫過爛小說!」 一個世紀以後，地球上的每一盞燈都會是月球人點亮的。 月球的局勢，就是全人類的大未來。 背叛者...more
",https://www.books.com.tw/products/0010870430?loc=P_0003_008
9,鋼鐵德魯伊故事集2：圍困,凱文．赫恩,2020-09-16,"
德魯伊的奇妙冒險! 地球上還隱藏著哪些不可思議的秘密與奇遇?   ▍紐約時報暢銷榜   ▍亞馬遜網路書店發燒奇幻小說   ▍空降尼爾森公信榜排行   ▍《出版人週刊》強力推薦   「超有趣的動作派小說。」   德魯...more
",https://www.books.com.tw/products/0010869957?loc=P_0003_009
10,哈利波特(2)：消失的密室【繁體中文版20週年紀念】,J.K.羅琳,2020-09-14,"
密室已經打開了! 傳人的仇敵們，當心了……  魔力席捲全世界超過200個國家 人類歷史上最暢銷的系列小說! 繁體中文版20週年紀念 台灣插畫家Krenz、Loiza繪製全新封面!    這個夏天結束前，哈利本來應該能夠順...more
",https://www.books.com.tw/products/0010869700?loc=P_0003_010
