,書名,作者,出版日期,內容介紹,網址
1,攀向自由：波蘭登山者們挑戰巔峰的黃金年代,柏娜黛．麥當勞,2020-12-03,"
|詹偉雄 策畫・選書.導讀──臉譜出版2020年全新山岳文學書系meters 作品| 生於二戰後飽受苦難的焦土國度， 波蘭登山家在物資極度缺乏、惡劣極權政府的壓迫下， 如何一躍成為世界頂尖隊伍，攀上世界群山，尋...more
",https://www.books.com.tw/products/0010874333?loc=P_0003_001
2,老人與海,海明威,2020-11-10,"
老人漁夫一連八十四天出海都沒有捕到一條魚，但他始終不肯認輸，再次獨自出海時，竟釣到一條比他的漁船還要大的馬林魚，這是幸運也是災難，因為無法將這龐然大物拖到船上，老人不得不將其綁在小船一側拖著...more
",https://www.books.com.tw/products/0010873309?loc=P_0003_002
3,白牙,傑克．倫敦,2020-11-04,"
敘述白牙幾經波折終於由狼變成狗的傳奇般經歷，以及如何從荒野中進入人類的文明世界。    白牙誕生於荒野中，幼年所見的是弱肉強食的世界，後來母狼帶著牠一起回到印地安主人的身邊，人類營地生活使牠性格...more
",https://www.books.com.tw/products/0010874827?loc=P_0003_003
4,摯友,西格麗德‧努涅斯,2020-11-01,"
哀傷很痛，思念更痛， 但是不再想你，一點也沒辦法讓我快樂起來。    {美國國家圖書獎獲獎名作}   {國際IMPAC都柏林文學獎決選入圍}   {誠品選書}   {博客來選書}   比爾.蓋茲、哈金──年度最愛好書    一...more
",https://www.books.com.tw/products/0010873970?loc=P_0003_004
5,天才少女福爾摩斯 2：左撇子女孩,南西·史賓格,2020-10-30,"
名偵探家族再出擊!   潛入維多利亞時代陰謀密布的倫敦，少女偵探開啟冒險事業!   經典「福爾摩斯」英倫推理x創意進化的青春成長    如果像樣的女人要符合社會準則，安於自己分內的位置，   那麼本小姐偏要...more
",https://www.books.com.tw/products/0010873521?loc=P_0003_005
6,書癡妮娜的完美生活,艾比．渥克斯曼,2020-10-28,"
出版即登上USA TODAY暢銷書   有焦慮的人請讀這本小說，隨著文字與妮娜一起重新定義「自己」的樣貌。了解焦慮不是自找麻煩，而是極其自然的事。   Goodreads讀者狂讚：「妮娜就是我們!」   妮娜.希爾：一...more
",https://www.books.com.tw/products/0010874141?loc=P_0003_006
7,寂靜的春天：自然文學不朽經典全譯本(二版),瑞秋．卡森,2020-10-28,"
連續31周登上《紐約時報》暢銷榜 全球銷量突破2,000萬冊 迅速譯成17種語言 20世紀最偉大自然文學作家瑞秋.卡森 啟發世界環境保護運動的暢銷代表作   ★國家文官學院年度選書   ★中小學生優良課外讀物推介「...more
",https://www.books.com.tw/products/0010873670?loc=P_0003_007
8,盜心任務(邊境3),伊洛娜．安德魯斯,2020-10-28,"
紐約時報排行榜常客伊洛娜‧安德魯斯作品——    歡迎來到邊境，兩個世界的無法地帶!   這裡是詐欺者和盜賊的棲身之地。    想轉行的小偷 ✕ 一心復仇的特務   雙盜聯手，誰先失守?    馬爾一家和祕密組織「手...more
",https://www.books.com.tw/products/0010873864?loc=P_0003_008
9,永夜漂流(二版)：喬治.克隆尼執導電影原著小說，Netflix即將上線!,莉莉‧布魯克斯－達爾頓,2020-10-21,"
喬治.克隆尼執導電影原著小說， Netflix即將2020年12月上線! ▎▎▎  即使身處世界盡頭，即使在戀人懷裡， 他依然無法說出自己很寂寞。  ▎▎▎    ★ 年度最愛小說.年度選書.圖書館指定讀物   ★ 美國國家書卷獎...more
",https://www.books.com.tw/products/0010873865?loc=P_0003_009
10,寂靜,唐‧德里羅,2020-10-16,"
「我不知道第三次世界大戰會用什麼武器， 但第四次肯定會用棍子和石頭。」 ──亞伯特‧愛因斯坦  寶瓶文化19周年隆重獻禮。 ★搶先英文版，全球首發★ 沒有煙硝的世界大戰。 唐‧德里羅寫給人類一部振聾發聵的...more
",https://www.books.com.tw/products/0010872994?loc=P_0003_010
11,天地一沙鷗：全新結局完整版 (收錄第四部),李察．巴哈,2020-10-14,"
★媲美《小王子》，二十世紀最具影響力的經典之作、全球熱賣破4,000萬冊，發行逾40種語言版本   ★蟬聯《紐約時報》暢銷榜長達38週、連續兩年稱霸《出版人週刊》暢銷榜   ★NBA傳奇球星柯比.布萊恩(Kobe Brya...more
",https://www.books.com.tw/products/0010872787?loc=P_0003_011
