,書名,作者,出版日期,內容介紹,網址
1,韓食點餐完全圖解：看懂菜單╳道地吃法╳實用會話，不會韓文照樣吃遍烤肉、炸雞、鍋物、海鮮市場等14大類正韓美食,Helena,2020-10-17,"
★地表最強，蒐羅最多美食選項， 帶你尋味常見韓式料理熱門美食╳不只是吃飽還要帶你吃門道★ ◎這不是一本店家介紹指南，而是教你「怎麼吃」道地韓食的攻略 ▲看不懂韓文單字，只能指著餐點照片或隔壁餐桌亂點...more
",https://www.books.com.tw/products/0010870966?loc=P_0003_001
2,臺北臺中米其林指南 2020,Michelin Travel Partner,2020-09-04,"
跟隨米其林指南，發掘台北與台中高質美味佳餚及酒店精選   本指南推薦逾200家餐廳及15家酒店 本書特色   米其林是追尋最佳餐廳的專家，其指南在世界各地均享負盛名，蔚為美食聖經，讓讀者能跟著一起發掘城...more
",https://www.books.com.tw/products/0010869140?loc=P_0003_002
3,台灣名產選物帖：外帶一份台灣味，精選一百件台灣必買在地伴手禮,超喜歡台灣 編輯部,2020-09-02,"
團購台灣美食伴手禮!重新開啟寶島小旅行 台式點心伴手禮總是可以收服人心，稱霸全世界啊! 這本書帶你吃遍爆買那些你可能不知道的秘密台灣味。   ■一靑妙嚴選：所長茶葉蛋「蛋願人長久/四囍蛋禮」   這是由...more
",https://www.books.com.tw/products/0010868202?loc=P_0003_003
4,櫻花樹下的鴛鴦茶,Mango Naoko,2020-08-20,"
平凡的生活，可能不夠新鮮刺激，卻充滿最貼地的生活感。   在這裡，你不會找到那種人生必去景點或日本最酷的潮流資訊，   卻能感受到另一種更寫實更樸素的感覺。...more
",https://www.books.com.tw/products/0010867254?loc=P_0003_004
5,繞著世界喝一圈,詹昌憲,2020-05-27,"
啜飲一口深邃的壯遊滋味   邀你用知識品酒、用常識旅行、用故事再造威士忌    跨越美洲、歐洲、非洲與亞洲，關於威士忌與人文史地的結合，不僅是單純的遊記或是酒款的品飲心得，而是在壯遊與各個酒款的精...more
",https://www.books.com.tw/products/0010857177?loc=P_0003_005
6,出張嘴，環島去：吃遍各地現撈海鮮、在地山產、特色美食，看見餐盤中的台灣風景,中華美食交流協會,2020-01-16,"
《尋味台灣》全新封面版   攤開未知的美食旅行地圖，   走訪在地人氣店家、古早味百年老店，   品嚐現撈活跳海鮮、新派川菜、   道地山東菜、北方麵食、原住民美食，   滿足你最挑剔的味蕾!    享受美食的...more
",https://www.books.com.tw/products/0010845660?loc=P_0003_006
7,百家素食餐廳、小吃、民宿全記錄套書(3冊)：蔬食多元異國料理、創意料理特刊+素食餐廳/小吃/民宿特刊+16道素食料理教學食譜,素食生活家編輯部,2019-08-30,"
★ 素食‧吃‧喝‧玩‧樂‧大搜密! ★ 蔬食多元異國料理、創意料理特刊+素食餐廳∕小吃∕民宿特刊+16道素食料理教學食譜，原始市價$298，優惠套組價只要$99! ★ 全台百餘家素食餐廳介紹+美食、養生、休閒、食譜，史...more
",https://www.books.com.tw/products/0010832210?loc=P_0003_007
8,食在大灣區,黃照康,2019-08-26,"
以香港的基建設施為骨幹，挑選珠海(經港珠澳大橋前往)、廣州(城際直通車至廣州東站轉地鐵)、佛山、鶴山(高鐵至廣州南站轉地鐵)、中山(經港珠澳大橋至珠海後轉巴士)、深圳(高鐵至深圳北站轉地鐵)、澳門(經...more
",https://www.books.com.tw/products/0010832469?loc=P_0003_008
9,鴛鴦茶餐廳,Mango Naoko,2019-08-25,"
在擁擠的車廂裡，匆忙推著行李箱立刻往出口走去。   因為日本是全部人下車之後才上車的，   不早點下車會麻煩到別人。   走快點，不早點下車就麻煩了。   「唔該!!!!!」   推著行李箱急著下車的我，   竟...more
",https://www.books.com.tw/products/0010831805?loc=P_0003_009
10,最新高雄美食散步地圖：在地老饕告訴你一定要去的168私藏美食全攻略，店家VS捷運超連結，不繞路、步行就到，吃遍韓粉小吃、老字號店、IG網美打卡餐廳、創意點心,銀翼飛翔,2019-07-10,"
雄好吃都在這! 在地老饕告訴你一定要去的168私藏美食全攻略 超詳細美食地圖， 店家VS捷運超連結， 不繞路、步行就到， 吃遍韓粉小吃、老字號店、IG網美打卡餐廳、創意點心， 告訴你GOOGLE地圖沒標的祕密好...more
",https://www.books.com.tw/products/0010827273?loc=P_0003_010
