,書名,作者,出版日期,內容介紹,網址
1,臺北老屋三生事,水瓶子,2020-10-20,"
人們為什麼守護老房子、欣賞舊建築?   新的不好嗎?因為故事，   老房子裡的前塵故舊、物是人非，   正是老房子最無可取代的迷人之處。   青田七六文化長、知名走讀講師水瓶子   繼《台北慢步》之後又一老...more
",https://www.books.com.tw/products/0010873537?loc=P_0003_001
2,寶島遊：大台北美景多II,藍色水銀,2020-10-01,"
這除了是一本旅遊散文攝影書，也是一本人文和心靈的寫真集。    ◎寶島遊系列，大台北美景多第二彈，再次為你獻上北北基28個景點賞玩攻略。   ◎大台北拍攝祕境披露+周邊景點小旅行規劃，賞景、拍照、散心、...more
",https://www.books.com.tw/products/0010871642?loc=P_0003_002
3,台北‧新北市‧宜蘭達人天書2020革新版,"Wow!編輯部,大紫",2020-04-23,"
首創WOW!MAP，出發前預先下載，在計劃行程時只要一掃想去景點的QR MAP，就可以自動為你編排行：交通導航、店舖資訊一目了然!編排行程從此輕鬆簡單    - 台北全新話題食店，草原風蒙古火鍋鬼獨的湯底讓食客...more
",https://www.books.com.tw/products/0010855307?loc=P_0003_003
4,Come here台北捷運一日小旅行,蔡蜜綺,2020-04-18,"
M+W+Y=台北最有意思的旅行方式 MRT(台北捷運)→以捷運站為起點 Walking(散步)→輕鬆漫步巷弄裡的有趣小店 Youbike(微笑單車)→騎著Youbike愜意享受悠閒時光 《Come here台北捷運一日小旅行》以捷運站為中心.....more
",https://www.books.com.tw/products/0010854631?loc=P_0003_004
5,IN新竹：市場學,支流有限公司,2020-04-10,"
●第一本從產業出發，結合旅遊、文化、生活的城市產物誌!   ●實力派插畫師牛奶人精心繪製封面，主題市場、人氣攤位大集結   ●專訪新竹特色市場，帶你看見最在地的新竹日常   深入新竹在地的日常生活，看見...more
",https://www.books.com.tw/products/0010854067?loc=P_0003_005
6,輕描淡水：速寫水岸・山色與街廓,林小南(小南方),2020-04-01,"
第一本全彩速寫淡水的深度導覽。   「畫畫是我的專業，唱歌是我的副業」南方二重唱之小南，   第一本用水彩速寫，帶路遊淡水的遊記。    • 隱匿山中步道、花園、小農市集與農莊   • 在水岸碼頭，欣賞天使...more
",https://www.books.com.tw/products/0010853148?loc=P_0003_006
7,GOOD EYE 台北挑剔指南：第一本讓世界認識台北的中英文風格旅遊書【全新改版】(中英雙語),郭佩怜等,2020-03-10,"
暢銷萬本、再刷不斷的台北中英文風格旅遊書 《GOOD EYE 台北挑剔指南》 全新改版，掌握台北最新資訊   300家優質好店   5大類旅遊資訊   WebApp搭配旅行   12條旅遊路線   1趟無可取代的回憶   帶你和你的...more
",https://www.books.com.tw/products/0010849839?loc=P_0003_007
8,北台灣：吃喝玩樂,林拓,2020-03-06,"
★ 台灣導遊最推薦的一套旅遊書!   ★ 台北、新北、宜蘭、基隆一本包辦。   ★ 最多的私房景點，最完善的路線規劃!   ★ 最佳旅遊、攝影、打卡工具書。   ★ 獨特設計捷運座標地圖讓你旅遊更便利。   最多的私...more
",https://www.books.com.tw/products/0010850854?loc=P_0003_008
9,台北宜蘭旅遊全攻略 2020-21年版(第 49 刷),"雷睿,黃琍琍",2020-01-21,"
大街小巷‧尋寶享樂   新收錄︰   新增米芝蓮美食推介、台北馬拉松實戰及淡海輕軌，另有素食餐廳、住宿、購物、打卡點介紹及親子遊景點特集。   送《好客民宿 Best 100 全攻略》：   好客民宿為台灣官方認...more
",https://www.books.com.tw/products/0010841633?loc=P_0003_009
10,台北親子遊 (2020-21年版),經緯文化,2020-01-21,"
不傷荷包 周末快閃台北   500個景點+食宿推介   免Plan行程!各區一日遊路線推介   台北捷運沿線行程懶人包；盤點信義百貨商圈、東區巷弄小店；漫遊近郊九份、猴硐、野柳輕旅行   噢爸!去台灣N次還需要理由...more
",https://www.books.com.tw/products/0010847320?loc=P_0003_010
11,台北王(2020年版),經緯文化,2019-11-15,"
大台北 食買玩!   人氣甜點大搜查   超可愛狗萌主特飲「雨田先生」、童話cup cake「Cup o story」、秀色可餐「Bonnie Sugar」   DIY創意手作仔   時間科藝體驗館、襪子故事館、創意和菓子、磁磚觀光工廠，...more
",https://www.books.com.tw/products/0010839515?loc=P_0003_011
