,書名,作者,出版日期,內容介紹,網址
1,北疆傳說：那年以來馬祖的美麗與哀愁,張麗霜,2020-07-17,"
是一本遊記，散文集，攝影集， 似戲劇，亦如電影。   金馬駐島作家張麗霜最新作品，它是所有想了解馬祖，去馬祖旅遊前必讀、必看的一本書。    作者張麗霜扮演獵奇探查的研究者行走馬祖離島，以貼近真實的...more
",https://www.books.com.tw/products/0010864885?loc=P_0003_001
2,浯江溪水依舊流：金門迎春,張麗霜,2019-08-27,"
隨著歲月列車鳴笛前進， 沿途的人事與景物有如浮光掠影， 到底在生命的軌跡裡刻印了多少與多深， 就像千年浪花拍打著的岩壁， 終究得等到某一日的現形， 才知道留下的是什麼。   這是一本述說著金門古往今...more
",https://www.books.com.tw/products/0010832823?loc=P_0003_002
3,離島，以及離島的離島：那些澎湖的人與事,蔡淑君,2019-01-30,"
如果你想得到安靜的片刻，就在風起的時候到澎湖吧。   身為澎湖人的作者，透過國外旅行找到自己對澎湖的眷戀，於是，她以文字，慢慢確認那些曾經發生在自己身上關於島的事，菜宅的遊樂場、冬天的土豆客廳...more
",https://www.books.com.tw/products/0010813293?loc=P_0003_003
4,浯洲鹽鄉~西園.後珩,黃振良,2018-12-01,"
西園與後珩是位於金門本島東北角海濱的兩個村子，北面隔海與小嶝島、角嶼僅三千公尺的直線距離，東北方隔著五龍山與官澳為鄰，東南方是浯坑與田墩，南面隔著大片鹽田與海面，再往前則是金龜山。...more
",https://www.books.com.tw/products/0010817906?loc=P_0003_004
5,六甲水濱之巔-浦邉-傳承鄉土的記憶,何志強,2018-12-01,"
有著僑鄉之稱的浦□，處於防禦戰略地位的最前線，擁有著單純樸實的生活步調，六甲之一的浦□有著豐富歷史人文史蹟，連繫著宗祠文化傳統。...more
",https://www.books.com.tw/products/0010817911?loc=P_0003_005
6,金門官澳風華,"林麗寬,楊天厚",2018-12-01,"
曾是金門重要殼倉，也是明代古官道終點站的故鄉官澳，地緣上只是坐落在金門東北端的濱海小村落，但在歷史舞台上，卻是不折不扣的大明星。明初的巡檢司城，官澳已然成為閩南海疆重鎮。...more
",https://www.books.com.tw/products/0010817913?loc=P_0003_006
7,泗湖屐痕,葉長茂等,2018-12-01,"
駟湖地名早在牧馬候陳淵拓墾浯州已出現，當年尚無村落，只是牧馬草坪或草寮，在水圳之旁的休息地水源育沃草，沃草飼良駿，長此而後駟湖由草寮而倉，由休憩而炊煙，從短歇而長往，而成聚落。遂有傳言中的三...more
",https://www.books.com.tw/products/0010817915?loc=P_0003_007
8,金門古崗玉笋傳芳,董水應,2018-12-01,"
古崗鄉位於金門西南偶，四面環山，腹地廣闊，其中涵括山林、湖泊、盆地、沙丘、海岸等地型、地冒景觀，可說是我們風景最為秀麗的自然聚落。...more
",https://www.books.com.tw/products/0010817918?loc=P_0003_008
9,后宅聚落風華,陳麗玉,2018-12-01,"
后座巍峨太武揚威觀四海，宅居內靈傑浯洲富豪看今朝，金色蒼蒼氣象新，甌泉滾滾榮新進...more
",https://www.books.com.tw/products/0010817919?loc=P_0003_009
10,東沙村史-綺麗東鄉-懷沙情深話東沙,王建成,2018-12-01,"
聚落裡有許多迷樣的故事，是真是假總是在街頭巷議中，只知道叔公與阿祖們曾經講過與經歷過的事事項項，好多好多均已隨著他們的相繼凋零而消失於人世間，我想追尋，追尋一種曼妙的奇幻之旅。...more
",https://www.books.com.tw/products/0010817921?loc=P_0003_010
