,書名,作者,出版日期,內容介紹,網址
1,MAP OF SHANGHAI STREET 上海市街道地圖,周宇廷,2018-05-26,"
*上海市街道圖   *上海市全圖   *上海行政區域圖   *上海地鐵路線圖   *豫園導覽圖   *中英對照 對開版...more
",https://www.books.com.tw/products/0010788927?loc=P_0003_001
2,MAP OF KOREA 韓國地圖,周宇廷,2018-05-26,"
●韓國全圖   ●濟州島地圖   ●首爾市中心街道圖   ●釜山導覽圖   ●首爾地鐵/國鐵路線圖   ◆對開 中英對照...more
",https://www.books.com.tw/products/0010788930?loc=P_0003_002
3,MAP OF KYOTO 京都街道圖,周宇廷,2018-01-01,"
●Downtown of Kyoto京都市中心街道圖   ●Kansai Int’l Airport Traffic Network關西機場交通網絡   ●Kyoto Municipal Subway京都市鐵路   ●Kyoto Munic......more
",https://www.books.com.tw/products/0010776775?loc=P_0003_003
4,香港九龍街道圖,周宇廷,2018-01-01,"
*香港/九龍地圖   *香港全圖   *香港地鐵觀光路線圖   *九龍街道圖   *香港島導遊圖   *機場快線穿梭巴士路線資訊   *香港地鐵週邊景點索引   *半開 中英對照...more
",https://www.books.com.tw/products/0010785691?loc=P_0003_004
5,越南、寮國、柬埔寨地圖,周宇廷,2018-01-01,"
●Vietnam.Laos.Cambodia   越南、寮國、柬埔寨地圖   ●Hanoi & Hoi An   河內全區、會安古鎮導覽圖   ●Da Lat / Hue Street Map   大勒、順化市街圖   ●Da Nang /......more
",https://www.books.com.tw/products/0010785692?loc=P_0003_005
6,MAP OF JAPAN日本地圖(中英文),周宇廷,2017-10-01,"
★日本全圖   ★北海道地圖   ★南西諸島全圖   ★台場/皇居/上野/大阪/奈良/京都/橫濱/神戶 中心街道圖   ★半開 中英對照...more
",https://www.books.com.tw/products/0010776348?loc=P_0003_006
7,MAP OF TOKYO東京街道圖,周宇廷,2017-10-01,"
★東京中心街道圖    ★上野/淺草/新宿/涉谷原宿/秋葉原街道圖   ★東京地鐵路線圖   ★半開 中英對照...more
",https://www.books.com.tw/products/0010776741?loc=P_0003_007
8,中國行政全圖 (防水鋁掛),周宇廷,2017-09-01,"
◆ 中國各行政區詳細標示   ◆ 各省省會、主要河川標示   ◆ 高速公路、鐵路網標示   ◆ 南海諸島位置圖   ◆ 教學、業務拓展、洽商、旅遊方面的好幫手   ◆ 採用鋁製掛軸裱褙、圖面裱防水膠膜，易收藏與保存...more
",https://www.books.com.tw/products/0010768015?loc=P_0003_008
9,中國行政圖,周宇廷,2017-08-01,"
●附：北京、上海中心街道圖、地鐵示意圖   ●中國位置圖   ●大陸主要城市現況   ●高速公路、鐵路網標示   ●南海諸島位置圖   ●青藏鐵路標示   ●全開版 108×78cm   ●比例尺 1：6,000,000...more
",https://www.books.com.tw/products/0010764996?loc=P_0003_009
10,中國(直式)行政地圖,周宇廷,2017-08-01,"
創獨家發行直式中國行政圖 比例尺 1：8,600,000   1. 直立式中國行政地圖(77X107CM)。   2. 高速公路、四縱四橫鐵路網、青藏鐵路標示。   3. 釣漁台列嶼、東沙群島、西沙群島、中沙群島、南沙群島及南海諸...more
",https://www.books.com.tw/products/0010764998?loc=P_0003_010
11,中國地形圖,周宇廷,2017-08-01,"
●附：北京、上海中心街道圖、地鐵示意圖   ●中國位置圖   ●大陸主要城市現況   ●高速公路、鐵路網標示   ●南海諸島位置圖   ●青藏鐵路標示   ●全開版 108×78cm   ●比例尺 1：6,000,000...more
",https://www.books.com.tw/products/0010765015?loc=P_0003_011
12,中華民國全圖(秋海棠版),周宇廷,2017-08-01,"
尺寸：107 x 77cm   ★依照民國64年內政部審定發行之老地圖複刻版   ★中華民國秋海棠地形與早期之行政區地圖   ★保留民國64年前之行政區地名、疆界、公路、鐵路名稱   ★比例尺 1：8,000,000 全開版...more
",https://www.books.com.tw/products/0010764993?loc=P_0003_012
13,自助遊一本就GO!麗江深度遊最強地圖導航書：完全圖解，本書抵過眾多導航APP，一個景點配一張地圖，免上網就能查吃喝玩樂購的最佳點,愛旅遊編輯部,2017-03-22,"
完全圖解，本書抵過眾多導航APP   一個景點配一張地圖，   美食導航、購物指引、乘車地點、少數民族分布圖，   免上網就能查吃喝玩樂購的最佳點     隨書附贈   最強交通和旅遊路線攻略地圖   大張拉頁彩...more
",https://www.books.com.tw/products/0010747223?loc=P_0003_013
14,中國行政立體圖,周宇廷,2016-09-01,"
大輿地圖本著「實用」、「好用」、「容易查詢」的唯用觀點，將原是一幅一幅的平面地圖拼接起來，將山脈與河流舖上顏色，經鑄模拉凸，讓立體地圖鮮活起來，提高學生學習地理課的興趣，也增強立體地圖的功能...more
",https://www.books.com.tw/products/0010731312?loc=P_0003_014
15,東京大步帖(四版),實業之日本社旅遊書編輯部,2015-12-11,"
東京好好玩!去了N次也不厭倦!因為東京很大、很廣、很有新意，短短假期要逛的透、逛的有學問，本書是您的不二之選。   本書以大地圖方式編排設計，介紹最道地的東京遊逛路線!將東京中心區以區域特性劃分為...more
",https://www.books.com.tw/products/0010697833?loc=P_0003_015
16,HONG KONG,RocaMoss Inc,2014-02-05,"
旅遊指南   以短暫停留所必訪的行程為骨架，剔除其他不完全必要的資訊   景點推薦以城市的歷史文化風貌為主軸，強調區域特色介紹   工藝設計   全彩高密度印刷技術創造出絲綢般的古典風格與精緻觸感   精...more
",https://www.books.com.tw/products/0010624669?loc=P_0003_016
17,BANGKOK,RocaMoss Inc,2014-02-05,"
旅遊指南   以短暫停留所必訪的行程為骨架，剔除其他不完全必要的資訊   景點推薦以城市的歷史文化風貌為主軸，強調區域特色介紹   工藝設計   全彩高密度印刷技術創造出絲綢般的古典風格與精緻觸感   精...more
",https://www.books.com.tw/products/0010624671?loc=P_0003_017
18,SINGAPORE,RocaMoss Inc,2014-02-05,"
旅遊指南   以短暫停留所必訪的行程為骨架，剔除其他不完全必要的資訊   景點推薦以城市的歷史文化風貌為主軸，強調區域特色介紹   工藝設計   全彩高密度印刷技術創造出絲綢般的古典風格與精緻觸感   精...more
",https://www.books.com.tw/products/0010624675?loc=P_0003_018
19,世界地圖(最新版),周宇廷,2012-05-01,"
本書為學生研讀世界地理的最佳參考用書，出國洽商、旅遊、求學最實用的工具書。一書在手 ,掌握全世界，各國相關資訊一目瞭然，精確詳實之世界各國地圖，公路、鐵路....等，地名標示清晰，全世界196個國家...more
",https://www.books.com.tw/products/0010551393?loc=P_0003_019
