,書名,作者,出版日期,內容介紹,網址
1,一個人的無謀小旅行,米果,2020-10-26,"
我想念一個人出國旅行的那個自己，非常非常想念。 你也想念日本了嗎?懷念那些說出發就出發的日子。 想念東京乾燥的空氣，帶著迷人透明度的藍天， 在路邊販賣機買的BOSS咖啡，甚至是曾經覺得吵的烏鴉啼聲。...more
",https://www.books.com.tw/products/0010873572?loc=P_0003_001
2,居日菜鳥の求生術：港人在日的生活攻略本,Mika,2020-09-11,"
香港人很多都愛日本，吃喝玩樂樣樣精，但講到在日本生活，則未必如你想像般簡單。   Mika於2016年到東京留學，及後留日工作至今，不但日語水平五級跳，連融入日本人圈子的能力都大躍進，菜鳥晉升達人：   ...more
",https://www.books.com.tw/products/0010870686?loc=P_0003_002
3,和日本文豪一起來趟小旅行：十勝瀑布、小諸城遺跡、北海道田野、栃木山景、群馬溫泉……漫步隱藏版迷人景點,"北原白秋,吉田絃二郎,岡本綺堂,岩野泡鳴,島崎藤村,島木健作,徳田秋聲,林芙美子,横光利一,田山花袋,芥川龍之介,若杉鳥子",2020-07-07,"
來趟由日本之北──北海道， 一路向南至鹿兒島的旅程吧!    與岡本綺堂在磯部的五月小雨中，   體會櫻樹冒出綠葉所觸發的生命感動；   和芥川龍之介一起登上殘雪的槍嶽，   偃松繁茂、冷霧環繞，坐看夕陽之...more
",https://www.books.com.tw/products/0010862671?loc=P_0003_003
4,張維中帶你遊日本系列套書(全三冊)：《日本，一日遠方(暢銷增訂版)》、《東京小路亂撞》、《日本小鎮時光》,張維中,2020-07-06,"
本套書組合：   《日本，一日遠方(暢銷增訂版)：發現隱藏版的日本!36個一定要走的經典輕旅行》、   《東京小路亂撞：走進東京的骨子裡，撞出東京散步人的日常風景!》、   《日本小鎮時光：從尾道出發，繞...more
",https://www.books.com.tw/products/0010862270?loc=P_0003_004
5,妖怪、貓島、富士山，我在日本旅圖中,王君瑭,2020-06-18,"
最有趣的日本文化謎說探險 帶你解謎日本鬼怪神話傳說、直擊忍者∕武士∕藝伎生存之道、搞懂醬油∕明太子的美食身世之謎…… ※警語：本書請小心閱讀‧笑太開形象有損 歷時45天的旅圖手繪日記， 一路從東京、仙台...more
",https://www.books.com.tw/products/0010858886?loc=P_0003_005
6,日本47個都道府縣深度遊：流行文化再認識,毛丹青,2020-04-10,"
跟着毛丹青的腳步，走遍了日本47個都道府縣，為您一一細說當地的風物人情：   村上春樹生活了19年的地方有一家千年「老字型大小」?   大江健三郞去莫言故鄉拜訪時為何紅了眼圈?   《千與千尋》中神奇湯池...more
",https://www.books.com.tw/products/0010854652?loc=P_0003_006
7,母子鐵道迷的旅行日誌,周筱瀠,2020-04-01,"
足跡踏遍全日本，親子鐵道之旅全紀錄，熱門路線與私房玩法一次公開!    ◎日本鐵道之旅完整收錄，從東京、川越、岡山、四國至北海道，豐富的中日文描述，不論台灣或日本讀者都能快速上手。   ◎作者長居日本...more
",https://www.books.com.tw/products/0010853171?loc=P_0003_007
8,卡瓦納╳續日本100名城完全制霸(附《攻城筆記》小冊),卡瓦納,2020-02-26,"
攻城師們，出征了! 全台第一本續百名城指南   只有卡瓦納可以超越卡瓦納；讓續名城超越百名城。   新增攻城筆記──腳踏車、寄物箱等資訊，更勝日本官方版，讓你攻城更順利!   一場攻城師的名城遍路，一段壯...more
",https://www.books.com.tw/products/0010850224?loc=P_0003_008
9,日本鳥居大圖鑑：從鳥居歷史、流派到建築樣式全解析,,2020-02-17,"
鳥居自古即被視為神界與人間的分界， 穿過鳥居便等於進入了神聖的領域。 究竟具有結界作用的鳥居起源為何? 神明鳥居與明神鳥居在外觀上有何不同? 讓我們一起探訪日本56座神社， 聆聽神靈傳說、領略鳥居之...more
",https://www.books.com.tw/products/0010847433?loc=P_0003_009
10,日本，一日遠方：發現隱藏版的日本!36個一定要走的經典輕旅行(暢銷增訂版),張維中,2020-02-17,"
張維中說：「跟著我從北到南，玩懂全日本就從這一本!」 發現隱藏版的日本!36個一定要走的經典輕旅行 《日本，一日遠方》暢銷增訂版!   全新特別收錄──   千葉佐原∕百年歷史水鄉、箱根∕時光的通行、   伊豆...more
",https://www.books.com.tw/products/0010848806?loc=P_0003_010
11,一年的時間浪費在日本,陳儀芬,2020-02-12,"
「嗨!我阿芬。人生不知道可以幹嘛時，我去了日本打工度假， 原以為可以談段異國戀情，或被挖掘成為下一個徐若瑄，卻什麼奇蹟都沒發生。 但浪費在日本這一年，相遇的人、吃過的店，似乎讓我的人生有些不一...more
",https://www.books.com.tw/products/0010846805?loc=P_0003_011
12,法喜充滿參拜趣!【佛像圖鑑】雙套書+日本進口線香 (東京.鎌倉佛像圖鑑+東海佛像圖鑑),田中弘美,2020-01-22,"
法喜充滿參拜趣!超人氣佛像鑑賞X深度旅遊書優惠組，限量特價! 《東京.鎌倉佛像圖鑑》+《東海佛像圖鑑》+【日本香堂】進口線香乙盒， 原價1080元，特價899元!   ★日本知名佛像插畫家、散文家田中弘美，佛像...more
",https://www.books.com.tw/products/0010846504?loc=P_0003_012
13,日本真風貌：中田英壽行遍20萬公里，只為遇見日本之最,中田英壽,2020-01-21,"
「我對日本一無所知，有些事必須走遍47都道府縣才會知道。」——中田英壽   日本傳奇足球員「中田英壽」耗時6年半、行遍20萬公里，只為遇見日本的「技藝」與「心」。      意識到自己其實並不熟悉日本的中田...more
",https://www.books.com.tw/products/0010842430?loc=P_0003_013
14,東海佛像圖鑑：佛像圖解X參拜巡禮，來趟法喜充滿的心靈小旅行!,田中弘美,2020-01-15,"
莊嚴肅穆的優雅佛像x法喜充滿的參拜巡禮!   一次讀懂東海三縣(愛知、岐阜、三重)107尊佛像，知識滿載全圖解!   ★日本知名佛像插畫家、散文家田中弘美，佛像圖鑑代表作第二彈。   ★看圖就看懂，純手繪的精...more
",https://www.books.com.tw/products/0010845742?loc=P_0003_014
15,日本名城巡禮：重返戰國風華，建築X歷史X文化X旅遊,黃昱凱,2020-01-10,"
感受日本戰國時期事蹟!武將奮戰精神! 體驗日本文化!認識城郭精緻之美!   仙台城、江戶城、名古屋城、大阪城、姬路城、廣島城、福岡城   走遍日本，拜訪31個特色城郭   從城郭認識日本建築、歷史、文化、旅...more
",https://www.books.com.tw/products/0010844979?loc=P_0003_015
16,開始在日本自助旅行(最新版),牛奶杰,2020-01-10,"
這是一本全方位的實用指南   集結作者近20年自助旅日的實戰經驗，極其詳盡，讓你聰明精玩全日本各地   本書通盤整理你可能會遇到的一切問題，並給出超優的解決方案。   使用本書，你將更加篤定如何規畫專...more
",https://www.books.com.tw/products/0010845812?loc=P_0003_016
17,東京.鎌倉佛像圖鑑：佛像圖解X參拜巡禮，來趟法喜充滿的心靈小旅行!,田中弘美,2020-01-02,"
莊嚴肅穆的優雅佛像x法喜充滿的參拜巡禮!   一次讀懂東京.鎌倉83尊佛像，知識滿載全圖解!   ★日本知名佛像插畫家、散文家田中弘美，佛像圖鑑代表作第一彈。   ★看圖就看懂，純手繪的精緻畫風，絕對令你大...more
",https://www.books.com.tw/products/0010844242?loc=P_0003_017
18,用JR PASS輕鬆玩西日本(最新版),"摩那卡,瓦拉比",2020-01-01,"
使用JR PASS漫遊日本城鄉小鎮   於特定天數中無限搭乘，省錢方便   以有限預算讓人多日旅程輕鬆走跳   ●六大JR PASS：帶領讀者暢遊關西、四國、山陰山陽、北陸、九州   ●每日行程推薦：路程、車資、時間，...more
",https://www.books.com.tw/products/0010844089?loc=P_0003_018
19,原來如此!日本名勝景點趣聞物語,李仁毅,2019-12-26,"
外行看熱鬧，內行看門道，去日本玩不再「知其然卻不知其所以然」!   72個日本熱門旅遊景點，每一個隱藏在景點裡的細節，都有滿滿的歷史與故事，   一起來趟輕鬆愉快的日本時空之旅!      ★雄獅旅遊 主題旅...more
",https://www.books.com.tw/products/0010844109?loc=P_0003_019
20,日本鐵路便當學問大：便當裡的故事,朱尚懌（Sunny）,2019-12-06,"
便當控、鐵道迷必看!80種鐵道便當美味大公開! 代表日本飲食文化的壽司竟不是日本人發明的? 超過百年歷史的日本鐵道便當也有熱的?   從日本黑毛和牛、黑豚、古代漁民料理的深川鰻魚，   盛岡「尚青」的鮭魚...more
",https://www.books.com.tw/products/0010841526?loc=P_0003_020
21,玩日本排行程超簡單西卷：關西‧北陸‧山陰山陽‧四國‧九州‧沖繩，圖解39條行程規畫路線X景點X交通X住宿X票券X美食全制霸,呂宛霖‧吳佳臻‧墨刻編輯部,2019-11-28,"
MOOK全新系列日本行程書，日本經典行程完全收錄! 資料太~~多~~啦~~~ 東西兩冊‧日本輕輕鬆鬆 全‧制‧霸! 想去日本，自遊行當然是王道!但要怎麼規劃行程呢? 先決定你要去東邊，還是西邊吧! 【本書特色】 1.西...more
",https://www.books.com.tw/products/0010839936?loc=P_0003_021
