,書名,作者,出版日期,內容介紹,網址
1,關西近郊攻略完全制霸2020-2021,墨刻編輯部,2020-09-19,"
去關西不要只玩京阪神啦! 你知道近郊城市也超值得去的嗎?像是… →和京都一定要連在一起玩的「奈良縣」~ →京都出發只要10分鐘車程就能到擁有日本最大湖泊琵琶湖的「滋賀縣」! →從大阪搭上電車，1小時就能親...more
",https://www.books.com.tw/products/0010870102?loc=P_0003_001
2,行家也驚嘆的關西鐵道百科：鐵道迷也沒讀過的關西私鐵深度踏查﹝暢銷紀念版﹞,黑田一樹,2020-08-21,"
雖然無法出國享受鐵道樂趣，但透過這本百科， 讓對鐵路有興趣的你，也能一窺日本名匠大師的世紀鉅作! 每一列電車的誕生，都是一件充滿迷人細節的事； 以5個關鍵詞，深入5家關西私鐵的魅力本質。    日本因...more
",https://www.books.com.tw/products/0010867067?loc=P_0003_002
3,京阪神攻略完全制霸2020-2021,墨刻編輯部,2020-07-30,"
!京阪神制霸2020年版，全面更新中! 各位讀者久等了! 經過一年的等待，最新版本的京阪神攻略完全制霸內容重新勘誤，提供最新!最正確!最實用!的旅遊資訊! 關於出門旅遊這件事，你有強烈的不安全感嗎? 維持制...more
",https://www.books.com.tw/products/0010863604?loc=P_0003_003
4,私奔關西三十三,鬍狼,2020-03-01,"
不需藉口，只需勇氣，跟著鬍狼來場屬於自己的私奔關西三十三天。   不會攝影：唸美工科，卻連光圈、快門也弄不懂。   不會畫畫：當水彩助教也被老師換掉，畢業後也不再碰水彩。   不會日語：在日本33天，...more
",https://www.books.com.tw/products/0010849569?loc=P_0003_004
5,開始在關西自助旅行(京都‧大阪‧神戶‧奈良)(新第四版),King Chen,2020-02-12,"
痞客邦第二屆休閒旅遊潛力獎得主 King Chen，   部落格累積人氣破千萬，暢玩關西旅遊指標!   2020全面更新修訂   史上最強19種交通票券詳解攻略!   主題行程 X 路線規畫 X 地圖指引   玩家極選推薦，直接...more
",https://www.books.com.tw/products/0010848825?loc=P_0003_005
6,愛欲京都,姚巧梅,2020-02-07,"
二十五歲那一年，姚巧梅與母親一起出遊京都嵐山，母女倆駐足渡月橋，瞭望無邊的春色。彼時彼景遺世靜寂，姚巧梅深為所動，埋下前往京都深造的種籽。如今舊地再訪，「同遊的母親已作古多年，而我，也開始長...more
",https://www.books.com.tw/products/0010848363?loc=P_0003_006
7,京阪神旅遊全攻略2020-21年版(第 24 刷),鄭兆臻,2020-01-21,"
全面更新10% 消費稅實行後的內容，全書496頁走訪京阪神奈(京都.大阪.神戶.奈良)以及和歌山(貓駅長)，另有「大阪、京都及鳥取米芝蓮餐廳」達十多家。大阪方面新增木津市場、摘草莓及話題餐廳，並走進1970年...more
",https://www.books.com.tw/products/0010847304?loc=P_0003_007
8,大阪滋味：美食記者私藏的大阪街區美味情報,江弘毅,2020-01-16,"
《大阪。職人。酒食：漫步大阪街區的59種美味》暢銷再版   59間來自大阪不同街區的美味餐館，   反映了大阪的詼諧、熱情以及明快，   是美食網站或旅遊評價難以呈現的大阪日常景象。   這次，別當旅人，  ...more
",https://www.books.com.tw/products/0010845724?loc=P_0003_008
9,關西食素!美味蔬食餐廳55選,山崎 寬斗,2020-01-09,"
活力十足的熱鬧大阪，閒適風雅的千年古都京都，   洋溢異國風情的文化港都神戶，   走跳關西京.阪.神三大地區必備，   一路暢遊享受美味的素食指南!    繼《東京食素 美味蔬食餐廳47選》之後，   眾所期待...more
",https://www.books.com.tw/products/0010845788?loc=P_0003_009
10,Tripful 京都,梁美錫,2020-01-07,"
尋訪名寺/好店/名物/好食‧2020至高の京都提案 在冷門的街道發現當地人守護的傳代小店，在熱門的景點挖掘歷史和背後的故事 Tripful 帶你發現旅行與眾不同的魅力點   不只是在京都「旅行」，而是專注體會「...more
",https://www.books.com.tw/products/0010844755?loc=P_0003_010
