,書名,作者,出版日期,內容介紹,網址
1,北歐：丹麥‧挪威‧瑞典‧芬蘭,地球步方編集室,2020-05-21,"
★圖解哥本哈根、奧斯陸、斯德哥爾摩、赫爾辛基特色景點。 ★詳細的城市散步地圖，景點、美食、住宿、歷史小趣聞一網打盡。 ★特別企劃哥特蘭島中世紀城鎮風貌、極光鑑賞指南、北歐知名設計品牌大集合、絕對...more
",https://www.books.com.tw/products/0010857665?loc=P_0003_001
2,北歐聖奧拉夫朝聖之路：從瑞典到挪威六百公里徒步回家的故事,李清玉,2020-04-06,"
世界上最北的朝聖之路──「聖奧拉夫路徑」 台灣第一本完整記錄之書   朝聖即回「家」，往自己的「心」前行。   透過身體的徒步，向真實的自我靠近。   ◆「南有西班牙的聖地牙哥，北有挪威的尼達羅斯」   尼...more
",https://www.books.com.tw/products/0010853065?loc=P_0003_002
3,開始在瑞典自助旅行(最新版),"潘錫鳳,陳羿廷",2020-03-12,"
以斯德哥爾摩為主， 深度導覽10大必訪城市 詳盡地圖索引，購票教學全面圖解化 每日行程路線規畫X食宿推薦X交通指南 帶你輕鬆攻略瑞典全地區!   全面更新，提供最前線資訊!   10大城市：哥德堡、赫爾辛堡、...more
",https://www.books.com.tw/products/0010851477?loc=P_0003_003
4,北歐─丹麥‧挪威‧瑞典‧芬蘭,蔣育荏‧墨刻編輯部,2020-02-22,"
北歐其實沒有想像中的那麼遙遠 一提起北歐，感覺彷彿遙不可及，一方面，她在地理上位於地球的另一端，另一方面，她也甚少在台灣人日常接觸的流行文化裡露臉。於是乎，我們對於北歐往往只有一知半解的模糊...more
",https://www.books.com.tw/products/0010849381?loc=P_0003_004
5,北歐極光旅行：芬蘭、瑞典、挪威，自助規劃 X人氣景點X極地活動，此生必去夢想旅程超完整規劃!,辛翠芸,2019-12-14,"
芬蘭、瑞典、挪威， 世界上最適合追極光的地區! 拜訪聖誕老人的故鄉、跨越北極圈、體驗驚奇冰上活動、奔向森林追極光… 乘坐馴鹿雪橇、世界最美健行路徑、不凍港峽灣風光、搭纜車登頂看極光… 沿著北緯66.5...more
",https://www.books.com.tw/products/0010842233?loc=P_0003_005
6,霸氣窮遊 冰島‧法羅群島,Charo&Cheric K,2019-12-12,"
關於霸氣，不一定粗獷，關於窮遊，不一定草率，   尋找屬於霸氣與窮遊之間的詩意，我們霸氣得細膩，窮遊得寫意。    Charo和攝影師Cheric遊歷世界各地，由書寫及拍攝冰島開始，創作出文學攝影遊記《霸氣窮...more
",https://www.books.com.tw/products/0010844058?loc=P_0003_006
7,開始在北歐自助旅行(全新增訂版),武蕾,2019-10-11,"
全新增添32頁芬蘭精華介紹   以及丹麥、瑞典、挪威資訊的全面更新   透過旅居當地作者的帶路，讓你重新認識北歐4國   持續排名全球前十大幸福國度的芬蘭、丹麥、挪威、瑞典   以自然純淨的生活步調，簡約...more
",https://www.books.com.tw/products/0010836513?loc=P_0003_007
8,太愛玩，冰島：新手也能自駕遊冰島，超省錢的旅行攻略,Gavin,2019-08-07,"
追極光、泡溫泉、賞瀑布、登火山……   詳細的自駕資訊、絕美的私房景點，   5天重點玩、10天完整玩、15天優閒玩，   不管幾天都能感受冰島好!好!玩!   跟著本書一起體驗高CP值的行程，探索冰與火相互交織的...more
",https://www.books.com.tw/products/0010829898?loc=P_0003_008
9,開始在冰島自助旅行(最新版),林佩儀,2019-07-12,"
全書資訊修訂更新! 必看!冰島首屈一指熱門景點全攻略   雷克雅維克、藍湖溫泉、金圈、岱堤瀑布、米湖……   帶你追尋幸福極光、遊覽宏觀瀑布、健行壯麗冰河   品嘗傳統經典美食燻羊肉、古怪食物鯨魚肉，以及...more
",https://www.books.com.tw/products/0010827382?loc=P_0003_009
10,克里斯帶路!第一次自駕遊冰島：規劃、景點、追極光……經典9天行程完全攻略!,克里斯,2019-07-11,"
熱愛旅遊，更愛分享旅遊!   一探冰島的魅力、自駕遊的樂趣一目瞭然，馬上出發!   第一次自駕遊的最佳幫手!   ◇ 9天的環島全行程、路線解析   ◇ 追極光&簡易拍攝技巧   ◇ 租車、加油、停車注意事項、門票購...more
",https://www.books.com.tw/products/0010823043?loc=P_0003_010
11,這就是北歐人：從食衣住行育樂了解北歐生活,李清玉,2019-07-01,"
這不是旅遊指南，也不是旅行遊記，更非一個嫁到挪威的媳婦碎碎唸的異鄉生活報告書!   這是一個喜歡旅行的台灣女子，最後結婚落腳北歐，誠懇的想要分享多年來北歐人、北歐生活帶給她的感動，以及從北歐生活...more
",https://www.books.com.tw/products/0010826163?loc=P_0003_011
12,冰島深度之旅：Guide to Iceland專欄作家的超詳盡景點攻略,Lau Yuet Tan,2019-05-01,"
傳奇國家足球隊、鬼斧神工的自然景觀、追極光祈願一生幸福…… 這個只有33萬人的島國，在全世界帶來一股觀光熱潮， 你一定也知道，冰島正夯!   作者「冰島島民」定居冰島，同時也是冰島最大旅行平台「Guide ...more
",https://www.books.com.tw/products/0010820093?loc=P_0003_012
13,曬冰島 UNLOCK ICELAND：住在冰島才知道的70個迷人小事、小店、小旅行,Becky,2019-04-23,"
【網路口碑推薦+詢問聲量最高】   UNLOCK ICELAND創辦人   台灣在地私人導遊Becky的文化觀察與私房景點   ▍生活 ╳ 文化 ╳ 旅行 ╳ 品牌 ╳ 冷知識 ▍   ★隨書贈精緻【手繪冰島地圖】拉頁海報★   ★嚴選12......more
",https://www.books.com.tw/products/0010818970?loc=P_0003_013
14,開始在挪威自助旅行(新第四版),林庭如,2019-02-14,"
前往遙遠北歐之土   深入探訪峽灣壯麗景致   遠眺瀑布飛射流竄的華美風光   第四度全面更新的挪威自助之旅，帶你深入異界之美!   以自然峽灣美景享譽全球的挪威，   透過冰河鬼斧神工之力，   將峽灣刻成...more
",https://www.books.com.tw/products/0010813409?loc=P_0003_014
15,世界攝一圈：冰島夢幻絕景,流浪攝,2018-12-28,"
流浪攝經過香港攝一圈系列後，這一次帶我們衝出香港，第一站就是他們近來經常舉辦攝影旅行團的國家──冰島。全書將冰島分為東南西北4個地區，每個區域會描寫6-10地點，透過拍攝到絕美相片，帶出各個地點上...more
",https://www.books.com.tw/products/0010809650?loc=P_0003_015
16,環球極光攻略,黃莉娜,2018-11-09,"
一本極光旅遊必讀天書!   ‧介紹不同地方、時節欣賞極光最佳時刻   ‧準確GPS定位各地極光最佳觀賞點   ‧教你如何在飛機上欣賞極光   ‧教你掌握拍攝極光各種技巧   作者綜合其歷年來暢遊全球多國追蹤極光經...more
",https://www.books.com.tw/products/0010804604?loc=P_0003_016
17,冰島,陳蓓蕾‧墨刻編輯部,2018-09-15,"
冰島的美，讓平時不常親近大自然的人，也畢生難忘。 讓去過的人，腦海中一再回味，計畫下一次的重返。 人口只有33萬的冰島，每年卻吸引了超過220萬的旅遊人潮。 這座遺世獨立的孤島，曾經歷經金融海嘯破產...more
",https://www.books.com.tw/products/0010798398?loc=P_0003_017
18,芬蘭與波羅的海三國繪旅行：最美好的北國假期，一路驚喜再發現,文少輝,2018-08-08,"
★《最完美的瑞士之旅》暢銷書旅遊作家，2018最新旅遊導覽 ★   一生中能有多少次機會，   踏上世界最北方的土地?   令人心生嚮往的深度旅行、極致風景、世界文化遺產、地道美食，   芬蘭、愛沙尼亞、拉脫維...more
",https://www.books.com.tw/products/0010794521?loc=P_0003_018
19,冰與火的國度 ICELAND(全新修訂版),Wallace Woo,2018-08-01,"
時尚之地.設計之都.美食天堂   Fashion Land, Design City, Food Paradise   Come & Get Adventure   See What You Have Never Seen   The Am......more
",https://www.books.com.tw/products/0010697772?loc=P_0003_019
20,卡瓦納X冰島：極光、冰川、藍冰洞、神級行程全攻略〈附廁所地圖書衣+全島景點GPS〉,卡瓦納,2018-07-25,"
★最狂旅遊作家卡瓦納新作、最高品質保證，美景、故事、歷史、攻略一次滿足   ★回頭率100%的旅遊勝地，全台灣部落客都在瘋冰島   ★詳盡度、實用度最高的冰島旅遊聖經，自助、跟團、在家閱讀消遣必備   ★買...more
",https://www.books.com.tw/products/0010791535?loc=P_0003_020
21,開始在冰島自助旅行,林佩儀,2018-04-12,"
必看!冰島首屈一指熱門景點全攻略   雷克雅維克、藍湖溫泉、金圈、岱堤瀑布、米湖……   帶你追尋幸福極光、遊覽宏觀瀑布、健行壯麗冰河   品嘗傳統經典美食燻羊肉、古怪食物鯨魚肉，以及當地人喜愛的甘草糖...more
",https://www.books.com.tw/products/0010783697?loc=P_0003_021
22,冬秋冬冬：香港人的北歐生活手帳,挪威的三文,2018-01-12,"
一個香港人，   將分享她在北歐渡過的多個「冬秋冬冬」，   帶大家認識這個神秘的樂土!   作者於瑞典讀大學，回港感覺不適應，毅然到遙遠的國度執業、生活，並建立家庭!此書以作者自身對北歐的認識，及從...more
",https://www.books.com.tw/products/0010776211?loc=P_0003_022
