,書名,作者,出版日期,內容介紹,網址
1,開始在捷克自助旅行,露露(黃以儒),2020-01-01,"
捷克，歐洲中少數未被戰爭波及的國度，   這裡擁有完整的中古街道及最多的古城堡，   首都布拉格更是首座世界文化遺產。   漫步於城堡區及小城區時，你可以欣賞雄偉的聖維特大教堂，   也可以到佩特辛公園...more
",https://www.books.com.tw/products/0010844081?loc=P_0003_001
2,捷克‧布拉格(新第三版),張雯惠（Christy）,2019-02-01,"
佳評如潮，暢銷第三版!   由首位合法持有捷克導遊、歐盟領隊雙證的台灣人，「布拉格，乾杯吧。」粉絲專頁版主撰寫，   店家資訊全面修正，提供最即時、最在地的布拉格旅遊情報!   ●必買!Rimowa行李箱、施...more
",https://www.books.com.tw/products/0010812383?loc=P_0003_002
3,斯洛伐克經典,高嵩明,2018-09-20,"
台中市的活力文化咖啡館館長─高嵩明老師，是史上第一位也是目前唯一榮獲捷克共和國頒發「國家之友獎」殊榮的台灣人，這是捷克共和國為了感謝對捷克有特殊貢獻者所頒贈的獎項。2009年他的第一本著作《捷克...more
",https://www.books.com.tw/products/0010798939?loc=P_0003_003
4,布拉格歷險趣,林小薰,2018-08-20,"
布拉格最親民的在地玩家 X 最完整的玩.購.食.宿全攻略  就是要你來 感受碰碰跳的歐洲心臟!    本書由旅居捷克十三年的玩家書寫，捷克之於她，比起第二故鄉更像情人，聽她傾訴這份深深的眷戀，有如在星光點...more
",https://www.books.com.tw/products/0010795485?loc=P_0003_004
5,我在伏爾塔瓦河畔翩翩起舞―Jolyn的捷克漫遊日誌,楊巧翎 Jolyn,2018-08-12,"
在布拉格的午後，   時而跨越伏爾塔瓦河，走到舊城廣場的卡夫卡咖啡館；   時而到伏爾塔瓦河畔的斯拉維亞咖啡館，   凝視著這條守護捷克的母河，照映著城市的光景。   悠長的伏爾塔瓦河見證了捷克所經歷的...more
",https://www.books.com.tw/products/0010794150?loc=P_0003_005
6,捷克 波蘭 斯洛伐克,地球步方編集室,2018-06-21,"
以建築、啤酒和懸絲木偶等聞名的捷克；即使經歷鄰國侵略的動盪時代，依然成功復興的波蘭；擁有雄偉大自然的斯洛伐克……這三個東歐國家相互比鄰卻又各自擁有不同的風貌，且跟著《地球步方》，從各個面向探索...more
",https://www.books.com.tw/products/0010789721?loc=P_0003_006
7,東歐─奧地利‧捷克‧匈牙利‧斯洛伐克,汪雨菁‧黃浩雲‧墨刻編輯部,2018-01-20,"
坊間唯一由專業團隊親自採訪的第一手旅遊資訊導覽書 收錄奧地利、捷克、匈牙利和斯洛伐克等四國的東歐旅遊錦囊。 ◎集結東歐四國景點，內容最詳實、介紹最完整 本書集結了東歐最主要的四個國家──奧地利、捷...more
",https://www.books.com.tw/products/0010775493?loc=P_0003_007
8,布拉格HOLIDAY：慕夏繪畫、尖塔建築、捷克啤酒、童話木偶、波西米亞狂歡節，一本就GO!(附可拆式全幅地圖&地鐵圖),孟智娜,2017-10-04,"
史上最完整!超豐富路線規劃，懶人出遊一把包! 5條詳細推薦路線×10種主題之旅×10項必吃必買規劃×151個景點&店家 可拆式全幅地圖&地鐵圖，輕鬆找路不NG 囊括老城區‧新城區‧猶太人區‧布拉格城堡&小城‧佩特任...more
",https://www.books.com.tw/products/0010765022?loc=P_0003_008
9,布拉格自助超簡單(二版),彭欣喬,2017-10-01,"
造訪黃金小巷、尋覓卡夫卡的蹤跡，漫步舊城廣場、一睹天文鐘的精緻工藝，穿梭布拉格，盡享巴洛克風情!   布拉格主要分為城堡區、小城區、舊城區、猶太區、高堡區和新城區等六大區塊，其中又以布拉格城堡、...more
",https://www.books.com.tw/products/0010766276?loc=P_0003_009
10,魚的捷克旅行手記(二版),趙于萱,2017-03-29,"
一起幸福的深度慢旅 在美得令人捨不得眨眼的捷克       我確定，上輩子我一定是欠了不少債的捷克人，所以才會在一場又一場美麗的意外中，來到這前世的熟悉城市，還清了金錢債，換得了一場難忘溫馨的回憶……...more
",https://www.books.com.tw/products/0010747366?loc=P_0003_010
11,捷克‧匈牙利,蒙金蘭‧汪雨菁‧墨刻編輯部,2017-03-18,"
坊間唯一由專業團隊親自採訪的第一手旅遊資訊導覽書 完全符合台灣人旅遊習慣和喜好 不論跟團或自由行，一本在手，玩出精彩! ◎歐洲國家這麼多，為什麼一定要選捷克和匈牙利? 不同於歐洲眾多國家，捷克和匈...more
",https://www.books.com.tw/products/0010746374?loc=P_0003_011
12,捷克經典：5星級的捷克文化深度導遊(暢銷增訂版),高嵩明,2017-01-02,"
一位深受捷克名人禮遇的達人， 一本驚豔所有人目光的《捷克經典》! 2009年出版至今，好評不斷，暢銷再版， 眾多旅行社、導遊的捷克行程指定書!   ★全新收錄：捷克人最引以為傲的傳統藝術──懸絲木偶劇；聞...more
",https://www.books.com.tw/products/0010737574?loc=P_0003_012
13,心的壯遊：從捷克波希米亞，觸動不一樣的人文風情,謝孟雄,2016-06-02,"
本書以攝影家的運鏡，文史家的宏觀， 用「心」帶你看到布拉格的絕美、 卡羅維瓦利迷人的溫泉景緻、克魯姆洛夫保留的世遺風貌， 以及庫特納霍拉變化萬千的人骨教堂……   謝孟雄董事長有如達文西，是位不折不...more
",https://www.books.com.tw/products/0010716178?loc=P_0003_013
14,心的壯遊：從捷克波希米亞，觸動不一樣的人文風情(典藏版),謝孟雄,2016-06-02,"
本書以攝影家的運鏡，文史家的宏觀，   用「心」帶你看到布拉格的絕美、卡羅維瓦利迷人的溫泉景緻、克魯姆洛夫保留的世遺風貌，以及庫特納霍拉變化萬千的人骨教堂……   謝孟雄董事長有如達文西，是位不折不...more
",https://www.books.com.tw/products/0010716179?loc=P_0003_014
15,維也納‧布拉格：叩叩世界系列5,JTB Publishing Inc.,2015-10-08,"
※本書另附28頁隨身地圖別冊   地處歐陸正中央的維也納和布拉格，是受到歷史與文化薰陶的古老大城。維也納位在美麗多瑙河的西南岸，自13世紀起便是哈布斯堡王朝的王都。統治奧地利長達645年的哈布斯堡王朝...more
",https://www.books.com.tw/products/0010690265?loc=P_0003_015
16,走吧，去捷克! (全新修訂版),蘇于修,2014-07-01,"
布拉格的紅屋頂，童話小鎮的S型腰身， 波西米亞的水晶、音樂與啤酒，走出去，遇見捷克的浪漫!   捷克，魂牽夢縈、散發迷人光彩的美麗國度!   捷克之美，美在風情萬種。有洋溢波西米亞風情的布拉格，也有風...more
",https://www.books.com.tw/products/0010641040?loc=P_0003_016
17,"捷克.匈牙利.斯洛伐克鐵道自由旅行 (2015~16原創一版)：An Easy Eurail-trip on Czech, Hungary &Slovakia.2015",楊春龍,2014-06-17,"
這是非常嚴謹態度，全新採訪創作，絕可反映2015~2016捷克.匈牙利.斯洛伐克最新旅遊風向、與交通食宿現況的自助旅行專用導覽。我們追求『所記的每條資訊都精準正確』，作者與主編曾在德國東部+奧斯捷匈5國...more
",https://www.books.com.tw/products/0010640772?loc=P_0003_017
18,Enjoy布拉格：暢遊歐洲之心的11項精彩主題,"文恩貞,金知善",2014-05-02,"
系列暢銷90萬冊、蟬聯排行榜的最佳旅遊指南， 適合自助旅行者的第一本口袋書， 分區導覽&詳盡地圖一手掌握， 童話般的浪漫之旅現在就出發!   千塔之城，金色城市，萬城之母，歐洲之心……   一個讓人感到雀...more
",https://www.books.com.tw/products/0010632394?loc=P_0003_018
