,書名,作者,出版日期,內容介紹,網址
1,在遺憾之前，用力去愛：橫跨歐亞的單車慢旅，找回生活的意義,Yuily遊歷,2020-10-28,"
從台灣出發， 橫跨歐亞， 長達15500公里騎往德國 的不思議之旅!!    「一路上不管曾經自我質疑多少次，為什麼我在這裡?為什麼我要這麼做?到頭來，還是慶幸自己有騎這麼一遭。」    從城市到鄉村，從山上到...more
",https://www.books.com.tw/products/0010873684?loc=P_0002_001
2,你所說的流浪，就是我的歸途：從一人獨旅到三人旅居的愛情旅遊故事,楊迷斯,2020-10-20,"
那些「沒遇過不知道，遇到了嚇一跳」的大小妙事：      ★越南背包客棧直擊外國青年男女做愛現場   ★★柬埔寨女孩對我說：留下來，或是帶我走!   ★★★印度巴士司機問我：你要不要買我的妹妹?   ★★★★在土耳其...more
",https://www.books.com.tw/products/0010872759?loc=P_0002_002
3,一個旅人的文學朝聖：橫跨六大洲，漫遊莎翁、村上春樹等數十位文學巨擘筆下上百個場景，走讀世界向經典致敬!,理查．克萊特納,2020-10-05,"
★ Amazon 4.7顆星好評 ★ 一場躍然於紙上的深度壯遊， 只為遇見 久違的心靈悸動。    上路吧!向你心中的經典致意    •「牠」究竟是誰?探訪頻傳詭異事件的史蒂芬.金老家儲水塔。   •穿越「9又3/4月台」，哈...more
",https://www.books.com.tw/products/0010871879?loc=P_0002_003
4,花漾十年,馬駒MaKui,2020-09-22,"
辭職闖蕩，華麗走過大地， 花漾十年，奇情浪漫瘋狂。 遇過千百種人千百種性格； 路上奇事瘀事美事一籮籮； 跌過撞過行過跑過錯失過； 感謝旅行!感謝旅行讓我成為我。   我不在家，就在遠方，勿念。   —作...more
",https://www.books.com.tw/products/0010872073?loc=P_0002_004
5,旅遊味 品藝宿,捷沛實業有限公司編輯部,2020-09-21,"
本期將介紹   澎湖嚐鮮 海味的秋天   馬祖慢遊 緩遊東莒西莒   木都。午后。老屋咖啡嘉義10家老房子甜點下午茶   夯展覽「童心未泯-台中遊記」   恣遊秘境 藝享平溪商圈   神秘預言傳說的美麗國度瓜地馬拉...more
",https://www.books.com.tw/products/0010870307?loc=P_0002_005
6,此生必訪暢銷組合：《世界絕美圖書館》+《世界絕美城堡&宮殿》,株式会社　笠倉出版社,2020-09-16,"
此生必訪系列   《世界絕美圖書館》+《世界絕美城堡&宮殿》一次滿足!   「天堂應該是圖書館的模樣」   -阿根廷作家、國家公共圖書館館長豪爾赫.路易斯.博爾赫斯(Jorge Luis Borges)    書，是人類傳承與累...more
",https://www.books.com.tw/products/0010869879?loc=P_0002_006
7,留下來生活,謎卡 Mika Lin,2020-09-12,"
遙遠的一切竟如此熟悉。    to每一位仍在路途中、思索離去或遠行在即的人。    這次，我不再將離開視為宿命，   我會留下來，用不疾不徐的愛，一起經過一頁又一頁的時光。    在亡靈節裡悼念情感、在賴索...more
",https://www.books.com.tw/products/0010869324?loc=P_0002_007
8,世界地圖集(放大清晰版),周宇廷,2020-09-01,"
本書為學生研讀世界地理的最佳參考用書，出國洽商、旅遊、求學最實用的工具書。一書在手，掌握全世界，各國相關資訊一目瞭然，精確詳實之世界各國地圖，公路、鐵路....等，地名標示清晰，全世界196個國家...more
",https://www.books.com.tw/products/0010869536?loc=P_0002_008
9,也許生命沒有一種絕對：走向世界盡頭的1460天,"康康(許恆康),浪跡旅",2020-08-07,"
生命真的有一種絕對嗎 曾幾何時我們忘了自己的初衷，只剩那努力擠在洪流中的軀殼呢?   「我們往往記住的不是某天，而是某些時刻。」—切薩雷·帕韋斯    起初，只打算去紐西蘭打工度假，豈知餅卻愈畫愈大，...more
",https://www.books.com.tw/products/0010866177?loc=P_0002_009
10,三個傻瓜開倫敦老爺計程車環遊世界,"保羅‧艾契,強諾‧艾里森",2020-07-25,"
本書作者締造兩項金氏世界紀錄：   計程車旅行最長距離   計程車旅行最高海拔    因此開著老爺計程車載辣妹合唱團前進倫敦奧運閉幕式主舞台，接受8萬粉絲歡呼    保羅、強諾和李易這三位好友點擊「購買」...more
",https://www.books.com.tw/products/0010869459?loc=P_0002_010
11,旅遊味 緩離島,捷沛實業有限公司編輯部,2020-07-16,"
本期將介紹   魔幻布拉格 穿梭時空 在古城中與歷史名人相遇   慢活輕奢法式河輪 湄公公主號   夏之小琉球 就是要玩水   蘭嶼 感受徒步環島的美好   全台飯店振興優惠  本書特色    1.部落客快樂雲、帆帆貓...more
",https://www.books.com.tw/products/0010863868?loc=P_0002_011
12,國家地理終極旅遊：聯合國教科文組織全球57大無形文化遺產：體驗世代流傳的文化習俗與表現形式,馬西莫·森蒂尼,2020-07-09,"
在「世界遺產」已成旅遊票房保證的今天，你應該要認識更具多元性與生命力的「無形文化遺產」!   ●「國家地理終極旅遊」系列首度精選聯合國教科文組織龐大的無形文化遺產名錄，帶你展開一趟終極文化之旅。 ...more
",https://www.books.com.tw/products/0010862986?loc=P_0002_012
13,念念南極：散記冰川、草原和歐美旅遊,雷戊白,2020-07-01,"
「開卷有益」的另類遊記──不能出國?那就來趟不一樣的紙上之旅!    ◎平易近人的文句，不談攻略、少述景點、也無涉美食；娓娓道出沿途所見所聞，真實記錄「眼耳鼻舌身意」因時空背景所引發出的感觸和見解。 ...more
",https://www.books.com.tw/products/0010862544?loc=P_0002_013
14,這些國家，你一定沒去過：融融歷險記387天邦交國之旅,融融歷險記 Ben,2020-07-01,"
那些我們在國際上的朋友，你認識幾個? 除了在地圖上、新聞上看到， 他，一個熱情又勇敢的青年， 決定背起行囊，實際造訪。    在史瓦帝尼向巫醫祈願、   到瓜地馬拉瞻仰馬雅古文明遺跡、   乘帆船穿梭於馬...more
",https://www.books.com.tw/products/0010861685?loc=P_0002_014
15,旅遊味 綠光微旅,捷沛實業有限公司編輯部,2020-05-25,"
本期將介紹   搭專車深度遊札幌 必去景點一次搜羅   北海道紋別港   體驗冰河航行的震撼   多樣風情的北方威尼斯 瑞典 斯德哥爾摩   北海道的極北秘境~ 禮文島&利尻島。在國內飯店也特別介紹飯店最新優惠...more
",https://www.books.com.tw/products/0010858266?loc=P_0002_015
16,前進吧!此生必走的世界十大徒步健行步道：超詳解路線指南╳行前準備攻略╳曲線高度表╳里程與進度率表,李英哲,2020-05-21,"
{ 徒步旅行帶來的樂趣是最純粹的   在步行的當下，世界只有你與大地，再無其他 } 徒步旅行者Must Go的心願清單， 世界10大徒步健行路線一次全部收錄! 廖科溢、謝哲青 走過才知道，感動推薦-- 本書作者耗費...more
",https://www.books.com.tw/products/0010857663?loc=P_0002_016
17,終極環遊世界(四部曲)套書：1.橫渡黑水 2.種子深埋 3.海角天涯 4.回到未來,傑森．路易士,2020-05-15,"
人力環遊世界第一人傑森.路易士(Jason Lewis)的真實故事  13年2月23天11個小時 74408公里  他以步行、單車、直排滑輪越過陸地，以游泳、划船和腳踏船橫渡海洋，完成史詩級的壯舉。    他在澳洲昆士蘭海岸...more
",https://www.books.com.tw/products/0010858636?loc=P_0002_017
18,環遊世界我們這一家：漫遊地球尋找心的歸屬,蒂許．奧森瑞德,2020-05-05,"
「我有個主意。」   如果你的配偶建議你賣掉房子，將家具存放在倉庫，帶著三個稚齡的孩子去環遊世界，你會怎麼說? 蒂許說：「謝謝你先提出來。」   在這本親密的遊記中，蒂許分享了她的家庭如何以非凡的方...more
",https://www.books.com.tw/products/0010856535?loc=P_0002_018
19,"我們，去歐洲吧?：一名交換學生,於半年內入境26座歐洲城市、島嶼的相遇與喃喃自語。",陳亭伃,2020-05-01,"
一名交換學生，於半年內入境26座歐洲城市、島嶼的相遇與喃喃自語。旅途中，她開始明白，無論流浪與否，自由，原來是「做著自己所喜愛的事」。   於杜羅河畔，沈浸夜幕前夕的浪漫天色；   站上米拉之家，好...more
",https://www.books.com.tw/products/0010856236?loc=P_0002_019
20,山水旅情詩畫,莊大青,2020-05-01,"
《山水旅情詩畫》，10年全球超過百個遊記出版簡介：   愛山不厭山行遠，山中彩湖任遨遊   本書《山水旅情詩畫》，作者是2010年到2019年間，約10年裡登山健行的旅遊紀實。   本書內容包括加拿大、美國、日...more
",https://www.books.com.tw/products/0010858265?loc=P_0002_020
21,走吧，去下一個嚮往的地方：人生就該浪費在旅行,陳碧月,2020-04-30,"
關於旅行，只要你願意，發球權永遠都握在自己手上  19個心所嚮往的地點╳18個溫暖心房的故事 青島‧南京‧西安‧越南‧杜拜‧阿布達比‧摩洛哥 葡萄牙‧聖雅各之路‧愛沙尼亞‧拉脫維亞‧立陶宛 波蘭‧俄羅斯‧芬蘭‧挪...more
",https://www.books.com.tw/products/0010855901?loc=P_0002_021
22,北歐聖奧拉夫朝聖之路：從瑞典到挪威六百公里徒步回家的故事,李清玉,2020-04-06,"
世界上最北的朝聖之路──「聖奧拉夫路徑」 台灣第一本完整記錄之書   朝聖即回「家」，往自己的「心」前行。   透過身體的徒步，向真實的自我靠近。   ◆「南有西班牙的聖地牙哥，北有挪威的尼達羅斯」   尼...more
",https://www.books.com.tw/products/0010853065?loc=P_0002_022
23,高年級背包客環遊世界,克里斯．赫曼,2020-03-10,"
克里斯.赫曼(Chris Herrmann)從未打算休一年假去壯遊(gap year)，別提在熟齡高年級的時候。西澳大利亞柏斯的生活太舒適了。孫子們一個接著一個來報到。簡直夢想般的家庭生活。但突然之間，他的老伴走了，...more
",https://www.books.com.tw/products/0010851577?loc=P_0002_023
24,阿公挑戰108天世界一周大航海：熟齡環球之旅,楊東陳,2020-03-08,"
108 天的航海中寫的並非遊記，只是感得在人生不足百年的歲月中，大家皆翻了幾次筋斗及挫折，感覺到環遊世界一周108 天的魅力、活在當下留下一些紀念，完全是自由行未參加船上安排的岸上觀光，在航海中的所...more
",https://www.books.com.tw/products/0010851131?loc=P_0002_024
25,二人四轆環港誌：九十後的單車追夢!,"Eddie,Leo",2020-02-21,"
九十後，多被標籤為「廢青」——頹廢、對社會充滿憤怨、凡事hea得就hea……但其實，他們都是懷有夢想、不輕易向現實妥協的熱血青年﹗   兩個青年人，各自騎著單車，開展超過400公里的環港之旅。旅程中他們跌倒...more
",https://www.books.com.tw/products/0010849001?loc=P_0002_025
26,自遊人生 旅居藍圖,"岑皓軒,馬漪楠",2020-02-21,"
你不想受老闆氣，不想為五斗米而折腰，但如何達至「可做可不做」的自由?你不想久留此城，但又不想連根拔起、一走了之，但如何達至「可留可不留」的自由?   岑皓軒、馬漪楠這一對「港式中產」夫婦，由「日...more
",https://www.books.com.tw/products/0010849006?loc=P_0002_026
27,西班牙朝聖800K：Kelly這樣撿回自己,林孟燕,2020-02-07,"
Camino de Santiago，   與天外銀河相應的奇蹟之路，   Walk with Kelly，   一起上路，   看生命如何在此轉彎……   其實七九○公里也沒多遠啊，就是忠孝東路走七十九遍吧，呵呵。Kelly的朝聖之旅就從......more
",https://www.books.com.tw/products/0010848359?loc=P_0002_027
28,愛欲京都,姚巧梅,2020-02-07,"
二十五歲那一年，姚巧梅與母親一起出遊京都嵐山，母女倆駐足渡月橋，瞭望無邊的春色。彼時彼景遺世靜寂，姚巧梅深為所動，埋下前往京都深造的種籽。如今舊地再訪，「同遊的母親已作古多年，而我，也開始長...more
",https://www.books.com.tw/products/0010848363?loc=P_0002_028
29,相遇在世界之路：一個背包，環遊世界一百零一天,Aida,2020-01-08,"
走吧!背上背包， 從蒙古、冰島、西班牙、埃及到馬爾地夫…… 認真面對自己與他人的一百零一個日子   「現實與理想之間，找出一個平衡點，才是最難的課題吧。」   當比較和追尋的口號已變為生命的主角。每天...more
",https://www.books.com.tw/products/0010843978?loc=P_0002_029
30,野島剛漫遊世界食考學：五十歲的一人旅，從「吃」進入一個國家、一段歷史、一種文化的奇妙田野探訪,野島剛,2020-01-07,"
「吃一碗麵，喝一碗湯，你的旅行就開始了。」 第17屆卓越新聞獎得主野島剛最新作品 一位資深記者走出日本，台灣舒適圈的50歲中年一人旅 以最在地的庶民食物，勾勒出21個國家最樸素真實的樣貌 及其背後的歷...more
",https://www.books.com.tw/products/0010844311?loc=P_0002_030
31,齊物逍遙2019,黃效文,2020-01-06,"
《齊物逍遙2019》   莊子說齊物即是萬物皆平等；而逍遙則是自由自在，人生的最高境界。   這本書是黃效文在2019年對齊物的報告。   他的世界裡萬物和人皆平等，所以他會去關心沒有人察覺的角落；因為逍遙...more
",https://www.books.com.tw/products/0010845305?loc=P_0002_031
32,我沒錢，所以邊畫畫邊旅行：帶著一支畫筆，一顆開闊的心，勇闖世界,陳柔安,2020-01-06,"
不用是多厲害的人， 但要是個有故事的人。   帶著一支畫筆、一顆開闊的心，   勇闖伊索比亞、蘇丹、新疆、北韓等多個國家，   每一趟旅程中，遇見的人、經歷的事……   讓作者深信，世上的好人比壞人多，一...more
",https://www.books.com.tw/products/0010844955?loc=P_0002_032
33,極地(2020年版),卡洛琳．雅麗珊德,2020-01-01,"
一百年前人類奇蹟・史上最英勇求生事件 唯有堅忍，方能征服 By Endurance We Conquer   探險年代最讓人尊敬的一幕   比成功更光榮的一場失敗   第一手珍貴黑白照片   重建28人/700天堅忍現場   100年來，...more
",https://www.books.com.tw/products/0010843948?loc=P_0002_033
34,世界博物館：5大洲╳250間頂尖藝術殿堂大剖析‧探索全球12大類別博物館多元精萃,朱月華‧墨刻編輯部,2019-12-07,"
•造訪獻給繆思女神的神殿! 在希臘神話故事裡，有九位分別掌理文學、音樂、美術、舞蹈、戲劇……的繆思女神(Muses)，展現了天上最優美的藝術， 在凡間，則有收藏了各式藝術的博物館，呈現出世間最極致、最多...more
",https://www.books.com.tw/products/0010841624?loc=P_0002_034
35,世界博物館：5大洲╳250間頂尖藝術殿堂大剖析‧探索全球12大類別博物館多元精萃(精裝書盒版),朱月華‧墨刻編輯部,2019-12-07,"
•造訪獻給繆思女神的神殿! 在希臘神話故事裡，有九位分別掌理文學、音樂、美術、舞蹈、戲劇……的繆思女神(Muses)，展現了天上最優美的藝術， 在凡間，則有收藏了各式藝術的博物館，呈現出世間最極致、最多...more
",https://www.books.com.tw/products/0010841629?loc=P_0002_035
36,旅遊大歷史,"R. G.格蘭特,安德魯・漢弗萊斯,賽門・亞當斯",2019-12-03,"
從古代蘇美人的第一張貿易地圖到史詩旅行家的極限任務，收錄旅行、探索和科學的精典圖集。   人類的旅程來自各種衝動，從移民、覓食，到朝聖、貿易或對科學的好奇心，或者僅僅是尋求冒險。這些旅程透過生...more
",https://www.books.com.tw/products/0010841718?loc=P_0002_036
37,洛卡：其實我們，一直都在路上,LOCA,2019-12-03,"
長腳背包客LOCA的旅遊傳奇 三年海外流浪，足跡遍六大洲四十餘國 「人生就是一場旅行，其實我們，一直都在路上。」   作家詹宏志曾在著作《旅行與讀書》中說，他不愛「旅行計劃」，也不喜歡「安全旅行」，...more
",https://www.books.com.tw/products/0010840747?loc=P_0002_037
38,旅遊味：溫泉美學,捷沛實業有限公司編輯部,2019-11-21,"
本期將介紹日本北海道、千葉、土耳其、四川、雲南等。在國內飯店也特別介紹飯店最新優惠訊息 本書特色   1.部落客快樂雲、帆帆貓、瑪格的旅遊分享   2.國內外旅遊介紹   3.台灣飯店住宿精選...more
",https://www.books.com.tw/products/0010840687?loc=P_0002_038
39,陪我繞一點遠路好嗎,Kanya Chan,2019-11-15,"
在追尋丟失的靈魂路上，願我們，一路順風。   迷失過後是遇見。飄泊過後是著陸。   我揹著行囊，走到地球的另一面，想看那個倒轉的世界。   一步一步， 攀上了最高的山，想聽雲上的聲音；   漂浮在大海，...more
",https://www.books.com.tw/products/0010839549?loc=P_0002_039
40,白日夢旅行趣：環遊世界35國的奇蹟旅程,"克莉絲汀,漢克",2019-11-12,"
Daydream with the Smiles   369天 × 亞歐美非4大洲 × 35個國家，   30歲小夫妻，200萬預算，   超過20萬公里的環遊世界旅記!   烏茲別克、俄羅斯、亞美尼亞──走向陌生的俄語世界，   阿根廷、......more
",https://www.books.com.tw/products/0010838658?loc=P_0002_040
