,書名,作者,出版日期,內容介紹,網址
1,黃金神威(05),野田サトル,2020-11-03,"
殺人就如同吐息一般!!   逃獄的死刑犯，殺人鬼邊見第一次見到的是…   被稱為不死之身的退伍軍人‧杉元!!   好想殺了他、好想被他殺了。   邊見這種扭曲的殺意之愛灌注在杉元一行人身上…   另一方面，土方歲...more
",https://www.books.com.tw/products/0010874410?loc=P_0003_001
2,來自深淵 官方創作集 深陷其中的探窟家們,竹書房,2020-10-28,"
眾所期待的官方創作集終於登場!!   莉可、雷格、奈奈祈、歐蘭、馬魯魯克以及彭多爾多…   這些大家熟知的深淵角色們…   將展現出不為人知的另外一面!!  本書特色    ★《來自深淵》於2017年7月在日本動畫化...more
",https://www.books.com.tw/products/0010873740?loc=P_0003_002
3,詠歌女神(01),極樂院櫻子,2020-10-28,"
『鹿鳴唱歌』--   那是在神的時代，由消滅災禍的女神所奏響的奇妙樂曲。   在這個只會生出女性，並且繼承女神之歌予以謳歌的神社中，竟意外地有名男孩誕生。   那就是我，鹿鳴奏太。在我虛歲18的生日，遭...more
",https://www.books.com.tw/products/0010873744?loc=P_0003_003
4,暗黑企業的迷宮 2,安村洋平,2020-10-26,"
難道是命運在惡作劇嗎?才剛成為飛黃騰達的尼特族就被傳送到異世界的男人‧二之宮錦司。憑藉著天上天下唯我獨尊的性格和滿腦子壞主意，企圖在這個把魔物蠢蠢欲動的「迷宮」當作職場的暗黑企業中往上爬。忍受...more
",https://www.books.com.tw/products/0010872677?loc=P_0003_004
5,成為冒險家!~靠著技能面板攻略迷宮~ 1,"栗山廉士,萩鵜アキ",2020-10-16,"
五年前的某天，世界各地突然出現了迷宮——   也因此出現了名為「冒險家」的職業，存在感有如空氣一般的主角•空星晴輝為了讓增加自己的存在感而成為了冒險家。   但就在某天，自家中卻出現了迷宮……   晴輝在...more
",https://www.books.com.tw/products/0010872187?loc=P_0003_005
6,進擊的巨人 31,諫山創,2020-10-15,"
吉克將艾爾迪亞人安樂死計畫託付給艾連。兩人突破包圍後碰面，順利達成該計畫的關鍵因素。但是，艾連真正的計畫是背叛吉克，「透過地鳴來毀滅世界」。雙方互相爭奪始祖尤米爾的力量，最後由艾連勝出，於是...more
",https://www.books.com.tw/products/0010871728?loc=P_0003_006
7,黃金神威(18),野田サトル,2020-10-14,"
★眾所期待的《黃金神威》動畫第三季，強力放送!!   ★生存、尋寶，為了黃金的戰鬥在神祕的古北海道大地正式展開--    兩人的距離以及金塊之謎都在逐步接近中。   杉元追著阿席莉帕，阿席莉帕則循著父親的軌...more
",https://www.books.com.tw/products/0010872938?loc=P_0003_007
8,勇者鬥惡龍列傳 羅德的紋章 完全版 15完 (首刷附錄版),"小柳順治,川又千秋,藤原カムイ",2020-10-12,"
(完結篇)「勇者鬥惡龍羅德的紋章完全版」精彩大結局!在艱辛的戰鬥之後，眾人同心協力打倒異魔神，讓世界恢復和平。最後一集經過大幅加筆修正，完全呈現出連載版因篇幅所限未能描寫的內容!另收錄外傳「從此...more
",https://www.books.com.tw/products/0010871711?loc=P_0003_008
9,ONE PIECE航海王 97,尾田榮一郎,2020-10-12,"
進攻前一刻，眾人發現勘十郎早已背叛，並且還趁機抓走了桃之助……錦右衛門一行人陷入絕望，但魯夫、羅、基德三人在此時組成共同戰線，為眾人帶來希望之光!一群人於是浩浩蕩蕩殺向鬼島!一場爭奪「ONE PIECE...more
",https://www.books.com.tw/products/0010872203?loc=P_0003_009
10,醜男真戰士(02),"上月ヲサム,弘松 涼",2020-10-08,"
相信並肩作戰的夥伴，並發下永不背叛的誓言…   讓他脫胎換骨!!   受「男子漢」魅力感召的醜男阿繁將如何抉擇未來道路…!?   女隊友們的神祕過去也將揭開面紗…!   異世界醜男冒險譚第2集，不悅指數倍增中!! ...more
",https://www.books.com.tw/products/0010872617?loc=P_0003_010
11,DINER殺手餐廳(02),河合孝典,2020-10-08,"
在專門服務殺手的餐廳擔任女服務生的大場加奈子   每天都過著恐怖與緊張接踵而至，   與死亡比鄰而居的日子。   她為了拯救殺手波隆年幼的女兒，   被迫加入殺手們的遊戲……   可是連續兩局都只有加奈子一...more
",https://www.books.com.tw/products/0010872621?loc=P_0003_011
12,進擊的巨人 31 (特裝版),諫山 創,2020-10-08,"
吉克將艾爾迪亞人安樂死計畫託付給艾連。兩人突破包圍後碰面，順利達成該計畫的關鍵因素。但是，艾連真正的計畫是背叛吉克，「透過地鳴來毀滅世界」。雙方互相爭奪始祖尤米爾的力量，最後由艾連勝出，於是...more
",https://www.books.com.tw/products/0010871730?loc=P_0003_012
13,正義使者-我的英雄學院之非法英雄 5,"別天荒人,古橋秀之,堀越耕平",2020-10-06,"
多虧真學姊，音樂活動「鳴羽FES」以超乎預期的大成功落幕。POP等人的知名度與人氣也急速上升，於是得到參加大阪舉辦的某個活動的機會!航一想跟師父報告這些事，但最近卻很少看見他的身影……?...more
",https://www.books.com.tw/products/0010871715?loc=P_0003_013
14,6重狙擊手 4完,TALI,2020-10-06,"
(完結篇)驅動著「多重人體」，獨自一人完成任務的殺手…燕子!將培育自己變成殺手的遊樂園毀滅掉，故事轉向他的「能力」核心發展…?   話題的槍戰片將迎向驚愕的高潮……!最終的第4卷，必看必讀!...more
",https://www.books.com.tw/products/0010871749?loc=P_0003_014
15,埃及豔后與鐵十字(01),真鍋讓治,2020-09-30,"
紀元前30年，克麗奧佩托拉   墜入了永恆的黑暗──本該是如此的……   然而古埃及眾神卻將她從冥界的深淵帶回了現世。   獲得永恆美貌的佩托拉潛藏於北非地下，   再次出現於地上世界時已是1942年，   正值第...more
",https://www.books.com.tw/products/0010872253?loc=P_0003_015
16,我的英雄學院 27,堀越耕平,2020-09-28,"
密爾可小姐，   吃完一根胡蘿蔔要多久的時間呢?   CARROCHU   濃縮了約等於60000根胡蘿蔔的β胡蘿蔔素!   為忙碌的妳帶來美貌與體力。   英雄們的同步襲擊行動終於開始。   潛入至今過了不少時間，但這一切...more
",https://www.books.com.tw/products/0010870862?loc=P_0003_016
17,地獄樂 6,賀来友治,2020-09-25,"
儘管犧牲者眾，佐切一行人還是驅使道，擊退了天仙之一牡丹。另一方面，畫眉丸因為過度使用道而陷入失憶狀態，死罪人˙亞左弔兵衛和弟弟遇上死刑執行人桐馬，雙方立刻展開交戰。無法使用道的畫眉丸會有勝算...more
",https://www.books.com.tw/products/0010870463?loc=P_0003_017
18,驚爆遊戲U-18 1,"井上 淳哉,伊藤 洋樹",2020-09-24,"
「驚爆遊戲」。這是一個實際讓人們用炸彈自相殘殺的遊戲，因此參賽的玩家都會真的喪命。但因為轉播的畫面受到限制的關係，世上大多數的觀眾都認為這是個造假的遊戲，在遊戲中並沒有人喪命。但是KAN因為透...more
",https://www.books.com.tw/products/0010870452?loc=P_0003_018
19,神劍闖江湖 ─明治劍客浪漫傳奇北海道篇─ 4,"和月伸宏,黒崎薰",2020-09-21,"
齋藤依劍客兵器的要求所召集的「強者」，竟是昔日宿敵志志雄一派・十本刀的倖存者。劍心與齋藤將「強者」帶至現場準備審問凍座，然而凍座卻要求與劍心交手，並表示在交手期間進行審問會無所不答，劍心與能...more
",https://www.books.com.tw/products/0010869920?loc=P_0003_019
20,火影新世代BORUTO-NARUTO NEXT GENERATIONS- 11,"小太刀右京,岸本斉史,池本幹雄",2020-09-18,"
鳴人被關進異空間，川木、慕留人、巳月、紗羅妲前往營救。然而，「殼」的內陣成員勃羅正在那裡等著對付他們……!勃羅強大的力量與忍術，打得他們四人毫無還手之力。在絕望的狀況下，他們有什麼辦法可以突破...more
",https://www.books.com.tw/products/0010869918?loc=P_0003_020
21,EDENS ZERO伊甸星原 10,真島浩,2020-09-17,"
彗智被狙擊後，蕾貝卡與哈比   帶著救他的「藥」趕往彼列‧高爾。   然而他們卻被風之希爾芙擋住去路，兩人雙雙被捕。   不只如此，當四季與焰面前，   同樣也有希爾芙與她哥哥迅阻擋去路──   與「闇之鍊金...more
",https://www.books.com.tw/products/0010869639?loc=P_0003_021
22,狼不會入眠(01),新川 権兵衛,2020-09-17,"
〈獨眼狼〉雷肯穿越了在迷宮中所發現的〈黑洞〉，前往異世界。   身為一名冒險者，即使身處異界，也要毫不猶豫地貫徹自身信念。   追求更強的力量、向迷宮挑戰，並擊敗強敵。   然而，這樣的他卻遇上了一...more
",https://www.books.com.tw/products/0010870369?loc=P_0003_022
23,勇者鬥惡龍列傳 羅德的紋章 完全版 14 (首刷附錄版),"小柳順治,川又千秋,藤原カムイ",2020-09-14,"
艾魯斯、羅藍、亞斯提亞，三位勇者齊聚一堂，眾人同心協力對抗異魔神!羅德的紋章發出光芒，三人使出歐美加魯拉封印異魔神。然而，大戰後羅藍卻昏迷不醒，陷入假死狀態。大家為了救他，而去尋找世界樹的葉...more
",https://www.books.com.tw/products/0010868019?loc=P_0003_023
24,BIRDMEN~鳥男~ 7,田辺伊衛郎,2020-09-11,"
歷經堂堂白日下的戰鬥，以及鴨田瀕死後的覺醒，   在感到絕望而逼近自滅的BIRDGIRL面前，鷹山給了她選擇的權利。   在此同時，美國那位高調的鳥男，亞瑟則做出了驚人之舉—!?...more
",https://www.books.com.tw/products/0010869270?loc=P_0003_024
