,書名,作者,出版日期,內容介紹,網址
1,功夫旋風兒 愛藏版 1,蛭田達也,2020-10-22,"
身手不凡、行俠仗義的空手道小子新堂功太郎是校園裡出了名的鬧事精，只要有他在的地方就免不了一陣混亂。而身為學校風紀委員會的一員，同時又是青梅主馬的渡瀨麻由美更是為他傷透了腦筋。某日功太郎巧遇了...more
",https://www.books.com.tw/products/0010872215?loc=P_0003_001
2,拳願阿修羅(20),"三肉必起．牙霸子,達露沒恩",2020-10-21,"
其為企業的代理戰爭   56歲上班族‧山下一夫突然受到公司會長傳喚!   他知道的是日本經濟的「地下」情況。   以受到企業雇用鬥技者的勝負來決定生意的異種格鬥競技。   其名為──「拳願競技」。   一夫被任...more
",https://www.books.com.tw/products/0010873691?loc=P_0003_002
3,活擊 刀劍亂舞 3,"「刀劍亂舞-ONLINE-」（DMM GAMES／Nitroplus）,津田穂波",2020-10-15,"
藉由審神者之力而得以顯現的付喪神‧刀劍男士，回溯至過去的時代，為打倒妄想改變歷史的時間溯行軍而揮舞自身的刀刃。   第二部隊順利完成在江戶的任務，回歸本丸。   和泉守及堀川都因自己力有未逮而愧疚...more
",https://www.books.com.tw/products/0010871719?loc=P_0003_003
4,RaW HERO 新手英雄 3,平本AKIRA,2020-09-17,"
千秋被捲入正義(英雄)與邪惡(怪人)之間的正面交鋒。雖然在潔莉的幫助下勉強活了下來，但殘暴不仁的英雄身姿，卻在千秋的內心留下陰影。另一方面，受到自己愛慕的真理子邀約，千秋陪同真理子前往出版社毛遂...more
",https://www.books.com.tw/products/0010869927?loc=P_0003_004
5,鐵拳小子 Legends 27,前川 剛,2020-09-10,"
在隱藏村子裡，遭到敵人追殺的徐方與丹丹，成功的與陳敏會合，三個人繼水軍叛亂事件之後，再次同心協力對抗敵人!而找到炸藥陷阱點火地點的賽多等人，雖然遭到存活的敵人阻礙，但也同心協力的點燃了導火線...more
",https://www.books.com.tw/products/0010869259?loc=P_0003_005
6,你遭難了嗎? 6,"さがら梨々,岡本健太郎",2020-09-10,"
抓鰻魚、搬家、紫音的生日…   和四人愈來愈豐富的生活相反，   造訪島上的夏天結束了。   決定要一個人離開島上的譽瞞著其他三人偷偷地做準備。   但是建造中的木筏被發現了，   所以在避難處掀起了騷動? ...more
",https://www.books.com.tw/products/0010869264?loc=P_0003_006
7,鐵將縱橫 第72期,邱福龍,2020-08-26,"
...more
",https://www.books.com.tw/products/0010868521?loc=P_0003_007
8,鐵將縱橫 第73期,邱福龍,2020-08-26,"
...more
",https://www.books.com.tw/products/0010868522?loc=P_0003_008
9,鐵將縱橫 第74期,邱福龍,2020-08-26,"
...more
",https://www.books.com.tw/products/0010868524?loc=P_0003_009
10,SAMURAI8~機侍 八丸傳 5完,"大久保 彰,岸本斉史",2020-08-24,"
八丸一行人打倒邪惡的機侍弁形後，再次前往宇宙。   八丸正從達麻身上下載金剛夜叉流的執照時，突然出現的人物是?   此外，千所追捕的二人組機侍也現身了。另一方面，宿敵亞達也展開了行動——…!...more
",https://www.books.com.tw/products/0010867048?loc=P_0003_010
11,日輪征服! 2,"strelka,タカヒロ",2020-08-14,"
日輪在首戰最激烈的時候，與殺母仇人夜見姬展開對峙。身處嚴苛的戰場，日輪跟她的同伴們能夠順利存活下來嗎?後來天狼國又派出新的狠將，戰火將演變得更加激烈…。描寫以統一亂世為目標的少女日輪跟赤瞳的戰...more
",https://www.books.com.tw/products/0010866489?loc=P_0003_011
