,書名,作者,出版日期,內容介紹,網址
1,VIVRE CARD~ONE PIECE航海王圖鑑~ Ⅱ 11,尾田榮一郎,2020-07-13,"
航海王圖鑑卡片，第二套第十一波的『四皇』BIG MOM海賊團篇!買一本就可知道『四皇』BIG MOM海賊團主要成員的個人基本資料、介紹、能力、背景設定、過去經歷以及作者的設定稿等等，是身為航海王的粉絲絕對...more
",https://www.books.com.tw/products/0010863279?loc=P_0003_001
2,VIVRE CARD~ONE PIECE航海王圖鑑~ Ⅱ 10,尾田榮一郎,2020-06-29,"
航海王圖鑑卡片，第二套第十波的杰爾馬66篇!買一本就可知道戰爭國家杰爾馬與賓什莫克家主要成員，以及巨人族部分成員的個人基本資料、介紹、能力、背景設定、過去經歷以及作者的設定稿等等，是身為航海王...more
",https://www.books.com.tw/products/0010861407?loc=P_0003_002
3,VIVRE CARD~ONE PIECE航海王圖鑑~ Ⅱ 9,尾田榮一郎,2020-06-11,"
航海王圖鑑卡片，第二套第九波的純毛族篇!買一本就可知道純毛族主要成員，以及佐烏篇中各種敵人、新角色的個人基本資料、介紹、能力、背景設定、過去經歷以及作者的設定稿等等，是身為航海王的粉絲絕對不...more
",https://www.books.com.tw/products/0010860204?loc=P_0003_003
4,在二次元世界呼喚愛：日本ACG萌文化入門,兵法舞雪,2020-06-10,"
一部深入而全面探討動漫、萌文化的作品，學術而不枯燥，萌爆了!    作者兵法舞雪作為一位愛好動漫、萌文化和二次元的大眾文化學者，將學術的十分嚴謹與對愛好的強烈熱忱混合為一，用最簡單易懂的言詞，以...more
",https://www.books.com.tw/products/0010865882?loc=P_0003_004
5,VIVRE CARD~ONE PIECE航海王圖鑑~ Ⅱ8,尾田榮一郎,2020-05-25,"
航海王圖鑑卡片，第二套第八波的恐怖三桅帆船篇!買一本就可知道恐怖三桅帆船海賊團成員，以及幫助草帽一行人在兩年期間修練的幫手的個人基本資料、介紹、能力、背景設定、過去經歷以及作者的設定稿等等，...more
",https://www.books.com.tw/products/0010858337?loc=P_0003_005
6,VIVRE CARD~ONE PIECE航海王圖鑑~ Ⅱ 7,尾田榮一郎,2020-05-08,"
航海王圖鑑卡片，第二套第七波的鬥技場鬥士們篇!買一本就可知道鬥技場鬥士們的個人基本資料、介紹、能力、背景設定、過去經歷以及作者的設定稿等等，是身為航海王的粉絲絕對不能錯過的精美產品!...more
",https://www.books.com.tw/products/0010856693?loc=P_0003_006
7,VIVRE CARD~ONE PIECE航海王圖鑑~ Ⅱ 6,尾田榮一郎,2020-04-24,"
航海王圖鑑卡片，第二套第六波的CP9篇!買一本就可知道兩年前的CP9成員、司法之島主審法官以及部分相關角色的個人基本資料、介紹、能力、背景設定、過去經歷以及作者的設定稿等等，是身為航海王的粉絲絕對...more
",https://www.books.com.tw/products/0010855077?loc=P_0003_007
8,VIVRE CARD~ONE PIECE航海王圖鑑~ Ⅱ 5,尾田榮一郎,2020-04-10,"
航海王圖鑑卡片，第二套第五波的唐吉訶德海賊團篇!買一本就可知道唐吉訶德海賊團成員、柯拉遜以及勘十郎的個人基本資料、介紹、能力、背景設定、過去經歷以及作者的設定稿等等，是身為航海王的粉絲絕對不...more
",https://www.books.com.tw/products/0010853680?loc=P_0003_008
9,VIVRE CARD~ONE PIECE航海王圖鑑~ Ⅱ 4,尾田榮一郎,2020-03-30,"
航海王圖鑑卡片，第二套第四波的卡雷拉公司篇!買一本就可知道卡雷拉公司成員、水之七島居民以及歐哈拉主要人物的個人基本資料、介紹、能力、背景設定、過去經歷以及作者的設定稿等等，是身為航海王的粉絲...more
",https://www.books.com.tw/products/0010851863?loc=P_0003_009
10,VIVRE CARD~ONE PIECE航海王圖鑑~ Ⅱ 3,尾田榮一郎,2020-03-09,"
航海王圖鑑卡片，第二套第三波的龐克哈薩特篇!買一本就可知道唐吉訶德海賊團部份成員、桃之助和錦右衛門、以及G-5海軍成員的個人基本資料、介紹、能力、背景設定、過去經歷以及作者的設定稿等等，是身為航...more
",https://www.books.com.tw/products/0010849604?loc=P_0003_010
