,書名,作者,出版日期,內容介紹,網址
1,為親愛的我致上殺意(02),"井龍一,伊藤翔太",2020-10-22,"
無法逃離自己身為殺人魔兒子的現實，   以及另一個人格「英一」的存在。   背負殘酷命運的浦島英二，   開始調查被懷疑與女大學生遭慘殺案件有關的英一。   「英一」的目的究竟是——   與此同時，英二將面...more
",https://www.books.com.tw/products/0010873753?loc=P_0003_001
2,金田一少年之事件簿 復刻愛藏版 19 速水玲香綁架殺人事件 (首刷附錄版),"佐藤文也,天樹征丸,金成陽三郎",2020-10-16,"
人氣偶像‧速水玲香遭到綁架!犯人「小丑人偶」勒索1億圓贖金，並且指名金田一一負責交付贖金。   金田一費盡千辛萬苦前往玲香所在之處，交易卻在離成功僅一步之遙時失敗。在那之後，金田一等人從犯人口中得...more
",https://www.books.com.tw/products/0010871736?loc=P_0003_002
3,VS亞森羅蘋 4,齊藤千穗,2020-10-15,"
羅蘋從失去妻子，兒子被擄走的悲嘆當中，投身盜賊行業，什麼樣的新難題襲向那樣的他──?...more
",https://www.books.com.tw/products/0010871750?loc=P_0003_003
4,入夜之後的我(01),"一✕,益子悠",2020-10-15,"
八年前，姊姊被殺害了。   加害者為惡魔般的三位未成年少年。   根據「少年法」，他們的長相與名字未被公布。   他們絲毫沒有懺悔、反省就結束了刑期。   說什麼我都無法原諒他們。   所以我決定要復仇。...more
",https://www.books.com.tw/products/0010873294?loc=P_0003_004
5,警賊 II,阮光民,2020-10-12,"
決意「手刃」仇人的少女、 無法忍受背叛的企業家…… 警探唐武這次要面對的是 一群私刑者，更是兩難的人性難題!   ★金漫獎得主—阮光民 描繪社會犯罪與剖析人性 代表作★   《GO漫畫創意誌》人氣連載作品，等...more
",https://www.books.com.tw/products/0010872435?loc=P_0003_005
6,七八五十六 1,"工藤哲孝,笹古みとも",2020-09-24,"
【輾死】遭電車、汽車等行駛中車輛以車輪壓過致死。   20××年7月8日──   滿腦子桃色欲求的男子高中生.冴郎，意外奪走了從河裡   漂來的謎樣美少女.七葉的初吻……!   「萬一真的跟我接了吻什麼的，可不會白...more
",https://www.books.com.tw/products/0010870614?loc=P_0003_006
7,臥底威龍 55【限】,高橋昇,2020-09-24,"
菊川玲二為了要將日本首惡的暴力幫派組織‧數寄矢會頭目轟周寶逮捕歸案，因而潛入該幫臥底。與日浦聯手救回了轟周寶的女兒‧被中國黑幫的組織「仙骨龍」所擄走的迦蓮之後，日浦升任數寄矢會四大天王，玲二則...more
",https://www.books.com.tw/products/0010870607?loc=P_0003_007
8,名偵探柯南 紅色校外教學(全),青山剛昌,2020-09-21,"
TV動畫《名偵探柯南》的超人氣篇章推出漫畫版!   聽說小蘭等人要去京都參加校外教學的柯南，   努力拜託灰原給他解藥。   校外教學當天，清水寺出現了新一與小蘭   合照的身影!新一順利地變回原本的模樣，...more
",https://www.books.com.tw/products/0010870491?loc=P_0003_008
9,在這世界裡不能不詛咒人(01),"うるまなつこ,木場健介",2020-09-14,"
契約者是藉由咒神而獲得咒殺他人的力量。   解咒偵探則是利用咒神的殘留意識來揪出犯人。   邪惡之心與異能偵探。   咒殺遊戲的鬥智之戰，即將揭開序幕!   【殺人王子】篇，完整收錄! 本書特色   「偵探!...more
",https://www.books.com.tw/products/0010869890?loc=P_0003_009
10,金田一少年之事件簿 復刻愛藏版 18 魔神遺跡殺人事件 (首刷附錄版),"佐藤文也,天樹征丸,金成陽三郎",2020-09-14,"
由於不動高中學姊‧宗像皐月的邀請，金田一一接下了挖掘遺跡的打工。   金田一來到皐月的故鄉‧磨陣村，得知那裡是為了封印受詛咒的「魔神具」而建立的村落……   「魔神具」能帶來莫大財富和權力，相對地卻會...more
",https://www.books.com.tw/products/0010869640?loc=P_0003_010
