,書名,作者,出版日期,內容介紹,網址
1,五星物語 1.-12.,永野護,2020-11-05,"
令人期待的新刊──永野護超人氣漫畫《五星物語》第12集堂堂上市!    內容一一揭開敘述「魔導大戰」第2部及「TRAFFICS 3」主要角色的故事發展，   亂世之中少年英雄輩出，亞璐爾、瑪洛莉、雪蕾、馬猶爾、汶...more
",https://www.books.com.tw/products/0010874000?loc=P_0002_001
2,DEAD DEAD DEMON’S DEDEDEDE DESTRUCTION 惡魔的破壞 8,淺野いにお,2020-10-26,"
少女們的日常反烏托邦青春譜曲    「凰蘭是從另一個平行世界來的時空旅行者。」   大葉告訴了阿真這令人衝擊的事實，   於是兩人拿著大葉所擁有的裝置，啟程去探索凰藍的記憶。    距今八年前──   出現在...more
",https://www.books.com.tw/products/0010873542?loc=P_0002_002
3,原子小金剛 新裝版 11,手塚治虫,2020-10-26,"
2003年，地球的科技已臻至顛峰，不僅機器人隨處可見，連機器人專屬的法律都制定了。只不過其外表仍可輕易地就看出來。這時，一件事改變了人類對機器人的認知，那就是小金剛的誕生。    究其原，是因為一件...more
",https://www.books.com.tw/products/0010873543?loc=P_0002_003
4,原子小金剛 新裝版 12,手塚治虫,2020-10-26,"
2003年，地球的科技已臻至顛峰，不僅機器人隨處可見，連機器人專屬的法律都制定了。只不過其外表仍可輕易地就看出來。這時，一件事改變了人類對機器人的認知，那就是小金剛的誕生。    究其原，是因為一件...more
",https://www.books.com.tw/products/0010873544?loc=P_0002_004
5,FAIRY TAIL魔導少年 CITY HERO 3,"安東汐,真島浩",2020-10-22,"
有光的地方必有影。   與「妖精」為敵的壞蛋們暗中大活躍!   冥府之門潛入妖精尾巴大採訪?   蹂躪菲歐烈市的黑魔術教團，   背後也有始普利岡12的身影……   不只如此，亞克諾羅基亞VS納茲的超辣對絕也即將...more
",https://www.books.com.tw/products/0010872213?loc=P_0002_005
6,銀河英雄傳說(13),"田中芳樹,藤崎竜",2020-10-21,"
帝國內亂平定後也只過了一時半刻，   然而萊茵哈特與吉爾菲艾斯長久至今所建立的堅定信賴關係，   卻悄然無聲地劃出了裂痕。   在那之後，   萊茵哈特的人生將迎來椎心之痛──   而另一邊與此同時，   自由...more
",https://www.books.com.tw/products/0010873700?loc=P_0002_006
7,大黑暗 1,林田球,2020-10-16,"
宇宙，在這片無限擴大且黑暗的某處，飄盪著一名滿身是血的男人。   他的名字叫查哈=桑可，傳言他的骨頭不管任何願望都能實現。   因此，擁有寄宿著神秘力量的『黑暗皮』及『黑暗行李袋』的桑可被全宇宙給...more
",https://www.books.com.tw/products/0010873198?loc=P_0002_007
8,OPUS地球計畫 1,"SIGONO,月亮熊,陳PN",2020-10-14,"
早已遺忘，卻無比熟悉，   找尋人類最初也最終的歸屬—「地球」。    任天堂Switch、Steam兩大平台上架，   全球下載次數破千萬，人氣遊戲正式漫畫化!    台灣獨立遊戲公司SIGONO、新進漫畫家陳PN，   打造...more
",https://www.books.com.tw/products/0010872940?loc=P_0002_008
9,自由之子 第一集,黃俊維,2020-09-30,"
這座城市發生的劫難，是個無窮迴圈⋯⋯ 中堅漫畫家黃俊維，警喻詼諧的災變系科幻作品 現實與夢境，你能分辨嗎?   總覺得這個世界不是真的，彷彿只有眼睛睜開時，世界才會運轉。   夢境一旦崩潰，人就會醒來…...more
",https://www.books.com.tw/products/0010870413?loc=P_0002_009
10,達文西二號,史蒂芬‧拉維瓦,2020-09-30,"
大辣「當羅浮宮遇上漫畫」系列第七彈! 達文西逝世五百週年紀念版  向文藝復興大師達文西致敬 一部瘋狂的太空歌劇：結合科幻世界與漫畫    BD Louvre   當羅浮宮遇上漫畫系列    達文西，文藝復興三傑之首...more
",https://www.books.com.tw/products/0010870807?loc=P_0002_010
11,Designs(4),五十嵐大介,2020-09-26,"
☆特別進口.全套書衣採用同日本原版浮雕紙印製★ 日本指標性大獎「文化廳媒體藝術祭漫畫部門優秀賞」二度得主 《20世紀少年》作者浦澤直樹盛讚：「他是世界上最會作畫的漫畫家之一。」 讓這樣的他誕生在這世...more
",https://www.books.com.tw/products/0010870643?loc=P_0002_011
12,ORIGIN原型機 9,Boichi,2020-09-24,"
父親，這個世界一點也不美麗。   透過廣瀨舞之死，   身為機器人的ORIGIN終於產生了自我與感情。   然而ORIGIN真正獲得的感情，   就只有怒火焚身般的憤怒以及無比的哀傷。   決心替小舞報仇的ORIGIN，   ...more
",https://www.books.com.tw/products/0010870612?loc=P_0002_012
13,原子小金剛 新裝版 9,手塚治虫,2020-09-24,"
2003年，地球的科技已臻至顛峰，不僅機器人隨處可見，連機器人專屬的法律都制定了。只不過其外表仍可輕易地就看出來。這時，一件事改變了人類對機器人的認知，那就是小金剛的誕生。   究其原，是因為一件...more
",https://www.books.com.tw/products/0010870616?loc=P_0002_013
14,機動戰士鋼彈桑 (17),"大和田秀樹,富野由悠季,矢立肇",2020-09-23,"
機動戰士鋼彈桑竟然衝向連載19年，堂堂邁入日本令和年號啦!   不遺餘力吐槽夏亞的拉拉，總是得面對各種奇怪病患的女醫師雪拉，   當然還有中階主管薩克先生，本集的鋼彈桑依然笑點全開! 本書特色   ★本書...more
",https://www.books.com.tw/products/0010868318?loc=P_0002_014
15,原子小金剛 新裝版 10,手塚治虫,2020-09-23,"
2003年，地球的科技已臻至顛峰，不僅機器人隨處可見，連機器人專屬的法律都制定了。只不過其外表仍可輕易地就看出來。這時，一件事改變了人類對機器人的認知，那就是小金剛的誕生。   究其原，是因為一件...more
",https://www.books.com.tw/products/0010870617?loc=P_0002_015
16,FAIRY TAIL魔導少年 CITY HERO 2,"安東汐,真島 浩",2020-09-17,"
任何事件都包在我們身上♡   納茲、露西化身警官大奮鬥!   美術品遭到怪盜覬覦、秘密組織在暗中肆虐、   一國公主突然失蹤、一萬人成為炸彈客人質!   各種怪奇事件、疑難事件、罕見事件撼動著菲歐烈市!   ...more
",https://www.books.com.tw/products/0010869645?loc=P_0002_016
17,亞爾斯蘭戰記 13,"田中芳樹,荒川 弘",2020-09-07,"
圍繞著王座，帕爾斯的神話開始啟動了。   王太子亞爾斯蘭正往王都進軍，   卻收到了特蘭軍入侵的消息。   於是他急忙從培沙華爾城趕回來。   流浪的萬騎長・克巴多也加入了亞爾斯蘭的隊伍。   面對草原霸...more
",https://www.books.com.tw/products/0010868938?loc=P_0002_017
18,蒼藍鋼鐵戰艦 18,Ark Performance,2020-09-04,"
就在伊401與長門麾下之大戰艦陸奧開始交戰的時候，   重巡高雄‧愛宕與大戰艦榛名‧霧島在海洋技術綜合學院校慶期間的第四設施攻防戰也進入了一觸即發的狀態…!   戰鬥的暴風圈持續擴大，波濤洶湧的第18集!!...more
",https://www.books.com.tw/products/0010869023?loc=P_0002_018
19,七龍珠SD 6,"オオイシナホ,鳥山 明",2020-08-31,"
賽亞人貝吉達與那霸終於來到地球!克林等人挺身應戰，卻接連被強敵打倒。唯一希望就是正在修行的悟空，他能趕得上嗎?由SD角色們上演超嚴肅發展的第6集!...more
",https://www.books.com.tw/products/0010867343?loc=P_0002_019
20,原子小金剛 新裝版 7,手塚治虫,2020-08-26,"
2003年，地球的科技已臻至顛峰，不僅機器人隨處可見，連機器人專屬的法律都制定了。只不過其外表仍可輕易地就看出來。這時，一件事改變了人類對機器人的認知，那就是小金剛的誕生。    究其原，是因為一件...more
",https://www.books.com.tw/products/0010867410?loc=P_0002_020
21,原子小金剛 新裝版 8,手塚治虫,2020-08-26,"
2003年，地球的科技已臻至顛峰，不僅機器人隨處可見，連機器人專屬的法律都制定了。只不過其外表仍可輕易地就看出來。這時，一件事改變了人類對機器人的認知，那就是小金剛的誕生。    究其原，是因為一件...more
",https://www.books.com.tw/products/0010867411?loc=P_0002_021
22,DEAD DEAD DEMON’S DEDEDEDE DESTRUCTION 惡魔的破壞 7,淺野いにお,2020-08-26,"
少女們的日常反烏托邦青春譜曲    即使在來自美國的指責越來越多的情況下，   日本也還是和S.E.S社一起向前邁進──    就這樣夏天來到了。   「討厭的預感」……在心中騷動不停的凰蘭，   和駿米大學的神怪研...more
",https://www.books.com.tw/products/0010867415?loc=P_0002_022
23,死亡預告(04),間瀨元朗,2020-08-25,"
這個國家有一部名為國家繁榮維持法的法律。   為了激勵廣大群眾、讓國家繁榮強大，   被選中的年輕人將會收到預告死亡的通知.『逝紙』──   配送到府的死亡預告證。生命只剩下最後1天的時間。   『我要燒了...more
",https://www.books.com.tw/products/0010867413?loc=P_0002_023
