,書名,作者,出版日期,內容介紹,網址
1,惡童當街全三冊套書(限量動畫電影贈品版),松本大洋（Matsumoto Taiyou）,2020-11-03,"
★松本大洋最傳奇代表作!慶祝動畫電影重新上映推出《惡童當街》限量贈品版! ★一套三本+限量加贈「動畫電影劇照畫卡」和「早場優待券」+彩色典藏盒裝+松本大洋全介紹海報+作者繪製台灣限定版小卡「小黑小白...more
",https://www.books.com.tw/products/0010873836?loc=P_0003_001
2,暗黑校規,藤峰大和,2020-10-23,"
平凡無奇、無聊透頂的日常。   一樣的制服、一樣的髮色…。   令人憂鬱的每一天。   妳的出現，   為這樣的日子照進一道光。    可是妳卻因為校規的關係，   沒辦法來學校。   那麼就由我們來改變校規吧!  ...more
",https://www.books.com.tw/products/0010873711?loc=P_0003_002
3,黃昏流星群(60),弘兼憲史,2020-10-16,"
年屆60的檢察官伊坂決定趁此機會轉換人生跑道，   辭去公職到老友柿澤經營的律師事務所上班。   柿澤慫恿伊坂加入一個「會員制的秘密俱樂部」，   那是嚴格要求身分保密、長相不能暴露、只求肉慾享樂的神...more
",https://www.books.com.tw/products/0010872934?loc=P_0003_003
4,生而為GAY，那又如何：在同志酒吧長大的我們 vol.1,もちぎ,2020-09-30,"
這是脆弱的我在脆弱的狀態下，   成為大家的媽媽的故事──    「因為你很美，美到不需要跟誰做比較，   你已經是個很棒的人了。」    ❖「現象級」瘋狂轉推!Twitter追蹤人數超過60萬人   ❖壓倒性的共鳴!網路...more
",https://www.books.com.tw/products/0010871108?loc=P_0003_004
5,生而為GAY×潘柏霖小詩獨家套書【博客來限定書衣海報版】,もちぎ,2020-09-30,"
台灣獨家，詩人潘柏霖為本系列撰寫的祝福之詩。   在彩虹的起點與盡頭，   有些話想對未來的自己說──    〈生而為GAY，我很想記得這些〉    我想寫幾句話給未來的自己/記得找份不討厭的工作/不要把自己活...more
",https://www.books.com.tw/products/0010870859?loc=P_0003_005
6,生而為GAY，我很抱歉：我的性決定我的人生,もちぎ,2020-09-30,"
「對不起喔，媽媽……」      「人家是Gay，   人家最討厭妳這種女人了(笑)。」    ❖「現象級」瘋狂轉推!Twitter追蹤人數超過60萬人   ❖壓倒性的共鳴!網路連載訂閱突破90萬   ❖PIXIV綜合排行榜第一名、AMAZ....more
",https://www.books.com.tw/products/0010871104?loc=P_0003_006
7,黃昏流星群(59),弘兼憲史,2020-09-11,"
不對外公開性別、年齡的神秘女漫畫家鄉原信夫，   二十年來專心於漫畫創作，從不與男人交往。   其實她的內心住著一位暗戀多年的男人，   那個人就是在她默默無聞時期，一路扶持她的余編輯。   苦熬多年的...more
",https://www.books.com.tw/products/0010869136?loc=P_0003_007
8,國八分(02),各務浩章,2020-09-07,"
道端蒲公英是被挑選出成為「國八分」對象，遭到日本全體國民進行無視的國二生。   就算想搭公車，公車司機也不會等她；   即使向家人說「我去上學嘍」、向朋友道「早安~」也不會得到任何一句回應。   雖然...more
",https://www.books.com.tw/products/0010869420?loc=P_0003_008
9,但我就是忍不住,汐街可奈,2020-09-07,"
「明明知道不應該再做，卻又忍不住做了──」 我們都以為這些只是別人的故事，卻在故事裡發現了自己的影子。    ★日本熱銷逾12萬冊《雖然痛苦到想死，卻無法辭職的理由》作者最新力作!   ★奪回人生主控權!17...more
",https://www.books.com.tw/products/0010868239?loc=P_0003_009
10,任正華限量套書：《漫漫畫人間》+《人肉包子》(加贈《修羅海》阿法王銀箔畫卡),任正華,2020-09-02,"
◎《修羅海》、《頑劣家族》傳奇漫畫家任正華經典重現!   ◎曾獲金鼎獎、新聞局劇情漫畫獎、國立編譯館優良漫畫獎連環圖畫組首獎、法國Casterman出版社首度出版之台灣作品。   ◎《星期漫畫》代表漫畫家之一...more
",https://www.books.com.tw/products/0010867998?loc=P_0003_010
11,漫漫畫人間：任正華漫畫集,任正華,2020-09-02,"
◎《修羅海》、《頑劣家族》傳奇漫畫家任正華經典重現!   ◎曾獲金鼎獎、新聞局劇情漫畫獎、國立編譯館優良漫畫獎連環圖畫組首獎、法國Casterman出版社首度出版之台灣作品。   ◎《星期漫畫》代表漫畫家之一...more
",https://www.books.com.tw/products/0010868000?loc=P_0003_011
12,黃昏流星群(03),弘兼憲史,2020-08-28,"
一生傾慕大明星渚繪梨加的德田和夫，   在一次大雨的夜晚，   如夢境般真的與渚繪梨加發生了親密關係，   但是噩運也接著而來......more
",https://www.books.com.tw/products/0010867423?loc=P_0003_012
13,黃昏流星群(10),弘兼憲史,2020-08-28,"
四十四歲的中川里美，   是個生活無聊的平凡家庭主婦。   卻受邀擔任好友加壽子「婚外情之旅」的掩護者，   結果與自稱「鈴木」的   職業攝影師發生了一夜情。   外遇、家庭崩潰、新人生的開展由此展開。...more
",https://www.books.com.tw/products/0010867428?loc=P_0003_013
14,黃昏流星群(12),弘兼憲史,2020-08-28,"
帕來素是高齡化社會的救星嗎?   熊谷修、塚原鐵平、藤留美子，   三個努力尋找「老人價值」老人，   最後的結果究竟會如何呢?   另外還收錄探討「換妻俱樂部」的   短篇──「星之交叉點」。...more
",https://www.books.com.tw/products/0010867432?loc=P_0003_014
15,黃昏流星群(18),弘兼憲史,2020-08-28,"
過世多年的丈夫竟然出現在眼前!   15年前一場悲劇性的空難，   奪去了入間川節子丈夫的性命，   經過當年遺體的確認，   丈夫的過世顯然是無庸置疑的，   那麼，出現在眼前的男人到底是誰?   與「丈夫」再...more
",https://www.books.com.tw/products/0010867436?loc=P_0003_015
16,黃昏流星群(20),弘兼憲史,2020-08-28,"
稻本是一個專門在銀座接送酒店小姐的中年司機，   在一成不變的生活之中，與酒店小姐圭子維持著一段曖昧的關係。   忽然間，15年不見的兒子，竟帶著妻子勢津子的骨灰來到自己面前…。   某天，   過世的勢...more
",https://www.books.com.tw/products/0010867439?loc=P_0003_016
17,黃昏流星群(21),弘兼憲史,2020-08-28,"
黑岩真美，一個日復一日過著平凡日子的單身女性，   因為50歲生日的到來，決心好好打扮自己一番，   並買個小蛋糕獨自慶生。   就在這一天，   一個寢具推銷員突然出現在她面前，   巧合的是，   這名中年...more
",https://www.books.com.tw/products/0010867442?loc=P_0003_017
18,黃昏流星群(24),弘兼憲史,2020-08-28,"
某日，天大的幸運毫無預警地降臨在一個忠厚老實的上班族身上，   讓他一夕之間成了4億圓的樂透彩金得主。   在同事和老婆都不知情的狀況下，彩金匯入了他的私房帳戶裡。   剛開始他還不知道該怎麼花這麼大...more
",https://www.books.com.tw/products/0010867443?loc=P_0003_018
19,北歐女孩日本文化好吃驚,歐莎．葉克斯托姆,2020-08-27,"
★與北歐女孩歐莎一起學習連日本人也不曉得的日本文化和禮儀。 ★北歐女孩系列累計銷售突破22萬冊!   重新發現日本的魅力!異文化圖文日記!   北歐女孩歐莎最新作品上市囉!   北歐女孩歐莎已來日本九年。   ...more
",https://www.books.com.tw/products/0010862061?loc=P_0003_019
20,接下來是倫理課 2,雨瀬 栞,2020-08-27,"
--人類的心非常複雜，   有著各式各樣的思想與煩惱。   教導著與人心密不可分的「倫理」的教師‧高柳，   真誠地面對班上學生們「心理的疙瘩」，   並且與他們一同尋找煩惱的根源…。...more
",https://www.books.com.tw/products/0010867345?loc=P_0003_020
21,黃昏流星群(37),弘兼憲史,2020-08-20,"
在鬧區的角落裡有一家名叫「大屋」的小吃店，   雖然每天營業到深夜，不過還是無法挽救經營困難的窘況。   有一天，店裡來了一位50多歲的女子，和老闆發生了一夜情。   這名女子其實是一位知名暢銷作家， ...more
",https://www.books.com.tw/products/0010866905?loc=P_0003_021
22,黃昏流星群(43),弘兼憲史,2020-08-20,"
當紅插畫家高村與女友分手後，   離開東京，搬到郊外一戶庭院裡有顆巨石的房子，   過著悠閒的單身生活。   可是他身邊的女性卻開始厄運纏身，   怪事接二連三地發生……...more
",https://www.books.com.tw/products/0010866906?loc=P_0003_022
23,黃昏流星群(38),弘兼憲史,2020-08-20,"
擔任經產大臣秘書的足柄，   從小到大始終認為自己是個菁英，立志朝政壇發展。   他娶了財閥的女兒，又和銀座的酒店小姐交往，   一路走來平步青雲。   可惜人算不如天算，足柄不但栽了跟頭、還成了階下囚...more
",https://www.books.com.tw/products/0010866908?loc=P_0003_023
24,黃昏流星群(44),弘兼憲史,2020-08-20,"
松木茜是銀座一家小酒吧的老闆娘，   酒店的實際擁有人是某家大公司的社長，也是松木的情夫。   在情夫的邀請下，兩人決定參加「賞極光之旅」，   未料卻在出發前因故分手，松木只好單獨前往。   後來她和...more
",https://www.books.com.tw/products/0010866910?loc=P_0003_024
25,黃昏流星群(39),弘兼憲史,2020-08-20,"
詞曲創作者兼歌手ASKA和漫畫的初次合作!   標題作品「C-46星雲」是從ASKA的歌曲「C-46」得到的靈感。   故事描寫一對熟齡男女在美麗回憶與現實的不如意之中摸索掙扎，   不但受到廣大迴響，還拍成了電視劇...more
",https://www.books.com.tw/products/0010866911?loc=P_0003_025
26,黃昏流星群(42),弘兼憲史,2020-08-20,"
擁有傲人經歷的鋼琴家高澤侑子，   現在卻淪落到只能在飯店打工彈鋼琴，   但是，她並沒有因此而放棄理想。   有天，侑子聽說以前拋棄她的男友發生了嚴重車禍，   而且瀕死之際不斷喊著「侑子」這個名字。...more
",https://www.books.com.tw/products/0010866912?loc=P_0003_026
27,黃昏流星群(58),弘兼憲史,2020-08-14,"
在近未來的2030年，獨居婦人怜子因為受傷得靠輪椅代步，   兒子因此送她一台看護機器人。   怜子對這個力氣大、外表帥氣的機器人亞蘭十分滿意。   不料，朝夕相處久了，亞蘭竟對怜子產生了「感情」?...more
",https://www.books.com.tw/products/0010866381?loc=P_0003_027
28,最軟!東京人夫日記1,米奇鰻,2020-08-05,"
颯爽漫畫家升格人夫，   嫁妻隨妻赴日定居，   迎接人人稱羨的軟爛生活(?)    菁英太太將調職至日本總公司，曾獨身赴日，   擁擠電車、超時工的孤獨回憶頓時湧現……   身為完美人夫，米奇鰻帥氣挺身：「這...more
",https://www.books.com.tw/products/0010865562?loc=P_0003_028
29,松本大洋短篇集限量套書：《藍色青春》+《日本兄弟》(加贈《日本兄弟》初版書衣海報!),松本大洋,2020-07-30,"
●200%的松本大洋!!!天才進化的軌跡!松本大洋唯二短篇集首度同步在台發行!   ●松本大洋的青春殘酷物語&奇想傑作，兩本一共18篇90年代珍貴短篇，直擊《惡童當街》的起點   ●台版獨家完整收錄1993初版、1998...more
",https://www.books.com.tw/products/0010864911?loc=P_0003_029
30,藍色青春：松本大洋短篇集,松本大洋,2020-07-30,"
‧松本大洋短篇集中文版首度出版!   ‧認識「初期大洋」不可或缺之書!   ‧松田龍平主演電影《藍色青春》原著!   ‧松本大洋的青春殘酷物語，一共7篇90年代珍貴短篇，直擊《惡童當街》的起點   ‧台版獨家完整...more
",https://www.books.com.tw/products/0010864910?loc=P_0003_030
31,少女的尖叫~閃耀中毒~,今澤舞衣子,2020-07-17,"
我只是想要活得閃閃發光而已… JK經濟、霸凌、自殺、跨性別者， 孤立即為醒目，在這難以生存的現代黑暗裡， 五位各自懷抱著煩惱的少女們該如何面對── 就讓今澤舞衣子以貼近現實的感性來刻畫， 纖細敏感的少...more
",https://www.books.com.tw/products/0010863998?loc=P_0003_031
32,被消失的香港,柳廣成,2020-07-08,"
我曾親歷的香港 反送中運動抗爭藝術畫集   5篇短篇漫畫+32張犀利單幅   香港漫畫家柳廣成 自傳式畫集   以意志的畫筆，對抗被意圖消失的歷史   「重要的是活下去。但更更更重要的是，毋忘初衷地活下去。  ...more
",https://www.books.com.tw/products/0010862176?loc=P_0003_032
33,我們的色彩 1,田亀 源五郎,2020-06-18,"
「我喜歡男人」，這個秘密壓迫著自己，也壓迫著對方─   高中生井戶田宙是男同志，單戀同班同學吉岡健太。   這件事情宙一直保密，對他的最要好的童年玩伴仲村奈櫻也一樣。   某一天宙看到吉岡和朋友鬧著說...more
",https://www.books.com.tw/products/0010860807?loc=P_0003_033
34,瘋人院之旅：整個世界就是你的精神病院,PAM PAM LIU,2020-06-15,"
「那天死掉的不只是他們，還有我曾經那麼健康的心。」 一本讓你分不清楚你在「裡面」還是「外面」的圖像小說。    瘋狂背後的殘酷真實   《癌症好朋友》作者PAM PAM LIU醞釀十年、歷時一年創作、長達336頁...more
",https://www.books.com.tw/products/0010861511?loc=P_0003_034
35,去不了學校的我們~自尊的終局~,惠蘋果,2020-06-12,"
學校應該是我可以綻放光芒的地方…   真帆一直到國中之前的成績都是第1名。   但上了高中之後，卻變得不管怎麼努力，都追不上周遭的人。   再加上她唸的是貴族學校，跟周遭人的身分差距也非常大。   某天，...more
",https://www.books.com.tw/products/0010860631?loc=P_0003_035
36,噴嚏 浦沢直樹短篇集 全,"浦沢 直樹,遠藤 賢司,長崎 尚志",2020-06-12,"
號稱擁有超能力的詭異二人組找上黑道，表示能用超能力替黑道殺人。甲本打算利用他們的超能力替被謀殺的老大報仇，而他其實也有私心。然而，在計畫執行中卻發現了令他驚訝的消息……?傑西小時候聽信詭異老人...more
",https://www.books.com.tw/products/0010857611?loc=P_0003_036
37,黃昏流星群(57),弘兼憲史,2020-05-15,"
江戶時代有一位叫銀次郎的流浪武士，   靠著一身好本領過著賞金獵人的生涯。   旅途中遇到處境堪憐的村娘小雪，   她無辜的兄長被「同行」殺死，自己還被凶手強暴。   為了替小雪報仇，銀次郎決定獨自到鎮...more
",https://www.books.com.tw/products/0010857108?loc=P_0003_037
38,左手 第二集,SALLY,2020-05-06,"
「我們交換的左手，換回來好嗎?」 暗流湧動的校園，惡意步步進逼。 交換左手的秘密究竟是……?! 金漫獎入圍、日本國際漫畫銀賞作品 多視角敘事臺灣年輕人的青春群像   我今年十七歲，再次與郭岳霖相遇。   ...more
",https://www.books.com.tw/products/0010854992?loc=P_0003_038
39,怪叔叔之散步道,Cuson Lo,2020-04-24,"
人到中年，總愛懷緬舊時。   知名漫畫家Cuson Lo從他的兒時記憶出發，用畫筆將那些留下多少腳毛的地方重新描繪出來――那大多不是知名旅遊景點，反而是一眾「宅男」經常出沒之地，例如︰旺角信和中心、深水...more
",https://www.books.com.tw/products/0010856001?loc=P_0003_039
40,我的家住著趕不走的怪物 (全),菊池真理子,2020-03-20,"
震撼日本的「毒親系」作品 與怪物家人奮鬥30年的真實漫畫   「我想自己選擇，要遺傳下去的東西——」   一起慶生、跨年的客廳裡，   開著要爸爸去死的家庭會議——   耽溺酒精的爸爸、沉迷宗教的媽媽、嘻皮笑...more
",https://www.books.com.tw/products/0010851271?loc=P_0003_040
41,噴嚏 浦沢直樹短篇集 全(首刷附錄版),"浦沢 直樹,遠藤 賢司,長崎 尚志",2020-03-12,"
號稱擁有超能力的詭異二人組找上黑道，表示能用超能力替黑道殺人。甲本打算利用他們的超能力替被謀殺的老大報仇，而他其實也有私心。然而，在計畫執行中卻發現了令他驚訝的消息……?傑西小時候聽信詭異老人...more
",https://www.books.com.tw/products/0010850948?loc=P_0003_041
