,書名,作者,出版日期,內容介紹,網址
1,半永久定妝術圖解全書,"吳思親,陳奕融",2020-10-30,"
零基礎也OK!學習半永久化妝術的入門書， 眉、眼、唇、髮造型設計，一次全解惑， 假皮教學X操作真人，圖解秘技不藏私， 搭配影片QRcode，新式紋繡so easy!    {半永久化妝術是什麼?}   半永久化妝術是一種...more
",https://www.books.com.tw/products/0010874664?loc=P_0003_001
2,頂尖造型師都在用の「軸色」穿搭術：先從上衣、包包、鞋子，找出妳的三點關鍵色，再掌握「7：3配色原則」，用基本款就能穿出自我風格!,谷口美佳,2020-10-15,"
\一上市旋即再版X受邀上日本NHK、日媒爭相報導/ 揭露日本頂尖時尚穿搭師的穿衣哲學 掌握妳的「軸色」，再也沒有「難配」的衣服， 教妳展現從容、俐落、讓人印象深刻的時尚搭配法。   妳開始對「穿搭」感到...more
",https://www.books.com.tw/products/0010872883?loc=P_0003_002
3,大人の彩妝課：暢銷突破15萬冊!不褪流行、不分造型、不限化妝品，天后級彩妝師的「好感美肌妝」【完全圖解版】,長井香織,2020-10-08,"
★★★台灣彩妝天后「游絲棋」、專業彩妝造型師「洪希寧」特別撰文推薦★★★ 日本OL時尚指標雜誌GLOW、VOCE、steady.御用彩妝師最新著作! 在日最暢銷美妝聖經《大人的化妝書》【步驟圖解版】! 一現身就賣破15萬...more
",https://www.books.com.tw/products/0010871938?loc=P_0003_003
4,骨架分析X基因色彩=省時、省錢又省力的最強男子選衣法,二神弓子,2020-09-29,"
同系列作品日本熱賣超過15萬本! 改寫男子穿搭公式→日本網路、雜誌超人氣話題! 廣大女性敲破碗→哥哥弟弟脫單靠這本!男友老公順眼靠這本!  ●隨書附贈「攜帶型基因色彩色票卡」，正式告別灰頭土臉、面有菜菜...more
",https://www.books.com.tw/products/0010869280?loc=P_0003_004
5,減齡10歲!大人系妝髮攻略：不刻意裝小，但也絕不能飄嬸味!人氣彩妝師傳授，50世代的恰到好處髮妝、保養技巧!,船津有史,2020-09-04,"
「年過50，還美的這麼不科學!」 「關掉濾鏡，好氣色依舊扛得住!」 凍齡女神們為何能一直容光煥發? 答案就在本書    女人啊，不管到幾歲，都不該放棄美麗~   年齡生長無法逆時鐘，沒─關─係   妝容合宜，看...more
",https://www.books.com.tw/products/0010869433?loc=P_0003_005
6,365天，每天都想穿喜歡的衣服 MAI的手繪時尚穿搭Q&A,いわたまい,2020-08-26,"
雖然很在意大腿，可是喜歡穿褲裝……   想知道只有粉紅色才能做出的帥氣穿搭造型!   用男裝來搭配，能夠更提昇女性魅力?   當買下令人心動的新衣的那一刻，總是欣喜的想像要怎麼搭配，   然而，換上新買的衣...more
",https://www.books.com.tw/products/0010862064?loc=P_0003_006
7,美甲彩繪：專業凝膠設計與護理,"許妙琪,陳美均",2020-08-20,"
本書詳細介紹基礎的指甲保養及護理知識，以及指甲彩繪的各式技巧，帶領讀者認識更多正確的觀念。   指甲彩繪及漸層凝膠設計十分受歡迎，但沒有接受正確課程訓練的人，卻極有可能在美甲同時，不小心損及指...more
",https://www.books.com.tw/products/0010869580?loc=P_0003_007
8,你好，我是盧志遠：分析臉型.膚色，髮型零失敗,盧志遠,2020-07-29,"
「 哈囉大家好，我是盧志遠。 這是一本美髮書，如果沒有看過的話，大家可以翻閱一下!」   YouTube人氣美髮頻道「你好，我是盧志遠」的造型師——志遠，   專為亞洲人撰寫的美髮造型書，幫助大家找出最適合自...more
",https://www.books.com.tw/products/0010856158?loc=P_0003_008
9,完妝後就是美人：大人的化妝書II：任何狀況都能完美修飾的專業技巧(二版),長井香織,2020-07-24,"
◎漂亮是可以「養」出來的!◎ 日本最暢銷的美妝書!《大人的化妝書》第二彈 96種髮妝、保養技巧，一次告訴你! 讓你簡單擁有，雞蛋肌、光澤髮、無齡感   老化、不懂選化妝品、冒痘痘、色斑、眼睛太小……   無論...more
",https://www.books.com.tw/products/0010865717?loc=P_0003_009
10,年輕7歲的優雅大人好感系彩妝：掌握魅力色，怎麼化都自然，讓人生升級的自在妝容,黃若宜Joyi,2020-07-22,"
化妝太麻煩，習慣頂著素顏就出門? 忙著照顧兒女，已經跟化妝絕緣? 第一次當主管，該怎麼提升形象? 買了流行彩妝品，怎麼用都不對勁?   年齡和忙碌，都不能阻礙你變得優雅   每個人都有不同的化妝理由，妝...more
",https://www.books.com.tw/products/0010863052?loc=P_0003_010
