,書名,作者,出版日期,內容介紹,網址
1,世界溫帶淡水魚圖鑑,佐土 哲也,2020-11-18,"
提及魚類，很多人的第一印象是色彩鮮豔、種類豐富的熱帶魚。但其實，生活在溫帶的魚類也極富魅力，種類的多樣性更是讓人炫目不已!   所謂的溫帶，指的是最冷月份的平均氣溫為-3~18℃的地區，本書是第一本收...more
",https://www.books.com.tw/products/0010870831?loc=P_0003_001
2,室內綠設計生態缸：從栽培、造景到飼養動物一本搞定!,小森智之,2020-08-26,"
只要用對方法，生態缸的環境內，   就能夠讓偏好潮溼環境的植物與動物茁壯長大。   這是種運用小巧容器、水缸或專用箱等的栽培法。   再巧妙配置出優美視覺效果，   就能夠成為沉澱心靈的自然綠家飾。   ...more
",https://www.books.com.tw/products/0010867851?loc=P_0003_002
3,創造水森林2,Pisces,2020-07-09,"
內容報導有關水草基礎、介紹前、中、後景水草種類   水草缸基本構圖解說及栽種的方法以淺顯易懂的方式做出詳盡的闡述。  本書特色    精美生動的異形圖片，詳細再介紹前、中、後景水草知識，及水草缸基本...more
",https://www.books.com.tw/products/0010862980?loc=P_0003_003
4,創造水森林1,Pisces,2020-06-24,"
內容報導有關水草基礎、介紹前、中、後景水草種類   水草缸基本構圖解說及栽種的方法以淺顯易懂的方式做出詳盡的闡述。  本書特色    精美生動的異形圖片，詳細介紹前、中、後景水草知識，及水草缸基本構...more
",https://www.books.com.tw/products/0010861214?loc=P_0003_004
5,熱帶魚與水草的飼育法(暢銷版),勝田正志,2020-05-13,"
本書收錄的實用知識，水族達人也十分認可!   還有10個提供初學者的水族箱造景設計實例。   賞玩色彩斑斕的熱帶魚與美麗的水草，就由這一本開始吧!   *從日光燈、孔雀魚等小型美魚，到鼠魚、紅水晶蝦等做為...more
",https://www.books.com.tw/products/0010857784?loc=P_0003_005
6,認識錦鯉,Pisces,2019-11-13,"
錦鯉基本知識介紹及飼育的方法以淺顯易懂的方式做出詳盡的闡述。 本書特色   精美生動的異形圖片，詳細介紹錦鯉知識、飼育環境、日常管理、餌料投餵，內容精彩、圖片活潑，是本專業用途及保育與欣賞價值兼...more
",https://www.books.com.tw/products/0010838580?loc=P_0003_006
7,金魚事典：從認識、飼養到觀賞，寵物金魚的綺麗圖鑑,創意眼金魚坊 蘇東偉,2019-07-20,"
■百分百符合台灣飼養習慣及環境，介紹陸系及泰系金魚，有系統地超過50種金魚品系 ■超過千張圖片，不僅僅只是一本圖鑑，讓你更熟悉金魚的百媚千嬌 ■養魚學問百百種，具備育養技術及專業的養殖環境分析，知...more
",https://www.books.com.tw/products/0010825600?loc=P_0003_007
8,熱帶魚觀賞與飼養大全,"Mao Song Liu,松",2019-07-01,"
飼養熱帶魚樂趣無窮，它可以使我們欣賞到水中奇異世界的種種水族生態景觀，猶如欣賞一幅幅水景藝術畫一般。本書將各種淡水觀賞魚分門類別，除彩色圖片外，並依其學名、俗名、產地、適溫、酸鹼值、硬度及習...more
",https://www.books.com.tw/products/0010827266?loc=P_0003_008
9,美洲慈鯛經典輯,Pisces,2019-05-03,"
南美慈鯛基本知識介紹及飼育的方法以淺顯易懂的方式做出詳盡的闡述。 本書特色   精美生動的異形圖片，詳細介紹南美慈鯛知識、飼育環境、日常管理、餌料投餵，內容精彩、圖片活潑，是本專業用途及保育與欣...more
",https://www.books.com.tw/products/0010820272?loc=P_0003_009
10,養魚hen easy,魚雜誌社,2019-05-01,"
一本真的能帶給入門者正確觀念為出發點的養魚書!   本書集合了觀賞魚資深玩家的心得分享於此書，並以水族館常見的、容易入手的熱帶魚為基礎，目的就是希望藉著淺顯易懂的方式讓「生命得到尊重」。所以我們...more
",https://www.books.com.tw/products/0010821271?loc=P_0003_010
11,觀賞水產養殖學(第2版),鄭曙明,2019-03-08,"
本書系統介紹了觀賞水生生物的類別、生物學特性與變異性狀，金魚、錦鯉、熱帶魚、海水魚、原生觀賞魚、觀賞龜、水生觀賞無脊椎觀賞動物、水生觀賞高等脊椎動物及其觀賞水草的主要種類和形態特徵，水族景觀...more
",https://www.books.com.tw/products/0010816233?loc=P_0003_011
12,澤龜,大衛．T．柯克派翠克,2019-03-01,"
澤龜(aquatic turtle)泛指棲息在淡水的烏龜。住在河流和池塘的烏龜們是新興的熱門寵物，因為他們迷人的行為舉止，美麗的顏色和可愛的臉蛋迷倒所有年齡層的人。   然而這些動物無法在只有水缸加上幾塊石頭...more
",https://www.books.com.tw/products/0010814614?loc=P_0003_012
13,讓人心動的金魚圖鑑,尾園曉,2019-01-01,"
親人、種類豐富、花色美麗、動作和表情可愛，而且能夠活很久，一起進入充滿魅力的金魚世界吧!   story 1 金魚的履歷   金魚的魅力、生活方式、種類等介紹   story 2 各種扣動人心的金魚   和金型、琉金型...more
",https://www.books.com.tw/products/0010809078?loc=P_0003_013
14,親子玩水族：生物觀察，生命教育，親子共作，適合大人小孩一起飼養的53種水族寵物,吳瑞梹,2018-12-06,"
★3~10歲親子共讀，11歲以上自主閱讀★ 想養寵物，但遲遲不敢開始? 水族動物形態美麗且獨特，只要懂得牠們的基本生存條件和需求，任何人都能成功飼養，是能適應大部分環境的可愛寵物。在本書中，水族專家、...more
",https://www.books.com.tw/products/0010805869?loc=P_0003_014
