,書名,作者,出版日期,內容介紹,網址
1,小桌花小瓶花 隨手花藝設計：小角落‧小器皿，每天插插小花兒妝點生活,山本真美（Mami Yamamoto）,2020-10-20,"
今天的花藝是哪種心情? 用唾手可得的生活器皿，妝點日常環境 隨手鮮花小型花藝技術指導 不再只是插到花瓶裡!   【獨家花色索引，多樣季節變化、節日造型】   【野生花朵V.S.原生花卉，不同氣氛營造】   【...more
",https://www.books.com.tw/products/0010873553?loc=P_0003_001
2,一花入魂：回到初心，和大師練習日常插花,上野雄次,2020-09-29,"
「插花」是非常單純、簡單的事，   即使只是一朵花，也能帶來十足的感動與傳達滿滿的想法。    ★日本花道大師上野雄次首本中文版在台上市   ★美術紙雙封面質感裝幀   ★精選厚磅內文用紙   ★全書近百幅花藝...more
",https://www.books.com.tw/products/0010870573?loc=P_0003_002
3,簡單種香草和蔬菜：手殘者也能養活的食用植物,美好生活實踐小組,2020-09-15,"
讓香草或蔬菜， 豐富你的窗台吧!    自己種菜自己吃!種菜不用大庭院，即使住在公寓或大廈的小窗台，也能輕鬆打造自己的 「家庭菜園」，種植一些香草植物、青草藥或蔬菜等食用植物，享受「產地到餐桌」的美...more
",https://www.books.com.tw/products/0010870483?loc=P_0003_003
4,日常花事：當代花藝設計師的花束、桌花、花飾品，用好取得的草木花材，豐盈生活的美好姿態,王楨媛,2020-09-03,"
★給初學者的32堂花藝課★ 掌握材質╳線條╳色彩╳比例， 用台灣常見花材，打造不凡的高質感花作。    花在日常，生活即是花器，   在不同草木花材的鋪陳組合中，   把日子妝點成理想的模樣。    出生花道家庭...more
",https://www.books.com.tw/products/0010868525?loc=P_0003_004
5,花木修剪實用全書：友善環境的自然式修剪實務操作寶典【2020年全新增訂版】,李碧峰,2020-08-22,"
為什麼要剪、該怎麼剪、詳解示範 至少有5萬人已經認識與了解這項技術 一本從頭到尾都是技術菁華的自然式修剪實務操作寶典  花木長不好、生病了、被蟲咬、葉子掉了、花不開、果會落，就算是噴藥又施肥也是...more
",https://www.books.com.tw/products/0010866271?loc=P_0003_005
6,花職人的花藝基本功：基礎花型的花束&盆花的表現手法,蛭田謙一郎,2020-08-17,"
愛花人&花藝從業者一定要會的基本花型   花藝設計中最常見的圓形、三角形花型，看似簡單，其實要把基礎練到完美並不容易，其中的比例拿捏、三面或四面觀看、所運用的花材，都與最後的造型息息相關，而本書...more
",https://www.books.com.tw/products/0010866971?loc=P_0003_006
7,簡單種綠色植物：植物殺手也能養活的紓壓盆栽,美好生活實踐小組,2020-08-15,"
簡單種!超療癒! 讓綠色植物淨化身心靈! 3大類好活主題植物，讓你閉眼都能種!    Part1超好養的綠色植物這樣種：如何照顧植物，讓它們頭好壯壯!   Part2不怕渴─耐旱的綠色植物：偶爾出差或忘了澆水，它們還...more
",https://www.books.com.tw/products/0010867066?loc=P_0003_007
8,林惠蘭種子盆栽藝術(攝影典藏禮盒版),林惠蘭,2020-08-15,"
★ 國際種子盆栽藝術師林惠蘭生涯代表作! ★ 藝文星桂冠 精選推薦! ★ 淬煉40年種子盆栽之精髓! ★ O2O虛實整合立體式閱讀。 ★ 透過手機掃二維條碼即可享閱專屬教學影片。 ★ 隨書附林惠蘭老師作品攝影集。   ...more
",https://www.books.com.tw/products/0010866994?loc=P_0003_008
9,在家種菜真有趣,趙筱蓓PATTY,2020-07-31,"
◎二十年專業種菜心得分享   作者因喜好而就讀園藝系，一路以來，在種菜的過程中不斷精進，特別將種菜心得分享出來，並將種菜關鍵的過程以圖解做說明。    ◎在家種菜好簡單   不論是窗台、陽台、庭院、頂樓...more
",https://www.books.com.tw/products/0010866119?loc=P_0003_009
10,婚禮花藝設計全書：英倫花藝大師經典婚禮花藝課程Step-by-Step全收錄,朱蒂思．布萊克洛克,2020-07-18,"
~ 零距離的大師教學，打造完美婚禮的花藝實做教學 ~ 不用飛到倫敦!也能學到第一手的專家祕訣! 英國女王皇家御用、世界十大花藝學校之一的創辦人 英倫花藝大師 朱蒂思.布萊克洛克 在台第一本中文花藝教學全...more
",https://www.books.com.tw/products/0010863272?loc=P_0003_010
11,空氣鳳梨圖鑑：魅力品種x玩賞栽培x佈置應用,"Arwoo顏俊宇,梁群健",2020-07-18,"
空鳳迷必定收藏的經典圖鑑! 內容滿載栽培空鳳二十餘年的寫真紀錄與栽培心得。 入門款、進階款、雜交新種、美型香花款、玩家挑戰級品種， 邀您一起來鑑賞! ●127款超人氣美型空氣鳳梨圖鑑，從型態辨識到栽培...more
",https://www.books.com.tw/products/0010863610?loc=P_0003_011
12,苔蘚玻璃盆景：新手入門,園田純寛,2020-07-10,"
歡迎進入苔蘚玻璃盆景的世界   微小又纖細的苔蘚透過不同物種組合，在容器中創造出森羅萬象的樣貌，就彷彿是將大自然的風景帶進屋裡，請跟著書中步驟創作一個專屬自己的玻璃微景觀，體驗一下與苔蘚共同生...more
",https://www.books.com.tw/products/0010863436?loc=P_0003_012
