,書名,作者,出版日期,內容介紹,網址
1,輕鬆油漆刷出手感個性家：小成本的色彩大改造!居家空間×家飾雜貨×自然風×個性塗鴉×基本技巧,主婦與生活社,2020-10-21,"
居家換裝一把刷!簡單油漆改造空間   繪畫時尚花紋.改變素材質感.仿舊處理新手法──   只需利用油漆即可改變室內風格的玩色魔法創意，盡在其中!   想要讓生活更加多采多姿?   不妨從塗刷身邊小物開始，打造...more
",https://www.books.com.tw/products/0010873630?loc=P_0003_001
2,室內設計必學施工圖：教你建立邏輯、畫出重點，建立紮實基礎，快速繪製一看就懂可施作的圖面,"林麗菁,邱致豪,陳文亮",2020-09-19,"
設計是從無到有的過程， 從構想到現場， 都是靠設計施工圖傳達， 會畫整套施工圖，為室內設計工作中「基本的基本」。 當設計完成準備在現場施作時， 讓所有想法與細節， 傳達給施工人員了解並照圖作且不出...more
",https://www.books.com.tw/products/0010870093?loc=P_0003_002
3,餐飲空間設計聖經2.0,漂亮家居編輯部,2020-09-19,"
《漂亮家居》暢銷叢書「餐飲空間設計聖經2.0」年度重磅改版! 繼2016年推出全台第一本以餐飲創業者為主的空間設計書廣受好評、2018年熱銷再版 2020年《漂亮家居》編輯部重新聚焦於時下餐飲空間對於新世代消...more
",https://www.books.com.tw/products/0010870094?loc=P_0003_003
4,照明知-做-美全覽套書(共二冊)：照明+照明魔法,"安齋哲,村角千亞希",2020-09-17,"
照明對我們的生活影響不僅止於夜晚，而是24小時! 燈光的表情，如同自然光，是隨不同場域、不同時間、不同用途，甚至是不同季節而改變，這就是生活的品味及樂趣。 精美圖片搭配圖解，詳細說明照明的基礎知...more
",https://www.books.com.tw/products/0010869762?loc=P_0003_004
5,低預算裝潢全攻略【新屋&10年內屋齡適用版】 暢銷新封面版：即使只有50萬，Step by Step，聰明花、找對人，打造理想宅,漂亮家居編輯部,2020-08-22,"
裝潢新手估價、分配預算一定要看的實用工具書 就算只有50萬，只要跟著4大步驟做， 也能用低預算作出有質感的家! 預算，一直是裝潢族群相當在意的問題之一!無論小資族群還是白領階級的高薪者，總會有夢想中...more
",https://www.books.com.tw/products/0010867189?loc=P_0003_005
6,室內設計配色事典：專業設計師必備色彩計畫全書，配色方案+實景案例+色號，提案一次過關,北京普元文化藝術有限公司PROCO普洛可時尚、張昕婕,2020-08-22,"
真正從複雜的空間配色切入解析， 配色方案與實景案例無縫串聯， 蒐羅海量室內色彩組合方案， 每組配色方案都搭配了實景案例與NCS色號、Pantone色號、CMYK和RGB色值， 既是設計師的色彩搭配參考，同時作為...more
",https://www.books.com.tw/products/0010866840?loc=P_0003_006
7,空間設計要思考的是：人與空間、形式和機能，從思考到現場，陸希傑的極簡美學與實踐(暢銷改版),陸希傑,2020-08-20,"
建築與設計， 是一個社會事件，一個看世界的入口，一場無止盡的探險。 若要將這個「入口」具象化，應該會是什麼樣子呢?   建築師阮慶岳曾說：陸希傑是足以讓現實建築界覺得不安的「假建築」；而假之所以為...more
",https://www.books.com.tw/products/0010866841?loc=P_0003_007
8,格局設計全書,東販編輯部,2020-08-13,"
好格局讓你就像住在天堂裡 想要住得舒適，格局就要這樣設計!   .只是調整房門位置，瞬間多了更多使用空間   .善用門片設計，格局大小隨你改變   .雙向出入口設計，小空間也能有自由動線   .長方型的家，前...more
",https://www.books.com.tw/products/0010863536?loc=P_0003_008
9,無限可能的家居配色事典：悅色,紅糖美學,2020-07-29,"
家的模樣，決定你生活的模樣!   這是一本面面俱到的家居配色避坑指南，講解內容主要如下：01常見家居問題測試、02 色彩基礎入門、03 居室環境與色彩的關係、04 不可不知的家居配色思路、05 人人必備的軟裝...more
",https://www.books.com.tw/products/0010865147?loc=P_0003_009
10,玻璃材質萬用事典：從種類挑選到五金搭配、創意運用、工法解析，一次搞懂玻璃設計與知識,漂亮家居編輯部,2020-06-20,"
華文世界第一本，室內設計&建築常用玻璃材質 玻璃特色、設計、工法完全解析!  室內設計常見玻璃的運用，但其實不同玻璃與材質的搭配運用，可以創造多樣的功能，例如清玻璃做成隔間，可以達到引光透光、降...more
",https://www.books.com.tw/products/0010861009?loc=P_0003_010
