,書名,作者,出版日期,內容介紹,網址
1,2020台灣百大網紅聯名寫真,陳豪,2020-11-01,"
在這個網路普及的時代，《媚娘兒》網紅公司於全球火紅社群平台Instagram評選出台灣當前100位具有高人氣影響力的女孩，力邀她們一同拍攝2020年台灣百大網紅寫真書，讓粉絲們看到她們不同的另一面。...more
",https://www.books.com.tw/products/0010874075?loc=P_0003_001
2,【眾望所貴】Z咖小模 貴貴寫真書(附#貴貴畫畫繪本),Z咖小模-貴貴,2020-10-24,"
★ Z咖界的第一名模(誤)終於獻出寫真 ★ 被啦啦隊耽誤的畫畫天才? ★ 粉絲敲碗的貴貴插圖繪本也來了! ☆ 再送貴貴性感海報 (共 2 款隨機附贈 1 款)  在中華職棒球隊裡，中信兄弟的啦啦隊 Passion Sisters 是被...more
",https://www.books.com.tw/products/0010872974?loc=P_0003_002
3,制服男友MEN IN UNIFORM：曾崇倫 原創寫真(博客來獨家海報版),台灣角川編輯部,2020-09-24,"
Story of Paul   雖然生病但沒關係，讓微笑Paul細心照顧你~   網紅Paul已有許多拍攝經驗，而他本身的工作竟是護理師。甫踏入職場的他，將發揮護理所長，照顧好每個病人，他的帥氣酒窩笑容也將療癒你的心。...more
",https://www.books.com.tw/products/0010870541?loc=P_0003_003
4,《真星愛上你Addicted to you》Amber Na藍星蕾寫真書,藍星蕾,2020-08-05,"
▶亞洲百大DJ首本寫真書、200萬粉絲敲碗狂推!   ▶集天使臉孔魔鬼身材於一身、初戀系DJ星蕾讓你一次完整收藏   ★由超高人氣「療癒系女攝影師」莉奈掌鏡，性感尺度大解放   ▶本書概念猶如百變寶藏盒，前翻是...more
",https://www.books.com.tw/products/0010865480?loc=P_0003_004
5,《真星愛上你Addicted to you》Amber Na藍星蕾寫真書 特裝版(寫真抱枕套),藍星蕾,2020-08-05,"
特裝版內容如下   ■藍星蕾寫真書1本   (全新未曝光性感海報共2款隨機隨書投入1款)   ■特選藍星蕾抱枕套   (共3個版本隨機投入1款)   ■精美外包裝盒包裝    ▶亞洲百大DJ首本寫真書、200萬粉絲敲碗狂推!   ▶...more
",https://www.books.com.tw/products/0010865534?loc=P_0003_005
6,滿溢的道別：彩美旬果完全引退寫真集(限),彩美旬果,2020-07-03,"
★ 日本正式授權中文版! ★ 日本超人氣AV女優「彩美旬果」，完全引退紀念寫真集! ★ あやみ旬果最後一裸，The Last Dance! ★ A4大開本，非收藏不可的最後經典之作! ★ 封面採用「300磅頂級銅西紙」，內頁採用...more
",https://www.books.com.tw/products/0010862618?loc=P_0003_006
7,2020【琪待有你】Angela張安琪個人寫真書,Brian 漢堡,2020-07-02,"
這次[琪待有你]寫真書用心打造 ，20套左右的不同造型 讓你看到不一樣的琪琪，甜美笑容的琪琪，這次走一個健康性感路線，用最甜美的笑容，融化你的心。    當中也在台灣取景，她曾說過很喜歡台灣，所以這次...more
",https://www.books.com.tw/products/0010860233?loc=P_0003_007
8,籃得遇見你 LANZY WITH YOU：籃籃寫真書,"籃籃,藍陳福堂",2020-06-24,"
本書是籃籃首本個人寫真，也是她首次嘗試不同面向與風格的拍攝，夏日艷陽下盡情展現甜美性感的水漾青春。除了水手服、比基尼、小背心等平時較少嘗試的造型，也嘗試淋浴、泡泡浴等令人臉紅心跳的寫真，誠意...more
",https://www.books.com.tw/products/0010859223?loc=P_0003_008
9,你的小精靈：陳敬宣寫真【呆萌版】photobook,陳敬宣,2020-06-23,"
從小就愛拍照的我，出一本屬於自己的寫真書，一直是我心中的一個夢想。記得國小時看到表姐在婚紗館拍的寫真集，我羨慕得不得了，一直吵著媽媽讓我也去拍，但礙於花費實在太高了，於是媽媽給我買了一本剪貼...more
",https://www.books.com.tw/products/0010860889?loc=P_0003_009
10,蛋捲的交換日記,蛋捲,2020-04-29,"
Twitch人氣遊戲實況主「蛋捲」首本生活寫真書，   突破以往尺度，挑戰甜美性感風，分享成長軌跡與電玩人生觀。   全書以男友視角精心拍攝，和蛋捲一同交換〈約會日記〉〈工作日記〉〈休息日〉〈成長日記〉...more
",https://www.books.com.tw/products/0010851200?loc=P_0003_010
