,書名,作者,出版日期,內容介紹,網址
1,媽咪的手作時光：24款溫暖小物，提升親子之間的溫度(隨書附贈24款小物原寸版型),蔣惠敏,2020-10-07,"
市面上的產品百百種，但親手做的只有這一種! 你想準備世界上絕無僅有的禮物給最親愛的孩子嗎?   買了蓋毯讓孩子用，卻發現材質不好讓孩子過敏；   買了玩具讓孩子玩，卻發現品質不一讓孩子受傷；   買了配...more
",https://www.books.com.tw/products/0010872624?loc=P_0003_001
2,幸福兔的羊毛氈大冒險(附材料包),余小敏,2020-09-01,"
◎七種羊毛氈療癒小動物步驟說明書   ◎簡單易懂的教學   ◎活潑生動的故事劇情    羊毛氈大魔王將幸福兔的好朋友全都隱形了   沒有朋友的日子就像沒了好心情   跟著幸福兔，一起來場羊毛氈大冒險吧!!    冒...more
",https://www.books.com.tw/products/0010870081?loc=P_0003_002
3,捲捲毛線球・汪星人報到!一秒融化你的心~比熊、貴賓、柴犬、法鬥、馬爾濟斯…【博客來獨家!書+捲線器超值限量組合】,PomPomGo朋朋狗,2020-06-18,"
最萌手作，一起捲出超可愛毛線球狗狗!  拿起毛線，在製球器中捲出一圈又一圈， 綁起剪開後，一顆毛茸茸的毛線球就出現了! 接著拿起剪刀，開始修出一個個可愛的臉龐， 今天想做比熊犬、還是貴賓犬、法鬥…… ...more
",https://www.books.com.tw/products/0010858871?loc=P_0003_003
4,捲捲毛線球・汪星人報到!一秒融化你的心~比熊、貴賓、柴犬、法鬥、馬爾濟斯…,PomPomGo朋朋狗．黃嘉文,2020-06-18,"
最萌手作，一起捲出超可愛毛線球狗狗!  拿起毛線，在製球器中捲出一圈又一圈， 綁起剪開後，一顆毛茸茸的毛線球就出現了! 接著拿起剪刀，開始修出一個個可愛的臉龐， 今天想做比熊犬、還是貴賓犬、法鬥…… ...more
",https://www.books.com.tw/products/0010858870?loc=P_0003_004
5,迪士尼TSUM TSUM Aclaine羊毛氈手作玩偶,佐佐木公子,2020-06-12,"
★迪士尼手作書系列★ 自己動手堆疊出可愛的迪士尼樂園!    曾經和巴斯光年一起飛向宇宙的孩子，現在也帶著自己的孩子看胡迪和安弟道別，與寶貝們盡情唱著Let It Go，放不掉的是這麼多年過去，迪士尼依然乘...more
",https://www.books.com.tw/products/0010860058?loc=P_0003_005
6,幸福兔的羊毛氈大冒險,余小敏,2020-06-01,"
教您瞭解羊毛特性就能製作出許多紓壓、可愛又療癒的作品呦!   羊毛氈是以專用的戳針、反覆戳刺羊毛讓羊毛纖維互相纏繞打結而變硬、戳刺的次數越多作品越紮實、次數少則較為蓬鬆、只要依循這個原理、瞭解羊...more
",https://www.books.com.tw/products/0010859751?loc=P_0003_006
7,動物系人氣手作!DOGS & CATS‧可愛の掌心貓狗動物偶(暢銷版),須佐沙知子,2020-05-13,"
融化了! 令人好想捧在手心呵疼の可愛代表： 重現喵星人&汪星人Q萌模樣の究極手作   只需要基本的縫紉技巧，配合作者精心設計的紙型，就能作出一隻隻栩栩如生的貓、狗動物偶。依據各動物原有的皮毛不同，可...more
",https://www.books.com.tw/products/0010857777?loc=P_0003_007
8,迪士尼TSUM TSUM羊毛氈手作書,佐佐木公子,2020-05-07,"
★迪士尼手作書系列★   自己動手堆疊出可愛的迪士尼樂園!   曾經和巴斯光年一起飛向宇宙的孩子，現在也帶著自己的孩子看胡迪和安弟道別，與寶貝們盡情唱著Let It Go，放不掉的是這麼多年過去，迪士尼依然乘...more
",https://www.books.com.tw/products/0010856458?loc=P_0003_008
9,呆萌又可愛!擬真羊毛氈兔子玩偶：垂耳兔、雷克斯兔、獅子兔、長毛兔等16款,畑牧子,2020-03-26,"
超逼真的羊毛氈玩偶!   百分之百重現「兔子」的可愛之處!   每當看到小兔子，都會覺得真是太可愛了!圓圓的眼睛、蓬鬆又軟綿的毛、小小的Y字鼻、短短的尾巴、吃東西時嘴巴的樣子，全都讓人覺得超萌!   你的...more
",https://www.books.com.tw/products/0010852875?loc=P_0003_009
10,毛以外 Mo More Pets,魯燕蓉,2020-01-21,"
以羊毛做為材料，立體針氈形塑的手法，逐步地構成作品最後的形樣   因為每次的毛氈狀態不同，疏密有別，因此是無法再製作出完全相同的第二件，每件作品都是獨一無二。   Mo的每件作品都有背後的故事或因緣...more
",https://www.books.com.tw/products/0010857581?loc=P_0003_010
11,超可愛娃娃布偶&木頭偶：5人作家愛藏精選!美式鄉村風╳漫畫繪本人物╳童話幻想,"今井のりこ,坪井いづよ,斉藤千里,田畑聖子,鈴木治子",2019-10-07,"
穿越童話夢想!自己親手作好可愛的娃娃偶!   【五種風格主題，你一定可以作出自己鐘愛的娃娃偶】   ★永遠不變的浪漫情懷──羅曼蒂克風格的布娃娃   無論任何時代，女孩都憧憬著美麗的事物。   將這樣的少女...more
",https://www.books.com.tw/products/0010836046?loc=P_0003_011
12,包手作羊毛氈的復刻食光【經典菠蘿材料包組】：第一本擬真食物羊毛氈，帶你用基礎技法封存記憶中的麵包、糕點、眷村好味道,雷包,2019-08-02,"
《包手作羊毛氈的復刻食光》免出門立即體驗超值版!   隨書附★【包手作羊毛氈】菠蘿麵包材料包★   內含五色短纖羊毛、獨家專用麵糰基底毛、羊毛氈專用戳針、EPE發泡棉工作墊。   ★文創新指標!榮獲2019臺灣...more
",https://www.books.com.tw/products/0010828066?loc=P_0003_012
13,包手作羊毛氈的復刻食光：第一本擬真食物羊毛氈，帶你用基礎技法封存記憶中的麵包、糕點、眷村好味道,雷包,2019-08-02,"
★文創新指標!榮獲2019臺灣文博會「文創精品獎」、誠品台灣「肖年頭家」新勢力品牌。   ★TVBS、壹週刊、三立電視台等媒體爭相專訪，最具台灣代表性的「擬真食物羊毛氈」!   ★世界麵包冠軍吳寶春、知名作家...more
",https://www.books.com.tw/products/0010827951?loc=P_0003_013
14,有119隻喔!童話Q版的可愛動物不織布玩偶,BOUTIQUE-SHA,2019-06-05,"
作愈多愈可愛!任何人都可以輕鬆手縫の不織布動物偶   色彩繽紛的薄不織布動物大集合!   全部119隻!所有作品皆隨附原寸紙型，   即使是初學者也能輕鬆地完成漂亮的作品。   從熊貓、小狗、貓咪……等超人氣的...more
",https://www.books.com.tw/products/0010823842?loc=P_0003_014
15,360°都可愛的羊毛氈小寵物(暢銷版),須佐沙知子,2019-06-05,"
❤心動指數100+❤ 羊毛氈作の超可愛萌寵小動物：貓‧狗‧鼠‧兔‧刺蝟全員到齊!   家有毛小孩的人，照片圖庫裡一定補抓了牠們所有可愛動作、表情的瞬間，看著這些萌萌的照片總是會令人忍不住內心柔軟露出微笑，...more
",https://www.books.com.tw/products/0010823839?loc=P_0003_015
16,簡單‧可愛‧超開心手作!袖珍包兒╳雜貨的迷你布作小世界(暢銷版)(二版),BOUTIQUE-SHA,2019-04-12,"
★超可愛袖珍手藝★ 開一間迷你雜貨店吧!    超豪華袖珍企畫：托特包‧手提包‧後背包‧旅行箱‧帽子‧雨傘‧靴子‧瑪麗珍鞋……都是迷你尺寸喔!   只需要簡單的縫合技巧&少許的零碼布就能作出小巧可愛的作品，想要作...more
",https://www.books.com.tw/products/0010818380?loc=P_0003_016
17,超萌羊毛氈動物戳戳樂：43款實用小物打造療癒居家style!,さくだゆうこ,2019-03-27,"
有著呆萌可愛表情的羊駝玩偶、   可以別在襪子&毛線帽上的毛絨絨棕熊胸針、   讓人想天天澆水的懶懶熊貓花盆套、   可以擺放心愛首飾、小物的海豚置物盤……   讓超療癒的羊毛氈暖心小物伴你度過每一天!   ...more
",https://www.books.com.tw/products/0010817161?loc=P_0003_017
18,我的可愛小布娃(二版),蔡林諺,2019-03-05,"
《我的可愛小布娃》(2版)是一本以布娃娃為主題的手作書籍，由蔡林諺老師將長久以來觀察生活周遭、人、事物得來之靈感，並以一針一線縫製創作出簡單、善良、快樂、溫暖的Gumama娃娃介紹給大家。書中根據每...more
",https://www.books.com.tw/products/0010815510?loc=P_0003_018
19,圓滾滾&胖嘟嘟的羊毛氈小鳥玩偶,滝口園子,2018-12-13,"
戳一戳‧微微笑 歡迎加入羊毛氈小鳥の童幻玩偶世界   ‧看到作品時會「燦爛一笑」   ‧捧在手上能感受到「溫暖觸感」   ‧心情漸漸變得「悠然自得」   滝口園子第一次製作的獨創羊毛氈作品，是身體像被壓扁的...more
",https://www.books.com.tw/products/0010808048?loc=P_0003_019
20,零基礎、全年齡的襪娃娃入門：手殘女、肢障男也能用手心傳遞好暖心的襪娃娃,鄭炫雅（Adel ）,2018-10-24,"
給孩子的襪娃娃+給愛人的襪娃娃=永恆的回憶   一起跟著《零基礎、全年齡的襪娃娃入門》，   創造人生中美好、暖心的美好回憶吧!   《零基礎、全年齡的襪娃娃入門》   隨書附錄──   超萌襪娃娃目錄►►不知道...more
",https://www.books.com.tw/products/0010802949?loc=P_0003_020
21,超可愛手作課!輕鬆手縫84個不織布造型偶,たちばなみよこ,2018-08-15,"
84個可愛不織布玩偶のDIY收集   不織布一直是手作族群非常喜愛的主題素材，不僅色彩豐富、縫製方法簡單，還有獨特迷人的溫暖觸感，尤其是製作成各式造型小玩偶時，更是充滿了療癒的魅力!在製作不織布小玩...more
",https://www.books.com.tw/products/0010795866?loc=P_0003_021
22,暖萌!玩偶的不織布手作遊戲,BOUTIQUE-SHA,2018-06-01,"
可愛魅力放送!   不織布玩偶の手作蒐集   以容易取得的不織布，來製作喜歡的玩偶會如何呢?   不需考慮縫份、收邊的技法處理，   只要簡單裁剪、縫合或黏貼就能快速完成。   從熟悉的動物到珍稀的生物……   ...more
",https://www.books.com.tw/products/0010788778?loc=P_0003_022
23,輕鬆又療癒 角落小夥伴手作BOOK(角落生物),,2018-05-23,"
好想一直陪伴著你喲! 親手製作出自己專屬的小夥伴。   角落小夥伴的療癒手作系列第二彈!   本次內容包含了毛線球玩偶、鉤織玩偶、熱縮片等，   更精彩豐富的角色小夥伴飾品小物!   大人小孩都能開開心心，...more
",https://www.books.com.tw/products/0010783838?loc=P_0003_023
24,布偶的奇想世界,彭媄姝,2018-05-01,"
可穿脫偶衣：客家藍衫裝、鳳仙領旗袍、生肖動物帽等近二十套服飾裝備，製作紙型無私大公開!   ◎手作品主題藉由台灣地方特色、特殊節日做童趣故事性及生活性的單元呈現。   ◎以在地台灣犬(米克斯犬)為首等...more
",https://www.books.com.tw/products/0010783978?loc=P_0003_024
25,好吃又好玩 角落小夥伴手作BOOK,主婦與生活社,2018-04-26,"
有小夥伴們在一起的角落， 每天心裡都是暖暖的!   超人氣!「角落小夥伴」首本手作書。   不織布和鉤織玩偶、燙布貼等等，   初學者也能輕鬆製作屬於自己的「角落小夥伴」! 本書特色   ★大受歡迎!角落小夥...more
",https://www.books.com.tw/products/0010781628?loc=P_0003_025
