,書名,作者,出版日期,內容介紹,網址
1,繩編飾品輕手作,盧莎希亞,2020-05-07,"
繩編入門X進階兩用，手作族必備! 以基本編織技法入門，讓初學者也能輕鬆上手， 進階實際編織飾品，手環、戒指、鑰匙圈等， 讓你從手作飾品中，妝點出自己的獨特魅力!    運用圖文步驟及動態影片帶領初學者...more
",https://www.books.com.tw/products/0010856412?loc=P_0003_001
2,清新又可愛!有設計感的水引繩結飾品,mizuhikimie,2019-12-19,"
以連結真摯心意的繩結 *創作美麗又獨特的清新風格飾品*   項鍊/手環/戒指/髮夾/髮飾/耳針/耳環/別針/鑰匙圈/和服飾品……   一次學會!   ◎水引繩，   是將和紙捲搓成紙捻，塗上漿糊後等待乾燥固定，再捲上鋁...more
",https://www.books.com.tw/products/0010841988?loc=P_0003_002
3,立刻上手!實用繩結全圖解：戶外活動.急難救助.居家生活皆適用,羽根田治,2019-09-16,"
露營.登山.釣魚 航船.救援.居家 不可缺少的繩結清晰圖解步驟教學!   無論是在參與戶外活動或是日常生活中，繩結都能帶來很大的便利，   在緊急時刻，應用適當的繩結更能救人自救。   本書最大特色是依照使...more
",https://www.books.com.tw/products/0010833990?loc=P_0003_003
4,自己就能輕鬆完成的Macramé手工編織掛繩,趙英美（조영미）,2019-07-27,"
輕掃QR CODE，編織技巧馬上學。 零基礎也能上手的夏日清爽感編繩 One Day Class! Macramé 的風潮正席捲而來! 成為世界軟裝趨勢而受到矚目的 Macramé 看起來複雜， 但只要掌握一、兩種編織方法，就能延伸製...more
",https://www.books.com.tw/products/0010827778?loc=P_0003_004
5,技湛中國結,陳夏生,2019-04-23,"
放眼海峽兩岸，當今結藝第一人該數浸淫結藝天地大半輩子的陳夏生。   1971年，陳夏生編出人生第一個結，近半世紀以來持續不斷精進，其創新層面不僅在於技法，更在於表現方式與線材的探索。最近10年堪稱陳...more
",https://www.books.com.tw/products/0010818887?loc=P_0003_005
6,一天就能完成的南美風繩編飾品,anudo鎌田武志,2018-11-28,"
邂逅於南美的編結技巧， 一天就能完成的麥克拉梅繩編飾品。   麥克拉梅有點類似「幸運繩」。   作者和麥克拉梅的邂逅，是在從英語圈變成西班牙語圈，人們的朝氣和鮮明度增加，在路邊鋪著布販賣東西的人越...more
",https://www.books.com.tw/products/0010806388?loc=P_0003_006
7,幸運繩帶編織112款：學會基本技巧就能變化出無限可能,日本VOGUE社,2018-09-26,"
用繡線編織的幸運繩圖鑑112種 從基本花樣到細緻花樣都有 可以熟練基本編法! 附清楚易懂的照片教學   幸運繩是可以用繡線簡單編出來的飾物。   只要用幾條繡線，就能變化出各種不同的圖案。   本書除了介紹...more
",https://www.books.com.tw/products/0010799351?loc=P_0003_007
8,手作人必學.實用繩結設計大百科【超圖解】(暢銷新裝版),BOUTIQUE-SHA,2017-10-05,"
手作人必備的繩結工具書── 初學者也能輕鬆上手!   【玩飾品】   本書介紹了世界各地自古以來所使用的繩結，   完整呈現編結的技法，且賦予繩結多樣化的裝飾性，   繩結從此不再只是「組合數條繩來加強強度...more
",https://www.books.com.tw/products/0010766870?loc=P_0003_008
9,幸福療癒手環編織BOOK：放空隨手編!韓國百萬人氣部落客的36款風格手環,趙英美,2017-01-06,"
將生活點滴編成手環，   在編織中專注靜心，打造幸福的美感生活。     ˙風靡各大創意市集、吸引百萬人的時尚手作風潮。   ˙韓國最受歡迎手環部落客「eimi81」趙英美，首次在台出書!   ˙精選36款人氣百搭經...more
",https://www.books.com.tw/products/0010737994?loc=P_0003_009
10,花草植物吊缽繩結設計：打造懸掛式小花園,,2016-09-05,"
MACRAME HANGING 手編繩結，懸掛可愛的小盆栽， 像一顆一顆在空中跳動的音符， 呼吸也跟著輕盈起來♩ ♫ ♬   Step by Step   11種結繩法 × 27種吊缽繩結   全圖解!   MACRAME意指「繩狀物打結」......more
",https://www.books.com.tw/products/0010727624?loc=P_0003_010
11,手作潮流風：麻繩與天然石巧思串珠,誠文堂新光社,2016-04-01,"
本書是以色彩繽紛的天然石串珠與麻繩元素為主的手工飾品集。使用從自然礦石、石頭淬鍊而成的天然石，搭配質地柔軟的麻繩進行串珠，提供各種富含巧思的美麗設計讓讀者嘗試，初學者也相當容易上手。   天然...more
",https://www.books.com.tw/products/0010711388?loc=P_0003_011
12,手環編織入門,盧莎希亞,2015-08-06,"
最適合新手的手環編織書， 一次就上手，手環入門必學。 內附編織Q&A問題集與編織步驟全圖解。 想要嘗試手環編織的你，千萬不可錯過的一本書!   好多條線不知道該如何整理，怎麼辦?   手環可以碰水、戴著洗...more
",https://www.books.com.tw/products/0010685288?loc=P_0003_012
13,時尚彩虹圈：好搭又流行的獨創彩虹圈飾物,柯琳．朵絲,2014-12-13,"
7款基本設計，加上一點創意巧思， 讓街頭、校園風格的彩虹圈飾品， 提升到時尚伸展台的水準!   多款時尚精緻的彩虹圈飾品及流行配件，   創造你的獨特風格，變化無窮絕不強碰!   連好萊塢影星、時尚名人都...more
",https://www.books.com.tw/products/0010658136?loc=P_0003_013
14,召喚幸福的祕訣：手編幸運繩178款,Boutique社,2014-11-01,"
傳說中只要許願後將幸運繩綁在手上或腳上，幸運繩自然脫落的時候，願望就會實現!   「幸運繩」的由來有諸多傳說，本來是一個名叫「BomFim」教會的護身符。也被稱為Promise ring、巴西手環、朋友手環……。不...more
",https://www.books.com.tw/products/0010652430?loc=P_0003_014
15,一起來作36隻超萌の串珠小鳥：初學者ok啦!,市川ナヲミ,2013-11-12,"
黃色小雞‧白色母雞‧白文鳥‧小櫻鸚鵡……各式串珠鳥兒大集合! 咦!怎麼還有企鵝&小雞河童，莫非是獨家隱藏版?   只要學會基礎球型的串珠技巧，就能作出各式各樣華麗又可愛的小圓串珠小鳥兒唷!本書特別體貼串珠...more
",https://www.books.com.tw/products/0010615849?loc=P_0003_015
16,超夢幻!迷你串珠小禮服,,2010-11-01,"
沒想到吧，小珠珠做的禮服這麼可愛!   美麗新娘的婚紗，   以及裝飾許多荷葉邊和緞帶的公主衣裳……   每款都是孩童時代最憧憬的美夢!   只要使用小圓珠和捷克珠，就能打造充滿想像的8cm娃娃國度。   請馬上...more
",https://www.books.com.tw/products/0010486461?loc=P_0003_016
