,書名,作者,出版日期,內容介紹,網址
1,立體拼豆超好玩,"簡志成,許勝雄",2020-10-19,"
拼豆是一種從幼兒到樂齡銀髮族均可樂在其中的手作，除了可以啟發創意，還培養手眼協調、色彩美感、訓練小肌肉；是一種可平面、也可立體，神奇又好玩的益智性手作。   本書從各項拼豆工具的介紹、排列技巧...more
",https://www.books.com.tw/products/0010873768?loc=P_0003_001
2,101鬼口水遊戲實驗室：史萊姆、太空沙、歐不裂、創意黏土手作科學遊戲書,"布列塔妮‧派普,潔咪‧哈林頓,荷莉‧荷馬",2020-09-01,"
★ 第一本結合史萊姆、歐不裂、太空沙和創意黏土的DIY專書   ★ Amazon亞馬遜書店讀者4.4星好評   ★ 獨特創意配方，製作方式快速又簡單，成品效果十足   ★ 史上最紓壓的手作科學遊戲    ? 在孩子即將說出「...more
",https://www.books.com.tw/products/0010867926?loc=P_0003_002
3,兒童手工製作天書 108種創意環保小手作,顏丹紅,2020-06-12,"
廢物利用變身得意小手工，提升孩子創意及想像力!    作者透過108個充滿童趣的創意手工，提高小朋友的專注力、觀察力、創造力及藝術感，並附詳細的製作步驟圖片，適合小朋友在家長和老師指導下完成各種小手...more
",https://www.books.com.tw/products/0010861553?loc=P_0003_003
4,腦洞大開 用紙箱做機關玩具,創趣閣,2020-06-12,"
機關玩具，自古有之，不僅出現在日常生活中，更出現在工程建設、軍事製造等各種試驗、演練場景中。現在，紙殼這種超便宜的材料為喜歡自己動手製作、設計玩具的大小朋友們提供了無限可能。抖音手工達人，創...more
",https://www.books.com.tw/products/0010861549?loc=P_0003_004
5,迪士尼TSUM TSUM 藤編可愛角色環保籃,編輯部,2020-05-07,"
★迪士尼手作書系列★   自己動手堆疊出可愛的迪士尼樂園!   曾經和巴斯光年一起飛向宇宙的孩子，現在也帶著自己的孩子看胡迪和安弟道別，與寶貝們盡情唱著Let It Go，放不掉的是這麼多年過去，迪士尼依然乘...more
",https://www.books.com.tw/products/0010856489?loc=P_0003_005
6,Jia娃娃改妝課：打造世界上獨一無二、只屬於我的Baby doll,金志娥,2020-02-13,"
“改妝(Re-painting)”是“重新畫過”的意思。因此，“娃娃改妝”是指將娃娃原本的妝容卸除，並且重新畫上新妝容的工作。光是聽我這樣說，可能會覺得很生疏、很難懂，但是一到寒暑假，就會有小學生、中學生跑來...more
",https://www.books.com.tw/products/0010849483?loc=P_0003_006
7,精緻手工製琴,李奇憲,2020-01-17,"
一把好聽的小提琴比百萬音響更有價值!    此書為實用性質的小提琴製作工具書，作者累積了20年的經驗，並以真善美的精神與態度，製作精緻的傳家小提琴。想要學如何製作小提琴不用木工底子，只要有耐心、有...more
",https://www.books.com.tw/products/0010846496?loc=P_0003_007
8,心清如水：阮清水戀戀果凍花,"吳惠晶,阮清水",2019-10-17,"
「果凍花」新解：果，是因緣成熟；凍，是團結一起；花，是美麗相遇。──阮清水   來自越南的阮清水，二十歲嫁來臺灣，一心想賺錢回娘家，   生活中，婆媳、夫妻、親子問題不斷糾結，讓她有「不如歸去」的感...more
",https://www.books.com.tw/products/0010836882?loc=P_0003_008
9,纏花工藝傳承經典：陳惠美的春仔花設計課,陳惠美,2019-09-10,"
閩南春花 ╳ 客家纏花 ╳ 完美經典 從基礎紙形變化中，給予作品新生命， 在小紙片、絲線、組件的遊戲中， 繞出自由創意的絕美藝術!   跟著陳惠美老師的巧思，   從半唇形的小紙片，延伸變化，進行創作發想，...more
",https://www.books.com.tw/products/0010833417?loc=P_0003_009
10,奇幻礦物盆景：水族箱與玻璃瓶中的精美礦物庭園,佐藤佳代子,2019-06-20,"
宛如來自異世界的神秘收藏品 化學樹、絨球、微生物與水母交織譜出的靜謐樂章 與眾不同且難得一見的罕見生態瓶 優雅、華美、可愛又歷久不衰 自製魅力無限的「奇幻盆景」   ★第一本令人驚豔的礦物盆景&生態...more
",https://www.books.com.tw/products/0010825474?loc=P_0003_010
11,大規模毀滅小兵器之黑暗時代攻城道具：用橡皮筋、牙籤、棉花棒，製作40種桌上型中世紀攻城武器!,強．奧斯丁,2019-05-31,"
~說話可以輕聲細語，但一把大支的弩也必不可少!~   40種中世紀暗黑攻城武器製作教學，   再有不公不義之事，手下絕不留情 !   遠方戰鼓咚咚，手頭材料不足，   誠徵材料可由文具店整批購得，容易大量製造...more
",https://www.books.com.tw/products/0010822521?loc=P_0003_011
12,創意機關的益智勞作(暢銷版),トモ‧ヒコ,2019-05-16,"
「思考力」大躍進的創藝勞作! 適合所有小學生的DIY，邊做邊玩邊學習!   只要準備牛奶盒、厚紙版、鉛筆、橡皮筋、吸管等隨手可得的物品，使用剪刀、美工刀、直尺等簡單工具，再加上滿滿的創意和一點點耐心...more
",https://www.books.com.tw/products/0010822108?loc=P_0003_012
13,樂高拼台灣! 小小積木疊創意，全台迷你版地標模型大集合,戴樂高,2019-05-01,"
跟著戴樂高老師疊樂高 創意無限!用零散積木自由發揮你的想像力  跟著樂高帶領大家環遊台灣，介紹台灣16個縣市以及離島的風景及特色。 拋開分解步驟，完整的作品賞析，處處都是驚喜，敲醒你的創作魂。 積木...more
",https://www.books.com.tw/products/0010819666?loc=P_0003_013
14,親子DIY雜貨&玩具(暢銷版)(二版),光橋翠,2018-12-05,"
刺激孩子五感的自然勞作~ 將出遊時收集的素材作成可愛小物!   運用在大自然中收集的葉子、樹枝、果實、花朵、石頭、貝殼…...就能親子同樂，把旅遊中的甜蜜回憶，製作成創意十足的實用雜貨或玩具，如：鐵路...more
",https://www.books.com.tw/products/0010807135?loc=P_0003_014
