,書名,作者,出版日期,內容介紹,網址
1,純香手工蠟燭 Candle Works：就這一本!從材料的選用一路到蠟燭製作的工藝之路,笹本道子（Sasamoto Michiko）,2020-10-28,"
學習製作手工蠟燭 享受火光&香氣圍繞的療癒時光 實現更多寄託在蠟燭裡的期待&夢想  最詳細的手作蠟燭教科書! 任何時候都能開始體驗天然生活的純香    ●簡單原理、通用技法，完整呈現手作蠟燭製作的每個細...more
",https://www.books.com.tw/products/0010873635?loc=P_0003_001
2,擬真甜點造型蠟燭：泡芙甜塔x巧克力x夾層蛋糕，混玩蠟材與翻模裝飾的網路人氣甜點蠟燭課,Joyce Wang,2020-10-07,"
超高詢問度!人氣老師Joyce的甜點造型蠟燭課! 以甜點為創作靈感，不藏私公開獨家蠟材混合配方x裝飾技法 做出好讓人想嚐一口，外型極為真實的可愛甜點蠟燭   色彩繽紛的小巧馬卡龍、有著融化冰紋的冰淇淋、...more
",https://www.books.com.tw/products/0010871868?loc=P_0003_002
3,天然系韓式質感手工皂：37種天然色粉 × 33款造型技法，韓國手工皂女王教你做出韓式清新手工皂【附10種皂款示範QRcode影片】,權卿美,2020-07-30,"
為什麼韓式手工皂的調色特別優雅柔美? 如何做出有如藝術品般的獨特手工皂? 顏色搭配、香氣調和、技法應用、豐富洗感， 讓你皂藝升級的手工皂全書。   韓國首席手工皂老師，匯集多年製作天然皂的技法與心得...more
",https://www.books.com.tw/products/0010865074?loc=P_0003_003
4,韓式蠟燭：step by step 詳細圖解，蠟燭職人不藏私分享,劉力溪,2020-06-10,"
第一次做韓式蠟燭就上手，這本書一定要有!    這幾年造型香氛蠟燭在韓國掀起熱潮，加上韓劇的推波助瀾，台灣也掀起許多手作蠟燭的課程，一款款美麗的蠟燭由自己的手中做出，滿足、快樂的心情，無法言喻。 ...more
",https://www.books.com.tw/products/0010860292?loc=P_0003_004
5,和真的一樣!甜點手工皂：頂級名師傳授18款作品配方、配色技巧、操作秘訣，新手安心學,木下和美,2020-05-01,"
Instagram近5萬皂友追蹤，   紅遍亞洲的日本手工皂名師木下和美的   第一本甜點手工皂專書，中文版敲碗上市!    木下和美的手工皂課程紅遍台灣、香港、澳門、中國、印尼、杜拜等地，   課程幾乎堂堂額滿，...more
",https://www.books.com.tw/products/0010855826?loc=P_0003_005
6,手作香氛蠟燭BOOK：絕美X香氣X抒壓的美好生活提案,接接（接以辰）,2020-04-07,"
蠟燭製作Know-how全公開， 天然蠟材X入模溫度X香氛配搭， 帶你step by step輕鬆做出手工蠟燭， 讓你點燃蠟燭的瞬間，在光線和香氣中， 達到放鬆身心、抒壓的療癒效果!    在點燃蠟燭的過程中，香氣和燭光...more
",https://www.books.com.tw/products/0010853870?loc=P_0003_006
7,親膚.好洗45款經典手工液體皂：洗髮精、沐浴露、洗手乳，美國手工皂女王長銷20年的經典不敗配方,凱薩琳．費勒,2020-01-22,"
【美國長銷20年的液體皂專書】 45款液體皂 × 46款精油香氛 洗髮精.沐浴露.洗手乳，在家做專屬個人的天然液體皂    本書從油品的特性、材料與器具、製作的基本技巧，到液體皂配方，   深入淺出的詳細介紹，...more
",https://www.books.com.tw/products/0010846765?loc=P_0003_007
8,韓式絕美精油手工皂：水彩╳渲染╳拉花╳寶石皂，33款專業技法一次學會!,Jenny,2019-12-18,"
台灣第一本結合花藝與手工皂的工具書， 由擁有韓國、日本相關講師證照的Jenny無私分享 教你製作最新潮流的時尚手工皂， 油畫、渲染、漸層、拉花等各種達人技法， 圖解完整呈現。   加上最新創意皂與寶石皂...more
",https://www.books.com.tw/products/0010843158?loc=P_0003_008
9,做自己的手工蠟燭設計師2、從基礎到高級，大豆蠟燭與柱狀蠟燭,李宋禧（이송희）,2019-11-23,"
手工大豆蠟燭，華麗再進階! 讓蠟燭不再只有散發光芒、傳播香氣的功能， 變成備受矚目的裝飾小物。 |從來沒有人告訴過你的，關於蠟燭製作的所有事 使用市售的基本模具，從最簡單的造型入手，等基礎技法訓練...more
",https://www.books.com.tw/products/0010840295?loc=P_0003_009
10,娜娜媽教你做質感透亮寶石皂：像礦石、像寶石、像水晶，30款獨一無二的透明皂,娜娜媽,2019-11-07,"
風靡日韓歐美   像礦石、像寶石、像水晶，獨一無二的透明寶石皂   超過300張步驟解析，娜娜媽最新技法大公開!   ◎什麼是寶石皂?風靡全球的魅力何在?   將透明皂基加熱後，利用不同的色水調和出各式皂色，...more
",https://www.books.com.tw/products/0010837855?loc=P_0003_010
