,書名,作者,出版日期,內容介紹,網址
1,Bling Bling自己動手做高質感飾品：UV膠的40種創意發想【加值限定版】,Sunny Liu,2020-09-24,"
超強企劃：台灣職人Sunny Liu X 日本品牌Resin Club 聯手合作! 再版限量：贈送日本原裝進口UV專屬貼紙，樣式多元，超薄不易掉色，易造型! 手作飾品簡單易學，身邊小東西都可加工製成UV飾品 ◎日本資格認證...more
",https://www.books.com.tw/products/0010870089?loc=P_0003_001
2,無限可愛的UV膠&熱縮片飾品120選(暢銷版),キムラプレミアム,2020-09-07,"
讓大人女子&青春少女都可愛の 120個UV膠×熱縮片飾品    本書除了講解UV膠飾品的技法之外，還加入了超夢幻可愛的熱縮片，   以UV膠為主&熱縮片的結合，   在簡單易作的手作原則中，開創出更加多變有趣的創...more
",https://www.books.com.tw/products/0010869262?loc=P_0003_002
3,簪花錄：熱縮片唯美古風飾品製作全解,Yuki醬,2020-05-27,"
「盤絲繫腕，巧篆垂簪。」古風飾品獨具韻味，受到愈來愈多的人喜愛。本書將古風元素與熱縮片手工完美地結合在一起，向大家展示了精美獨特的古風手工飾品的製作過程。   本書共六章：   第一章介紹了製作熱...more
",https://www.books.com.tw/products/0010858630?loc=P_0003_003
4,魔法雜貨的製作方法：魔法師的秘密配方,魔法道具鍊成所,2020-04-29,"
漫畫、動漫、遊戲和電影等中出現的“魔法物品”總是讓我們著迷。   這本書是一本手工藝書，介紹如何使用“易於獲得的材料”和“適合任何人”都能製作的魔法物品。    在手工市場、SNS、藝術活動等處出售自己的魔...more
",https://www.books.com.tw/products/0010856384?loc=P_0003_004
5,愛上金屬線的手作飾界(二版),何怡儒,2020-04-16,"
金屬線編織飾品是歐美流傳已久的工藝，透過捲、繞、彎、纏等技法，搭配各種半寶石、水晶，更甚是一顆有紀念性的石頭、貝殼等，創作出兼具時尚與個性的飾品。《愛上金屬線的手作飾界》是繼《金屬線的手作新...more
",https://www.books.com.tw/products/0010855217?loc=P_0003_005
6,UV膠技法BOOK,渡邊美羽,2020-03-05,"
零基礎也OK!技法圖文步驟X動態影片讓你輕鬆入門，   選材、滴膠、固化3步驟，帶你一次學會UV膠技法，   調色、鑽洞、勾入飾品，讓你進階創造個人風格小物，   快使用UV膠，親手作出各式飾品，享受美好的手...more
",https://www.books.com.tw/products/0010850692?loc=P_0003_006
7,金屬線的異想飾界(二版),施于婕,2020-02-12,"
有感於市面上線飾工藝書眾多，卻較無系統性介紹，所以在「金屬線的異想飾界」這本書中，于婕特地集結多年的經驗與教學內容，將所學技法粗分為捲、繞、扭、拉、編、盤等六大技法，再細分為彈簧圈系列、纏繞...more
",https://www.books.com.tw/products/0010848767?loc=P_0003_007
8,成為水晶包裝師：金屬線與寶石的靜心纏繞藝術,Mia米亞,2019-08-31,"
線的迴旋 是段靜心的旅程 纏繞中 發現專注安定的力量 編織中 照見自心清靜與安寧  ★介紹水晶裸石手編鑲框DIY的第一本書 不用太多工具，跟著本書做，就可掌握細緻的寶石設計款式。  繼暢銷前作《金屬線飾品...more
",https://www.books.com.tw/products/0010831717?loc=P_0003_008
9,神奇熱縮片的祕密花園,黃于珊,2019-08-20,"
神奇熱縮片的小世界這次以[祕密花園]為主題，當中收入了很多花園可愛小東西；除了各種浪漫花卉、不同顏色的葉子、神奇的種子、有趣的昆蟲及曼妙的蝴蝶等作品的範圍，也從手繪個人飾品延伸到日常生活中的擺...more
",https://www.books.com.tw/products/0010832027?loc=P_0003_009
10,淨的銀飾花手作+純銀手作(二書合購),淨,2019-07-26,"
《生活感。純銀手作》   純手工製作，永遠獨一無二!   取材自生活、天馬行空的想象，   6件全新創作，與你一起激盪創作的靈感!   乾淨、清爽、開朗是淨給人的感覺，   她的氣質也自然展露在每一件銀作中，...more
",https://www.books.com.tw/products/0010828672?loc=P_0003_010
