,書名,作者,出版日期,內容介紹,網址
1,全彩圖解 提升泳速的50堂訓練課：調整泳姿!馬上刷新個人紀錄!,原 英晃,2019-07-29,"
自由式、蛙式、仰式、蝶式，   再加上壁邊的出發與轉身技巧、陸上訓練。   只要學習專業選手的50個訣竅，   就能在短時間內修正泳姿、提升泳速!   你想游得更快嗎?不想花費一堆力氣拼命打水，結果卻只前進...more
",https://www.books.com.tw/products/0010828742?loc=P_0003_001
2,自由式的科學化訓練：從動作原理、技術練習到訓練課表，教你如何降低水阻、建立水感、增加推進力，游得輕鬆又快速,徐國峰,2019-06-29,"
華文世界第一本結合技術理論+水感與專項力量訓練法+泳力表 與個人化泳速區間+自主訓練課表的自由式科學化訓練專書  ▋本書特色： ●專門寫給已會游泳且熱中訓練，想游得更好更快的泳者及三鐵愛好者。 ●本書...more
",https://www.books.com.tw/products/0010825356?loc=P_0003_002
3,潛進台灣：島民們，讓我們重返海洋吧!關於潛水、攝影、淨灘…16個愛上海洋的方式,BlueTrend藍色脈動,2018-12-08,"
十六位來自台灣各行各業的愛海人 邀請你躍入深藍，親身感受 海洋的遼闊、瑰麗與生命力 ‧16段遇見海而改變的人生! ‧台灣7大潛域與周邊景點推薦! ‧浮潛、水肺、自潛、出帆…各種親海方式介紹!    上次感受大...more
",https://www.books.com.tw/products/0010806863?loc=P_0003_003
4,游泳技巧指南,楊樹人,2018-07-01,"
一望無際的藍色海洋，在陽光的閃耀下閃閃發光。看似一成不變的海洋下，你可知藏著一個多麼繽紛的海底世界?本書從健康的水上體育活動游泳。循序漸進，讓讀者從適切合宜的訓練，維持身體的健康狀態。...more
",https://www.books.com.tw/products/0010792123?loc=P_0003_004
5,全方位游泳技術訓練教本：突破撞牆期，泳速立即提升!,原英晃,2017-03-27,"
動作技巧的練習順序也會影響學習的速度。   在介紹自由式的練習方法時候，我們是先介紹抓水、拉水、推水等划臂的動作，然後才介紹打水的部分。然而，先了解如何打水和身體的波狀運動，再來學習划水的動作...more
",https://www.books.com.tw/products/0010747703?loc=P_0003_005
6,最佳游泳分解動作訓練100則 第2版,Blythe Lucero,2017-02-01,"
自從擔任游泳教練的工作以來，我一直不認同以「自助」(self help)的方式改進游泳，因為我深信以有經驗的眼光來觀察泳者的動作是無可取代的。其實一些泳者自認為沒有問題的動作，但教練可以分析指出細微卻...more
",https://www.books.com.tw/products/0010742210?loc=P_0003_006
7,天堂潛水員：尋找新挑戰，看看自己的靈魂是否還在,章英傑,2016-08-15,"
蔚藍的水下一片寂靜，和魚群一同悠游在無際的海洋中， 我感受到前所未有的開闊與自由。 潛水就像通往了另一個時空， 實現我長久以來的人魚夢，真正改寫了我的人生……   來自香港的潛水教練 x海上漂泊的1千...more
",https://www.books.com.tw/products/0010724780?loc=P_0003_007
8,游泳潛水技巧指南,葉國龍,2016-08-01,"
一望無際的藍色海洋，在陽光的閃耀下閃閃發光。看似一成不變的海洋下，你可知藏著一個多麼繽紛的海底世界?本書從健康的水上體育活動游泳。循序漸進，讓讀者從適切合宜的訓練，維持身體的健康狀態，進一步...more
",https://www.books.com.tw/products/0010724444?loc=P_0003_008
9,破浪：海洋獨木舟玩家攻略【拖鞋教授手繪專業圖解版】,蘇達貞,2016-07-14,"
乘風破浪划獨木舟出海去! 體驗最刺激的水上活動、享受舟遊大海的樂趣 海洋專家傾囊相授，一次掌握 獨木舟知識+海洋環境+重要裝備+玩家祕笈   ★到不了的地方，就用划的吧!   台灣四面環海，湖泊河流遍布，...more
",https://www.books.com.tw/products/0010721289?loc=P_0003_009
10,板類運動再進化：衝浪、滑雪、滑板預備姿勢訓練法,三枝獎,2016-06-05,"
~全新的訓練理論，打造極致體格，有效減輕板類運動的外力衝擊~ 髖關節的柔軟性×體幹穩定度×下半身的肌力 =跳躍力UP、穩定度UP、成功率UP!   進行滑雪、衝浪、滑板等需要立足於不穩定的板子上的運動時，   ...more
",https://www.books.com.tw/products/0010717347?loc=P_0003_010
11,潛水技巧指南,葉國龍,2014-04-01,"
本書系搜集較熱門的運動，其編排由淺入深，圖文並茂，內容相當詳實，不僅提供初級到高級技巧之學習與幫助，並以循序漸進之方式於每單元設定標題，俾使讀者依循步驟加以練習。...more
",https://www.books.com.tw/products/0010632574?loc=P_0003_011
12,閒暇、海濱與海浴：香江游泳史,"潘淑華,黃永豪",2014-01-01,"
在《傾城之戀》中，白流蘇來到香港的淺水灣，有如此感想──「紅男綠女，果然熱鬧非凡，只是行動太自由了一點。」你知道是甚麼因素造就了香港的海濱文化?現代的游泳概念是怎樣來的?游泳怎樣由高檔的洋人活動...more
",https://www.books.com.tw/products/0010682836?loc=P_0003_012
13,走!衝浪去!：DVD示範教學,中村龍,2011-07-20,"
中村龍「我想，衝浪不僅是一種乘波駕浪的“運動”，更是人能夠與大自然融為一體的“方法”之一”。」   本書由中村龍親身解說示範，介紹衝浪基本的划水、潛越過浪、坐板等浪、轉向到起乘技巧。   你常常划水划...more
",https://www.books.com.tw/products/0010513051?loc=P_0003_013
14,水適能運動入門(附示範DVD),"戴琇惠,柳家琪,詹淑珠,黃蕙娟",2011-05-01,"
在多年推廣水適能運動時，民眾對「水適能」是什麼、什麼是水適能運動、從事水適能運動能得到哪些健康上的效益、水中環境與陸上有何異同、如何利用水的種種特性進行運動、下水之後要做什麼及怎麼做等等問題...more
",https://www.books.com.tw/products/0010509308?loc=P_0003_014
15,提升游泳技巧200絕招 完整收錄自由式.蛙式.仰式.蝶式練習項目,小松原 真紀,2011-03-24,"
透過各種練習項目，游得更快、更好、更開心!   專業游泳教練審訂.好評推薦   游泳是能一輩子持續下去的運動。雖是這麼說，不過現在才開始不會太慢了嗎?應該有許多讀者心裡帶著這種想法，因此對是否該踏入...more
",https://www.books.com.tw/products/0010499771?loc=P_0003_015
16,捷泳自由式50個訣竅,角皆優人,2011-03-12,"
...more
",https://www.books.com.tw/products/0010499962?loc=P_0003_016
17,魚式游泳自學教室：10堂課教你輕鬆持久的自由式DVD,泰瑞．羅克林,2010-11-05,"
從不會游泳到會游泳，請從學好自由式開始! 不會自由式的可以從頭學起， 喜愛自由式的可以游得更流暢!   自己控制進度 / 自己選擇地點 / 自己挑時間 / 自己當教練   提高舒適度、換氣更容易、打水更得法!  ...more
",https://www.books.com.tw/products/0010486415?loc=P_0003_017
18,魚式游泳自學教室：10堂課教你輕鬆持久的自由式( DVD )+ 輕鬆有效的魚式游泳 ( 書 ),泰瑞．羅克林,2010-11-05,"
從不會游泳到會游泳，請從學好自由式開始! 不會自由式的可以從頭學起， 喜愛自由式的可以游得更流暢!   自己控制進度 / 自己選擇地點 / 自己挑時間 / 自己當教練   提高舒適度、換氣更容易、打水更得法!  ...more
",https://www.books.com.tw/products/0010486418?loc=P_0003_018
