,書名,作者,出版日期,內容介紹,網址
1,山教我的事,沈恩民,2020-09-29,"
走過島嶼的山，聽見內心真實的呼喚 一個插畫家留學台灣的故事  「唯有更深入的認識，才能理解，並且打從心裡喜歡。 由衷的認同與喜歡，就是力量」    出生於彰化八卦山邊的插畫家沈恩民   從小就熱愛畫畫...more
",https://www.books.com.tw/products/0010870600?loc=P_0003_001
2,野外醫學,蕭粵中,2020-09-22,"
行山熱潮興起，不少人都趁週末假日，上山下海，享受大自然。有些運動愛好者，甚至遠赴世界各地，征服高山極地，自我挑戰。    不過野外環境危機四伏，加上天氣情況變幻莫測，令意外隨時出現。香港較常見的...more
",https://www.books.com.tw/products/0010872125?loc=P_0003_002
3,淡蘭古道北路北路精裝指南X運動毛巾X斗篷式雨衣X野行包,"新北市政府觀光旅遊局,早起設計",2020-09-07,"
攝影圖像版權均為 早起設計事務所 所有   1. 淡蘭古道北路精裝指南：13*27cm/115g   2. 野行包：35.5cm*34.5cm/213g   3. 斗篷式雨衣：19cm*26cm/163g   4. 運動毛巾：16cm *2......more
",https://www.books.com.tw/products/0010868408?loc=P_0003_003
4,出發台灣山林：新手也能走，從里山到深山的步道小旅行,墨刻出版股份有限公司,2020-09-05,"
台灣是山之國度，超過260座3000公尺以上高山貫穿脊梁，300多條長長短短的步道羅織成網，刻寫島嶼的歷史脈絡，串連隨海拔高度改變的動植物。自古以來，山林就是生活的一部分，以雙腳閱讀台灣，看見台灣的美...more
",https://www.books.com.tw/products/0010868634?loc=P_0003_004
5,災難超前部署手冊：食物、照明、用水、環境、健康、安全、聯絡、社群，教你任何危難都能迎刃而解的40項應急技能!,凱西‧海瑞森,2020-08-20,"
超實用!一定要會的防災指南! 超完備!食衣住行育樂全攻略! 超安心!專家傳授該怎麼進行! 這世界還不到末日，但是有太多災難需要提前預防!不管是大地震、颱風、水災、病毒、戰爭或是世界末日… 例如：如何長期...more
",https://www.books.com.tw/products/0010866842?loc=P_0003_005
6,山野漫遊 女生行山指南,"楊樂陶,鍾芯豫",2020-08-07,"
一本專為香港女生而設的郊遊行山書，由兩位熱愛行走郊野的女生撰寫，提供各種女性心目中最喜愛行山路線作主題，讓一眾香港女孩子得到一趟最窩心的郊遊活動。當行山時以女生的角度出發，又會帶來甚麼的一個...more
",https://www.books.com.tw/products/0010867109?loc=P_0003_006
7,山林癒：沐浴山林擁抱樹木，借助大自然力量自我療癒,艾力克．布里斯巴赫,2020-08-05,"
一起走進山林，來抱樹吧! 發現樹療和森林浴的美好益處! 2019/10/21台灣山林全面開放，安全享受山林前， 先認識森林浴、樹療法和山林如何治癒身心!   ◆法國專業山域嚮導暨樹療師艾力克.布里斯巴赫不藏私分...more
",https://www.books.com.tw/products/0010865468?loc=P_0003_007
8,十年一講，為夢想,’江秀真,2020-07-30,"
繼生命首部曲《挑戰，巔峰之後》， 台灣登山女傑為推廣登山教育奔走的生命二部曲全紀錄!  從登頂世界七頂峰的雲端轉身，她選擇走一條沒人走過的路， 再登一座沒人攀過的「教育聖母峰」!  ****************...more
",https://www.books.com.tw/products/0010864656?loc=P_0003_008
9,哈佛生的聖母峰日記：登上世界之巔，真正高人一等,于智博,2020-07-17,"
「聖母峰大本營的Wi-Fi訊號很不穩定，而且價格不菲。同時由於昆布咳，我說話很費勁，能不說就不說。媽媽顯然沒注意到今天是母親節，當通過視訊看著我祝福她節日快樂時，她看見我不停地咳嗽，就告訴我這是...more
",https://www.books.com.tw/products/0010865000?loc=P_0003_009
10,輝耀之山：兩位如風少年的絕壁長征,彼得．博德曼,2020-06-11,"
|詹偉雄 策畫・選書.導讀──臉譜出版2020年全新山岳文學書系meters 首波作品| 「《輝耀之山》是一本關於青春的山岳文學，或有可能，也是最迷人的山岳文學。」──詹偉雄 世界登山史上最傳奇雙人組合彼得‧博德...more
",https://www.books.com.tw/products/0010859253?loc=P_0003_010
11,登山新手必備指南：為台灣登山量身打造的圖解入門百科,"李嘉亮,邢正康",2020-06-05,"
登山新手必備 從山岳分級、登山辨位、訓練體能 到如何選購服飾、登山裝備、飲食炊膳 與最重要的高山安全、待救脫困等重要知識 從基本郊山到百岳高山 絕對需要的入門指南   台灣超過3000公尺的高山密度居全...more
",https://www.books.com.tw/products/0010859721?loc=P_0003_011
12,前進吧!此生必走的世界十大徒步健行步道：超詳解路線指南╳行前準備攻略╳曲線高度表╳里程與進度率表,李英哲,2020-05-21,"
{ 徒步旅行帶來的樂趣是最純粹的   在步行的當下，世界只有你與大地，再無其他 } 徒步旅行者Must Go的心願清單， 世界10大徒步健行路線一次全部收錄! 廖科溢、謝哲青 走過才知道，感動推薦-- 本書作者耗費...more
",https://www.books.com.tw/products/0010857663?loc=P_0003_012
13,山水旅情詩畫,莊大青,2020-05-01,"
《山水旅情詩畫》，10年全球超過百個遊記出版簡介：   愛山不厭山行遠，山中彩湖任遨遊   本書《山水旅情詩畫》，作者是2010年到2019年間，約10年裡登山健行的旅遊紀實。   本書內容包括加拿大、美國、日...more
",https://www.books.com.tw/products/0010858265?loc=P_0003_013
14,山之間：寫給徒步者的情書,山女孩Kit,2020-04-29,"
不一定要離職才能走出壯舉，不一定要攻頂才算完整了意義   打開登山的新章節，一本寫給徒步者的情書   Instagram萬人追蹤收藏，療癒眼球世代的書寫者   山女孩Kit邀你一起翻越到山的另一面   窺看你脆弱、...more
",https://www.books.com.tw/products/0010855512?loc=P_0003_014
15,攀向沒有頂點的山：三條魚的追尋,詹喬愉,2020-04-25,"
個頭嬌小、經常被媒體形容為「正妹登山家」的詹喬愉，登山界稱她為「三條魚(Tri Fish)」。大學時代開始登山，一路成為嚮導和搜救隊成員，現為戶外運動工作者。近年來以攀登全球14座八千米山峰為目標，目前...more
",https://www.books.com.tw/products/0010855256?loc=P_0003_015
16,山林生活教科書 男子漢的露營、野營的技藝,Satoru Suzuki,2020-04-01,"
~運用先人的智慧結晶，展開一場現代冒險旅程~ 從自古以來傳承的技藝和道具、野外生活的訣竅和知識， 到製作各種手工小物等充滿趣味的活動， 本書收錄作者6年間親手繪製的野營技藝圖解， 帶領你走進野外，...more
",https://www.books.com.tw/products/0010853155?loc=P_0003_016
