,書名,作者,出版日期,內容介紹,網址
1,民粹主義【21世紀公民的思辨課】：「CNN記者獎」得主帶你看穿民粹主義者如何用煽動話術玩弄事實，認清我們與「民粹之惡」的距離!,楊．路德維希,2020-10-26,"
簡化問題、挑釁對手、鄙視媒體、激化恐懼、散播陰謀論……   這樣的政治人物，你是不是也似曾相識?    「CNN記者獎」得主帶你看穿民粹主義者如何用煽動話術玩弄事實，   認清我們與「民粹之惡」的距離!    ...more
",https://www.books.com.tw/products/0010873772?loc=P_0002_001
2,假新聞【21世紀公民的思辨課】：後事實時代，究竟是誰在說謊?德國權威記者帶你直擊「謊言媒體」亂象，揭露「假新聞」與它們的產地!,卡洛尼娜．庫拉,2020-10-26,"
後事實時代，   究竟是誰在說謊?   德國權威記者帶你直擊「謊言媒體」亂象，揭露「假新聞」與它們的產地!   看到網路瘋傳衛生紙即將缺貨，你馬上衝去大賣場搶購?聽說某種食物可以預防新冠病毒，你立刻轉發...more
",https://www.books.com.tw/products/0010873774?loc=P_0002_002
3,圖表會說謊：圖表設計大師教你如何揪出圖表中的魔鬼，不再受扭曲資訊操弄,艾爾伯托．凱洛,2020-10-08,"
好的圖表讓我們更聰明、更有效率，思考更全面! 但，你真的懂得如何分辨圖表好壞嗎? 輔仁大學新聞傳播學系副教授 陳順孝 政治大學新聞學系教授 劉慧雯 泛科知識公司知識長 鄭國威 ——聯合推薦(依姓氏筆畫序)...more
",https://www.books.com.tw/products/0010871902?loc=P_0002_003
4,記者，上返行人路,有種文化,2020-09-22,"
在過去一年間網上各種渠道出現不少大眾較陌生的媒體，這些網媒部分運作了幾年時間，更多的只成立不到一年光景。他們大多非媒體專業出身，更不乏仍在就學的年輕人，在傳統媒體眼中或略嫌不足，但卻每每在新...more
",https://www.books.com.tw/products/0010872087?loc=P_0002_004
5,編輯樣Ⅱ：會編雜誌，就會創意提案!(獨家簽名版),王聰威,2020-09-17,"
博客來排行冠軍暢銷書《編輯樣》之後六年， 最受歡迎的「《聯合文學》編輯室報告」 + 最犀利坦白的「現場實務分析」回來了! 封面由設計大師聶永真親自操刀! 這次還要告訴你：「會編雜誌，就會創意提案!」 ...more
",https://www.books.com.tw/products/0010869588?loc=P_0002_005
6,編輯樣Ⅱ：會編雜誌，就會創意提案!,王聰威,2020-09-17,"
博客來排行冠軍暢銷書《編輯樣》之後六年， 最受歡迎的「《聯合文學》編輯室報告」 + 最犀利坦白的「現場實務分析」回來了! 封面由設計大師聶永真親自操刀! 這次還要告訴你：「會編雜誌，就會創意提案!」 ...more
",https://www.books.com.tw/products/0010869694?loc=P_0002_006
7,破擊假新聞：解析數位時代的媒體與資訊操控,"劉蕙苓,王淑美,蘇蘅,鄭宇君,陳百齡",2020-08-21,"
你受夠假新聞了吧? 還是......你根本沒發覺?   「探討假新聞的案例和研究近年大量出現，表示這個議題實在太重要，影響層面也太大了。   由於訊息多元，來源複雜，加上網路上很容易形成群聚，甚至大家容易...more
",https://www.books.com.tw/products/0010867824?loc=P_0002_007
8,日本廣告帶給我感動,賴東明,2020-08-19,"
「廣告就是感動人」──   這是賴東明的日本廣告觀察記，   他在廣告裡看見日常生活，看見人生哲理，得到幸福感動。   從生產銷售者而言，廣告是市場行銷上的尖兵，   從消費購買者來說，廣告是市場行銷上的...more
",https://www.books.com.tw/products/0010867055?loc=P_0002_008
9,宣傳學•「公共關係之父」伯內斯代表作：一群隱形統治者如何影響我們的心思，塑造我們的品味，暗示我們應該如何思考,愛德華．伯內斯,2020-08-01,"
《生活》雜誌評為二十世紀最有影響力的百位美國人之一 宣傳專家、「公共關係學之父」伯內斯代表作 「伯內斯所寫的這本誠實而實用的手冊，為我們提供了很多深刻的見解， 讓我們能深入了解在當代企業與國家...more
",https://www.books.com.tw/products/0010865085?loc=P_0002_009
10,誰在帶風向、玩精準行銷：認知駭客如何操弄人心,Kris Shaffer,2020-05-19,"
▌揭露假新聞的操作手段   本書將告訴您，在社群媒體時代，演算法、心理學的濫用如何激化人類的偏見，影響輿論，甚至左右選舉的結果。    ▌什麼是「認知駭客」   任何基於統計數據而部分或完全做成結論的系...more
",https://www.books.com.tw/products/0010858226?loc=P_0002_010
11,記者超能力：鏡頭底下的生存法則,徐尚方,2020-04-01,"
以最真誠的視角，深入菜鳥記者在新聞產業中體會到的現實衝擊。   ★「新聞產業不是你想像的那樣」，新時代媒體人邀請各位一同踏入破除黑暗與迷思的英雄之旅。   ★帶領社會大眾到第一線的「新聞產線」，解除...more
",https://www.books.com.tw/products/0010853180?loc=P_0002_011
12,新媒體判讀力：用科學思惟讓假新聞無所遁形,"「科學新聞解剖室」作者群,黃俊儒",2020-03-24,"
「PanSci泛科學」最受歡迎的破解偽科學與流言專欄──「科學新聞解剖室」第三部作品!   「在科學假新聞的研究領域裡，黃俊儒教授是臺灣用力最深的學者，他長期率領團隊監看與分析臺灣科學傳播裡的亂象，不僅...more
",https://www.books.com.tw/products/0010851610?loc=P_0002_012
13,拉下前總統、破解假新聞、拒當讀稿機：孫石熙的脈絡新聞學,丁哲雲,2020-03-24,"
借鏡韓國新聞的發展與轉變， 思考臺灣新聞的樣貌與可能。   2020年1月，孫石熙正式告別JTBC《新聞室》主播臺，   他如何一手打造出收視率、影響力、信賴度三贏的新聞，   成為撼動韓國新聞界、引爆百萬燭...more
",https://www.books.com.tw/products/0010851844?loc=P_0002_013
14,假新聞判讀三部曲：新時代判讀力╳新生活判讀力╳新媒體判讀力(套書限量版),"「科學新聞解剖室」作者群,黃俊儒",2020-03-24,"
謠言像病毒一樣四處蔓延，你無法消滅病毒，但可以強化自己的抗體!   2020年，一場瘟疫席捲全球，舉世恐慌，人們對於病毒一時束手無策，卻偏還要遭受假新聞的侵擾──   ☠中國抗SARS專家建議以鹽水漱口預防武...more
",https://www.books.com.tw/products/0010851733?loc=P_0002_014
15,拒看新聞的生活藝術,魯爾夫．杜伯里,2020-03-07,"
「如果你不看新聞，你會與世界脫節；但如果你看新聞，你會與事實脫節。」--丹佐.華盛頓(Denzel Washington)   2013年4月12日，杜伯里應英國《衛報》編輯部的邀請，前往介紹當時剛出版的《思考的藝術》英譯...more
",https://www.books.com.tw/products/0010850742?loc=P_0002_015
16,中華書局雜誌出版與近代中國(1912-1937),徐蒙,2020-02-20,"
中華書局是中國近現代出版史上的第二大民營出版社。學術界圍繞這個機構雖然產生了大批成果，但對其所出版的雜誌研究仍顯薄弱。本書通過挖掘史料，對中華書局從創立之初到抗戰爆發時段(1912-1937年)的雜誌...more
",https://www.books.com.tw/products/0010849240?loc=P_0002_016
17,香港第一課,梁啟智,2020-01-07,"
為想要瞭解香港的人而作 ★☆Matters 創辦人 張潔平專文推薦 ★☆以三十六道包含認同、制度到未來走向的提問，勾勒出香港的基礎輪廓    香港很獨特，但香港不孤單。身分該如何理解?歷史該如何記憶?權力是否必...more
",https://www.books.com.tw/products/0010844637?loc=P_0002_017
18,怎樣談科學：將「複雜」說清楚、講明白的溝通課,蘭迪･歐爾森,2019-12-04,"
你講的話有沒有達到預期效果? 還是根本讓別人聽得一頭霧水?   科學每天產出無數新觀念，它們重要、迷人，同時閃爍著智慧之光。可是我們聽到那些觀念時，十次有八次覺得它們……超、級、無、聊。   蘭迪・歐...more
",https://www.books.com.tw/products/0010841290?loc=P_0002_018
19,蟋蟀之歌：韓國王牌主播孫石熙唯一親筆自述,孫石熙,2019-11-26,"
揭發醜聞、針砭時弊的韓國王牌主播   走過MBC罷工，帶領JTBC崛起   孫石熙實現新聞公正的自由之路   ◆韓國「最具影響力媒體人」孫石熙唯一親筆自述   ◆韓國絕版超過10年經典，首度以繁體中文版重現   他曾...more
",https://www.books.com.tw/products/0010840134?loc=P_0002_019
20,重新編集地方,"原田一博,原田祐馬,多田智美,小松理虔,山崎亮,幅允孝,影山裕樹,成田希",2019-10-25,"
作者影山裕樹繼《進擊的日本地方刊物》介紹日本各地不同的地方刊物後，本書將重點放在如何實踐，拆解地方媒體的製作流程，並邀請了7位不同領域的專家，分享相關的想法及他們的工作流程，集合了實用的技術...more
",https://www.books.com.tw/products/0010837552?loc=P_0002_020
21,身為國際新聞記者：鏡頭下的故事與文化，那些城市教我的事,翁琬柔,2019-10-23,"
誰說台灣沒有國際新聞?我們正是分分秒秒在見證歷史，勇於站在世界最前線的一群人。   十個地方，十種風情，十則見證歷史的故事。   帶著引以為傲的記者身分走訪世界，   站在攝影機前，我的生活超精彩。  ...more
",https://www.books.com.tw/products/0010837400?loc=P_0002_021
22,萬紫千虹：商業傳播教育的實踐,曹虹,2019-10-18,"
「要不斷了解自己追求的價值，豐富內在美，令人生活得更有意義。」   作者曹虹教授是資深傳媒和新聞傳播教育工作者，《萬紫千虹》集結了她在《am730》刊登的專欄文章，階段性地總結和整理她長時間從事商業...more
",https://www.books.com.tw/products/0010837667?loc=P_0002_022
23,向下扎根!德國教育的公民思辨課7-「過濾氣泡、假新聞與說謊媒體──我們如何避免被操弄?」：有自覺使用媒體的第一步,曼佛雷德．泰森,2019-10-03,"
※德國最受歡迎的思辨讀本_假新聞時代下的媒體識讀篇※ 你是如何迷失在網路上的?◥ ◣所謂的社群媒體真的「社會」嗎? 為身處新傳播時代的每個公民提供最關鍵的傳播素養   ◎為何會有那麼多的假消息?假新聞如何...more
",https://www.books.com.tw/products/0010834401?loc=P_0002_023
24,姑念該生：新聞記者張作錦生平回憶記事,張作錦,2019-09-30,"
★ 龍應台說，他是「最後的一種文人報人了。」   一個「好人」與「好報」的傳奇……   2015年總統文化獎得主   記錄半世紀以來台灣報業的重要一頁   資深新聞記者張作錦的生平回憶記事   在台灣社會及新聞發...more
",https://www.books.com.tw/products/0010834973?loc=P_0002_024
25,文字欲：回應時代的特寫新聞,譚蕙芸,2019-09-06,"
講速度，不如講深度。   特寫新聞記者多角度立體呈現受訪者的生活世界，將「他們」變成我們」。   以真實紮實的報導，令讀者從一粒沙看見一個世界。   新聞界對「速度」有一種普遍、近乎強迫症狀的迷戀；...more
",https://www.books.com.tw/products/0010833287?loc=P_0002_025
26,玩聲音，聲優30年的養成筆記,陳美貞,2019-08-10,"
這是一本對想從事幕後配音，或靠聲音吃飯的人最佳專業養成指南。  陳美貞(兩岸哆啦A夢配音一姐) 力邀重量級聲優導師   康殿宏 (瓊瑤戲劇男主角配音)  石班瑜 (周星馳御用配音員)  符爽 (《海綿寶寶》派大...more
",https://www.books.com.tw/products/0010830098?loc=P_0002_026
27,報紙之死：我與美洲《中時》的創生與消逝,周天瑞,2019-07-31,"
資深媒體人周天瑞首度披露美洲《中時》創辦與停刊始末   ─王健壯、黃榮村、劉敦仁 專文推薦─   這個問題好像只有我能回答。   其實，我仍未必是最有資格的解謎人。   一九八二年，他揮別久居的台北帶著家...more
",https://www.books.com.tw/products/0010828242?loc=P_0002_027
28,當代媒體：匯流中的傳播世界,Joseph Turow,2019-07-25,"
《當代媒體》利用匯流當作一面透鏡，將學生置於21世紀媒體世界各種影響深遠之變化的核心位置。透過匯流這面透鏡，學生們能夠學會如何以批判方式去思考今日的媒體所扮演的角色，以及這些變化對於他們當前與...more
",https://www.books.com.tw/products/0010830180?loc=P_0002_028
29,傳播縱橫：歷史脈絡與全球視野,李金銓,2019-07-17,"
近十多年來，李金銓在華文世界發表的專文每每獲得廣泛的迴響，本書《傳播縱橫：歷史脈絡與全球視野》是這些文字反覆精心修訂的結集。開首之章即不斷從傳播研究的角度，強調社會分析的辯證性、複雜性、具體...more
",https://www.books.com.tw/products/0010827620?loc=P_0002_029
30,編輯七力(修訂本),康文炳,2019-07-01,"
令人驚艷的編輯寶典，改版重出!   一次搞懂編輯工作的內核   編輯作業全攻略   編輯有七力：   定位力、選提力、結構力、採訪力、寫作力、視覺力、標題力   你還需要幾力?   編輯的理念   好的編輯人能客...more
",https://www.books.com.tw/products/0010825894?loc=P_0002_030
31,假新聞：來源、樣態與因應策略,"汪志堅,陳才",2019-06-01,"
假新聞已成為重大的社會及政治議題，甚至有危害開放社會下民主政體運作的疑慮。然而到底什麼才算是假新聞?為何現今會有這麼多假新聞?在傳統新聞媒體式微、網路社群媒體興起的傳播環境下，如何「打假」?皆...more
",https://www.books.com.tw/products/0010826273?loc=P_0002_031
32,中國傳播政治經濟學,趙月枝,2019-04-30,"
本書從傳播政治經濟學視角透視世紀之交中國的傳播體系變遷與深化改革開放進程間的動態互構關係。數位化時代，中國傳播體系是官僚權力重構、國內外私人資本擴張和知識精英推進新自由主義改革的關鍵領域；同...more
",https://www.books.com.tw/products/0010818750?loc=P_0002_032
33,收視率背後的祕密,劉旭峰,2019-04-08,"
明星、老兵、歡場女子、彩券行老闆……，   新聞報導中的主角躍出紙面，宛如生活在你我周圍，   資深媒體人劉旭峰以三十年現場觀察，犀利勾勒出螢光幕後的社會眾生相!   一本資深媒體人的懺情錄，一部新鮮人...more
",https://www.books.com.tw/products/0010817047?loc=P_0002_033
