,書名,作者,出版日期,內容介紹,網址
1,恐懼的力量：因為恐懼而無所畏懼，無私、利他，在於同理他人恐懼!一位心理學家探索大腦、神經和行為科學，實證揭露人性善惡真相之旅【二版】,艾比蓋爾‧馬許,2020-10-07,"
成佛成魔，存乎「恐懼」。 因為恐懼，無所畏懼! 科學實證角度談利他行為的經典之作! 開疆闢土的研究，挖掘人性的至高與深度。 一趟扣人心弦的穿越大腦旅程， 以愉悅的寫作和令人印象深刻的科學論述， 說明...more
",https://www.books.com.tw/products/0010871858?loc=P_0003_001
2,療癒心傷：凝視內心黑洞，學習與創傷共存,宮地尚子（Naoko MIYAJI）,2020-07-11,"
一本書，拉開一張網，接住墜落中的受害者。 陪著他們從創傷到復原，走一段療癒之路。 我們所能做的，是向受害者伸長手說：「我不是加害者，是站在你這邊的朋友。」 幫助他們不是用頭腦，而是用身體相信這...more
",https://www.books.com.tw/products/0010863004?loc=P_0003_002
3,讓心裡的傷不倒帶：一位精神科醫師對創傷後壓力症最溫柔懇切的臨床紀實，與最前線的療癒科學研究,謝莉・珍恩,2020-07-04,"
「創傷經驗雖使你痛苦， 但我願在此地陪伴你的所有不堪。」 在創傷時代獻給……  深受創傷壓力所苦的你  創傷壓力症患者的家人、朋友或照顧者  照顧不同家庭背景孩子的教育工作者  傾聽患者傷痛，一路陪伴康...more
",https://www.books.com.tw/products/0010861326?loc=P_0003_003
4,學習的王道(2020年版)：西洋棋八冠王+太極拳世界冠軍 第一部結合技巧鍛鍊和心理戰略的學習術,喬希・維茲勤,2020-06-24,"
西洋棋八冠王+太極拳世界冠軍Josh Waitzkin現身說法   「我最擅長的不是太極，也不是西洋棋，我最擅長的其實是學習的藝術。」   本書不是教你如何學習太極拳或是西洋棋，   而是教你可以活用在任何領域的...more
",https://www.books.com.tw/products/0010861638?loc=P_0003_004
5,炸彈客，沒有那麼簡單：家族成員情緒失控釀災，包溫端出救火新概念,麥可．柯爾,2020-04-28,"
校園炸彈客，一款無差別而荒謬的暴力型態下，造成自身、他人與社會無可彌補的傷害與遺憾。揭開炸彈客家族大樹一頁悲情冰山史，家族成員可能間接成為加害人…且看《包溫理論》如何深化家庭自我期許機制，建...more
",https://www.books.com.tw/products/0010855506?loc=P_0003_005
6,"也許你該找人聊聊：一個諮商心理師與她的心理師,以及我們的生活",蘿蕊･葛利布,2020-04-01,"
連心理師自己都要找心理師諮詢?!那他/她憑什麼能幫我?! 「在我擔任心理師的所有資格裡，最重要的一個是：我也是有血有肉的人。」   ★上市首週強勢竄上亞馬遜網路書店總榜TOP 100；   ★獲選亞馬遜書店年度...more
",https://www.books.com.tw/products/0010853179?loc=P_0003_006
7,當「洗腦」統治了我們：思想控制的技術,岡田尊司,2020-01-15,"
輿論操控、情緒勒索、發財夢詐騙……   我們活在各種「洗腦劇毒」之中!   ──《商業周刊》1678期選書──    ►你是不是難以拒絕他人的請求?(依賴型人格)   ►你是不是個曾看父母臉色長大的「小大人」?(依賴型人...more
",https://www.books.com.tw/products/0010845598?loc=P_0003_007
8,我發瘋的那段日子：一個大腦疾病真實案例,蘇珊娜．卡哈蘭,2019-07-31,"
「好看極了!」亞馬遜書店數千名讀者近滿分好評， 全美狂銷破 1,000,000 冊，全球售出二十餘國版權， 全球熱議醫療案例，改編電影由克蘿伊・摩蕾茲主演。 寫下心理學、神經科學與免疫學研究新頁， 國際權威...more
",https://www.books.com.tw/products/0010828813?loc=P_0003_008
9,邪惡的20個樣貌：殺人、強暴、傷害、霸凌，那些「平常人很好呀」的人，怎麼瞬間變邪惡?你我心裡也有一兩個這樣的特徵,張蔚,2019-07-03,"
「人的內心，住著一個天使，也住著一個魔鬼， 所謂人性，就是天使與魔鬼的博弈。 我們要做的，就是當魔鬼出現時，不能放任其衝破善惡的底線。」 ─本書作者   ◎鄰居和家人口中的好好先生，為何瞬間暴怒成殺...more
",https://www.books.com.tw/products/0010825222?loc=P_0003_009
10,求關注、求分享、求被愛!為什麼我們會變得誇大、自戀，渴望被崇拜?「做作與自戀型人格」社會觀察報告,和田秀樹,2019-01-09,"
求關注、求分享、求被愛!為什麼我們會變得誇大、自戀，渴望被崇拜?   「做作與自戀型人格」社會觀察報告   在FB、IG求關注、曬恩愛，營造過分美好的生活景象；   名嘴藝人誇張的言談、吹噓自己的身世學經...more
",https://www.books.com.tw/products/0010810040?loc=P_0003_010
11,誇大自體症候群：現代人體內暴君的真面目,岡田尊司,2018-11-22,"
為什麼看來極度普通的人會因為細故犯下令人譁然的案件?   近來不斷發生重大刑案，其中不少是乍看普通的「一般人」突然犯下隨機殺害多人的案件。有些犯罪者有幻覺、妄想等的異常症狀，也有犯案動機，可是專...more
",https://www.books.com.tw/products/0010805173?loc=P_0003_011
12,精神病手記：反覆自殘的三年自述,林昭生,2018-02-13,"
這本書是一個自我傷害者寫的，但並無法解釋自我傷害作為一個行為，它的原因與解答。很久以前，它是在表達一些生命中的痛苦，但後來，我越來越感受不到行為的意義，行為只剩行為，像是上癮一樣，無法停止。...more
",https://www.books.com.tw/products/0010777904?loc=P_0003_012
13,愚昧者：為什麼我們會自我欺騙?從演化邏輯和心理學透視人類欺騙的科學,羅伯特‧崔弗斯,2018-02-07,"
★★人生當中許多謊言，只會留在你和騙你的人之間★★ 為何要自我欺騙?為何要欺騙他人? 大腦的一半能不能對另一半隱藏起來? 人到了什麼年紀才有欺騙的能力?  論述「欺騙」和「自我欺騙」的經典之作， 透視欺騙...more
",https://www.books.com.tw/products/0010776424?loc=P_0003_013
14,韋瓦第效應：你的人生是不是被貼了標籤?別讓刻板印象框住，普林斯頓大學必讀心理學講義,克勞德‧史提爾,2017-11-18,"
★比爾‧蓋茲推薦書單 ★哈佛大學、史丹佛大學、哥倫比亞大學、普林斯頓大學教授學者一致讚譽 ★「多元智能之父」霍華德‧嘉納盛讚 ★長踞Amazon暢銷榜，深刻揭露當代社會現象的經典論述 ★「刻板印象威脅」研究...more
",https://www.books.com.tw/products/0010770193?loc=P_0003_014
15,天才在左 瘋子在右,高銘,2017-10-31,"
請撥開文字和表象的迷霧，更開闊地接觸這個奇妙的世界， 本書將打開你對世界、生命及萬物的想像與思考。   ｢這個世界，究竟是什麼樣的?｣   這是一個看似簡單的問題，卻很難用三言兩語說清楚。因為好奇，因...more
",https://www.books.com.tw/products/0010767971?loc=P_0003_015
16,誰都可以，就是想殺人：被逼入絕境的青少年心理,碓井真史,2017-06-20,"
「誰都可以，就是想殺人」，無差別殺人、隨機殺人的加害者犯案後大都說了這句話，令人莫名憤怒又莫名害怕。   本書以2008年秋葉原無差別殺人事件加害人為首章，由加害人曾經講過的話及親弟弟敘述家庭的狀...more
",https://www.books.com.tw/products/0010754739?loc=P_0003_016
17,陰屍路的黑暗療癒：團體壓力‧道德兩難‧生存競爭……24位心理學專家剖析令人又痛又撫慰的人性掙扎命題,崔維斯．蘭里,2016-10-07,"
全球超過3,700萬粉絲同聲熱議的當紅影集，背後原來大有玄機! 第一本以心理‧醫學‧哲學角度，分析熱門活屍影集中的豐富人性教材。 團體認同‧英雄主義‧病態人格‧馬斯洛需求金字塔…… 24位心理學家輪番接力，剖...more
",https://www.books.com.tw/products/0010730525?loc=P_0003_017
18,發展心理學(上)：兒童發展,"約翰‧卡瓦納夫,羅伯特‧凱爾",2016-09-01,"
本書探討人生中最基本的問題：生命是如何開始的?我們是如何從一個逗點大的單細胞開始發展、長大，變成一個複雜的成人?到了晚年之後，我們還會和現在一樣嗎?我們是如何影響他人的生活呢?他人又是怎麼影響我...more
",https://www.books.com.tw/products/0010730064?loc=P_0003_018
