,書名,作者,出版日期,內容介紹,網址
1,死刑的重量：重大刑事案件的量刑辯護與挑戰,"李宣毅,林俊宏,林慈偉,林欣萍,翁國彥,薛煒育,陳奕廷,陳威延",2020-10-15,"
本書特色    在台灣，廢除死刑至今仍是未竟之業，自兩公約施行法公布施行以來，將國家更積極的人權保障義務帶進個案，對我國死刑案件之量刑有其影響力；然而，死刑量刑之準則及程序的保障，舉凡量刑因素、...more
",https://www.books.com.tw/products/0010874157?loc=P_0003_001
2,沒收新制(五)：沒收實例解析,"吳耀宗,惲純良,朱庭儀,李聖傑,林鈺雄,楊雲驊,潘怡宏,王士帆,王玉全,許澤天,許絲捷,謝人傑,連孟琦,陳信安,陳書郁,高世軒,黃士元,黃彥翔",2020-10-01,"
經濟犯罪，經濟解決!「刑法百年變革」的我國沒收新制，從傳統刑罰論轉向經濟刑法的制裁手段，同時也開啟了「經濟刑法的新紀元」，深深影響我國整部刑事制裁體系及訴訟程序。但欲澈底剝奪不法利得、真正實...more
",https://www.books.com.tw/products/0010870123?loc=P_0003_002
3,刑事訴訟法,"李鳳翔,盧映潔",2020-09-25,"
本書共分為五篇，將刑事訴訟程序之總論以及各個程序階段分篇分章加以編排並完整介紹。第一篇為總論共有六章，分別是刑事訴訟法基本構造與理論、刑事訴訟法的效力、訴訟主體、訴訟相關人、被害人、訴訟行為...more
",https://www.books.com.tw/products/0010872855?loc=P_0003_003
4,刑法概要：刑法總則,"李鳳翔,盧映潔",2020-09-25,"
本書將刑法總則分為十三章，第一章是基本概念、第二章是構成要件該當性、第三章是違法性、第四章是罪責、第五章是構成要件該當性、違法性、罪責以外的層次、第六章是錯誤理論、第七章是犯罪階段、第八章是...more
",https://www.books.com.tw/products/0010872892?loc=P_0003_004
5,刑法概要：刑法分則,"李鳳翔,盧映潔",2020-09-25,"
本書將刑法分則所有罪章，根據其保護法益分為八章加以編排。第一章是生命、身體法益、第二章是自由法益、第三章是性自由法益、第四章是名譽法益、第五章是隱私自由法益、第六章是財產法益、第七章是社會法...more
",https://www.books.com.tw/products/0010872897?loc=P_0003_005
6,特種刑事法令理論與實務,"廖啓彣,李榮耕,杜怡靜,林宏松,葛耀陽,謝宜峯",2020-09-21,"
本書特色   市面上甚少針對刑事特種法令而撰寫的書籍，有鑑於此，本書邀集學界及實務界之學者專家，就常用且重要之法令，有系統地撰寫深入淺出之內容，盼可供教學及學習使用，或作為實務參考之工具書。...more
",https://www.books.com.tw/products/0010872049?loc=P_0003_006
7,刑事訴訟法概論(下)(16版),林俊益,2020-09-21,"
本書特色   刑事訴訟法是一門理論與實務併重的學科，僅研究理論而不談實務運作，或僅述實務而不談理論基礎，均無法徹底掌握刑事訴訟法之立法精髓與基本內涵。   本書講究理論與實務兼備，特別重視相關理論...more
",https://www.books.com.tw/products/0010872047?loc=P_0003_007
8,刑事訴訟法論(修訂九版),朱石炎,2020-09-18,"
刑事訴訟法是追訴、處罰犯罪的程序法，其立法目的在於確保程序公正適法，並求發現真實，進而確定國家具體刑罰權。實施刑事訴訟程序的公務員，務須恪遵嚴守。近年來，刑事訴訟法曾經多次修正，陸續增刪條文...more
",https://www.books.com.tw/products/0010872451?loc=P_0003_008
9,刑法分則：財產犯罪篇(修訂二版),古承宗,2020-09-18,"
不論在司法實務，或是專業學習的場域，財產犯罪往往是複雜且難解的釋義學議題，幾乎每一條分則各罪的規定均有自己獨特的理論脈絡。基本上，核心刑法的財產犯罪可區分為兩大系統：一者為「所有權犯罪」，例...more
",https://www.books.com.tw/products/0010870693?loc=P_0003_009
10,刑法案例研習(二)(3版),黃惠婷,2020-09-10,"
本書特色   本書如同刑法案例研習(一)與(三)，透過各種案例讓讀者認識如何解題，並深化案例涉及的刑法重要概念與實務見解。案例題型橫跨刑法總則與刑法分則，所蒐集的五十題案例具有本土色彩，親和性是特...more
",https://www.books.com.tw/products/0010870734?loc=P_0003_010
11,刑法總則(5版),林書楷,2020-09-10,"
本書透過簡明清晰的敘述方式來詮釋刑法總則之基礎理論與概念，每章節均以導引案例作為問題思考的開始，逐步解說刑法之架構與相關理論，再輔以為數眾多的案例加以對照說明，使刑法初學者不致因刑法理論的抽...more
",https://www.books.com.tw/products/0010872862?loc=P_0003_011
12,刑法分則實用：大學用書系列(一品)(七版),"劉秉鈞,陳煥生",2020-09-10,"
適用對象   在校生、準備國考考生、研究刑法者、實務工作者   改版差異   根據108、109年修法修訂 本書特色   2005年刑法重大修正之後，立法院持續修法，包括廢止唯一死刑、增訂虛偽遷移戶籍投票罪、修正...more
",https://www.books.com.tw/products/0010869608?loc=P_0003_012
