,書名,作者,出版日期,內容介紹,網址
1,名偵探柯南晨讀10分鐘推理課 1,青山剛昌,2020-11-06,"
每天10分鐘×12篇故事×23道謎題=閱讀素養力 從圖像銜接到文字，加強閱讀理解力的最佳文字橋樑書!   ★符合108課綱 提升閱讀素養   失蹤的步美、逃跑的通緝犯......   柯南身邊發生了一連串的事件，   快跟少...more
",https://www.books.com.tw/products/0010874724?loc=P_0003_001
2,科學偵探謎野真實04：科學偵探vs. 黑暗福爾摩斯學園(隨書附贈「DIY科學偵探書籤」兩款),"佐東綠,木滝理真,田中智章,石川北二",2020-10-14,"
增進科學知識的推理能力，獻給喜愛科學與推理讀者的閱讀佳作 沒有科學解不開的謎團!   終於來到傳說中的「福爾摩斯學園」。   最頂尖的四大天王準備了什麼樣的考驗，在等待著謎野真實和宮下健太?   他們能...more
",https://www.books.com.tw/products/0010872613?loc=P_0003_002
3,消失的島嶼,羅伯托．皮烏米尼,2020-10-08,"
★義大利安徒生獎作家與插畫家之動人巨作★ 就在兩島人民對峙、戰爭一觸即發之際， 小男孩薩伊發現了令人驚異的海底奇觀， 在成千上萬隻鯨魚的協助下，化解了一場危機……    一片汪洋大海中，有五座島嶼，其...more
",https://www.books.com.tw/products/0010871545?loc=P_0003_003
4,來自星星的小偵探6：外星人死亡奇案,鄭宗弦,2020-10-01,"
◎科學橋梁書「來自星星的小偵探」系列超精采完結篇!   ◎書末附有彩色漫畫及星星偵探番外篇，超值內容一次收錄!    林光明和陳俊宇來到香港偵辦詭異的外星人死亡事件，   死者的大腿上有奇怪的燒焦痕跡及傷...more
",https://www.books.com.tw/products/0010871372?loc=P_0003_004
5,屁屁偵探【讀本9+玩偶25cm】套組(屁屁偵探絨毛玩偶25cm+《屁屁偵探讀本9 幸運貓落到誰手上!》),Troll,2020-09-29,"
絕對出人意表的超人氣童書【屁屁偵探讀本第9集】+正版授權台灣限定、可愛破表的【屁屁偵探絨毛玩偶】來囉……    人氣不斷飆升、內容不斷突破的【屁屁偵探讀本】第9集報到……有神祕人物閃亮登場喔!   貫穿本...more
",https://www.books.com.tw/products/0010870567?loc=P_0003_005
6,屁屁偵探讀本9 幸運貓落到誰手上!,Troll,2020-09-29,"
人氣不斷飆升、內容不斷突破的   【屁屁偵探讀本】第9集報到……有神祕人物閃亮登場喔!   貫穿本集的關鍵字，非「幸運貓」莫屬──   我們不僅有機會好好認識「幸運貓」咖啡店帥氣溫馨的一家「三口」，   要解...more
",https://www.books.com.tw/products/0010870569?loc=P_0003_006
7,小時候，小石猴(2版),洪佳如,2020-09-28,"
幸運石化身的小石猴，因一場意外離開了原主人身邊，開始了他上山下海的冒險旅程，也因此發現山林中族人們的困境，他要如何用自己的能力幫助他們呢?...more
",https://www.books.com.tw/products/0010871609?loc=P_0003_007
8,妙探鬼靈精1,"何肇康,余遠鍠",2020-09-22,"
人氣偶像美少女+古代來的失憶鬼+IQ爆棚高材生   寫下熱血青春、古靈精怪校園推理新一章!      每逢深夜，牢牢上鎖的美術室裡，都會離奇地出現一個男人的身影，然後又離奇地消失無蹤；種種繪聲繪影的傳聞，...more
",https://www.books.com.tw/products/0010872080?loc=P_0003_008
9,我的吸血鬼同學7,"余遠鍠,陳四月",2020-09-22,"
人魚公主愛莉以魔法把尾巴變成人類的雙腳，   變裝由海洋之都來到人界觀光，對一切都深感好奇。   如此顯赫身份的妖魔大駕光臨，公會不敢怠慢，   派出新一代最有前途的少年獵人艾爾文充當她的貼身保鏢。 ...more
",https://www.books.com.tw/products/0010872097?loc=P_0003_009
10,童話旅人團3：智鬥豬兄弟,一樹,2020-09-21,"
稻草房子、木房子，重重密室，一場逃生大作戰即將展開!   小紅帽和翰修、傑黑一覺醒來，竟發現被人綁架，與數個陌生人一同被困在鋪滿稻草的密室之中。   危機逼近，時間緊迫，又是考驗眾人智慧的時候，大...more
",https://www.books.com.tw/products/0010872234?loc=P_0003_010
