,書名,作者,出版日期,內容介紹,網址
1,喚醒世界：女性和英勇女性特質經典故事,艾倫．B. 知念,2020-06-01,"
榮格心理學×女性童話，12種潛能的勇敢解放 童話不僅是童話 女人不僅是第二性 喚醒心靈深處的真實自我與內在女性特質   本書精選十二則女性童話，以榮格心理學的視角提供深邃洞見，   引導女性走出現實生活...more
",https://www.books.com.tw/products/0010859264?loc=P_0003_001
2,魯迅與中國兒童文學的發展,嚴吳嬋霞,2020-05-01,"
本書從魯迅的童年青年經歷，魯迅生活時代兒童文學的情況和發展，魯迅的文學觀、教育觀，以及他與當時著名兒童文學作家的交流和影響等方面入手，分析了魯迅本人及其思想對中國兒童文學發展所起到的影響和作...more
",https://www.books.com.tw/products/0010866568?loc=P_0003_002
3,思考的孩子：國際安徒生獎得主、繪本大師安野光雅自剖五十年創作原點與兒童觀,安野光雅,2020-04-01,"
多元素養時代，我們需要的是：思考的孩子! 靠自己的力量思考為什麼重要? =本書特色= ★世界級兒童文學作家、安徒生獎、紫綬勳章得主，安藤忠雄為他打造美術館、《旅之繪本》、《奇妙國》等百部繪本作者安野...more
",https://www.books.com.tw/products/0010852487?loc=P_0003_003
4,兒童詩歌論集,林文寶,2020-02-01,"
本書係作者從詩歌本身及兒童本身，兩方面加以考察兒童的詩教育。詩歌本身從本質、特質、境界、形式與語言等部分加以探索。兒童本身主要是以皮亞傑的認知發展去解說。而後對兒童詩歌教育提出個人的看法，以...more
",https://www.books.com.tw/products/0010851222?loc=P_0003_004
5,兒童文學與書目(三),林文寶,2020-02-01,"
本書紀錄了一九九八年至二〇〇三年兒童文學的發展概況，其內容按照年份書寫並分有兩大類，其一是是兒童文學的書目的爬梳與蒐羅，更將其細分為論述類、創作類和翻譯類。另一項則是兒童文學的年度大事記要，...more
",https://www.books.com.tw/products/0010851224?loc=P_0003_005
6,神奇的32頁：探訪世界繪本名家創作祕辛,賴嘉綾,2020-01-21,"
繪本職人賴嘉綾，親自走訪世界知名18位繪本創作者，讓名家創作的精采過程大公開 靈感與風格的真實感動，經典繪本的解析，藝術，就在神奇的32頁中   32這個數字是什麼?   32頁的繪本如何帶來神奇?   從印刷...more
",https://www.books.com.tw/products/0010846978?loc=P_0003_006
7,兒童文學論集(四),林文寶,2019-11-01,"
本書對於兒童文學有廣泛而深刻的探討，全書共十三篇文章，其內容及範圍包羅萬象：對於新詩探討、在教學方面的應用研究、中國古至今的兒童文學發展、深度的臺灣鄉土文化剖析、西方後現代書寫的變遷及影響。...more
",https://www.books.com.tw/products/0010845370?loc=P_0003_007
8,蒙恩的童貞：安徒生的秘密花園,岳趙,2019-08-02,"
安徒生，丹麥的作家，詩人。安徒生的童話集，是每一個孩子都願意得到的禮物，也許不僅僅是孩子，大人們也有理由迷戀。   目前，幾乎所有有文字的國家都有它的譯本。安徒生童話已經成為僅次于《聖經》的暢...more
",https://www.books.com.tw/products/0010830571?loc=P_0003_008
9,兒童文學與閱讀(三),林文寶,2019-08-01,"
本書收錄作者對眾多兒童文學作品的推介與導讀，共四十二篇，多為短文，除推廣優秀作品外，也介紹多名在兒童文學領域耕耘有成的作者；其中仍兼有論述文章，內容包含兒童閱讀方法、圖畫書如何引發幼兒閱讀興...more
",https://www.books.com.tw/products/0010833359?loc=P_0003_009
10,兒童文學與書目(二),林文寶,2019-08-01,"
有關書目的研究與蒐集，雖然有所謂的目錄學，但目前似乎未受相當重視。作者自一九七一年踏入師專執教，一九八四年開始講授兒童文學，當時的兒童文學，是一片有待開發的場域，於是作者即著手收集相關論述與...more
",https://www.books.com.tw/products/0010836115?loc=P_0003_010
11,從此以後：童話故事與人的後半生,艾倫．B. 知念,2019-07-01,"
◎榮格心理學X老人童話，步入老年並非邁向人生終結，而是迎來蛻變的起點   童話不僅是童話，老人不僅是年紀大   人生智慧總在成熟之後萌現   本書精選十五則老人童話，並運用榮格心理學進行闡釋、分析，   ...more
",https://www.books.com.tw/products/0010825906?loc=P_0003_011
