,書名,作者,出版日期,內容介紹,網址
1,兒童與青少年正向心理卡,,2020-11-30,"
遊戲人數：1~6人   時間：60~90分鐘     兒童與青少年正向心理卡以十二生肖與四季節氣的情境式圖像呈現，依據正向心理學的6大美德與24個優勢、正向情緒擴展與建立理論進行圖文編製，用優勢力與情緒力打造...more
",https://www.books.com.tw/products/0010873776?loc=P_0003_001
2,火蜥蜴的冬日節假期,封狼,2020-11-11,"
火蜥蜴生活的小島，每到了冬天，便一直下著綿綿、冷冷的細雨。雨水滴到火蜥蜴燙燙的皮膚，那個感覺，超級痛的!   今年的冬日節，他決定要來點特別的行程──去妖精之島看雪!雪看起來又白又美，蓬鬆蓬鬆，和...more
",https://www.books.com.tw/products/0010874147?loc=P_0003_002
3,跑跑薑餅人城市大逃亡6：雅典,宋道樹,2020-11-06,"
薑餅人勇闖西方文明的發源地， 探究希臘雅典的哲思與奧祕!   ★全球超人氣跑酷遊戲首度改編知識漫畫!   ★讓可愛的薑餅人帶孩子學地理歷史   ★發揮跑酷精神，培養創造力、適應力、自信心    冰冰在希臘遇見...more
",https://www.books.com.tw/products/0010874712?loc=P_0003_003
4,跑跑薑餅人科學小常識套書【第一輯】(第1~5冊),趙珠熙,2020-11-06,"
跟著薑餅人發掘生活裡的科學， 從小培養科學素養和研究精神!   可愛又超有個性的薑餅人，   為你解答心中最想知道的「為什麼」!    微波爐是怎麼加熱食物的?   為什麼蜘蛛不會被自己的絲線黏住?   中國的...more
",https://www.books.com.tw/products/0010874723?loc=P_0003_004
5,名偵探柯南晨讀10分鐘推理課 1,青山剛昌,2020-11-06,"
每天10分鐘×12篇故事×23道謎題=閱讀素養力 從圖像銜接到文字，加強閱讀理解力的最佳文字橋樑書!   ★符合108課綱 提升閱讀素養   失蹤的步美、逃跑的通緝犯......   柯南身邊發生了一連串的事件，   快跟少...more
",https://www.books.com.tw/products/0010874724?loc=P_0003_005
6,X尋寶探險隊 18 狂戰士之種：馬來亞.魔豆.巨型生物,李國權,2020-11-06,"
「X尋寶探險隊」熱血回歸! 小航、露露再次聯手， 探訪各地的古代遺跡，解開傳說中不為人知的祕密。    小航種的豆子竟一夕通天，   「傑克與魔豆」的故事難道是真的?    回到馬來亞探望家人的小航，循著外...more
",https://www.books.com.tw/products/0010874853?loc=P_0003_006
7,當我難過的時候,黛博拉·塞拉尼,2020-11-05,"
與其長大狂看心理勵志書，不如從小就教會孩子「面對脆弱的勇氣」!   學習透過不同感官感覺脫離悲傷風暴，大人小孩都需要的溫柔療癒之書!    當我難過的時候，我會哭、會躲起來、會亂丟玩具，好像什麼事情...more
",https://www.books.com.tw/products/0010870768?loc=P_0003_007
8,書是孩子最好的寵物,約翰‧阿加德,2020-11-05,"
如何引導孩子愛上書?看看本書作者施魔法!   巧妙把書本與家中寵物的相似之處融合在一起，讓孩子愛上書如同愛寵物。    九命貓咪、長耳朵小狗、五顏六色的金魚……誰才是最棒的寵物?   有一種寵物，不用綁牽...more
",https://www.books.com.tw/products/0010870914?loc=P_0003_008
9,我怕我做不好……,露西．弗雷加,2020-11-05,"
孩子做事玻璃心，遇到挫折就放棄? 讓孩子學會堅持，培養孩子高挫折容忍力，可愛又熱血的療癒繪本!   小兔子貝蒂想成為一名芭蕾舞者。   她無時無刻都想跳舞，一聽到音樂就會不由自主地跳起舞來!   可是在...more
",https://www.books.com.tw/products/0010870919?loc=P_0003_009
10,蔬果的美味大餐套書(3冊),鈴木桃,2020-11-05,"
★結合自然知識與DIY食譜的親子食育繪本★ 跟小動物到菜園果園裡， 探索蔬菜水果生長的小祕密， 再動手料理，一起去野餐!   這些都是常見也常吃的蔬菜水果，你知道它們原本是什麼樣子?生長在哪裡?怎麼生長的...more
",https://www.books.com.tw/products/0010874616?loc=P_0003_010
11,深夜的動物趣味大賽套書(3冊),中村翔子,2020-11-05,"
★日本知名作家中村翔子+畫家荒井良二的超幽默動物故事★    三場動物園的大賽，   綜觀動物有趣的生理現象和心聲!    *有注音   *適讀年齡：6歲以上...more
",https://www.books.com.tw/products/0010874617?loc=P_0003_011
12,豬奶奶說再見(二版),瑪格麗特．威爾德,2020-11-05,"
★生命教育的最佳繪本★ 最美好的生命告別， 平靜卻深深撼動人心   豬奶奶和孫女豬小姐住在一起好多年。她們彼此作伴，一起分擔家務。有一天早上，豬奶奶卻沒有像平常一樣起床吃早餐。豬小姐非常擔心。   第...more
",https://www.books.com.tw/products/0010874618?loc=P_0003_012
13,小妖怪要回家,JCC,2020-11-05,"
台灣的每個城市都有不同的面貌，也都非常的好玩，熊寶、鹿仔、小石虎和社區鄰居們一起搭了遊覽車到中部遊玩，中途還認識了新朋友-小妖怪!讓我們一起跟著主人翁們去認識台灣中部的城市吧!  本書特色    熊...more
",https://www.books.com.tw/products/0010874668?loc=P_0003_013
14,唱歌跳舞派對,JCC,2020-11-05,"
作為太陽升起的東邊，跟西半部擁有截然不同的風景，熊寶、鹿仔、小石虎在東台灣認識了一些新朋友，除此之外還欣賞了好多東部才有的景緻!  本書特色    熊寶遊台灣系列，全套4本，2020年4月最新出版!插畫由...more
",https://www.books.com.tw/products/0010874669?loc=P_0003_014
15,和魚一起游泳,JCC,2020-11-05,"
台灣不只陸地資源非常的豐富之外，因為四面環海所以也有著非常豐富的海洋風景，熊寶、鹿仔、小石虎這回在台灣南部玩，最終目標就是要去一探海底的樣貌!讓我們一起跟著主人翁們去欣賞台灣南部的風景吧!  本...more
",https://www.books.com.tw/products/0010874670?loc=P_0003_015
16,一起去找爺爺,JCC,2020-11-05,"
台灣是我們的家，雖然不大，不過這裡的每個小城市都有好多值得我們去認識的景點還有文化。這本繪本希望小朋友經由熊寶、鹿仔及小石虎的歷險，更加的認識北台灣每個城市的特色!  本書特色    熊寶遊台灣系...more
",https://www.books.com.tw/products/0010874671?loc=P_0003_016
17,非懂不可!青春害羞小煩惱,"詩詩,陶綺彤",2020-11-01,"
當周遭朋友們都開始發育，自己為什麼卻是紋風不動!   「青春期」是人類一生當中最神奇也是最麻煩的一段時光，   女性生理期來的時候該怎麼度過?聽說這時候可以狂吃巧克力?不可以洗頭?不能吃冰……?究竟哪些...more
",https://www.books.com.tw/products/0010874174?loc=P_0003_017
18,大卡樹與多多鳥：模里西斯島生態故事,孫心瑜,2020-11-01,"
★這是多多鳥和大卡樹的真實故事，也是人類和地球生態的寓言故事。   ★隨書附贈摺頁，一起認識大卡樹、多多鳥與模里西斯島的自然生態。    我叫卡卡，是一棵大卡樹，今天是我350歲的生日，非常想念我最好的...more
",https://www.books.com.tw/products/0010874213?loc=P_0003_018
19,加油吧!笨海豚(二版),林滿秋,2020-11-01,"
一個關於「認真」的童話    小學生阿志最常說的話是「幹麼要那麼認真?」阿志的媽媽上班時，常趁機偷懶。阿志的爸爸是喜歡下棋、聊天、混時間的計程車司機。認真念書，考試不一定考得好，認真工作，老闆不...more
",https://www.books.com.tw/products/0010874224?loc=P_0003_019
20,和路易斯.卡洛爾度過有趣的一天吧!：《愛麗絲夢遊仙境》中的文字遊戲和背後故事,凱瑟琳．克魯爾,2020-11-01,"
在愛麗絲掉入兔子洞之前── 歡迎光臨作家路易斯.卡洛爾的奇幻異想世界 ◆◇一本送給愛麗絲迷最棒的禮物◆◇   「當我決定用一個字時，它的意思就是我選擇賦予它的意思，不多也不少。」──路易斯.卡洛爾《愛麗絲...more
",https://www.books.com.tw/products/0010874573?loc=P_0003_020
21,斷手的芭比,凌拂,2020-10-30,"
‧以引導模式讓兒童了解寫故事的樂趣，將寫作主導權交還兒童，進而啟發自我思考，讓人對寫作不再恐懼。   ‧搭配新銳繪者Chia奇亞子手繪多張彩圖。   多年來，作文教學、指引大全常圍繞在規則與技巧，規則一...more
",https://www.books.com.tw/products/0010874052?loc=P_0003_021
22,我試著愛上數學,貝瑟妮‧巴頓,2020-10-30,"
終極數學測驗    如果老師在課堂上突然來個臨時考，要你解下面這道題，該怎麼做?   a.   拿出鉛筆，胡亂吼個咒語!   b.  說你必須上廁所……上到下課鈴響。   c.   跑去老師面前，給他大大的擁抱。   d.  翻...more
",https://www.books.com.tw/products/0010874086?loc=P_0003_022
23,百年之家,路易斯,2020-10-30,"
「安徒生大獎」得主、義大利國寶插畫大師英諾桑提傾力之作 獨立出版商圖書獎金獎 亞馬遜五顆星推薦 ★★★★★ 「一幢百年樓房如何走過百年孤寂、再以新樣貌重生」   義大利國寶大師與美國詩人路易斯攜手，以細...more
",https://www.books.com.tw/products/0010874172?loc=P_0003_023
24,再見小紅帽,費里奇,2020-10-30,"
「國際安徒生大獎」得主英諾桑提， 再次以獨特的繪本語言，打造魔幻寫實的城市童話。   孩子，靠近一點，讓我為你們編織一個故事。   小紅帽來到二十一世紀，   走進以水泥為枝幹，磚塊為樹葉的都市叢林。...more
",https://www.books.com.tw/products/0010874175?loc=P_0003_024
25,玩扭蛋.聽故事：伊索寓言一把抓,伊索,2020-10-30,"
【一體成形扭蛋機 ✦ 超值故事驚喜包】 ❝ 自己的玩具自己做，剪刀、膠水全不用! ❞ ◈ ◈ ◈ ◈ ◈ ◈ ◈ ◈ ◈ ◈ 〔玩具 ❖ 動畫 ❖ 閱讀 ❖ 有聲書〕 【有聲繪本】+【DIY迷你扭蛋機】+【50mm彩色大扭蛋x5】+【精彩動.....more
",https://www.books.com.tw/products/0010874179?loc=P_0003_025
26,糖果姐姐說故事：魯賓遜漂流記(3CD),金明瑋,2020-10-30,"
一個悖逆的青年，放掉舒適生活，硬是要出海冒險，他會遭遇些什麼險況?    當他遇上暴風雨，船身破損，僅有他一個人倖存，被浪打到一個荒島上時，孤單的他怎麼生存?    作者筆下，魯賓遜是一個有血有肉、活...more
",https://www.books.com.tw/products/0010874240?loc=P_0003_026
27,台灣最美的地圖套書(台灣地圖+台灣地圖貼紙書+台灣最美的地方：國家公園地圖 ),陳又凌,2020-10-30,"
最暢銷義大利波隆納插畫獎得主 陳又凌 最暢銷的作品合輯 以令人驚豔的圖畫，用全新視野去結合人文地景 在美麗的手繪地圖中盡情探索台灣的迷人魅力! 一起來趟紙上的台灣全島旅行，準備出發囉!   ※ 台灣地圖...more
",https://www.books.com.tw/products/0010874718?loc=P_0003_027
28,李崇建X甘耀明故事想想：透明人+藍眼叔叔(共2冊),"李崇建,甘耀明",2020-10-29,"
薩提爾教主李崇建x金鼎奬作家甘耀明 攜手開創兒童小說新視野 首波主打「生命教育」與「環境保育」二部曲 透過輕快幽默卻富有人文關懷與生命哲思的故事情節， 帶領孩子從閱讀中培養思辨力與想像力!    小瓦...more
",https://www.books.com.tw/products/0010874029?loc=P_0003_028
29,腕龍溜滑梯,胡妙芬,2020-10-29,"
小恐龍迷注意，這裡有一隻腕龍等待領養! 從兒童的好奇心出發，最好玩、好讀的恐龍知識讀本! 豐富的恐龍知識X貼近兒童想像的故事X說明性與可愛兼具的插畫   腕龍、腕龍脖子長，   巴巴好想把牠帶回家養，  ...more
",https://www.books.com.tw/products/0010873591?loc=P_0003_029
30,暴龍時光機,胡妙芬,2020-10-29,"
藉由一隻暴龍穿越到現代的故事，讓小讀者跟著主角李小龍，一起觀察、了解暴龍，並思考如何利用這些知識解決恐龍危機。是一本從兒童的好奇心出發，好讀又好玩的恐龍知識讀本!    小恐龍迷注意，有隻迷路暴...more
",https://www.books.com.tw/products/0010873621?loc=P_0003_030
31,57號小豹,郭瀞婷,2020-10-29,"
榮登博客來週榜、金石堂暢榜「丁小飛校園日記」系列作者 某些時候你會希望和別人一樣就好 但是，你剛好和別人「不」一樣 「永遠懂得欣賞自己」 是《水果冰淇淋》編劇亦是作者送給女兒的祝福 獻給同樣為孩...more
",https://www.books.com.tw/products/0010873969?loc=P_0003_031
32,李崇建X甘耀明故事想想：透明人+藍眼叔叔(共2冊)(獨家親簽版),"李崇建,甘耀明",2020-10-29,"
薩提爾教主李崇建x金鼎奬作家甘耀明 攜手開創兒童小說新視野 首波主打「生命教育」與「環境保育」二部曲 透過輕快幽默卻富有人文關懷與生命哲思的故事情節， 帶領孩子從閱讀中培養思辨力與想像力!    小瓦...more
",https://www.books.com.tw/products/0010874031?loc=P_0003_032
33,大毛二毛三毛四毛羊兒,妙蒜小農,2020-10-26,"
友情・責任・關愛   #負責・是愛牠的第一步   #狗狗視角・將心比心   #讓人動容的友誼、讓人熱血的勇氣   #領養・不棄養   有想過，路上流浪動物的心情嗎?面對疾駛而過的車子、未知的下一餐⋯⋯人類到底是不...more
",https://www.books.com.tw/products/0010874171?loc=P_0003_033
34,寶藏大追擊,詹仕靜,2020-10-23,"
改編自臺灣五〇年代老電影，將專業的電影知識轉化為機智的謎題關卡 獻給關心臺灣人文歷史、喜愛看電影、對電影好奇的親子讀者 一同探索國家級寶藏，了解電影修復工作的內容和價值，見證老電影重生的一刻! ...more
",https://www.books.com.tw/products/0010873795?loc=P_0003_034
35,X尋寶探險隊 17 航行巨殼島：無人島.華南海盜.海洋巨獸,李國權,2020-10-22,"
「X尋寶探險隊」熱血回歸! 小航、露露再次聯手， 探訪各地的古代遺跡，解開傳說中不為人知的祕密。    為什麼瑪麗叫芬里爾老師呢?   聽靈魂還在哥雷姆體內的芬里爾娓娓道來……    十年前，芬里爾在追查血族...more
",https://www.books.com.tw/products/0010873161?loc=P_0003_035
36,皮諾實驗室 絕對找不到?生物的模仿偽裝大絕招(附贈生物觀察學習手冊),卡蘿．皮諾,2020-10-21,"
皮諾博士收到了捉迷藏挑戰書! 5大生態場景╳40種捉迷藏生物高手 考驗你的觀察力，你能成為生物名偵探嗎?    ◎日本YouTuber卡蘿.皮諾專為生物開設的「皮諾實驗室」   ◎特有生物研究保育中心研究員林大利專業...more
",https://www.books.com.tw/products/0010873162?loc=P_0003_036
37,皮諾實驗室 蟲蟲超棒的!超優長相、特質大發現(附贈蟲蟲觀察學習手冊),卡蘿．皮諾,2020-10-21,"
皮諾博士最喜歡蟲蟲了! 什麼?你怕蟲? 放心~這是一本沒有實體照片的蟲蟲說明書， 為你揭開27種超棒蟲蟲的祕密!    ◎日本YouTuber卡蘿.皮諾專為生物開設的「皮諾實驗室」   ◎昆蟲專家「熱血阿傑」黃仕傑專業...more
",https://www.books.com.tw/products/0010873164?loc=P_0003_037
