,書名,作者,出版日期,內容介紹,網址
1,書是孩子最好的寵物,約翰‧阿加德,2020-11-05,"
如何引導孩子愛上書?看看本書作者施魔法!   巧妙把書本與家中寵物的相似之處融合在一起，讓孩子愛上書如同愛寵物。    九命貓咪、長耳朵小狗、五顏六色的金魚……誰才是最棒的寵物?   有一種寵物，不用綁牽...more
",https://www.books.com.tw/products/0010870914?loc=P_0003_001
2,森林小熊的音樂旅程三部曲(3冊)：森林裡的鋼琴師、城市裡的提琴手、森林小熊的音樂會,大衛．里奇斐德,2020-11-01,"
森林小熊的音樂旅程三部曲 一段段溫暖、觸動人心的音樂，交織出友情、親情與夢想的生命樂章 生命裡，什麼是最重要的事情?!   從森林小熊三部曲好像看見了每個人的一生，你不知道你什麼時候會被什麼東西吸...more
",https://www.books.com.tw/products/0010874608?loc=P_0003_002
3,斷手的芭比,凌拂,2020-10-30,"
‧以引導模式讓兒童了解寫故事的樂趣，將寫作主導權交還兒童，進而啟發自我思考，讓人對寫作不再恐懼。   ‧搭配新銳繪者Chia奇亞子手繪多張彩圖。   多年來，作文教學、指引大全常圍繞在規則與技巧，規則一...more
",https://www.books.com.tw/products/0010874052?loc=P_0003_003
4,我們的家失火了：號召拯救地球的葛莉塔.通貝里,貞娜‧溫特,2020-10-01,"
葛莉塔.通貝里   2019年諾貝爾和平獎候選人   《時代雜誌》譽為2018年全球25位最具影響力的青少年之一   入選2019年《時代》雜誌百大人物，為最年輕入選者   獲選2019年《時代》雜誌風雲人物   被稱為「瑞...more
",https://www.books.com.tw/products/0010871948?loc=P_0003_004
5,喳喀碰!(三版),海茲．雅尼許,2020-09-01,"
探索心理 肯定自己 找到自我療癒的韌性及勇氣   鳥兒席格蒙從鳥巢摔到地上後，就只能發出「喳喀碰!」的聲音。   雖然他學會了飛，而且飛得很好，他卻很不快樂，   直到他遇見了一隻名叫卡爾.古司塔夫的兔...more
",https://www.books.com.tw/products/0010867986?loc=P_0003_005
6,大人和小孩的一千零一夜：給父母的床邊故事，讓大人了解孩子，以及自己心中的孩子,林蔚昀,2020-07-29,"
請注意! 這不是尋常的童書導讀工具書，而是憤世媽媽學習如何當一個母親的真實生命故事。   透過與無數的繪本或兒童小說的相互撞擊，她寫下了自己的嘗試、犯錯、反省、修正以及領悟。   在這本書中，著名的...more
",https://www.books.com.tw/products/0010864503?loc=P_0003_006
7,來喝水吧!(新版),葛瑞米．貝斯,2020-07-03,"
▍一本兼具深度樂趣、科學人文的上等綠繪本!洋溢生態環保精神，奇妙活潑的大膽圖像，尋找隱藏在畫中的動物圖案，好看又好玩，能培養孩子的美感和觀察力!   ▍書裡包含了一整個世界，從非洲草原、亞馬孫叢林...more
",https://www.books.com.tw/products/0010862669?loc=P_0003_007
8,恐龍家庭教養繪本(全五冊),蘿瑞．克拉斯尼．布朗,2020-06-24,"
現代兒童「核心素養」五大課題   生命教育、環境教育、情緒管理、健康管理、人際關係    全方位身心靈養成經典   特別加贈專業教師精心設計：   《「108課綱閱讀思考與核心素養」學習手冊》    【各冊介紹...more
",https://www.books.com.tw/products/0010861348?loc=P_0003_008
9,這是一本書(中英雙語)(新版),藍．史密斯,2020-06-09,"
▍美國凱迪克銀牌獎與英國格林威大獎得主藍.史密斯，以獨特的幽默感和敏銳的觀察力，展現出「書」的魅力，讓網路世代的孩子愛上讀書。     ▍面對一直以來紙本書與電子書的爭論不休，藍.史密斯挑戰以繪本這...more
",https://www.books.com.tw/products/0010860334?loc=P_0003_009
10,大自然說,洪瓊君,2020-06-01,"
送給這世紀讀者的自然療癒禮物書!   女孩說：我好悲傷。   大樹爺爺說：「到我這裡來，   抱著我的溫暖，你會感到平靜。」   小女孩說：我好悲傷……   大海媽媽說：「到我這裡來，海洋的廣闊能包容你的悲傷...more
",https://www.books.com.tw/products/0010859000?loc=P_0003_010
11,愛書人黃茉莉,莎拉．史都華,2020-05-27,"
黃茉莉天生愛讀書。小時候，大家喜歡洋娃娃、溜冰鞋，她只喜歡讀書；長大後，大家約會、跳舞，她依然只喜歡讀書。黃茉莉愛看書、愛買書、愛和書中人物打交道、愛在書裡的世界流連忘返。但是，有一天，當喜...more
",https://www.books.com.tw/products/0010858324?loc=P_0003_011
