,書名,作者,出版日期,內容介紹,網址
1,我怕我做不好……,露西．弗雷加,2020-11-05,"
孩子做事玻璃心，遇到挫折就放棄? 讓孩子學會堅持，培養孩子高挫折容忍力，可愛又熱血的療癒繪本!   小兔子貝蒂想成為一名芭蕾舞者。   她無時無刻都想跳舞，一聽到音樂就會不由自主地跳起舞來!   可是在...more
",https://www.books.com.tw/products/0010870919?loc=P_0003_001
2,我只是有一點點不同,艾爾菲．尼森,2020-11-05,"
當你有點與眾不同， 你會希望別人怎麼對待你呢?   我是蘿莉，我希望能和其他小孩一樣正常，   但是不行，因為我的聽力不好。   朋友們總是要一再重複他們說過的話，會覺得很煩!   我還會讀脣語，但不是所...more
",https://www.books.com.tw/products/0010874622?loc=P_0003_002
3,小企鵝波波我想學飛,Lynol,2020-10-30,"
台灣原創人氣角色小企鵝波波，最會潛水和抓魚，還有一個夢想，就是學會怎麼飛行!    新生代網路人氣圖文作家Lynol的原創角色：小企鵝波波，以最貼近孩子的心理特質，讓孩子跟著可愛小企鵝一起快樂成長，學...more
",https://www.books.com.tw/products/0010873770?loc=P_0003_003
4,我是驚嘆號,艾美．克蘿思．羅森朵,2020-10-29,"
史上表情最豐富、最有個性又可愛的「驚嘆號」! 獲獎無數的《紐約時報》暢銷搭檔創作出一本令人難忘的作品   你看過把身體橫躺，或是用力縮得幾乎像彈簧一樣，或是手足扭得都快打結的驚歎號嗎?!   注意!注...more
",https://www.books.com.tw/products/0010873827?loc=P_0003_004
5,橘色奇蹟：新家園繪本,丹尼．平克華特,2020-10-29,"
◎想像力與愛心的兒童土地自覺及自信 ◎「繪本365」經典繪本選書 畫面色彩對比豐富，故事簡單有趣卻饒富深意!   梅豆豆先生住在一條房屋長相都一模一樣的街上，大家都喜歡這條「整齊」的街道。   有一天，一...more
",https://www.books.com.tw/products/0010873829?loc=P_0003_005
6,57號小豹,郭瀞婷,2020-10-29,"
榮登博客來週榜、金石堂暢榜「丁小飛校園日記」系列作者 某些時候你會希望和別人一樣就好 但是，你剛好和別人「不」一樣 「永遠懂得欣賞自己」 是《水果冰淇淋》編劇亦是作者送給女兒的祝福 獻給同樣為孩...more
",https://www.books.com.tw/products/0010873969?loc=P_0003_006
7,害羞一族,西蒙娜‧希洛羅,2020-10-23,"
即使偷偷躲起來，我們也能看見彼此。   即使是害羞一族，我們也能閃閃發光。   因為同理、因為包容，讓我們更能珍惜彼此的存在。   獻給害羞一族的迷人物語，微笑自在做真實的自己。    你在群體中曾經想...more
",https://www.books.com.tw/products/0010873461?loc=P_0003_007
8,小狗阿疤想變羊,龐雅文,2020-10-02,"
善良的阿疤，能不能解救好朋友呢?小羊們會發現阿疤的真實身分嗎?    如果有機會進入「超級變身機」，你會想變成誰呢?   故事從「羨慕他人」的常見情緒出發；   描繪主角阿疤如何經過「模仿與偽裝」混入羊...more
",https://www.books.com.tw/products/0010871618?loc=P_0003_008
9,是誰把嗯嗯變得這麼奇怪?,維爾納．霍爾茨法特,2020-10-01,"
兼具勇敢與創意的糞金龜──阿甲 圓球?愛心?方塊?今天你要哪一種?    推……推……推……   糞金龜阿甲總是一直推呀推，   和每一隻糞金龜一樣，   賣力的做出一顆顆圓球。    有一天，   阿甲不想做圓球了，   想...more
",https://www.books.com.tw/products/0010871941?loc=P_0003_009
10,我說話像河流,喬丹．史考特,2020-10-01,"
每天早晨醒來時，許多字的聲音都圍繞在我四周，我卻沒有辦法把它們說出來⋯⋯   當你想開口說話，字句卻卡在喉嚨深處，怎麼辦?    詩人喬丹.史考特根據自身的經驗，以動人的書寫方式，描繪了一個口吃男孩的...more
",https://www.books.com.tw/products/0010871653?loc=P_0003_010
11,粉紅樹(精裝),陳進隆,2020-09-30,"
有一天，嫚嫚畫了一顆粉紅色的樹。   阿嬤說：「樹怎麼會是粉紅色，應該是綠色的啊!」   「阿嬤您看!蘋果有紅的，也有綠的，為什麼樹不可以是粉紅色的?」嫚嫚驚喜的說。   阿嬤回答：「那不一樣，雖然蘋果...more
",https://www.books.com.tw/products/0010870162?loc=P_0003_011
12,傑克甩不掉的煩惱,山姆‧祖帕帝,2020-09-30,"
★入選2017年銀行街教育學院年度最佳兒童讀物!   ★幼兒情緒與心理繪本，幫助孩子面對煩惱，克服困難!   ★給孩子勇敢嘗試、不怕失誤的勇氣，重要的不是表現完美，而是享受過程。    傑克很喜歡演奏小喇叭， ...more
",https://www.books.com.tw/products/0010871103?loc=P_0003_012
13,誰吃了我的豌豆烤餅?,尤依筑,2020-09-30,"
✹第一本以中和華新街為主題的繪本✹ 在尋找豌豆烤餅的路上，我找到了我自己。    獻給 緬甸街   還有 所有曾經困惑自己來自何方的你    我乘著太空梭轉學到緬甸街的小學讀書，一切都很不一樣......   我和...more
",https://www.books.com.tw/products/0010874471?loc=P_0003_013
14,沒關係(二版),蔡秀敏,2020-09-18,"
我喜歡畫圖， 可是，我會畫圖嗎? 沒關係，你就畫吧!   這是一本拉頁書!   畫畫是孩子學習拿筆塗鴉最有樂趣的一件事   在幼兒階段，孩子喜歡塗塗畫畫，大人為了不抹滅孩子的想像和興趣，如何從旁給予自信，...more
",https://www.books.com.tw/products/0010870328?loc=P_0003_014
15,到了更高的地方會更開心嗎?,李朱蕙,2020-09-05,"
在充滿競爭、比較的社會環境中 思考屬於自己熱情與幸福的方向   草地上的貓咪好奇地跳上岩石，站在高一點的位置上，感覺真不錯。接著，牠跳到更高的樹幹上，感覺又更好了。   但牠抬頭一看，隔壁居然有一...more
",https://www.books.com.tw/products/0010864529?loc=P_0003_015
16,閃電魚尼克,方素珍,2020-09-05,"
在深深的海底， 有一條小魚， 大家都叫他「閃電魚尼克」。 尼克不想當小魚， 他想變成西瓜魚、洋蔥魚、母雞魚…… 可是這些好像都不是他最喜歡的樣子。 你猜，尼克最後變成了什麼魚呢?    閃電魚尼克不想當...more
",https://www.books.com.tw/products/0010869550?loc=P_0003_016
17,丹妮拉也想當海盜：女生就不能當海盜嗎?,蘇珊娜‧伊瑟恩,2020-09-03,"
為什麼海盜船上全都是男生? 丹妮拉也嚮往成為海盜!她能成功嗎? 傳遞「性別平等觀念」的最佳故事繪本    「我叫丹妮拉，我想要當海盜。」   一心想當海盜的丹妮拉，大聲說出自己的願望，   海盜們聽見後，...more
",https://www.books.com.tw/products/0010868824?loc=P_0003_017
18,遇到選擇時，你會怎麼做?(五味太郎和孩子對話的繪本),五味太郎,2020-09-02,"
★最受幼兒喜愛的日本繪本大師五味太郎最新作品!   ★13個狀況和13個提問，幫助孩子培養判斷力和解決問題的能力!    選錯了沒關係，再來一次也可以!   五味太郎陪你一起練習面對問題、解決困難!    你要去爬...more
",https://www.books.com.tw/products/0010868063?loc=P_0003_018
19,我看到的字怎麼都在跳舞?+ 我和別人不一樣，也很棒!暢銷繪本精選,"G.V.傑納頓,漢克‧林斯肯斯",2020-09-01,"
根據統計，高達10%的孩子有「閱讀障礙」， 附贈「認識閱讀障礙」親師手冊， 讓大家更了解、理解這些孩子的不得己。 引導孩子接受自我，接受他人， 擁有接受不一樣的勇氣。  本書特色    1.「認識閱讀障礙...more
",https://www.books.com.tw/products/0010868061?loc=P_0003_019
