,書名,作者,出版日期,內容介紹,網址
1,加油吧!笨海豚(二版),林滿秋,2020-11-01,"
一個關於「認真」的童話    小學生阿志最常說的話是「幹麼要那麼認真?」阿志的媽媽上班時，常趁機偷懶。阿志的爸爸是喜歡下棋、聊天、混時間的計程車司機。認真念書，考試不一定考得好，認真工作，老闆不...more
",https://www.books.com.tw/products/0010874224?loc=P_0003_001
2,再見了!紅毛猩猩(二版),林滿秋,2020-10-01,"
不守信用不一定會被狼吃掉，但很可能變成「大黃牛」! 聰明又可愛的保育類寵物，該讓牠留在身邊?還是忍痛和牠說再見?    阿志全家人和聰明絕頂的紅毛猩猩   共同演出一則關於「守信」與「愛」的動人故事   ...more
",https://www.books.com.tw/products/0010871378?loc=P_0003_002
3,大小公主初登場：全世界最可愛的討厭鬼,林佑儒,2020-09-01,"
★大小公主的熱鬧日常=手足相處的歡樂訣竅! ★香氣四溢的手作美食單元，附贈精美插圖食譜，和孩子一起創造美味回憶!   大家好，我是珍珠，有一個很任性不過又很可愛的妹妹如意。   「我要當姐姐的姐姐!」、...more
",https://www.books.com.tw/products/0010867982?loc=P_0003_003
4,金色的小鳥(二版),阿萬紀美子,2020-09-01,"
小北風給予的溫暖幫助， 也為自己帶來了快樂與希望!    小北風的媽媽告訴他，北風雖然不像南風那樣受人歡迎，卻還是很了不起。小北風不明白這是什麼意思，只知道大家看到他就會發抖、躲起來。    就在他旅...more
",https://www.books.com.tw/products/0010868087?loc=P_0003_004
5,當我們同在一起,高森美由紀,2020-09-01,"
誠心的同理與陪伴， 讓兩顆受傷的心漸漸靠近與癒合 被同學排擠而封閉內心的彆扭少年阿昇， 遇到一口東北腔調的震災孤兒有田。 阿昇一邊抗拒，一邊漸漸的敞開了心房， 兩人互相扶持，走過滿是傷痕的童年。 ...more
",https://www.books.com.tw/products/0010868119?loc=P_0003_005
6,小兒子繪本15集(套書)：宇宙飛行沙發書架珍藏組,駱以軍,2020-08-28,"
我們的故事，我們的家，我們的頑童歷險記   駱以軍原著 金鐘獎優質作品   夢田文創《小兒子》原創動畫改編   陪伴孩子成長的親子共讀繪本   完整收藏全套1-15集   珍藏組附贈親子手作好好玩宇宙飛行沙發書...more
",https://www.books.com.tw/products/0010867523?loc=P_0003_006
7,【小兒子1+2套書】(共二冊),"王文華,駱以軍",2020-08-27,"
小兒子阿甯咕眼中的駱爸有好多種樣貌，一下是發明大王、一下是夜晚暴食龍，到底爸爸有多少不同的面貌?八段故事、八篇小兒子週記，一起來看一看這一家四口加一隻狗的家，有哪些好笑、好玩、好感人的事情正...more
",https://www.books.com.tw/products/0010868002?loc=P_0003_007
8,小兒子2：土匪窩裡的老大,"王文華,駱以軍",2020-08-27,"
小兒子阿甯咕是一個好奇充滿創意的小二生，第二集不只有他眼中爸爸的搞笑事，他還帶著相機記錄了駱家一家四口和一隻狗，讓人哈哈大笑又感動在心的點點滴滴。    改編自第54屆金鐘獎短篇動畫《小兒子》    ...more
",https://www.books.com.tw/products/0010868004?loc=P_0003_008
9,好好讀小學堂：吉比與平平,趙映雪,2020-08-15,"
吉比與平平，是鄰居， 也是一對超級好麻吉!    吉比，愛問為什麼，喜歡小動物，她幻想自己變成   毛毛蟲、蝴蝶、小鳥、臭鼬……讓全家人跟著雞飛狗跳。   有一天，來了新鄰居平平，告訴她地球是圓，帶她研究...more
",https://www.books.com.tw/products/0010867576?loc=P_0003_009
10,好好讀小學堂：骨頭博士找骨頭,管家琪,2020-08-15,"
糟糕!骨頭博士的肋骨不見了， 究竟掉去哪了呢?   科學館裡的骨頭博士，發現自己少了一根肋骨啦!   他四處打聽骨頭的下落，可是，模樣卻嚇壞了一堆人……   有人叫他去找「亞當的肋骨」、「冬瓜排骨湯」的豬...more
",https://www.books.com.tw/products/0010867574?loc=P_0003_010
11,小企鵝波波品格養成(01)我想當模範生,"Lynol,陳櫻慧",2020-08-12,"
新生代網路人氣圖文作家Lynol X 資深童書作家暨親子共讀推廣人──陳櫻慧老師 X 知名童書插畫家黃郁菱    ☆☆聯手打造專屬孩子的橋梁書☆☆   ☆☆台灣原創人氣角色小企鵝波波，陪孩子按部就班建構人生必備好品格...more
",https://www.books.com.tw/products/0010866366?loc=P_0003_011
12,晨讀10分鐘：成語故事集2.生活篇(2書+3CD)套書,李宗蓓,2020-07-30,"
完整配備劇場版CD的成語故事 《晨讀10分鐘：成語故事集》暢銷好評再出擊! 從生活中常見的事物出發，精選52大主題及365個延伸成語， 一週一主題，一天一成語，輕鬆奠定閱讀與寫作基礎   四字成語是古人的智...more
",https://www.books.com.tw/products/0010865176?loc=P_0003_012
13,王文華給孩子的藝術童話輯2,王文華,2020-07-27,"
孩子的第一套跨領域橋梁書   八大藝術x 精彩故事x 品格養成   跨領域橋梁書‧孩子閱讀力一飛衝天!   《誰是大作家?》   收錄了〈落水神童〉與〈一個小小的想法〉兩篇故事。   〈落水神童〉講述唐朝詩人張繼...more
",https://www.books.com.tw/products/0010864914?loc=P_0003_013
