,書名,作者,出版日期,內容介紹,網址
1,皮諾實驗室 蟲蟲超棒的!超優長相、特質大發現(附贈蟲蟲觀察學習手冊),卡蘿．皮諾,2020-10-21,"
皮諾博士最喜歡蟲蟲了! 什麼?你怕蟲? 放心~這是一本沒有實體照片的蟲蟲說明書， 為你揭開27種超棒蟲蟲的祕密!    ◎日本YouTuber卡蘿.皮諾專為生物開設的「皮諾實驗室」   ◎昆蟲專家「熱血阿傑」黃仕傑專業...more
",https://www.books.com.tw/products/0010873164?loc=P_0003_001
2,兒童百科(47)：昆蟲小百科(典藏新版),陳愷禕,2020-08-14,"
本書特色    1、 挑選孩子感興趣的60種昆蟲，以重裝鐵甲武士、輕鎧甲騎士團、鐮刀手與歌唱家等方式區分，幫助孩子了解昆蟲特色與基本差異。   2、 所有昆蟲輔以全頁彩色照片介紹，能真實了解昆蟲樣貌與特...more
",https://www.books.com.tw/products/0010868487?loc=P_0003_002
3,法布爾昆蟲記(8冊),"奧本大三郎,法布爾",2020-08-12,"
【親子共讀最佳STEAM自然文學】 進入奇妙的昆蟲世界，閱讀大自然的美好創作 昆蟲的小小軀體裡，隱藏著多少奧祕啊! 和法布爾一起發現昆蟲的祕密，體驗大自然的奧妙與樂趣。    《昆蟲記》是法國昆蟲學家法...more
",https://www.books.com.tw/products/0010866069?loc=P_0003_003
4,最強爭霸：昆蟲 誰是王者,小野展嗣,2020-07-24,"
昆蟲，據稱占了今日地球上存活的生物種類約有一半之多。牠們為了適應環境，或是讓物種得以存續，在小小的身軀裡往往具備了驚人的力量、速度以及特殊的能力。    「如果昆蟲們使用這些能力進行1對1的戰鬥會...more
",https://www.books.com.tw/products/0010865459?loc=P_0003_004
5,甲蟲日記簿2：熱血阿傑的觀察與繁殖飼養筆記,黃仕傑,2020-07-16,"
熱門甲蟲觀察飼育|冷門甲蟲探索分享 ◎審訂 鄭明倫博士 國立自然科學博物館研究員 ◎推薦 楊平世博士 國立臺灣大學生物資源暨農學院榮譽教授 邵廣昭博士 國立臺灣海洋大學講座教授 林仲平博士 國立臺灣師範...more
",https://www.books.com.tw/products/0010863273?loc=P_0003_005
6,兒童百科：霸王甲蟲小百科(典藏新版),黃仕傑,2020-07-01,"
1、挑選孩子感到好奇的60多種大型甲蟲，以鍬形蟲和兜蟲區分，讓孩子分別認識牠們的獨特之處。   2、簡單完整的文字敘述，搭配整頁精緻彩色大圖，真實呈現鍬形蟲和兜蟲的樣貌與特點，滿足視覺上的震撼。   ...more
",https://www.books.com.tw/products/0010866997?loc=P_0003_006
7,法布爾的微觀世界：昆蟲觀察X科學實驗X自然書寫,讓－亨利‧卡西米爾‧法布爾,2020-05-27,"
─ 這本書是觀察紀錄、是自然圖鑑，也是生物漫畫 ─ ─ 更是如詩般優美的《昆蟲記》經典重現 ─ ─ 博物學大師法布爾8堂最經典的生物觀察課 ─    身兼博物學家、昆蟲專家和科普作家的法布爾……   ★ 法國大文豪雨...more
",https://www.books.com.tw/products/0010858906?loc=P_0003_007
8,法布爾老師的昆蟲教室：昆蟲的生存絕招,奧本大三郎,2020-05-20,"
法布爾老師說：「昆蟲的體型小，才能在自然界生存下來。」   除了藐小的優勢，不同的昆蟲，各有自己生存的絕招──   瓢蟲因為太臭、太苦，鳥兒抓到牠，寧可放棄不吃；   蚜蟲面對各路天敵，卻一點也不擔心...more
",https://www.books.com.tw/products/0010858356?loc=P_0003_008
9,法布爾老師的昆蟲教室(全套3冊),奧本大三郎,2020-05-20,"
「在科學的世界裡，正確的觀察比什麼都重要。」   孩子的第一堂昆蟲課，從0 開始培養正確的學習態度!   不一樣的法布爾!全系列五大特色：   ★ 日本法布爾學會會長奧本大三郎專為兒童讀者濃縮改寫   ★ 突顯...more
",https://www.books.com.tw/products/0010858836?loc=P_0003_009
10,甲蟲生態大圖鑑：超震撼甲蟲軍團,黃仕傑,2020-04-17,"
本書特色   1. 書中介紹34種鍬形蟲和12種兜蟲，以超大清晰圖片，清楚呈現牠們的特徵。   2. 每隻鍬形蟲和兜蟲均標示學名、分類、體長、分布區域、棲息環境、幼蟲週期、成蟲週期，方便查閱，快速建立概念。...more
",https://www.books.com.tw/products/0010855364?loc=P_0003_010
11,世界昆蟲圖鑑小百科《六足動物》,Young,2019-09-25,"
昆蟲所指的是動物界、節肢動物門、昆蟲綱的所有生物。昆蟲在古生代的石炭紀就已出現在地球上，隨著地質年代的演進，地球上的昆蟲種類越來越多，目前已知地球上昆蟲種類超過一百萬種，估計數量超過數千億隻...more
",https://www.books.com.tw/products/0010833929?loc=P_0003_011
12,世界甲蟲圖鑑小百科《鞘翅目》,Young,2019-08-28,"
甲蟲是昆蟲家族中最大的一目，前翅變為硬殼，不僅可以覆蓋身體，還能保護用來飛行的後翅；但某些種類已喪失飛行能力，比如步行蟲和象鼻蟲。   甲蟲成長的過程是經由：卵─幼蟲─蛹─成蟲四個階段，在各階段中...more
",https://www.books.com.tw/products/0010831851?loc=P_0003_012
13,昆蟲老師╳法布爾的快樂昆蟲記2：帶刺的泥蜂與蠍子,吳沁婕,2019-07-12,"
★★全新閱讀感受的圖文小說★★   超人氣昆蟲老師吳沁婕X最知名的昆蟲學家法布爾   最歡樂的跨世代合作!   昆蟲教我們的事情真的好多   不能只有少數人知道啊!    沒有人像法布爾一樣，   花了一輩子，用無比...more
",https://www.books.com.tw/products/0010826899?loc=P_0003_013
14,小小自然探險家：昆蟲捕捉觀察罐(內附1個捕捉觀察罐+1本昆蟲觀察遊戲書),,2019-07-01,"
帶著好奇心，走進大自然! 觀察，是培養科學素養的第一步。   不只是觀察罐，還是捕捉罐，   貼心設計，讓孩子觀察昆蟲不沾手，   一壓一放就能輕鬆捕捉昆蟲做觀察唷!   本書分成四個單元讓孩子認識常見昆...more
",https://www.books.com.tw/products/0010826072?loc=P_0003_014
15,蜜蜂,沃依切．葛萊果斯基,2019-06-27,"
如果沒有蜜蜂為植物授粉，地球的食物會越來越少。   這群體長不到2公分的小生物，實際牽動地球的未來。   本書以圖解、幽默的大型插畫，呈現百科般詳實、豐富的內容。   完全圖解蜜蜂的生態和組織；人類從...more
",https://www.books.com.tw/products/0010825820?loc=P_0003_015
16,小昆蟲大舞臺：獨特觀察角度的昆蟲圖鑑,森上信夫,2019-06-12,"
84種昆蟲登臺演出!   有的會擺姿勢，有的會變身，有的會跳舞，還是要牠們脫殼演出、   翻筋斗、饒舌、模仿、搞笑、耍狠⋯⋯樣樣才藝，應有盡有!   這是一本前所未有，帶你從獨特角度觀察的昆蟲圖鑑!   在你...more
",https://www.books.com.tw/products/0010823865?loc=P_0003_016
17,兒童百科：昆蟲小百科(典藏版),陳愷禕,2019-06-06,"
本書特色   1.挑選孩子感興趣的60種昆蟲，以重裝鐵甲武士、輕鎧甲騎士團、鐮刀手與歌唱家等方式區分，幫助孩子了解昆蟲特色與基本差異。   2.所有昆蟲輔以全頁彩色照片介紹，能真實了解昆蟲樣貌與特徵，更...more
",https://www.books.com.tw/products/0010824204?loc=P_0003_017
18,國家地理科學盒子：成為昆蟲觀察家,國家地理科學盒子研發團隊,2019-05-30,"
Vol.3成為昆蟲觀察家Becoming An Insect Spotter STEAM   ◎在高倍率的顯微鏡視界，遇見小昆蟲的微觀世界!   是不是曾經趴在地上觀察螞蟻怎麼溝通?怎麼搬運食物?是不是很好奇蜜蜂如何獲取蜂蜜，蚊子又是如...more
",https://www.books.com.tw/products/0010824034?loc=P_0003_018
19,無尾鳳蝶的生日,凌拂,2019-05-29,"
◎好評推薦 曾志朗(中研院院士)鄭明進(兒童美術.繪本教育專家)趙自強 (如果兒童劇團團長) 蔡淑女英(故事媽媽資深講師.親職教育推廣者)   真真有個愛種花的媽媽。因為這樣，她們家陽台上種滿了植物，有趣的...more
",https://www.books.com.tw/products/0010822565?loc=P_0003_019
20,樹液太郎的軟萌昆蟲圖鑑：twitter追蹤數破17萬人的超人氣插畫家!,樹液太郎,2019-05-06,"
筆下療癒、幽默的昆蟲日常漫畫深受廣大粉絲喜愛 twitter追蹤數破17萬人的超人氣插畫家! 一窺74種熟悉的蟲蟲最悠哉愜意的一面   你是否近距離觀察過身邊的小生物?   不好奇這群跟人類比鄰而居的小小住民， ...more
",https://www.books.com.tw/products/0010820978?loc=P_0003_020
21,昆蟲老師x法布爾的快樂昆蟲記1：糞金龜的大便球,吳沁婕,2019-02-15,"
★★全新閱讀感受的圖文小說★★ 超人氣昆蟲老師吳沁婕X最知名的昆蟲學家法布爾 最歡樂的跨世代合作!   昆蟲教我們的事情真的好多   不能只有少數人知道啊!    沒有人像法布爾一樣，   花了一輩子，用無比的熱...more
",https://www.books.com.tw/products/0010813154?loc=P_0003_021
22,昆蟲教室,"海野和男,藤見泰高",2019-02-01,"
★台灣昆蟲館 柯心平館長★專業推薦! 昆蟲採集、飼養與標本製作 體會獨角仙、鍬型蟲、蜻蜓、蝴蝶、螳螂的魅力!   好想養獨角仙喔…   只會在寵物店買獨角仙，不如自己抓一隻!   昆蟲界最受歡迎的昆蟲攝影師，...more
",https://www.books.com.tw/products/0010812650?loc=P_0003_022
