,書名,作者,出版日期,內容介紹,網址
1,給7-11歲孩子的哲學大哉問2,安蘇菲．席拉爾,2020-10-28,"
2020年度文化部 中小學生優良課外讀物推介 《給7-11歲孩子的哲學大哉問》 第二集來啦!  不用出國，就能跟法國小朋友一起學哲學! 法國兒童哲學專家奧斯卡‧柏尼菲✕榮查理‧佩提耶顧問指導 《哲學的力量》作者...more
",https://www.books.com.tw/products/0010873185?loc=P_0003_001
2,啟動聰明學習腦：東大教授專為小學生編寫活用大腦學習法,池谷裕二,2020-10-28,"
★日本一上市就引發話題的大腦學習法暢銷書!   ★東大人氣教授池谷裕二專為小學生量身打造的「超強學習腦養成術」!   ★每個人都可以讀懂如何充分利用大腦運作的「活用大腦學習方法」!    「我真的有努力念書...more
",https://www.books.com.tw/products/0010873659?loc=P_0003_002
3,10歲開始學企管,"拉蘿．布萊恩,羅絲．霍爾",2020-10-19,"
孩子一打開看，就停不下來的《10歲開始學企管》，一頁一個案例主題，透過圖畫和情境引導，讓孩子理解創業及經營的企業管理概念。    從孩子的生活中取材、設計案例，了解商業社會的各種策略和運作。企業成...more
",https://www.books.com.tw/products/0010872431?loc=P_0003_003
4,10歲開始學理財,"拉蘿．布萊恩,艾迪．雷諾斯,馬修．歐德漢",2020-10-19,"
巴菲特說，家長可以在孩子唸幼兒園時，就和他們討論金錢的管理問題。   他認為要早早為孩子養成正確管理金錢的習慣，了解財務責任的重要性。    《10歲開始學理財》以一頁一個案例主題，透過圖畫和情境引...more
",https://www.books.com.tw/products/0010872434?loc=P_0003_004
5,金融素養小學堂：10歲開始學理財+企管,"拉蘿．布萊恩,羅絲．霍爾,艾迪．雷諾斯,馬修．歐德漢",2020-10-19,"
【孩子的第一套金融素養圖解小百科】   ★內容扣合新課綱素養教育，從現在開始培孩子的未來適應力   ★生活和理論結合搭配真實故事說明，清楚易懂適合各年齡閱讀    自從金融海嘯發生以來，歐美各國開始將「...more
",https://www.books.com.tw/products/0010872467?loc=P_0003_005
6,行星MAPS~太陽系漫遊繪本~：你有沒有想像過，有一天我們能夠遨遊宇宙、定居其他星球呢?,宇宙大哥哥,2020-10-05,"
你有沒有想像過，有一天我們能夠遨遊宇宙、定居其他星球呢? 當各位變成大人之後，說不定就能前往了!? 這是為了你未來的「太陽系旅行」而寫下的導覽書  「超乎你想像的旅遊書」╳「宇宙太空科普教學」    拋...more
",https://www.books.com.tw/products/0010870944?loc=P_0003_006
7,超能力者大百科：54則超酷奇聞，看看各地的異能力者如何各顯神通!,小崎雄,2020-10-01,"
超能力者真的存在嗎? 先知、靈媒、魔法師、長生不老者、瞬間移動的人…… 世上各種異能力者的驚奇故事首次大揭祕!   究竟是以訛傳訛，還是真有其事?   全書分為四大主題：預言家與先知、魔法師與煉金術師、...more
",https://www.books.com.tw/products/0010871059?loc=P_0003_007
8,好奇孩子大探索：真的假的?原來人類這麼囧,岩谷圭介,2020-09-30,"
★打開好奇孩子的科學視野   ★符合自然科學領域核心素養   ★93則邊讀邊笑，越讀越懂的人類知識   身體裡隱藏著無數匪夷所思的祕密，   越是了解，越能發現身體的稀奇古怪!   ◎ 吃冰淇淋會頭痛竟然是一種病?...more
",https://www.books.com.tw/products/0010870935?loc=P_0003_008
9,好奇孩子大探索：真的假的?原來宇宙這麼炫,岩谷圭介,2020-09-30,"
★打開好奇孩子的科學視野   ★符合自然科學領域核心素養   ★83則邊讀邊笑，越讀越懂的宇宙知識   宇宙中的每件事情，   都能讓你大吃一驚或捧腹大笑!   ◎太空人的大便竟然會變成天上的流星?   ◎宇宙中的屁...more
",https://www.books.com.tw/products/0010870938?loc=P_0003_009
10,大發明小百科,"曹毓倫,陳俊中",2020-09-26,"
微波爐的發明竟然跟巧克力有關?   阿拉伯數字不是阿拉伯人發明的?    人類近代的歷史就好比一部精彩的發明史，透過發明帶動時代的進步。本書列舉世界上51個重大的發明，介紹它們的演變歷史、創新思想與應...more
",https://www.books.com.tw/products/0010872631?loc=P_0003_010
11,人體大探險(暢銷版),笹山雄一,2020-09-22,"
跟著微探險隊旅遊全身，發現驚奇的人體圖鑑。 書中滿載連大人也不由得驚呼連連的身體小知識!    以吸引小朋友的趣味插圖呈現詳盡圖解，並穿插漫畫做進一步的情境解說，跟著書中的四段微旅程，帶領小朋友在...more
",https://www.books.com.tw/products/0010870972?loc=P_0003_011
12,利用簡單機械原理，建造世界上最驚人的超級機器：纜車、起重機、開合橋、挖土機和機器手臂的原理一玩就懂,伊恩‧葛拉漢,2020-09-10,"
你知道現存全世界最早的開合橋在哪裡嗎?   你知道空中纜車和地面纜車利用的是同一種基本原理嗎?   你知道全世界起重能力最強大的起重機，可以抬起多重的物體嗎?   你知道全世界最大、最重的陸上載具是一種...more
",https://www.books.com.tw/products/0010868613?loc=P_0003_012
13,【最完整scan版】人體運動解謎大偵探：圖解肌肉與骨骼系統，超過400張手繪插圖+醫學影像解剖圖,李明喆,2020-09-02,"
地毯式搜索，重點無遺漏 快速認識自己身體的最佳百科全書    超過400張手繪插圖+醫學影像解剖圖，   清楚透視體內結構，   一次搞懂肢體活動的來龍去脈    跟著大偵探一起探索追趕跑跳碰的人體祕密吧!   ...more
",https://www.books.com.tw/products/0010869408?loc=P_0003_013
