,書名,作者,出版日期,內容介紹,網址
1,Hello Kitty 立體拼圖植栽(可愛農場),三麗鷗,2020-11-06,"
★ 點土成金，動手「拼」出種植趣!   ★ 培育孩子的耐性，促進邏輯思考與手眼協調!   ★ 從遊戲中學習，體驗生命教育與環境教育!   ★ 親子同樂，增進親密互動，享受照顧植物的成就感!    親子種植‧可愛農場  ...more
",https://www.books.com.tw/products/0010874919?loc=P_0003_001
2,紙上遊樂園(公主珠寶盒)：立體圖卡著色遊戲,明日工作室,2020-11-06,"
★ 將想像力搬到紙上，創意玩中學!   ★ 提升手眼協調，培養孩子專注力!    著色 ╳ 裝飾 ╳ 組裝    紙上遊樂園立體圖卡著色遊戲~   彩繪圖卡一秒變立體!   先著色再組裝，自由設計，創造專屬情境，樂趣無上...more
",https://www.books.com.tw/products/0010874925?loc=P_0003_002
3,紙上遊樂園(環遊世界台灣篇)：立體圖卡著色遊戲,明日工作室,2020-11-06,"
★ 將想像力搬到紙上，創意玩中學!   ★ 提升手眼協調，培養孩子專注力!    著色 ╳ 裝飾 ╳ 組裝    紙上遊樂園立體圖卡著色遊戲~   彩繪圖卡一秒變立體!   先著色再組裝，自由設計，創造專屬情境，樂趣無上...more
",https://www.books.com.tw/products/0010874928?loc=P_0003_003
4,玩扭蛋.聽故事：伊索寓言一把抓,伊索,2020-10-30,"
【一體成形扭蛋機 ✦ 超值故事驚喜包】 ❝ 自己的玩具自己做，剪刀、膠水全不用! ❞ ◈ ◈ ◈ ◈ ◈ ◈ ◈ ◈ ◈ ◈ 〔玩具 ❖ 動畫 ❖ 閱讀 ❖ 有聲書〕 【有聲繪本】+【DIY迷你扭蛋機】+【50mm彩色大扭蛋x5】+【精彩動.....more
",https://www.books.com.tw/products/0010874179?loc=P_0003_004
5,專為孩子設計的可愛黏土大百科：2800萬家長熱推!從基礎到進階，收錄12主題157款作品，提升孩子創意力X專注力,金旼貞,2020-10-15,"
擔心孩子陷入3C，侷限腦力發展? 送孩子學手作，一堂課就千元起跳? 精選黏土課157款最超值的作品， 讓收服2800萬家長的黏土教學YouTuber「金旼貞」， 告訴你如何陪孩子提升創意力、協調力， 一天30分鐘玩出...more
",https://www.books.com.tw/products/0010872891?loc=P_0003_005
6,公主浪漫婚禮手作書,世一編企部,2020-10-13,"
本書收錄14款皇冠、項鍊、禮物盒、捧花、邀請卡等浪漫婚禮主題手作小物，不用剪刀、方便製作，讓孩子能親手操作，學習拆、折、拼、貼等美勞技巧，同時訓練手部肌肉發展與手眼協調能力，進而增進立體空間概...more
",https://www.books.com.tw/products/0010873879?loc=P_0003_006
7,摺紙讓我變聰明了：6大主題+19款摺法+202張造型色紙(內含101張造型色紙輕鬆摺(公主配件+童話場景+東西南北遊戲)& 101張造型色紙輕鬆摺(恐龍+動物+紙飛機)),,2020-10-01,"
6大主題，19款摺法，一次玩個夠! 玩樂中開啟孩子全方位智能發展!    摺紙遊戲開啟孩子手、眼、腦全方位發展，   當兒童從事手部活動，同時也增強腦部活動，   培養《手眼協調》《空間概念》《邏輯思考》《...more
",https://www.books.com.tw/products/0010871290?loc=P_0003_007
8,一撕即卸 指尖Q圖：卡漫角色總動員!6種顏色就OK!全彩圖解30組主題 ╳ 94款圖案自由配，快速上色、快速變化!(隨書附贈6色MIT無毒水性可剝式指彩、細刷毛彩繪筆1支),,2020-10-01,"
~讓可愛的卡漫角色躍上指尖，陪你共度每一天~ 一撕即卸的可剝式水性指甲彩繪書顛覆想像，滿足善變的你♪ 步驟圖解30組主題、94款圖案，超Q登場!   只要擁有這組禮物盒，就能將各種Q萌的卡漫角色搬上指尖!  ...more
",https://www.books.com.tw/products/0010871110?loc=P_0003_008
9,超級漢堡小麥黏土：FOOD超人,風車編輯群,2020-09-29,"
黏土是最適合培養孩童豐富想像力的遊戲 使用工具，打造自己的漢堡套餐組合吧!    6色黏土搭配6款工具，透過孩童自由塑形、混色，動手做出各種形狀，製作屬於自己的漢堡套餐，發揮想像力，創造獨特的料理組...more
",https://www.books.com.tw/products/0010872611?loc=P_0003_009
10,義大利麵小麥黏土：FOOD超人,風車編輯群,2020-09-29,"
黏土是最適合培養孩童豐富想像力的遊戲 使用工具，打造自己的義大利麵套餐組合吧!    6色黏土搭配9款工具，透過孩童自由塑形、混色，動手做出各種形狀，製作屬於自己的義大利麵套餐，發揮想像力，創造獨特...more
",https://www.books.com.tw/products/0010872614?loc=P_0003_010
