,書名,作者,出版日期,內容介紹,網址
1,益智尋寶圖：故事時間,Highlights,2020-11-18,"
2020年最新的益智尋寶圖又來了!!   你都玩過了嗎!!    1. 2020年全新出版。內容經由跨領域教育專家協助與指導，結合圖像式學習，建立小朋友邏輯思考與手眼協調能力。    2. Highlights秉持著「寓教於樂」(...more
",https://www.books.com.tw/products/0010873987?loc=P_0003_001
2,益智尋寶圖：星空燦爛,Highlights,2020-11-18,"
2020年最新的益智尋寶圖又來了!!   你都玩過了嗎!!    1. 2020年全新出版。內容經由跨領域教育專家協助與指導，結合圖像式學習，建立小朋友邏輯思考與手眼協調能力。    2. Highlights秉持著「寓教於樂」(...more
",https://www.books.com.tw/products/0010874024?loc=P_0003_002
3,益智尋寶圖：太空競賽,Highlights,2020-11-04,"
2020年最新的益智尋寶圖又來了!!   你都玩過了嗎!!    1. 2020年全新出版。內容經由跨領域教育專家協助與指導，結合圖像式學習，建立小朋友邏輯思考與手眼協調能力。    2. Highlights秉持著「寓教於樂」(...more
",https://www.books.com.tw/products/0010873971?loc=P_0003_003
4,益智尋寶圖：上學去,Highlights,2020-11-04,"
2020年最新的益智尋寶圖又來了!! 你都玩過了嗎!!    1. 2020年全新出版。內容經由跨領域教育專家協助與指導，結合圖像式學習，建立小朋友邏輯思考與手眼協調能力。    2. Highlights秉持著「寓教於樂」(Fu...more
",https://www.books.com.tw/products/0010873992?loc=P_0003_004
5,變形戰警手錶桌遊組：聖誕‧新年歡樂派對(兩款隨機出貨)(變形手錶1隻+桌遊紙1張+棋子4個+骰子2個),,2020-11-01,"
小朋友的第一隻變形手錶 培養孩子的時間觀念   可惡的壞人在地球上裝了地雷和定時炸彈，   絕對不能讓壞人的計畫成功，   要在壞人來之前將地雷和炸彈解除，   趕緊爭取更多時間，   解除這場危機吧!   酷...more
",https://www.books.com.tw/products/0010874761?loc=P_0003_005
6,5分鐘專注力訓練 迷宮100：星際奇遇,啟得文化,2020-10-28,"
迷宮100 包含了100個專為兒童設計的迷宮冒險遊戲，是培養小孩子專注力最好的訓練，更是提高孩子智力的一種遊戲，可說是孩子成長學習中，對大腦的開發與個性的培養最好遊戲書。...more
",https://www.books.com.tw/products/0010874323?loc=P_0003_006
7,【兒童益智教具】鏡像點點大連線 (N次寫),東雨文化編輯部,2020-10-22,"
透過鏡像圖連線遊戲， 加強﹝空間智能﹞‧建立﹝幾何概念﹞  →根據中心軸一側的提示圖案， 利用點點指示來連線， 完成另一側的對稱圖←      ◎內容物：30張遊戲卡+1張說明卡+1張空白點點卡    四大題型   (...more
",https://www.books.com.tw/products/0010873211?loc=P_0003_007
8,樂高小創客2：打造連環機關，STEAM再升級(獨家附贈33個樂高積木組件 + 8張紙零件),派特‧墨菲Pat Murphy+KLUTZ編輯團隊,2020-10-08,"
★★★LEGO正式授權繁體中文版★★★ 精美書籍 + 超過30個獨家樂高積木組件 + 8張紙零件 打造不插電就能啟動的連環機關! 發揮創客精神，挑戰樂高極限 跟著本書打造10組令人目眩神迷的神奇機關 【本書特色】 1. ...more
",https://www.books.com.tw/products/0010870962?loc=P_0003_008
9,忍者兔立體造型水管積木【內含益智組合示範手冊】,,2020-10-01,"
多點想像力，創意無限大 空間概念.邏輯思考.手眼協調.創意開發   結合邏輯思考與空間組合的益智教具，透過組合各種不同造型的水管積木，孩子可以自由地發揮想像力，除了訓練手眼協調性以及手指肌肉的靈活...more
",https://www.books.com.tw/products/0010871058?loc=P_0003_009
10,忍者兔創意魔法拼板【內含創意拼插示範手冊】,,2020-10-01,"
用小手拼湊出最動人的圖畫 空間概念.邏輯思考.手眼協調.創意開發   強調了孩子對於細小零件的拼合功能，除訓練孩子動手做的能力，還能培養孩子的想像力，讓孩子可以更容易組合出各種可愛的造型，對於釘入...more
",https://www.books.com.tw/products/0010871061?loc=P_0003_010
11,許兆芳老師帶孩子玩科學套書組：BUE005X親子FUN科學(暢銷改版)+BUE020 STEAM大挑戰,許兆芳,2020-09-30,"
《親子FUN科學：46個刺激五感、鍛鍊思考、發揮創意的科學遊戲(隨書附贈浮球大冒險紙卡)》(暢銷改版) 本書入選： ◆城邦讀書花園當月選書 ◆入圍2016年誠品書店職人閱讀大賞「最想說服爸媽幫孩子買」書籍 ◆文...more
",https://www.books.com.tw/products/0010870950?loc=P_0003_011
12,5分鐘專注力訓練 迷宮100：動物王國,啟得文化,2020-09-28,"
迷宮100 包含了100個專為兒童設計的迷宮冒險遊戲，是培養小孩子專注力最好的訓練，更是提高孩子智力的一種遊戲，可說是孩子成長學習中，對大腦的開發與個性的培養最好遊戲書。...more
",https://www.books.com.tw/products/0010871689?loc=P_0003_012
13,知識大迷宮：運動迷宮+忍者迷宮,"香川元太郎,香川志織",2020-09-27,"
迷宮探險X豐富知識X解答謎題 最受孩子喜愛的知識解謎繪本來了! ☆日本系列累積銷售超過270萬冊! 一次收藏兩本最新主題：運動迷宮+忍者迷宮!    「知識大迷宮系列」3大魅力：   1.一邊遊戲、一邊解謎，學習...more
",https://www.books.com.tw/products/0010870400?loc=P_0003_013
14,小小天才：3歲腦力開發,人類文化編輯部,2020-09-25,"
本書特色    1. 本系列書籍依照兒童智能發展的過程編寫而成，家長可依照孩子年齡或程度挑選。   2. 本系列書籍以活潑有趣的題目作為引導，讓孩子在遊戲中學習知識、發展能力、提升智能。   3. 本系列書籍...more
",https://www.books.com.tw/products/0010871981?loc=P_0003_014
15,小小天才：4歲腦力開發,人類文化編輯部,2020-09-25,"
本書特色    1. 本系列書籍依照兒童智能發展的過程編寫而成，家長可依照孩子年齡或程度挑選。   2. 本系列書籍以活潑有趣的題目作為引導，讓孩子在遊戲中學習知識、發展能力、提升智能。   3. 本系列書籍...more
",https://www.books.com.tw/products/0010871982?loc=P_0003_015
16,小小天才：5歲腦力開發,人類文化編輯部,2020-09-25,"
本書特色    1. 本系列書籍依照兒童智能發展的過程編寫而成，家長可依照孩子年齡或程度挑選。   2. 本系列書籍以活潑有趣的題目作為引導，讓孩子在遊戲中學習知識、發展能力、提升智能。   3. 本系列書籍...more
",https://www.books.com.tw/products/0010871984?loc=P_0003_016
17,小小天才：6歲腦力開發,人類文化編輯部,2020-09-25,"
本書特色    1. 本系列書籍依照兒童智能發展的過程編寫而成，家長可依照孩子年齡或程度挑選。   2. 本系列書籍以活潑有趣的題目作為引導，讓孩子在遊戲中學習知識、發展能力、提升智能。   3. 本系列書籍...more
",https://www.books.com.tw/products/0010871986?loc=P_0003_017
18,TOGO一起玩遊戲套書1-6：一起去郊遊、一起去上學、一起過生日、一起來運動、一起去旅行及一起扮家家酒共6本益智磁鐵遊戲書及6組共36個的造型磁鐵。,目川文化編輯小組,2020-09-23,"
每本遊戲書有20個題目，搭配造型磁鐵回答題目，增加孩子腦力開發的同時，也訓練到小肌肉。   6本各有一個主題，孩子可多元學習。  本書特色    精緻、簡易、方便   掌握3+歲腦力發展黃金期    TOGO隨手玩...more
",https://www.books.com.tw/products/0010869983?loc=P_0003_018
19,【迪士尼益智教具】眼力大作戰 (米奇系列),東雨文化編輯部,2020-09-14,"
★用遊戲加強孩子的視知覺，增進學習所需各項基礎能力★ 【視覺搜尋】+【視覺對應】+【專注力】+【反應力】  睜大眼睛仔細看看，圖卡跟圖卡之間， 你看出有哪裡是一樣的嗎? 一起來眼力大作戰吧!    35款場景...more
",https://www.books.com.tw/products/0010869840?loc=P_0003_019
20,童話找找看,東雨文化編輯部,2020-09-14,"
超級好玩的‧找找看故事遊戲書 ☉☉不只找找看，還能看故事♁♁ ↓ 2則經典童話《三隻小豬》+《青蛙王子》 12個故事跨頁x 10個找找看+益智小遊戲 =120+次的腦力激盪!   ★挑戰觀察力+專注力+邏輯思考!         史...more
",https://www.books.com.tw/products/0010869828?loc=P_0003_020
21,問題找找看,東雨文化編輯部,2020-09-14,"
超級好玩的‧找找看遊戲書~~ ☉☉不只動眼力，還要動腦力♁♁ ↓ ★玩遊戲，聽指令→找答案! 150題找找看★挑戰觀察力+專注力+邏輯思考!      注意囉!   這次可不只睜大眼睛注意看就可以了喔!   還要根據問題找答案...more
",https://www.books.com.tw/products/0010869831?loc=P_0003_021
22,【迪士尼益智教具】空間邏輯大揭密 (N次寫) (冰雪奇緣系列),東雨文化編輯部,2020-09-14,"
☆☆超療癒迪士尼系列‧益智教具☆☆  從卡牌遊戲中，學習﹝空間、序列、組合﹞ 攜帶方便，並搭配可愛﹝冰雪奇緣﹞系列肖像，樂趣翻倍!    ◎內容物：30張題目卡 +2張解答卡    ☆☆內含兩大題型☆☆   1. 依提示，...more
",https://www.books.com.tw/products/0010869833?loc=P_0003_022
23,知識大迷宮1-14冊套書,"香川元太郎,香川志織",2020-09-07,"
迷宮探險X豐富知識X解答謎題 最受孩子喜愛的知識解謎繪本來了! ☆日本系列累積銷售超過270萬冊!   「知識大迷宮系列」3大魅力：   1.一邊遊戲、一邊解謎，學習生物、歷史、自然、文學知識，超酷!   2.圖中...more
",https://www.books.com.tw/products/0010868200?loc=P_0003_023
